Dates,FTV
2018-06-20,78.20234680175781
2018-06-21,77.50765991210938
2018-06-25,77.24962615966797
2018-06-22,77.04121398925781
2018-06-26,74.62964630126953
2018-06-27,74.2227554321289
2018-06-28,75.22509765625
2018-06-29,76.52515411376953
2018-07-02,76.17781829833984
2018-07-03,75.9594955444336
2018-07-05,76.554931640625
2018-07-16,76.63432312011719
2018-09-18,77.30916595458984
2019-01-24,76.47553253173828
2019-09-05,75.66175842285156
2018-11-21,76.36637115478516
2020-01-13,76.63432312011719
2020-04-01,75.88009643554688
2020-06-19,76.98167419433594
2019-10-29,76.93204498291016
2020-01-16,77.03129577636719
2020-06-22,77.05113983154297
2018-10-03,75.60221862792969
2018-07-31,76.82289123535156
2019-03-12,78.43060302734375
2019-02-08,80.59406280517578
2019-01-07,79.20468139648438
2018-12-06,79.14513397216797
2019-08-19,81.45746612548828
2019-07-18,80.32611846923828
2019-05-15,80.3161849975586
2019-09-20,80.59406280517578
2019-11-01,80.34595489501953
2020-04-07,80.66352844238281
2020-06-25,80.16732788085938
2020-06-16,79.63142395019531
2019-11-04,79.09551239013672
2020-01-22,78.70846557617188
2019-11-07,78.95658874511719
2020-04-13,79.08560180664062
2019-07-01,79.73065948486328
2019-05-30,79.64134216308594
2018-08-15,79.98868560791016
2018-10-18,79.78028106689453
2019-03-27,79.31385040283203
2019-01-22,79.41307830810547
2018-12-21,79.52224731445312
2019-09-03,81.06050872802734
2018-11-19,81.44754791259766
2019-08-02,83.24381256103516
2020-01-28,83.17428588867188
2020-04-16,83.41267395019531
2019-11-13,82.89617919921875
2020-01-31,83.7702407836914
2018-12-04,83.5914535522461
2018-11-02,84.01853942871094
2019-07-16,84.11787414550781
2018-08-30,84.44564056396484
2018-10-01,84.73367309570312
2019-06-14,85.9156494140625
2019-05-13,86.39240264892578
2019-04-11,86.53145599365234
2019-02-06,86.7896957397461
2019-09-18,85.40908813476562
2020-02-03,86.7797622680664
2020-04-22,86.39240264892578
2019-11-19,85.74679565429688
2020-02-06,85.41901397705078
2019-11-22,84.45557403564453
2019-03-25,84.06820678710938
2019-02-21,83.63117980957031
2018-12-19,83.85962677001953
2018-07-12,83.05509948730469
2018-09-14,83.17428588867188
2018-08-13,83.38287353515625
2018-10-16,83.41267395019531
2019-07-31,83.08489990234375
2019-05-28,81.64469909667969
2019-04-26,79.67807006835938
2020-04-28,78.04915618896484
2019-11-25,78.66494750976562
2020-02-12,78.4067153930664
2020-05-01,79.24104309082031
2020-05-04,79.67807006835938
2019-06-12,79.48934936523438
2019-04-09,79.2509765625
2019-03-08,77.16516876220703
2019-02-04,76.52947998046875
2018-07-27,73.57955169677734
2018-08-28,75.81434631347656
2019-01-03,72.56643676757812
2019-08-15,71.71224212646484
2018-10-31,71.19576263427734
2019-09-16,73.74839782714844
2020-02-18,74.30461120605469
2020-05-07,74.35429382324219
2018-08-17,74.5926513671875
2019-12-04,75.36737823486328
2020-02-21,75.6156997680664
2018-12-17,76.37055969238281
2019-08-30,74.71184539794922
2018-11-15,74.45360565185547
2019-07-29,74.70191192626953
2019-06-27,73.102783203125
2019-04-24,75.2184066772461
2018-07-10,74.94029235839844
2018-09-12,73.26171112060547
2019-02-19,72.099609375
2019-01-18,73.36103057861328
2020-02-24,72.3082046508789
2020-05-13,72.70549774169922
2019-12-10,73.26171112060547
2020-02-27,74.4833984375
2019-12-13,73.697998046875
2020-05-19,75.62670135498047
2019-03-06,75.517333984375
2018-11-30,72.42546081542969
2019-08-13,71.71959686279297
2019-07-12,69.53241729736328
2019-06-10,70.30787658691406
2019-05-09,69.65171813964844
2018-07-25,70.35758972167969
2018-09-27,69.54236602783203
2018-10-29,68.45872497558594
2019-10-16,67.55401611328125
2019-12-16,67.7031478881836
2020-03-04,66.1919937133789
2020-05-22,64.78028106689453
2019-10-01,65.11829376220703
2019-12-19,63.269134521484375
2018-09-10,65.31713104248047
2019-05-24,66.50019836425781
2018-08-09,66.3113021850586
2019-04-22,67.26570892333984
2019-03-21,66.95751953125
2019-01-16,64.25336456298828
2019-08-28,67.06687927246094
2018-11-13,67.40489959716797
