Dates,FTV
2018-06-20,1123100.0
2018-06-21,1268100.0
2018-06-25,2094100.0
2018-06-22,1902100.0
2018-06-26,6011400.0
2018-06-27,5353700.0
2018-06-28,3478300.0
2018-06-29,3437000.0
2018-07-02,1477100.0
2018-07-03,797300.0
2018-07-05,1343600.0
2018-07-16,920400.0
2018-09-18,1723300.0
2019-01-24,1227900.0
2019-09-05,1286500.0
2018-11-21,1589000.0
2020-01-13,1003100.0
2020-04-01,1069600.0
2020-06-19,963500.0
2019-10-29,1381700.0
2020-01-16,1307500.0
2020-06-22,1872600.0
2018-10-03,1443200.0
2018-07-31,2075400.0
2019-03-12,2122100.0
2019-02-08,2990400.0
2019-01-07,2233300.0
2018-12-06,2577600.0
2019-08-19,2756900.0
2019-07-18,2233300.0
2019-05-15,1486400.0
2019-09-20,1010500.0
2019-11-01,1286100.0
2020-04-07,832800.0
2020-06-25,893400.0
2020-06-16,746500.0
2019-11-04,1980300.0
2020-01-22,1494500.0
2019-11-07,1089100.0
2020-04-13,1307800.0
2019-07-01,1277300.0
2019-05-30,2439400.0
2018-08-15,1815400.0
2018-10-18,1625400.0
2019-03-27,1029700.0
2019-01-22,1317600.0
2018-12-21,678000.0
2019-09-03,2082800.0
2018-11-19,3927600.0
2019-08-02,4702000.0
2020-01-28,3470100.0
2020-04-16,3626500.0
2019-11-13,4994200.0
2020-01-31,6595500.0
2018-12-04,4013900.0
2018-11-02,3740100.0
2019-07-16,5034200.0
2018-08-30,6983800.0
2018-10-01,6033800.0
2019-06-14,5916900.0
2019-05-13,11724300.0
2019-04-11,13341000.0
2019-02-06,13247400.0
2019-09-18,15628200.0
2020-02-03,17937500.0
2020-04-22,39671800.0
2019-11-19,17764100.0
2020-02-06,15940900.0
2019-11-22,36147700.0
2019-03-25,3841900.0
2019-02-21,5018100.0
2018-12-19,18123300.0
2018-07-12,25991800.0
2018-09-14,5831600.0
2018-08-13,6543900.0
2018-10-16,5873800.0
2019-07-31,4388100.0
2019-05-28,5700700.0
2019-04-26,5049300.0
2020-04-28,5227500.0
2019-11-25,2263900.0
2020-02-12,1949000.0
2020-05-01,2516400.0
2020-05-04,2620800.0
2019-06-12,2618000.0
2019-04-09,3728900.0
2019-03-08,3557600.0
2019-02-04,2836000.0
2018-07-27,2804400.0
2018-08-28,4050500.0
2019-01-03,10320200.0
2019-08-15,5514500.0
2018-10-31,5129500.0
2019-09-16,3466400.0
2020-02-18,2094900.0
2020-05-07,1791400.0
2018-08-17,1436300.0
2019-12-04,1274900.0
2020-02-21,1394900.0
2018-12-17,1735800.0
2019-08-30,1468700.0
2018-11-15,1523400.0
2019-07-29,2033400.0
2019-06-27,2338300.0
2019-04-24,2344400.0
2018-07-10,1918800.0
2018-09-12,1381500.0
2019-02-19,1400900.0
2019-01-18,1378900.0
2020-02-24,907100.0
2020-05-13,2016200.0
2019-12-10,1945700.0
2020-02-27,1772500.0
2019-12-13,1980100.0
2020-05-19,3020100.0
2019-03-06,2061300.0
2018-11-30,3309800.0
2019-08-13,2980600.0
2019-07-12,2329700.0
2019-06-10,2044200.0
2019-05-09,1299700.0
2018-07-25,1398300.0
2018-09-27,1575200.0
2018-10-29,1531900.0
2019-10-16,3170200.0
2019-12-16,2502000.0
2020-03-04,1990900.0
2020-05-22,2955100.0
2019-10-01,6031400.0
2019-12-19,1527800.0
2018-09-10,1574800.0
2019-05-24,1288400.0
2018-08-09,1450400.0
2019-04-22,1222000.0
2019-03-21,1161200.0
2019-01-16,1926800.0
2019-08-28,1651900.0
2018-11-13,1556400.0
2018-10-12,1521700.0
2019-06-25,1400600.0
2020-03-10,1203700.0
2020-05-28,1102700.0
2019-10-07,1123900.0
2020-03-13,1225600.0
2019-10-10,1137000.0
2020-03-16,1151700.0
2020-06-03,1811700.0
2018-11-28,1195000.0
2018-09-25,1046300.0
2018-07-23,1179200.0
2018-08-24,1464200.0
2019-07-10,840900.0
2019-05-07,1788500.0
2019-04-05,1047600.0
2019-03-04,1102900.0
2019-01-31,1285300.0
2019-09-12,1686600.0
2019-12-31,2240900.0
2020-03-19,1699400.0
2020-01-03,1939500.0
2020-06-09,3042100.0
2019-02-15,2031900.0
2019-01-14,2188400.0
2018-07-06,2688500.0
2018-08-07,2127900.0
2018-10-10,1852200.0
2018-12-13,2222500.0
2019-08-26,2979300.0
2019-07-25,1783300.0
2019-05-22,901400.0
2019-03-19,1765000.0
2020-01-06,1816200.0
2020-03-25,1207400.0
2020-06-12,1909100.0
2019-10-22,1306500.0
2020-01-09,1760000.0
2020-06-15,1083400.0
2019-10-25,1051100.0
2020-03-31,1539600.0
2020-06-18,1544200.0
2019-04-03,1472700.0
2018-08-22,1397300.0
2018-10-25,1540400.0
2019-01-29,1339300.0
2018-12-28,1849400.0
2018-11-26,1032300.0
2019-08-09,1689900.0
2019-07-08,1380200.0
2019-06-06,908300.0
2019-09-10,1137300.0
2020-01-15,661200.0
2020-04-03,1422500.0
2019-10-31,1293900.0
2020-04-06,1205000.0
2020-06-24,1248200.0
2018-11-09,1166900.0
2019-07-23,755800.0
2019-06-21,896800.0
2019-05-20,909000.0
2019-04-18,1583400.0
2018-09-06,1325300.0
2018-10-08,748700.0
2019-02-13,1445300.0
2018-12-11,1925700.0
2019-09-25,905900.0
2020-01-21,726300.0
2020-04-09,1040300.0
2019-11-06,1012900.0
2020-01-24,1468100.0
2020-01-27,1229600.0
2020-04-15,1030300.0
2018-12-26,1038100.0
2019-08-07,2097600.0
2019-06-04,3262900.0
2018-09-21,2122300.0
2018-07-19,1667100.0
2018-08-20,998300.0
2018-10-23,823700.0
2019-05-03,684100.0
2019-04-01,981800.0
2019-02-28,1557800.0
2019-11-12,2002600.0
2020-01-30,998800.0
2019-11-15,938100.0
2020-04-21,2065200.0
2019-04-16,1372700.0
2019-03-15,1013800.0
2019-02-11,1042100.0
2019-01-10,1335100.0
2019-08-22,1278700.0
2018-11-07,1108400.0
2018-08-03,1725300.0
2018-09-04,1777500.0
2019-06-19,1154800.0
2019-09-23,1611700.0
2019-11-18,2756100.0
2020-02-05,2324800.0
2020-04-24,1993100.0
2019-03-29,2567000.0
