Dates,TPR
2018-06-20,46.38999938964844
2018-06-21,47.45000076293945
2018-06-25,47.06999969482422
2018-06-22,46.720001220703125
2018-06-26,46.939998626708984
2018-06-27,46.11000061035156
2018-06-28,46.04999923706055
2018-06-29,46.650001525878906
2018-07-02,45.560001373291016
2018-07-03,46.220001220703125
2018-07-05,45.93000030517578
2018-07-16,46.38999938964844
2018-09-18,45.72999954223633
2019-01-24,45.95000076293945
2019-09-05,44.16999816894531
2018-11-21,45.18000030517578
2020-01-13,45.540000915527344
2020-04-01,46.16999816894531
2020-06-19,46.9900016784668
2019-10-29,46.97999954223633
2020-01-16,47.040000915527344
2020-06-22,47.5
2018-10-03,47.939998626708984
2018-07-31,47.93000030517578
2019-03-12,47.63999938964844
2019-02-08,47.66999816894531
2019-01-07,47.36000061035156
2018-12-06,47.380001068115234
2019-08-19,46.29999923706055
2019-07-18,46.369998931884766
2019-05-15,45.310001373291016
2019-09-20,46.29999923706055
2019-11-01,45.27000045776367
2020-04-07,44.72999954223633
2020-06-25,45.79999923706055
2020-06-16,46.939998626708984
2019-11-04,47.13999938964844
2020-01-22,46.72999954223633
2019-11-07,50.599998474121094
2020-04-13,51.5099983215332
2019-07-01,50.790000915527344
2019-05-30,51.279998779296875
2018-08-15,51.59000015258789
2018-10-18,51.43000030517578
2019-03-27,51.59000015258789
2019-01-22,51.29999923706055
2018-12-21,50.810001373291016
2019-09-03,50.56999969482422
2018-11-19,50.54999923706055
2019-08-02,50.72999954223633
2020-01-28,50.459999084472656
2020-04-16,50.34000015258789
2019-11-13,50.25
2020-01-31,49.93000030517578
2018-12-04,49.959999084472656
2018-11-02,49.02000045776367
2019-07-16,49.20000076293945
2018-08-30,49.599998474121094
2018-10-01,49.810001373291016
2019-06-14,49.81999969482422
2019-05-13,49.68000030517578
2019-04-11,50.119998931884766
2019-02-06,50.290000915527344
2019-09-18,50.40999984741211
2020-02-03,50.060001373291016
2020-04-22,50.099998474121094
2019-11-19,49.209999084472656
2020-02-06,49.20000076293945
2019-11-22,49.11000061035156
2019-03-25,49.060001373291016
2019-02-21,49.880001068115234
2018-12-19,50.2599983215332
2018-07-12,49.83000183105469
2018-09-14,49.720001220703125
2018-08-13,48.349998474121094
2018-10-16,47.56999969482422
2019-07-31,47.599998474121094
2019-05-28,47.65999984741211
2019-04-26,43.70000076293945
2020-04-28,42.5099983215332
2019-11-25,43.25
2020-02-12,42.779998779296875
2020-05-01,43.5099983215332
2020-05-04,43.630001068115234
2019-06-12,43.150001525878906
2019-04-09,42.38999938964844
2019-03-08,42.459999084472656
2019-02-04,41.0099983215332
2018-07-27,41.650001525878906
2018-08-28,41.27000045776367
2019-01-03,40.599998474121094
2019-08-15,40.27000045776367
2018-10-31,39.279998779296875
2019-09-16,40.900001525878906
2020-02-18,41.68000030517578
2020-05-07,41.84000015258789
2018-08-17,42.0099983215332
2019-12-04,41.70000076293945
2020-02-21,41.7400016784668
2018-12-17,42.209999084472656
2019-08-30,41.75
2018-11-15,41.189998626708984
2019-07-29,40.959999084472656
2019-06-27,40.880001068115234
2019-04-24,40.15999984741211
2018-07-10,40.209999084472656
2018-09-12,38.970001220703125
2019-02-19,37.93000030517578
2019-01-18,37.68000030517578
2020-02-24,37.650001525878906
2020-05-13,37.900001525878906
2019-12-10,36.720001220703125
2020-02-27,37.150001525878906
2019-12-13,37.66999816894531
2020-05-19,38.0099983215332
2019-03-06,39.4900016784668
2018-11-30,37.91999816894531
2019-08-13,36.72999954223633
2019-07-12,35.15999984741211
2019-06-10,34.939998626708984
2019-05-09,34.689998626708984
2018-07-25,35.43000030517578
2018-09-27,34.79999923706055
2018-10-29,34.41999816894531
2019-10-16,33.86000061035156
2019-12-16,34.34000015258789
2020-03-04,33.779998779296875
2020-05-22,32.869998931884766
2019-10-01,32.779998779296875
2019-12-19,32.029998779296875
2018-09-10,32.31999969482422
2019-05-24,32.7599983215332
2018-08-09,33.619998931884766
2019-04-22,33.31999969482422
2019-03-21,32.72999954223633
2019-01-16,32.779998779296875
2019-08-28,33.369998931884766
2018-11-13,34.040000915527344
2018-10-12,34.97999954223633
2019-06-25,35.25
