Dates,TPR
2018-06-20,1914500.0
2018-06-21,2844800.0
2018-06-25,2524600.0
2018-06-22,2410200.0
2018-06-26,2590500.0
2018-06-27,1915200.0
2018-06-28,2539100.0
2018-06-29,2245900.0
2018-07-02,2148500.0
2018-07-03,919900.0
2018-07-05,2063800.0
2018-07-16,1537200.0
2018-09-18,2423100.0
2019-01-24,1888400.0
2019-09-05,3913100.0
2018-11-21,1630900.0
2020-01-13,1921800.0
2020-04-01,1569600.0
2020-06-19,1957600.0
2019-10-29,2153500.0
2020-01-16,2401300.0
2020-06-22,1665700.0
2018-10-03,1820900.0
2018-07-31,1664300.0
2019-03-12,1867300.0
2019-02-08,2323900.0
2019-01-07,1653700.0
2018-12-06,1390900.0
2019-08-19,2400900.0
2019-07-18,2662800.0
2019-05-15,4987400.0
2019-09-20,6105000.0
2019-11-01,3802800.0
2020-04-07,6391300.0
2020-06-25,4420200.0
2020-06-16,2994100.0
2019-11-04,2923400.0
2020-01-22,6686700.0
2019-11-07,13722100.0
2020-04-13,4483500.0
2019-07-01,3732600.0
2019-05-30,3006400.0
2018-08-15,2710000.0
2018-10-18,2726000.0
2019-03-27,1924200.0
2019-01-22,2818900.0
2018-12-21,2332100.0
2019-09-03,1572700.0
2018-11-19,2507400.0
2019-08-02,1964400.0
2020-01-28,2062100.0
2020-04-16,1902900.0
2019-11-13,2086300.0
2020-01-31,3741200.0
2018-12-04,3611400.0
2018-11-02,3002900.0
2019-07-16,4556700.0
2018-08-30,1902800.0
2018-10-01,2330500.0
2019-06-14,1823300.0
2019-05-13,2023500.0
2019-04-11,2784400.0
2019-02-06,1552200.0
2019-09-18,1584700.0
2020-02-03,2159600.0
2020-04-22,3995500.0
2019-11-19,2596600.0
2020-02-06,1986800.0
2019-11-22,1802900.0
2019-03-25,2482300.0
2019-02-21,2004100.0
2018-12-19,2513600.0
2018-07-12,2728400.0
2018-09-14,2110600.0
2018-08-13,3475500.0
2018-10-16,2764000.0
2019-07-31,1754800.0
2019-05-28,2293900.0
2019-04-26,6411000.0
2020-04-28,5931700.0
2019-11-25,3958500.0
2020-02-12,3978700.0
2020-05-01,3844100.0
2020-05-04,2979900.0
2019-06-12,3089200.0
2019-04-09,2646200.0
2019-03-08,2341000.0
2019-02-04,4158400.0
2018-07-27,4574800.0
2018-08-28,3986100.0
2019-01-03,3817000.0
2019-08-15,6034600.0
2018-10-31,6250900.0
2019-09-16,6046300.0
2020-02-18,4370200.0
2020-05-07,5162300.0
2018-08-17,3388300.0
2019-12-04,2727000.0
2020-02-21,3300200.0
2018-12-17,2714900.0
2019-08-30,3247200.0
2018-11-15,3133000.0
2019-07-29,3088700.0
2019-06-27,2598400.0
2019-04-24,3593300.0
2018-07-10,4152500.0
2018-09-12,3617000.0
2019-02-19,4209600.0
2019-01-18,5363000.0
2020-02-24,2714100.0
2020-05-13,6282100.0
2019-12-10,4598300.0
2020-02-27,3769700.0
2019-12-13,3212500.0
2020-05-19,6000800.0
2019-03-06,5358100.0
2018-11-30,4152600.0
2019-08-13,4050000.0
2019-07-12,6222500.0
2019-06-10,6559600.0
2019-05-09,4026900.0
2018-07-25,4512700.0
2018-09-27,5668900.0
2018-10-29,3556200.0
2019-10-16,4218300.0
2019-12-16,3543600.0
2020-03-04,3497500.0
2020-05-22,3536300.0
2019-10-01,5765000.0
2019-12-19,1463500.0
2018-09-10,2703100.0
2019-05-24,2912000.0
2018-08-09,2373100.0
2019-04-22,2650600.0
2019-03-21,3352400.0
2019-01-16,3419800.0
2019-08-28,4259100.0
2018-11-13,3025000.0
2018-10-12,3614100.0
2019-06-25,5831100.0
2020-03-10,4433400.0
2020-05-28,2428800.0
2019-10-07,2914000.0
2020-03-13,2532200.0
2019-10-10,3314800.0
2020-03-16,2800700.0
2020-06-03,3154800.0
2018-11-28,2520100.0
2018-09-25,3010900.0
2018-07-23,4143300.0
2018-08-24,3536200.0
2019-07-10,3056200.0
2019-05-07,4155300.0
2019-04-05,4212000.0
2019-03-04,3912300.0
2019-01-31,3583400.0
2019-09-12,3184100.0
2019-12-31,3116900.0
2020-03-19,4566200.0
2020-01-03,23453500.0
2020-06-09,9726200.0
2019-02-15,4569500.0
2019-01-14,6239200.0
2018-07-06,4891600.0
2018-08-07,4712800.0
2018-10-10,5092400.0
2018-12-13,3278400.0
2019-08-26,4463700.0
2019-07-25,3839100.0
2019-05-22,2457600.0
2019-03-19,3767600.0
2020-01-06,2786600.0
2020-03-25,2063800.0
2020-06-12,2929000.0
2019-10-22,2748500.0
2020-01-09,2947100.0
2020-06-15,2872800.0
2019-10-25,2322000.0
2020-03-31,4275300.0
2020-06-18,3279000.0
2019-04-03,2910800.0
2018-08-22,2244900.0
2018-10-25,2569800.0
2019-01-29,4871800.0
2018-12-28,9722100.0
2018-11-26,4258800.0
2019-08-09,3494900.0
2019-07-08,7136500.0
2019-06-06,4624000.0
2019-09-10,4594600.0
2020-01-15,4300700.0
2020-04-03,2889900.0
2019-10-31,3430200.0
2020-04-06,3961100.0
2020-06-24,3836600.0
2018-11-09,3684000.0
2019-07-23,2810800.0
2019-06-21,3666700.0
2019-05-20,2308600.0
2019-04-18,3067000.0
2018-09-06,2725100.0
2018-10-08,3787900.0
2019-02-13,3682900.0
2018-12-11,4033300.0
2019-09-25,4185700.0
2020-01-21,3388100.0
2020-04-09,4098200.0
2019-11-06,5136900.0
2020-01-24,3087000.0
2020-01-27,5799600.0
2020-04-15,9500100.0
2018-12-26,6854900.0
2019-08-07,4741000.0
2019-06-04,4016600.0
2018-09-21,4843100.0
2018-07-19,4366700.0
2018-08-20,5217000.0
2018-10-23,5692200.0
2019-05-03,6443000.0
2019-04-01,5566100.0
2019-02-28,6211800.0
2019-11-12,6156400.0
2020-01-30,20422900.0
2019-11-15,8356500.0
2020-04-21,6769600.0
2019-04-16,5466400.0
2019-03-15,6206200.0
2019-02-11,4150400.0
2019-01-10,4654200.0
2019-08-22,4181500.0
2018-11-07,4239100.0
2018-08-03,4009500.0
2018-09-04,4253600.0
2019-06-19,5984300.0
2019-09-23,9148500.0
2019-11-18,4587700.0
2020-02-05,5787600.0
2020-04-24,4355100.0
2019-03-29,4469700.0
2019-11-21,4840600.0
2020-04-27,5328200.0
2020-02-11,3323500.0
2020-04-30,3215000.0
2019-05-01,3625400.0
2019-02-26,3752500.0
2019-01-25,7146400.0
2018-12-24,3019000.0
2019-09-06,3581500.0
2018-07-17,2662700.0
2018-09-19,4011300.0
2019-08-05,3110700.0
2019-10-08,3453000.0
2019-12-11,5174700.0
2019-11-27,4444900.0
2020-02-14,6473400.0
2020-05-06,3473400.0
2019-01-08,4493000.0
2018-12-07,5114000.0
2019-08-20,4964800.0
2018-11-05,3581500.0
2019-07-19,1887300.0
2018-10-04,3478400.0
2019-06-17,4733500.0
2019-05-16,4060900.0
2018-08-01,4785400.0
2019-03-13,3651500.0
2019-12-03,2658900.0
2020-02-20,2748400.0
2019-12-06,3080900.0
2020-05-12,2700700.0
2019-12-09,2131200.0
2020-02-26,2258500.0
2020-05-15,3822300.0
2019-03-28,3228700.0
2018-09-17,3233000.0
2018-08-16,3322400.0
2018-10-19,2694800.0
2019-04-29,3274600.0
2019-01-23,2891800.0
2019-09-04,5031700.0
