Dates,ABT
2018-06-20,5121300.0
2018-06-21,4065600.0
2018-06-25,4389700.0
2018-06-22,6012600.0
2018-06-26,4303800.0
2018-06-27,6665200.0
2018-06-28,4237200.0
2018-06-29,5807300.0
2018-07-02,4365200.0
2018-07-03,2245200.0
2018-07-05,4065200.0
2018-07-16,3647900.0
2018-09-18,3654900.0
2019-01-24,3963600.0
2019-09-05,3414100.0
2018-11-21,3736500.0
2020-01-13,5326800.0
2020-04-01,5764400.0
2020-06-19,7946200.0
2019-10-29,10650600.0
2020-01-16,6761100.0
2020-06-22,5763700.0
2018-10-03,4790900.0
2018-07-31,6545400.0
2019-03-12,5863900.0
2019-02-08,5517000.0
2019-01-07,4299000.0
2018-12-06,5108300.0
2019-08-19,5399400.0
2019-07-18,4162900.0
2019-05-15,4706200.0
2019-09-20,3945000.0
2019-11-01,3690700.0
2020-04-07,3329000.0
2020-06-25,4103100.0
2020-06-16,2578500.0
2019-11-04,3841200.0
2020-01-22,4407400.0
2019-11-07,3246400.0
2020-04-13,3724900.0
2019-07-01,3714900.0
2019-05-30,4768200.0
2018-08-15,5075400.0
2018-10-18,4045500.0
2019-03-27,5203300.0
2019-01-22,4428500.0
2018-12-21,3831200.0
2019-09-03,3498900.0
2018-11-19,4089300.0
2019-08-02,4446000.0
2020-01-28,4140500.0
2020-04-16,5893900.0
2019-11-13,4898900.0
2020-01-31,6545100.0
2018-12-04,7269700.0
2018-11-02,4060700.0
2019-07-16,3483300.0
2018-08-30,3185100.0
2018-10-01,3233600.0
2019-06-14,6052400.0
2019-05-13,4217000.0
2019-04-11,4255500.0
2019-02-06,5018000.0
2019-09-18,3424200.0
2020-02-03,5036700.0
2020-04-22,9331100.0
2019-11-19,10111900.0
2020-02-06,8257300.0
2019-11-22,8854900.0
2019-03-25,5493900.0
2019-02-21,6572100.0
2018-12-19,7208800.0
2018-07-12,6251200.0
2018-09-14,7477900.0
2018-08-13,6166700.0
2018-10-16,5426200.0
2019-07-31,5520500.0
2019-05-28,4812300.0
2019-04-26,10559200.0
2020-04-28,11932300.0
2019-11-25,10431300.0
2020-02-12,6674700.0
2020-05-01,7638700.0
2020-05-04,11014700.0
2019-06-12,10959400.0
2019-04-09,7351600.0
2019-03-08,6924900.0
2019-02-04,7446400.0
2018-07-27,8126500.0
2018-08-28,9062300.0
2019-01-03,8379000.0
2019-08-15,7530600.0
2018-10-31,7994400.0
2019-09-16,7795000.0
2020-02-18,6250800.0
2020-05-07,5314600.0
2018-08-17,8558700.0
2019-12-04,3676400.0
2020-02-21,6404500.0
2018-12-17,4676100.0
2019-08-30,4247600.0
2018-11-15,6272700.0
2019-07-29,6570300.0
2019-06-27,5400800.0
2019-04-24,6849000.0
2018-07-10,9860800.0
2018-09-12,7224400.0
2019-02-19,8222500.0
2019-01-18,5789400.0
2020-02-24,3262200.0
2020-05-13,6129400.0
2019-12-10,6759000.0
2020-02-27,7915900.0
2019-12-13,6447700.0
2020-05-19,8030500.0
2019-03-06,6430400.0
2018-11-30,7620100.0
2019-08-13,10269100.0
2019-07-12,7945500.0
2019-06-10,5828600.0
2019-05-09,7567000.0
2018-07-25,6883600.0
2018-09-27,6264900.0
2018-10-29,5670300.0
2019-10-16,7257500.0
2019-12-16,8392400.0
2020-03-04,7339700.0
2020-05-22,11689700.0
2019-10-01,14240800.0
2019-12-19,4026200.0
2018-09-10,7576500.0
2019-05-24,6713000.0
2018-08-09,6209600.0
2019-04-22,6094300.0
2019-03-21,8737200.0
2019-01-16,10570700.0
2019-08-28,8299100.0
2018-11-13,9503000.0
2018-10-12,8905100.0
2019-06-25,6091000.0
2020-03-10,8051200.0
2020-05-28,6583000.0
2019-10-07,5122900.0
2020-03-13,6306900.0
2019-10-10,6357300.0
2020-03-16,5427800.0
2020-06-03,9404500.0
2018-11-28,6541600.0
2018-09-25,10196300.0
2018-07-23,6437600.0
2018-08-24,4824100.0
2019-07-10,5942500.0
2019-05-07,5981600.0
2019-04-05,8145000.0
2019-03-04,10421900.0
2019-01-31,5016500.0
2019-09-12,5278300.0
2019-12-31,4302400.0
2020-03-19,4851900.0
2020-01-03,6863600.0
2020-06-09,6063700.0
2019-02-15,4782700.0
2019-01-14,7039700.0
2018-07-06,5696300.0
2018-08-07,4864500.0
2018-10-10,8083200.0
2018-12-13,4503500.0
2019-08-26,6316700.0
2019-07-25,5607000.0
2019-05-22,5296600.0
2019-03-19,5709600.0
2020-01-06,5295400.0
2020-03-25,5706500.0
2020-06-12,6762700.0
2019-10-22,5390100.0
2020-01-09,5962800.0
2020-06-15,6547500.0
2019-10-25,4182100.0
2020-03-31,5292600.0
2020-06-18,3895400.0
2019-04-03,4254600.0
2018-08-22,4241200.0
2018-10-25,6479200.0
2019-01-29,5734500.0
2018-12-28,11989400.0
2018-11-26,7671100.0
2019-08-09,6048600.0
2019-07-08,5388800.0
2019-06-06,5899100.0
2019-09-10,7532900.0
2020-01-15,3844500.0
2020-04-03,3596400.0
2019-10-31,4101900.0
2020-04-06,5675900.0
2020-06-24,5891200.0
2018-11-09,4842000.0
2019-07-23,3717900.0
2019-06-21,3973700.0
2019-05-20,4671200.0
2019-04-18,3434500.0
2018-09-06,5178900.0
2018-10-08,4836700.0
2019-02-13,5604600.0
2018-12-11,4432100.0
2019-09-25,5482000.0
2020-01-21,6095100.0
2020-04-09,6227800.0
2019-11-06,11212400.0
2020-01-24,9712200.0
2020-01-27,5810700.0
2020-04-15,6823500.0
2018-12-26,6238400.0
2019-08-07,6011700.0
2019-06-04,4286500.0
2018-09-21,4355000.0
2018-07-19,5514100.0
2018-08-20,6702300.0
2018-10-23,5112200.0
2019-05-03,5452700.0
2019-04-01,4006700.0
2019-02-28,5322500.0
2019-11-12,4362800.0
2020-01-30,3736700.0
2019-11-15,3993500.0
2020-04-21,5166700.0
2019-04-16,5319300.0
2019-03-15,4385500.0
2019-02-11,6098100.0
2019-01-10,5169300.0
2019-08-22,4493100.0
2018-11-07,3819700.0
2018-08-03,3062700.0
2018-09-04,5507000.0
2019-06-19,4866300.0
2019-09-23,5418600.0
2019-11-18,4013100.0
2020-02-05,3600300.0
2020-04-24,6570800.0
2019-03-29,6286500.0
2019-11-21,5836000.0
2020-04-27,5286200.0
2020-02-11,5966700.0
2020-04-30,5136400.0
2019-05-01,3927100.0
2019-02-26,3905500.0
2019-01-25,3332300.0
2018-12-24,5220400.0
