Dates,ABT
2018-06-20,62.040000915527344
2018-06-21,61.45000076293945
2018-06-25,61.65999984741211
2018-06-22,60.31999969482422
2018-06-26,60.4900016784668
2018-06-27,60.4900016784668
2018-06-28,60.459999084472656
2018-06-29,60.91999816894531
2018-07-02,60.31999969482422
2018-07-03,60.630001068115234
2018-07-05,60.7599983215332
2018-07-16,61.2599983215332
2018-09-18,62.13999938964844
2019-01-24,62.470001220703125
2019-09-05,62.33000183105469
2018-11-21,62.380001068115234
2020-01-13,62.720001220703125
2020-04-01,61.709999084472656
2020-06-19,61.54999923706055
2019-10-29,64.19999694824219
2020-01-16,63.5099983215332
2020-06-22,63.279998779296875
2018-10-03,62.869998931884766
2018-07-31,63.41999816894531
2019-03-12,64.12000274658203
2019-02-08,64.87000274658203
2019-01-07,64.95999908447266
2018-12-06,64.97000122070312
2019-08-19,65.26000213623047
2019-07-18,64.70999908447266
2019-05-15,63.90999984741211
2019-09-20,64.44000244140625
2019-11-01,64.95999908447266
2020-04-07,64.7300033569336
2020-06-25,64.55999755859375
2020-06-16,64.58000183105469
2019-11-04,63.869998931884766
2020-01-22,63.36000061035156
2019-11-07,63.38999938964844
2020-04-13,63.06999969482422
2019-07-01,63.599998474121094
2019-05-30,64.02999877929688
2018-08-15,64.37999725341797
2018-10-18,64.5
2019-03-27,64.4800033569336
2019-01-22,65.63999938964844
2018-12-21,65.79000091552734
2019-09-03,66.33000183105469
2018-11-19,66.66999816894531
2019-08-02,66.62999725341797
2020-01-28,66.75
2020-04-16,66.58999633789062
2019-11-13,66.56999969482422
2020-01-31,65.54000091552734
2018-12-04,65.22000122070312
2018-11-02,65.69000244140625
2019-07-16,66.44000244140625
2018-08-30,66.11000061035156
2018-10-01,66.5999984741211
2019-06-14,67.1500015258789
2019-05-13,68.36000061035156
2019-04-11,67.51000213623047
2019-02-06,67.76000213623047
2019-09-18,68.38999938964844
2020-02-03,68.4000015258789
2020-04-22,68.87999725341797
2019-11-19,70.31999969482422
2020-02-06,71.41000366210938
2019-11-22,71.9800033569336
2019-03-25,72.69000244140625
2019-02-21,72.7699966430664
2018-12-19,73.54000091552734
2018-07-12,73.41999816894531
2018-09-14,71.9000015258789
2018-08-13,71.06999969482422
2018-10-16,71.05000305175781
2019-07-31,70.5999984741211
2019-05-28,70.87000274658203
2019-04-26,68.77999877929688
2020-04-28,67.6500015258789
2019-11-25,68.5999984741211
2020-02-12,68.22000122070312
2020-05-01,69.30000305175781
2020-05-04,69.16999816894531
2019-06-12,67.47000122070312
2019-04-09,67.2300033569336
2019-03-08,67.3499984741211
2019-02-04,66.98999786376953
2018-07-27,66.81999969482422
2018-08-28,66.33999633789062
2019-01-03,65.77999877929688
2019-08-15,66.38999938964844
2018-10-31,67.22000122070312
2019-09-16,68.5199966430664
2020-02-18,68.73999786376953
2020-05-07,69.58999633789062
2018-08-17,69.98999786376953
2019-12-04,70.22000122070312
2020-02-21,71.58000183105469
2018-12-17,71.94999694824219
2019-08-30,72.0999984741211
2018-11-15,70.4000015258789
2019-07-29,69.25
2019-06-27,68.95999908447266
2019-04-24,67.94000244140625
2018-07-10,70.36000061035156
2018-09-12,70.27999877929688
2019-02-19,68.86000061035156
2019-01-18,68.25
2020-02-24,67.83000183105469
2020-05-13,68.44999694824219
2019-12-10,68.37999725341797
2020-02-27,70.0999984741211
2019-12-13,72.37000274658203
2020-05-19,73.06999969482422
2019-03-06,73.55999755859375
2018-11-30,71.43000030517578
2019-08-13,69.91999816894531
2019-07-12,69.19000244140625
2019-06-10,68.79000091552734
2019-05-09,71.30000305175781
2018-07-25,72.48999786376953
2018-09-27,71.58000183105469
2018-10-29,70.37000274658203
2019-10-16,69.16000366210938
2019-12-16,69.30999755859375
2020-03-04,68.19000244140625
2020-05-22,66.98999786376953
2019-10-01,67.0199966430664
2019-12-19,65.44000244140625
2018-09-10,65.9000015258789
2019-05-24,67.79000091552734
2018-08-09,70.30000305175781
2019-04-22,71.4800033569336
2019-03-21,69.06999969482422
2019-01-16,65.5
2019-08-28,66.98999786376953
2018-11-13,68.18000030517578
2018-10-12,67.0
2019-06-25,68.80000305175781
2020-03-10,68.44999694824219
2020-05-28,68.44999694824219
2019-10-07,68.12999725341797
2020-03-13,68.36000061035156
2019-10-10,69.73999786376953
2020-03-16,69.7699966430664
2020-06-03,70.77999877929688
2018-11-28,70.69000244140625
2018-09-25,69.2699966430664
2018-07-23,69.31999969482422
2018-08-24,70.79000091552734
2019-07-10,68.88999938964844
2019-05-07,68.80000305175781
2019-04-05,69.69000244140625
2019-03-04,71.13999938964844
2019-01-31,71.97000122070312
2019-09-12,71.70999908447266
2019-12-31,72.68000030517578
2020-03-19,72.62999725341797
2020-01-03,71.5
2020-06-09,72.12000274658203
2019-02-15,73.29000091552734
2019-01-14,73.72000122070312
2018-07-06,74.05999755859375
2018-08-07,73.73999786376953
2018-10-10,74.33000183105469
2018-12-13,74.72000122070312
2019-08-26,74.5999984741211
2019-07-25,74.66000366210938
2019-05-22,75.3499984741211
2019-03-19,76.23999786376953
2020-01-06,76.37999725341797
2020-03-25,76.33000183105469
2020-06-12,77.01000213623047
2019-10-22,77.68000030517578
2020-01-09,77.47000122070312
2020-06-15,78.12999725341797
2019-10-25,77.5199966430664
2020-03-31,76.61000061035156
2020-06-18,75.86000061035156
2019-04-03,76.69999694824219
2018-08-22,77.62999725341797
2018-10-25,78.06999969482422
2019-01-29,78.13999938964844
2018-12-28,78.91999816894531
2018-11-26,77.97000122070312
2019-08-09,79.0199966430664
2019-07-08,79.11000061035156
2019-06-06,79.31999969482422
2019-09-10,77.69000244140625
2020-01-15,77.62000274658203
2020-04-03,78.68000030517578
2019-10-31,77.88999938964844
2020-04-06,78.72000122070312
2020-06-24,79.11000061035156
2018-11-09,79.20999908447266
2019-07-23,79.06999969482422
2019-06-21,79.1500015258789
2019-05-20,78.0
2019-04-18,78.38999938964844
2018-09-06,77.94999694824219
2018-10-08,78.05999755859375
2019-02-13,78.55999755859375
2018-12-11,78.3499984741211
2019-09-25,77.81999969482422
2020-01-21,77.45999908447266
2020-04-09,76.05999755859375
2019-11-06,72.36000061035156
2020-01-24,72.75
2020-01-27,73.0
2020-04-15,74.43000030517578
2018-12-26,75.66999816894531
2019-08-07,76.37000274658203
2019-06-04,77.52999877929688
2018-09-21,77.58000183105469
2018-07-19,77.93000030517578
2018-08-20,78.29000091552734
2018-10-23,77.91000366210938
2019-05-03,78.26000213623047
2019-04-01,77.3499984741211
2019-02-28,76.19999694824219
2019-11-12,76.13999938964844
2020-01-30,74.87999725341797
2019-11-15,74.54000091552734
2020-04-21,74.95999908447266
2019-04-16,75.62999725341797
2019-03-15,75.22000122070312
2019-02-11,76.16999816894531
2019-01-10,75.95999908447266
2019-08-22,75.19999694824219
2018-11-07,76.0199966430664
2018-08-03,75.8499984741211
2018-09-04,75.31999969482422
2019-06-19,75.95999908447266
2019-09-23,75.68000030517578
2019-11-18,74.94000244140625
2020-02-05,75.87000274658203
2020-04-24,75.5999984741211
2019-03-29,75.44000244140625
2019-11-21,76.16000366210938
2020-04-27,77.83000183105469
2020-02-11,78.63999938964844
2020-04-30,80.30000305175781
2019-05-01,80.44000244140625
2019-02-26,80.62999725341797
2019-01-25,81.26000213623047
2018-12-24,81.75
2019-09-06,82.0199966430664
2018-07-17,81.66999816894531
2018-09-19,81.91999816894531
2019-08-05,83.05000305175781
2019-10-08,84.31999969482422
2019-12-11,84.41000366210938
2019-11-27,84.63999938964844
2020-02-14,84.23999786376953
2020-05-06,82.62999725341797
2019-01-08,83.06999969482422
2018-12-07,83.12000274658203
2019-08-20,83.75
2018-11-05,84.1500015258789
2019-07-19,84.91999816894531
2018-10-04,84.63999938964844
2019-06-17,84.69000244140625
2019-05-16,84.81999969482422
2018-08-01,85.1500015258789
2019-03-13,85.19000244140625
2019-12-03,83.05999755859375
2020-02-20,83.41000366210938
2019-12-06,82.9000015258789
2020-05-12,85.43000030517578
2019-12-09,85.31999969482422
2020-02-26,87.44999694824219
2020-05-15,87.2699966430664
2019-03-28,87.52999877929688
2018-09-17,87.58999633789062
2018-08-16,87.73999786376953
2018-10-19,87.30000305175781
2019-04-29,87.37999725341797
2019-01-23,87.8499984741211
2019-09-04,86.37000274658203
