Dates,APTV
2018-07-19,1365900.0
2018-08-20,1530800.0
2018-10-23,2929500.0
2019-05-03,1471400.0
2019-04-01,1776800.0
2019-02-28,2438000.0
2019-11-12,1831300.0
2020-01-30,1868500.0
2019-11-15,1218900.0
2020-04-21,2186600.0
2019-04-16,1241100.0
2019-03-15,1646000.0
2019-02-11,1998400.0
2019-01-10,1616400.0
2019-08-22,1322300.0
2018-11-07,1158400.0
2018-08-03,2612000.0
2018-09-04,2801200.0
2019-06-19,2089800.0
2019-09-23,2121600.0
2019-11-18,1469900.0
2020-02-05,1326500.0
2020-04-24,3821800.0
2019-03-29,2091000.0
2019-11-21,3175400.0
2020-04-27,2802100.0
2020-02-11,2331900.0
2020-04-30,1176500.0
2019-05-01,1397700.0
2019-02-26,1062700.0
2019-01-25,1015200.0
2018-12-24,1270100.0
2019-09-06,1109000.0
2018-07-17,1077400.0
2018-09-19,1013700.0
2019-08-05,1181400.0
2019-10-08,1286500.0
2019-12-11,1442400.0
2019-11-27,963600.0
2020-02-14,1137700.0
2020-05-06,1276000.0
2019-01-08,1748300.0
2018-12-07,5891400.0
2019-08-20,1350600.0
2018-11-05,1027100.0
2019-07-19,437500.0
2018-10-04,930900.0
2019-06-17,1185200.0
2019-05-16,1731900.0
2018-08-01,1350300.0
2019-03-13,657600.0
2019-12-03,908100.0
2020-02-20,1295000.0
2019-12-06,1392500.0
2020-05-12,1172900.0
2019-12-09,918500.0
2020-02-26,1191000.0
2020-05-15,1281200.0
2019-03-28,1639300.0
2018-09-17,1090000.0
2018-08-16,1690400.0
2018-10-19,1491800.0
2019-04-29,766700.0
2019-01-23,1416000.0
2019-09-04,3559400.0
2018-11-20,2272900.0
2019-07-02,1307200.0
2019-05-31,1691800.0
2019-12-12,1486000.0
2020-05-18,1753800.0
2019-09-27,1324600.0
2020-03-03,868300.0
2020-05-21,1049000.0
2019-05-14,1079400.0
2018-08-31,1267700.0
2018-07-30,1232800.0
2018-10-02,802400.0
2019-04-12,931700.0
2019-03-11,908500.0
2019-02-07,805400.0
2019-07-17,530200.0
2019-09-19,1238300.0
2019-10-21,645000.0
2019-12-18,773100.0
2020-03-06,744700.0
2019-10-03,816400.0
2020-03-09,1115100.0
2020-05-27,1194900.0
2019-12-24,934500.0
2020-03-12,1089200.0
2018-12-20,719800.0
2019-08-01,1056400.0
2018-08-14,1103800.0
2018-07-13,806500.0
2018-10-17,1237000.0
2019-05-29,1411000.0
2019-03-26,1288300.0
2019-02-22,1008100.0
2019-10-04,794500.0
2019-11-05,778200.0
2019-12-27,1676500.0
2020-06-02,1124500.0
2019-12-30,1219300.0
2020-03-18,764700.0
2020-06-05,511200.0
2019-07-15,815900.0
2018-12-03,904700.0
2019-06-13,1142000.0
2019-01-04,1840900.0
2018-08-29,1150000.0
2019-02-05,1423000.0
2018-11-01,950300.0
2019-08-16,956100.0
2019-04-10,779200.0
2019-09-17,788100.0
2019-10-15,1055300.0
2020-01-02,492900.0
2020-06-08,846000.0
2019-10-18,1182100.0
2020-03-24,810400.0
