Dates,APD
2018-06-20,149.27273559570312
2018-06-21,148.2212677001953
2018-06-25,149.7463836669922
2018-06-22,147.54869079589844
2018-06-26,147.64341735839844
2018-06-27,146.98031616210938
2018-06-28,147.80445861816406
2018-06-29,148.56765747070312
2018-07-02,148.3386993408203
2018-07-03,147.87123107910156
2018-07-05,148.62490844726562
2018-07-16,149.43580627441406
2018-09-18,150.62832641601562
2019-01-24,152.31692504882812
2019-09-05,150.17039489746094
2018-11-21,150.65695190429688
2020-01-13,150.09408569335938
2020-04-01,148.3959503173828
2020-06-19,149.01605224609375
2019-10-29,148.7680206298828
2020-01-16,147.298828125
2020-06-22,147.25115966796875
2018-10-03,146.79319763183594
2018-07-31,148.1479034423828
2019-03-12,150.06546020507812
2019-02-08,154.1199951171875
2019-01-07,153.8242645263672
2018-12-06,153.814697265625
2019-08-19,156.61949157714844
2019-07-18,154.58743286132812
2019-05-15,152.63174438476562
2019-09-20,152.60311889648438
2019-11-01,153.55712890625
2020-04-07,153.51893615722656
2020-06-25,153.26136779785156
2020-06-16,153.0991973876953
2019-11-04,150.60923767089844
2020-01-22,154.96905517578125
2019-11-07,156.7721405029297
2020-04-13,156.6576385498047
2019-07-01,157.1442108154297
2019-05-30,158.94728088378906
2018-08-15,159.30979919433594
2018-10-18,158.46072387695312
2019-03-27,156.80075073242188
2019-01-22,156.8579864501953
2018-12-21,158.3367156982422
2019-09-03,159.5959930419922
2018-11-19,159.32887268066406
2019-08-02,160.5500030517578
2020-01-28,159.06173706054688
2020-04-16,158.6419677734375
2019-11-13,156.7816619873047
2020-01-31,157.78338623046875
2018-12-04,158.42257690429688
2018-11-02,157.26820373535156
2019-07-16,158.42257690429688
2018-08-30,158.97589111328125
2018-10-01,158.59429931640625
2019-06-14,159.92037963867188
2019-05-13,160.85531616210938
2019-04-11,160.9888458251953
2019-02-06,160.9315948486328
2019-09-18,161.3895263671875
2020-02-03,162.58206176757812
2020-04-22,162.7633056640625
2019-11-19,162.03826904296875
2020-02-06,161.07469177246094
2019-11-22,160.08255004882812
2019-03-25,160.76943969726562
2019-02-21,160.41415405273438
2018-12-19,162.69956970214844
2018-07-12,163.4582061767578
2018-09-14,162.98765563964844
2018-08-13,162.95883178710938
2018-10-16,162.1714324951172
2019-07-31,162.5555419921875
2019-05-28,157.79258728027344
2019-04-26,154.2203369140625
2020-04-28,150.84976196289062
2019-11-25,151.98289489746094
2020-02-12,150.4752655029297
2020-05-01,153.3465118408203
2020-05-04,153.14480590820312
2019-06-12,150.46566772460938
2019-04-09,149.22691345214844
2019-03-08,147.2103271484375
2019-02-04,146.0003662109375
2018-07-27,142.99472045898438
2018-08-28,145.46263122558594
2019-01-03,143.4940643310547
2019-08-15,144.96331787109375
2018-10-31,147.6712646484375
2019-09-16,148.21864318847656
2020-02-18,149.19810485839844
2020-05-07,149.64942932128906
2018-08-17,151.11863708496094
2019-12-04,151.81002807617188
2020-02-21,154.58523559570312
2018-12-17,154.8445281982422
2019-08-30,153.54815673828125
2018-11-15,151.23388671875
2019-07-29,151.7716522216797
2019-06-27,150.96502685546875
2019-04-24,154.2587432861328
2018-07-10,157.35084533691406
2018-09-12,153.53854370117188
2019-02-19,151.30111694335938
2019-01-18,152.85675048828125
2020-02-24,151.23388671875
2020-05-13,152.2805938720703
2019-12-10,150.0623321533203
2020-02-27,152.35739135742188
2019-12-13,152.8855438232422
2020-05-19,154.4796142578125
2019-03-06,160.00120544433594
2018-11-30,157.408447265625
2019-08-13,154.9597625732422
2019-07-12,150.9169921875
2019-06-10,150.8401641845703
2019-05-09,149.73583984375
2018-07-25,151.44515991210938
2018-09-27,151.0322265625
2018-10-29,149.23651123046875
2019-10-16,147.7000732421875
2019-12-16,148.61233520507812
2020-03-04,147.9785614013672
2020-05-22,148.40106201171875
2019-10-01,149.02525329589844
2019-12-19,143.9261932373047
2018-09-10,150.68650817871094
2019-05-24,153.40411376953125
2018-08-09,154.31637573242188
2019-04-22,154.75148010253906
2019-03-21,154.3066864013672
2019-01-16,150.1683807373047
2019-08-28,156.2598419189453
2018-11-13,154.63543701171875
2018-10-12,152.85633850097656
2019-06-25,151.599365234375
2020-03-10,151.99581909179688
2020-05-28,151.599365234375
2019-10-07,149.9846649169922
2020-03-13,149.9459991455078
2019-10-10,149.50123596191406
2020-03-16,150.8162078857422
2020-06-03,153.36883544921875
2018-11-28,152.4889678955078
2018-09-25,150.98057556152344
2018-07-23,151.31898498535156
2018-08-24,155.5830078125
2019-07-10,154.5967559814453
2019-05-07,157.83587646484375
2019-04-05,158.55136108398438
2019-03-04,158.94781494140625
2019-01-31,160.3981475830078
2019-09-12,161.35537719726562
2019-12-31,162.36093139648438
2020-03-19,164.28504943847656
2020-01-03,160.71722412109375
2020-06-09,160.40780639648438
2019-02-15,161.99351501464844
2019-01-14,165.6483917236328
2018-07-06,166.27685546875
2018-08-07,165.9384307861328
2018-10-10,168.3170166015625
2018-12-13,169.3129119873047
2019-08-26,171.75914001464844
2019-07-25,172.7550506591797
2019-05-22,174.1570281982422
2019-03-19,175.17230224609375
2020-01-06,175.44300842285156
2020-03-25,175.58807373046875
2020-06-12,175.1819610595703
2019-10-22,174.13772583007812
2020-01-09,174.7178497314453
2020-06-15,173.2771759033203
2019-10-25,174.33108520507812
2020-03-31,173.70260620117188
2020-06-18,175.35601806640625
2019-04-03,177.86026000976562
2018-08-22,177.9569549560547
2018-10-25,178.97216796875
2019-01-29,179.07855224609375
2018-12-28,178.73046875
2018-11-26,179.23324584960938
2019-08-09,178.77879333496094
2019-07-08,178.5370635986328
2019-06-06,180.99298095703125
2019-09-10,180.13246154785156
2020-01-15,179.76504516601562
2020-04-03,180.9639892578125
2019-10-31,181.43775939941406
2020-04-06,183.87432861328125
2020-06-24,185.77137756347656
2018-11-09,186.28695678710938
2019-07-23,185.3043975830078
2019-06-21,186.51071166992188
2019-05-20,186.5593719482422
2019-04-18,187.94076538085938
2018-09-06,187.78509521484375
2018-10-08,187.05548095703125
