Dates,BAM
2018-06-20,1380600.0
2018-06-21,806000.0
2018-06-25,858200.0
2018-06-22,1261800.0
2018-06-26,1159800.0
2018-06-27,1167800.0
2018-06-28,1812300.0
2018-06-29,1803200.0
2018-07-02,684500.0
2018-07-03,760800.0
2018-07-05,1037900.0
2018-07-16,1740200.0
2018-09-18,1118000.0
2019-01-24,633200.0
2019-09-05,907200.0
2018-11-21,1184000.0
2020-01-13,815100.0
2020-04-01,625100.0
2020-06-19,739800.0
2019-10-29,706500.0
2020-01-16,598700.0
2020-06-22,624300.0
2018-10-03,816800.0
2018-07-31,896700.0
2019-03-12,608700.0
2019-02-08,803900.0
2019-01-07,648800.0
2018-12-06,722300.0
2019-08-19,1139000.0
2019-07-18,648300.0
2019-05-15,933800.0
2019-09-20,712400.0
2019-11-01,472200.0
2020-04-07,1325400.0
2020-06-25,1308300.0
2020-06-16,2817000.0
2019-11-04,1773000.0
2020-01-22,1060200.0
2019-11-07,1220000.0
2020-04-13,1990500.0
2019-07-01,2722800.0
2019-05-30,1264100.0
2018-08-15,1520300.0
2018-10-18,2028500.0
2019-03-27,1420100.0
2019-01-22,1109900.0
2018-12-21,854400.0
2019-09-03,945500.0
2018-11-19,1108100.0
2019-08-02,976700.0
2020-01-28,1087200.0
2020-04-16,1350500.0
2019-11-13,1427400.0
2020-01-31,883500.0
2018-12-04,898100.0
2018-11-02,2038500.0
2019-07-16,1227500.0
2018-08-30,1093500.0
2018-10-01,1125300.0
2019-06-14,753000.0
2019-05-13,882900.0
2019-04-11,1085300.0
2019-02-06,885800.0
2019-09-18,1431000.0
2020-02-03,3965000.0
2020-04-22,2014800.0
2019-11-19,1217000.0
2020-02-06,1562600.0
2019-11-22,1468100.0
2019-03-25,989100.0
2019-02-21,1669500.0
2018-12-19,961800.0
2018-07-12,2994500.0
2018-09-14,2624400.0
2018-08-13,2340300.0
2018-10-16,2011100.0
2019-07-31,1002900.0
2019-05-28,1026200.0
2019-04-26,3690300.0
2020-04-28,3838500.0
2019-11-25,1961400.0
2020-02-12,991200.0
2020-05-01,988700.0
2020-05-04,1219800.0
2019-06-12,1911900.0
2019-04-09,1142900.0
2019-03-08,1173000.0
2019-02-04,1705700.0
2018-07-27,2012100.0
2018-08-28,1688400.0
2019-01-03,1563500.0
2019-08-15,1614200.0
2018-10-31,1309500.0
2019-09-16,2039600.0
2020-02-18,1280600.0
2020-05-07,1216200.0
2018-08-17,806900.0
2019-12-04,1422900.0
2020-02-21,1337900.0
2018-12-17,1346000.0
2019-08-30,2859500.0
2018-11-15,3019400.0
2019-07-29,2026800.0
2019-06-27,2291900.0
2019-04-24,2233500.0
2018-07-10,1145900.0
2018-09-12,1705400.0
2019-02-19,3630200.0
2019-01-18,1189400.0
2020-02-24,588900.0
2020-05-13,1928300.0
2019-12-10,1641300.0
2020-02-27,1535300.0
2019-12-13,906300.0
2020-05-19,1739900.0
2019-03-06,1919900.0
2018-11-30,1434600.0
2019-08-13,4039700.0
2019-07-12,2021600.0
2019-06-10,2728400.0
2019-05-09,2003100.0
2018-07-25,1598600.0
2018-09-27,1101500.0
2018-10-29,2177000.0
2019-10-16,1694300.0
2019-12-16,2271500.0
2020-03-04,3429600.0
2020-05-22,3263300.0
2019-10-01,3142500.0
2019-12-19,1872600.0
2018-09-10,2341400.0
2019-05-24,2426000.0
2018-08-09,2221200.0
2019-04-22,1745600.0
2019-03-21,2407400.0
2019-01-16,2055200.0
2019-08-28,2903700.0
2018-11-13,2122800.0
2018-10-12,1250400.0
2019-06-25,1840500.0
2020-03-10,2186000.0
2020-05-28,1239600.0
2019-10-07,969300.0
2020-03-13,1220100.0
2019-10-10,1196700.0
2020-03-16,1463700.0
2020-06-03,981900.0
2018-11-28,1670100.0
2018-09-25,1607600.0
2018-07-23,1245000.0
2018-08-24,1205100.0
2019-07-10,1251300.0
2019-05-07,2256000.0
2019-04-05,1253900.0
2019-03-04,2107500.0
2019-01-31,1532400.0
2019-09-12,981300.0
2019-12-31,1378500.0
2020-03-19,912600.0
2020-01-03,1739900.0
2020-06-09,1502700.0
2019-02-15,1782500.0
2019-01-14,1583700.0
2018-07-06,1670700.0
2018-08-07,2625600.0
2018-10-10,2425500.0
2018-12-13,2074100.0
2019-08-26,2534000.0
2019-07-25,1112700.0
2019-05-22,931500.0
2019-03-19,1189100.0
2020-01-06,1368000.0
2020-03-25,1514000.0
2020-06-12,1988000.0
2019-10-22,1591100.0
2020-01-09,1409600.0
2020-06-15,1750800.0
2019-10-25,1095300.0
2020-03-31,1427000.0
2020-06-18,1481000.0
2019-04-03,1193000.0
2018-08-22,703400.0
2018-10-25,12638400.0
2019-01-29,6900900.0
2018-12-28,3875600.0
2018-11-26,2143400.0
2019-08-09,2820000.0
2019-07-08,2140400.0
2019-06-06,3464700.0
2019-09-10,1464600.0
2020-01-15,2291400.0
2020-04-03,2571300.0
2019-10-31,2879600.0
2020-04-06,2480400.0
2020-06-24,2067500.0
2018-11-09,2760200.0
2019-07-23,2132900.0
2019-06-21,2740700.0
2019-05-20,1223000.0
2019-04-18,2006300.0
2018-09-06,1550900.0
2018-10-08,1773800.0
2019-02-13,1168800.0
2018-12-11,2098800.0
2019-09-25,3545100.0
2020-01-21,2396300.0
2020-04-09,2377100.0
2019-11-06,2198000.0
2020-01-24,1276500.0
2020-01-27,1843400.0
2020-04-15,1667700.0
2018-12-26,1776000.0
2019-08-07,1391300.0
2019-06-04,1576100.0
2018-09-21,1742400.0
2018-07-19,1427600.0
2018-08-20,1641600.0
2018-10-23,1957800.0
2019-05-03,1975800.0
2019-04-01,1034000.0
2019-02-28,1770800.0
2019-11-12,1745700.0
2020-01-30,2258300.0
2019-11-15,6164000.0
2020-04-21,3001100.0
2019-04-16,2445900.0
2019-03-15,2215100.0
2019-02-11,2878800.0
2019-01-10,2232600.0
2019-08-22,2533800.0
2018-11-07,4081700.0
2018-08-03,2411300.0
2018-09-04,2027900.0
2019-06-19,1865100.0
2019-09-23,2551100.0
2019-11-18,4245500.0
2020-02-05,1382600.0
2020-04-24,1797300.0
2019-03-29,2404700.0
2019-11-21,2301600.0
2020-04-27,2115200.0
2020-02-11,3630600.0
2020-04-30,2553800.0
2019-05-01,2446500.0
2019-02-26,1169000.0
2019-01-25,1289400.0
2018-12-24,1487400.0
2019-09-06,1110000.0
2018-07-17,1157700.0
2018-09-19,2421800.0
2019-08-05,2578200.0
2019-10-08,1982600.0
2019-12-11,2128100.0
2019-11-27,1230800.0
2020-02-14,1779300.0
2020-05-06,1295400.0
2019-01-08,1187000.0
2018-12-07,2239100.0
2019-08-20,2057400.0
2018-11-05,1793600.0
2019-07-19,1384800.0
2018-10-04,1736300.0
2019-06-17,1490900.0
2019-05-16,1476300.0
2018-08-01,1358100.0
2019-03-13,1319300.0
2019-12-03,1696100.0
2020-02-20,1828700.0
2019-12-06,1120700.0
2020-05-12,1141400.0
2019-12-09,1438200.0
2020-02-26,1009800.0
2020-05-15,1545300.0
2019-03-28,1697900.0
2018-09-17,2050100.0
2018-08-16,2739500.0
2018-10-19,1322400.0
2019-04-29,1717100.0
2019-01-23,1092900.0
2019-09-04,3923600.0
2018-11-20,3273300.0
2019-07-02,2540100.0
2019-05-31,2175200.0
2019-12-12,4397300.0
2020-05-18,2577300.0
2019-09-27,3075900.0
2020-03-03,2627600.0
2020-05-21,2011700.0
2019-05-14,2741900.0
2018-08-31,3007800.0
2018-07-30,2141100.0
2018-10-02,1903200.0
2019-04-12,2912000.0
2019-03-11,2315400.0
2019-02-07,2039400.0
2019-07-17,2788500.0
2019-09-19,2682200.0
2019-10-21,1827200.0
2019-12-18,1767800.0
2020-03-06,1654800.0
2019-10-03,2547500.0
2020-03-09,1596200.0
2020-05-27,3073400.0
2019-12-24,2389700.0
2020-03-12,1949400.0
2018-12-20,3427100.0
2019-08-01,2667900.0
2018-08-14,3158300.0
2018-07-13,3309900.0
2018-10-17,2706800.0
2019-05-29,1674300.0
2019-03-26,1657500.0
2019-02-22,1511700.0
2019-10-04,2804300.0
2019-11-05,2332100.0
2019-12-27,2216100.0
2020-06-02,3777900.0
2019-12-30,3345300.0
2020-03-18,3872300.0
2020-06-05,3994800.0
2019-07-15,4007300.0
2018-12-03,8646500.0
2019-06-13,6125900.0
2019-01-04,8211600.0
2018-08-29,5465100.0
2019-02-05,2367300.0
2018-11-01,1968800.0
2019-08-16,1384300.0
2019-04-10,3049900.0
2019-09-17,2320600.0
2019-10-15,1582100.0
2020-01-02,592400.0
2020-06-08,1356200.0
2019-10-18,1714000.0
2020-03-24,1133200.0
2020-06-11,820100.0
2020-01-08,714100.0
2019-04-25,1495500.0
2019-07-30,1245600.0
2019-02-20,1133000.0
2018-07-11,1477600.0
2018-09-13,1007900.0
2018-10-15,1008200.0
2019-06-28,1347100.0
2018-12-18,1324300.0
2018-11-16,1069900.0
2019-10-02,1555400.0
2020-03-27,1336800.0
2020-01-10,1143700.0
2019-10-24,1094600.0
2020-03-30,913400.0
2020-06-17,870200.0
2020-01-14,982000.0
2020-04-02,1525100.0
2019-01-02,1373800.0
2019-08-14,1676100.0
2018-10-30,1155500.0
2019-06-11,1583900.0
2019-05-10,1374500.0
2019-04-08,1154500.0
2018-08-27,576500.0
2018-07-26,1041400.0
2018-09-28,790800.0
2019-03-07,649800.0
2019-10-30,540600.0
2020-01-17,1921500.0
