Dates,BAM
2018-06-20,26.77311897277832
2018-06-21,26.63084602355957
2018-06-25,26.643781661987305
2018-06-22,25.80307960510254
2018-06-26,25.997085571289062
2018-06-27,25.744874954223633
2018-06-28,25.867746353149414
2018-06-29,26.216960906982422
2018-07-02,26.061758041381836
2018-07-03,25.893611907958984
2018-07-05,26.3333683013916
2018-07-16,26.734315872192383
2018-09-18,26.863656997680664
2019-01-24,27.031795501708984
2019-09-05,26.708446502685547
2018-11-21,27.29047393798828
2020-01-13,26.967126846313477
2020-04-01,27.03826332092285
2020-06-19,27.141735076904297
2019-10-29,27.206403732299805
2020-01-16,27.174070358276367
2020-06-22,27.122331619262695
2018-10-03,27.193470001220703
2018-07-31,27.212871551513672
2019-03-12,27.342208862304688
2019-02-08,27.141735076904297
2019-01-07,26.992996215820312
2018-12-06,26.934791564941406
2019-08-19,27.264604568481445
2019-07-18,27.005929946899414
2019-05-15,27.051197052001953
2019-09-20,27.161136627197266
2019-11-01,27.206403732299805
2020-04-07,26.792518615722656
2020-06-25,27.018861770629883
2020-06-16,28.241113662719727
2019-11-04,28.131174087524414
2020-01-22,27.633222579956055
2019-11-07,28.16997718811035
2020-04-13,28.027706146240234
2019-07-01,28.325183868408203
2019-05-30,28.441587448120117
2018-08-15,28.25404930114746
2018-10-18,27.54268455505371
2019-03-27,27.60088539123535
2019-01-22,27.704355239868164
2018-12-21,27.93716812133789
2019-09-03,28.25404930114746
2018-11-19,28.344581604003906
2019-08-02,28.5579891204834
2020-01-28,28.350345611572266
2020-04-16,27.753360748291016
2019-11-13,27.656024932861328
2020-01-31,27.643049240112305
2018-12-04,27.694957733154297
2018-11-02,27.57166862487793
2019-07-16,27.558691024780273
2018-08-30,27.467845916748047
2018-10-01,27.305620193481445
2019-06-14,27.454866409301758
2019-05-13,27.461353302001953
2019-04-11,27.636558532714844
2019-02-06,27.90909767150879
2019-09-18,27.57166862487793
2020-02-03,28.201101303100586
2020-04-22,28.70724105834961
2019-11-19,28.629371643066406
2020-02-06,28.869464874267578
2019-11-22,28.901906967163086
2019-03-25,28.888933181762695
2019-02-21,28.895421981811523
2018-12-19,29.13551139831543
2018-07-12,28.966800689697266
2018-09-14,28.79159927368164
