Dates,C
2007-12-31,265.5754699707031
2008-01-02,260.8846740722656
2008-01-04,260.97479248046875
2008-01-07,254.75035095214844
2008-01-03,254.93089294433594
2008-01-08,244.8274688720703
2008-01-09,247.9846954345703
2008-01-10,253.57763671875
2008-01-11,257.6370849609375
2008-01-14,262.14764404296875
2008-01-15,243.02330017089844
2008-03-14,236.7086181640625
2008-06-18,225.16188049316406
2009-01-28,220.56118774414062
2008-04-15,220.1101531982422
2008-11-25,237.79115295410156
2009-04-02,246.54141235351562
2008-10-07,240.31695556640625
2008-01-25,249.4281463623047
2008-02-26,251.77359008789062
2008-04-30,251.5029296875
2008-09-05,254.4110107421875
2008-08-04,268.13848876953125
2008-07-03,263.8937683105469
2009-03-16,244.2959442138672
2009-02-12,243.1218719482422
2008-12-10,241.1349639892578
2009-04-08,235.08401489257812
2008-03-12,233.09715270996094
2008-10-22,236.70960998535156
2008-08-19,237.88368225097656
2008-07-18,232.4649658203125
2008-06-16,230.11683654785156
2009-02-27,228.67185974121094
2008-05-15,230.2071075439453
2009-01-26,226.23333740234375
2009-03-31,226.86553955078125
2009-04-14,223.4336700439453
2009-04-17,225.33026123046875
2009-04-20,232.28436279296875
2008-07-01,225.8721160888672
2008-05-30,214.13153076171875
2009-02-10,208.53208923339844
2009-01-09,199.5911407470703
2008-01-23,200.0426483154297
2008-03-27,191.19204711914062
2008-04-28,188.84388732910156
2008-12-08,177.8257598876953
2008-11-06,194.08201599121094
2008-09-03,191.55335998535156
2009-04-23,190.28892517089844
2008-09-18,178.63858032226562
2008-07-16,168.16232299804688
2009-02-25,187.03770446777344
2008-03-10,184.32833862304688
2008-02-07,203.20362854003906
2008-04-11,210.15773010253906
2008-05-13,211.51243591308594
2008-12-23,199.13958740234375
2008-11-21,196.7914581298828
2008-10-20,188.1214599609375
2009-04-29,193.44985961914062
2009-05-05,215.30560302734375
2008-11-04,216.93116760253906
2008-10-03,220.0018310546875
2008-07-31,217.47303771972656
2008-03-25,222.1693115234375
2008-02-22,214.58303833007812
2009-03-12,212.9573974609375
2008-05-28,214.13153076171875
2009-01-07,210.97056579589844
2009-04-13,203.2939453125
2009-05-15,205.91302490234375
2009-05-08,211.69305419921875
2008-06-12,217.02154541015625
2009-02-23,226.77528381347656
2009-01-22,226.05274963378906
2008-11-19,226.86553955078125
2008-09-16,222.44024658203125
2008-02-05,232.6456298828125
2008-04-09,240.2318572998047
2008-08-15,242.12838745117188
2008-07-14,237.7031707763672
2009-03-27,228.2202606201172
2009-05-14,235.02041625976562
2008-09-22,238.637451171875
2008-07-29,232.85011291503906
2008-06-27,233.9352264404297
2009-03-10,221.36587524414062
2009-02-06,219.7382049560547
2009-01-05,213.67958068847656
2008-12-04,213.77001953125
2008-02-20,208.25390625
2008-04-24,210.24331665039062
2008-10-01,214.58383178710938
2009-05-13,209.06777954101562
2009-05-26,207.8922576904297
2008-03-06,199.9346466064453
2008-11-17,190.4398193359375
2008-10-16,196.40789794921875
2008-08-13,190.98228454589844
2008-06-10,195.8653564453125
2008-05-09,195.32286071777344
2009-01-20,199.3015899658203
2008-04-07,197.9452362060547
2008-12-19,194.056884765625
2009-03-25,193.6951446533203
2009-05-29,190.62066650390625
2009-06-01,191.88656616210938
2009-02-04,181.3970184326172
2008-01-17,177.23739624023438
2008-04-22,183.2056121826172
2008-12-02,173.71080017089844
2008-10-31,179.8597412109375
2008-09-29,185.19496154785156
2008-08-28,188.35997009277344
2008-06-25,185.01416015625
2009-04-09,184.4715576171875
2009-05-11,182.39173889160156
2008-08-11,174.52456665039062
2008-07-10,167.74253845214844
2008-02-01,170.45535278320312
2008-03-04,170.45535278320312
2009-02-19,159.7849578857422
2008-05-07,155.9870147705078
2008-12-17,151.5560760498047
2008-10-14,154.90187072753906
2008-09-12,152.27943420410156
2009-03-23,152.09860229492188
2008-10-29,148.3006591796875
2008-08-26,157.25299072265625
2008-03-19,148.66236877441406
2008-07-25,147.21556091308594
2008-06-23,146.4016876220703
2009-03-06,137.63021850585938
2008-05-22,131.6620635986328
2009-02-02,148.9336700439453
2009-04-07,162.4977264404297
2009-01-16,174.9766845703125
2008-12-15,178.05123901367188
2008-11-13,188.9025115966797
2009-02-17,190.98228454589844
2008-04-03,172.35430908203125
2008-01-30,170.45535278320312
2008-05-05,157.6146697998047
2008-09-10,166.8383026123047
2008-07-08,170.09365844726562
2008-06-06,169.2964630126953
2009-04-16,170.92694091796875
2008-07-23,170.56466674804688
2009-03-04,180.4380340576172
2008-05-20,178.44520568847656
2008-12-30,167.30374145507812
2008-11-28,175.63720703125
2008-03-17,179.53225708007812
2008-02-14,167.9377899169922
2008-04-18,161.32545471191406
2008-10-27,163.77108764648438
2008-09-25,168.0283966064453
2009-04-22,159.6043243408203
2008-10-10,155.70928955078125
2008-09-08,158.42677307128906
2008-08-07,158.24560546875
2009-03-19,164.3145294189453
2008-06-04,159.51377868652344
2009-01-14,161.59715270996094
2008-01-28,164.13339233398438
2008-04-01,172.82919311523438
2008-02-29,172.0139617919922
2008-11-11,173.10093688964844
2009-04-28,177.63003540039062
2009-05-01,165.7638702392578
2008-11-26,172.73861694335938
2008-09-23,184.06126403808594
2008-08-22,171.0175018310547
2008-07-21,169.20594787597656
2008-06-19,168.5718994140625
2009-03-02,162.68408203125
2008-04-16,138.04591369628906
2008-02-12,142.6656036376953
2009-01-29,127.08563232421875
2009-04-03,150.8179168701172
2009-05-04,187.0504608154297
2009-05-07,181.2532958984375
2008-02-27,181.0720977783203
2009-03-17,171.74220275878906
2008-06-02,175.818359375
2009-02-13,182.52137756347656
2008-05-01,160.78184509277344
2009-01-12,185.78231811523438
2008-12-11,208.33712768554688
2008-10-08,203.80799865722656
2008-08-05,166.21676635742188
2009-05-20,157.70213317871094
2008-04-14,137.23068237304688
2008-03-13,130.43711853027344
2008-05-16,117.12166595458984
2008-10-23,127.81021881103516
2008-08-20,142.6656036376953
2008-06-17,168.6624755859375
2009-01-27,147.01353454589844
2008-12-26,144.02432250976562
2008-11-24,134.7849884033203
2009-04-01,136.6872100830078
2009-05-19,128.44435119628906
2009-05-22,120.65433502197266
2008-12-09,118.75216674804688
2008-11-07,109.96573638916016
2008-01-24,106.25190734863281
2008-02-25,121.46955108642578
2008-03-28,116.94054412841797
2008-04-29,118.89952087402344
2008-10-06,123.79692077636719
2008-09-04,126.8805160522461
2008-07-02,133.13839721679688
2009-02-11,114.54620361328125
2009-05-28,104.47917938232422
2009-02-26,107.20001983642578
2008-07-17,101.66765594482422
2008-05-14,97.94924926757812
2008-12-24,87.42877960205078
2008-02-08,85.70560455322266
2008-03-11,86.34046173095703
2008-10-21,80.62673950195312
2008-09-19,75.81995391845703
2008-08-18,58.04398727416992
2009-03-30,42.71674346923828
2008-08-01,34.19154739379883
2008-09-02,53.962764739990234
2009-03-13,55.14179229736328
2009-01-08,63.939090728759766
2008-01-22,75.18510437011719
2008-03-26,58.49747085571289
2008-05-29,65.48087310791016
2008-11-05,70.9224853515625
2009-02-09,67.11336517333984
2008-06-30,69.92486572265625
2009-02-24,76.81759643554688
2008-11-20,77.45245361328125
2008-09-17,75.27580261230469
2009-01-23,68.65516662597656
2008-04-10,69.83418273925781
2008-02-06,67.11336517333984
2008-05-12,74.6409683227539
2008-07-15,71.01319885253906
2008-12-22,67.38544464111328
2008-06-13,63.66701889038086
2008-10-24,61.2182731628418
2009-01-06,59.13231658935547
2008-05-27,61.49034881591797
2008-12-05,61.036895751953125
2009-03-11,59.585784912109375
2008-11-03,61.6717414855957
2008-10-02,60.855491638183594
2008-02-21,64.75532531738281
2008-03-24,64.211181640625
2008-04-25,67.65750885009766
2008-07-30,64.84602355957031
2008-09-15,64.93669891357422
2008-08-14,61.2182731628418
2008-06-11,50.78850173950195
2009-01-21,53.50931167602539
2008-11-18,41.08426284790039
2008-03-07,34.735694885253906
2008-02-04,31.742813110351562
2008-04-08,25.394250869750977
2008-10-17,33.28459930419922
2009-03-26,28.20575523376465
2008-08-21,31.470726013183594
2009-04-15,30.201011657714844
2008-01-18,32.1962776184082
2008-02-19,38.18206787109375
2008-12-03,35.378971099853516
2008-09-30,32.203922271728516
2008-08-29,33.111080169677734
2008-07-28,31.387495040893555
2008-06-26,31.65964126586914
2009-03-09,32.02248764038086
2009-02-05,35.46968078613281
2008-04-23,35.83253860473633
2009-04-24,30.38962173461914
2008-06-09,33.47395706176758
2009-02-20,32.74821853637695
2008-03-05,31.65964126586914
2008-05-08,27.75887680053711
2008-12-18,26.398147583007812
2008-10-15,22.76953887939453
2008-08-12,17.689485549926758
2008-07-11,19.41307258605957
2009-03-24,23.58597755432129
2009-04-27,22.860260009765625
2009-04-30,22.315961837768555
2008-08-27,13.607295036315918
2008-01-16,10.885836601257324
2008-04-21,11.06726360321045
2008-03-20,10.250828742980957
2008-06-24,9.252960205078125
2008-05-23,9.343672752380371
2009-02-03,9.525104522705078
2009-01-02,13.153716087341309
2008-12-01,13.970157623291016
2008-10-30,15.149455070495605
2008-11-14,16.147323608398438
2008-10-13,21.13665771484375
2008-09-11,22.76953887939453
2008-03-03,27.94031524658203
2008-01-31,23.58597755432129
2008-04-04,23.767410278320312
2008-05-06,28.393888473510742
2008-07-09,27.3053035736084
2009-02-18,26.761011123657227
2008-12-16,25.49099349975586
2009-05-12,23.767410278320312
2009-05-18,20.95523452758789
2008-05-21,22.950969696044922
2008-12-31,24.311702728271484
2008-10-28,24.85599136352539
2008-03-18,25.853857040405273
2008-02-15,24.6745548248291
2008-09-26,25.03742218017578
2008-08-25,24.49312973022461
2008-07-24,27.577449798583984
2009-03-05,34.4718132019043
2009-04-06,36.37683868408203
2009-05-21,36.013973236083984
2008-08-08,36.37683868408203
2008-07-07,33.111080169677734
2008-06-05,26.6702880859375
2009-01-15,29.39175796508789
2008-04-02,29.482467651367188
2008-01-29,29.02889633178711
2008-11-12,28.93817710876465
2008-09-09,27.849594116210938
2009-03-20,26.21672248840332
2009-04-21,28.30316925048828
2009-05-27,27.668170928955078
2008-02-11,26.942440032958984
2008-09-24,29.02889633178711
2008-07-22,30.026762008666992
2008-06-20,35.0161018371582
2009-03-03,34.56251907348633
2008-05-19,36.46754837036133
2009-01-30,35.0161018371582
2008-02-13,33.2017936706543
2008-04-17,30.93391227722168
2008-12-29,32.203922271728516
2009-05-06,31.568920135498047
2008-05-02,33.02037048339844
2009-01-13,34.199668884277344
2008-12-12,33.47395706176758
2008-11-10,33.74608612060547
2008-10-09,33.292510986328125
2008-08-06,34.199668884277344
2009-03-18,33.56465530395508
2008-02-28,33.292510986328125
2008-03-31,33.74608612060547
2008-06-03,33.47395706176758
