Dates,STZ
2018-06-20,231.41000366210938
2018-06-21,229.74000549316406
2018-06-25,230.66000366210938
2018-06-22,227.22000122070312
2018-06-26,227.42999267578125
2018-06-27,228.22999572753906
2018-06-28,228.88999938964844
2018-06-29,215.25
2018-07-02,213.6699981689453
2018-07-03,212.1300048828125
2018-07-05,214.32000732421875
2018-07-16,214.1300048828125
2018-09-18,215.27999877929688
2019-01-24,216.05999755859375
2019-09-05,215.9199981689453
2018-11-21,216.67999267578125
2020-01-13,215.0399932861328
2020-04-01,211.9199981689453
2020-06-19,213.6199951171875
2019-10-29,211.35000610351562
2020-01-16,213.30999755859375
2020-06-22,215.0
2018-10-03,214.39999389648438
2018-07-31,213.6699981689453
2019-03-12,214.13999938964844
2019-02-08,214.1199951171875
2019-01-07,212.94000244140625
2018-12-06,208.75
2019-08-19,208.2899932861328
2019-07-18,208.4600067138672
2019-05-15,207.30999755859375
2019-09-20,205.35000610351562
2019-11-01,211.64999389648438
2020-04-07,212.30999755859375
2020-06-25,213.99000549316406
2020-06-16,213.0
2019-11-04,212.91000366210938
2020-01-22,212.67999267578125
2019-11-07,214.44000244140625
2020-04-13,201.50999450683594
2019-07-01,201.5500030517578
2019-05-30,198.85000610351562
2018-08-15,199.08999633789062
2018-10-18,200.05999755859375
2019-03-27,200.19000244140625
2019-01-22,202.14999389648438
2018-12-21,204.61000061035156
2019-09-03,207.6699981689453
2018-11-19,206.27000427246094
2019-08-02,207.2899932861328
2020-01-28,208.0800018310547
2020-04-16,207.36000061035156
2019-11-13,206.35000610351562
2020-01-31,207.94000244140625
2018-12-04,206.3800048828125
2018-11-02,207.9199981689453
2019-07-16,208.5
2018-08-30,211.57000732421875
2018-10-01,215.41000366210938
2019-06-14,214.39999389648438
2019-05-13,210.72999572753906
2019-04-11,210.22000122070312
2019-02-06,211.30999755859375
2019-09-18,214.2899932861328
2020-02-03,214.5
2020-04-22,216.63999938964844
2019-11-19,215.30999755859375
2020-02-06,212.9199981689453
2019-11-22,213.50999450683594
2019-03-25,213.5
2019-02-21,215.1999969482422
2018-12-19,212.85000610351562
2018-07-12,211.77000427246094
2018-09-14,210.52000427246094
2018-08-13,216.1999969482422
2018-10-16,220.8300018310547
2019-07-31,223.41000366210938
2019-05-28,225.22999572753906
2019-04-26,221.38999938964844
2020-04-28,217.5
2019-11-25,220.0399932861328
2020-02-12,222.69000244140625
2020-05-01,224.5
2020-05-04,224.00999450683594
2019-06-12,224.07000732421875
2019-04-09,222.27000427246094
2019-03-08,219.0
2019-02-04,211.25
2018-07-27,211.64999389648438
2018-08-28,209.77999877929688
2019-01-03,205.88999938964844
2019-08-15,200.75999450683594
2018-10-31,196.25999450683594
2019-09-16,198.6699981689453
2020-02-18,199.02999877929688
2020-05-07,199.16000366210938
2018-08-17,197.22999572753906
2019-12-04,200.22999572753906
2020-02-21,204.8000030517578
2018-12-17,204.1300048828125
2019-08-30,201.0399932861328
2018-11-15,201.6199951171875
2019-07-29,199.0800018310547
2019-06-27,196.1999969482422
2019-04-24,195.00999450683594
2018-07-10,195.00999450683594
2018-09-12,191.85000610351562
2019-02-19,187.8699951171875
2019-01-18,190.5800018310547
2020-02-24,192.3699951171875
2020-05-13,193.07000732421875
2019-12-10,194.6999969482422
2020-02-27,195.97000122070312
2019-12-13,196.08999633789062
2020-05-19,194.8800048828125
2019-03-06,193.77000427246094
2018-11-30,190.94000244140625
2019-08-13,187.91000366210938
2019-07-12,187.33999633789062
2019-06-10,184.75999450683594
2019-05-09,187.9199981689453
2018-07-25,186.64999389648438
2018-09-27,180.1699981689453
2018-10-29,180.24000549316406
2019-10-16,174.58999633789062
2019-12-16,171.0800018310547
2020-03-04,171.4499969482422
2020-05-22,165.92999267578125
2019-10-01,161.99000549316406
2019-12-19,156.25
2018-09-10,157.27999877929688
2019-05-24,158.63999938964844
2018-08-09,161.52000427246094
2019-04-22,159.52000427246094
2019-03-21,159.3000030517578
2019-01-16,160.9199981689453
2019-08-28,162.16000366210938
2018-11-13,168.0800018310547
2018-10-12,170.11000061035156
2019-06-25,150.3699951171875
2020-03-10,155.55999755859375
2020-05-28,157.1999969482422
2019-10-07,158.22000122070312
2020-03-13,158.8699951171875
2019-10-10,158.82000732421875
2020-03-16,157.13999938964844
2020-06-03,161.5
2018-11-28,163.47000122070312
2018-09-25,164.27000427246094
2018-07-23,163.7100067138672
2018-08-24,165.86000061035156
2019-07-10,165.6999969482422
2019-05-07,167.24000549316406
2019-04-05,168.1300048828125
2019-03-04,170.14999389648438
2019-01-31,172.74000549316406
2019-09-12,171.9600067138672
2019-12-31,173.33999633789062
2020-03-19,171.35000610351562
2020-01-03,171.30999755859375
2020-06-09,173.5500030517578
2019-02-15,171.66000366210938
2019-01-14,170.8699951171875
2018-07-06,173.00999450683594
2018-08-07,173.0500030517578
2018-10-10,173.55999755859375
2018-12-13,174.0500030517578
2019-08-26,166.36000061035156
2019-07-25,163.99000549316406
2019-05-22,165.5
2019-03-19,166.85000610351562
2020-01-06,167.0800018310547
2020-03-25,167.85000610351562
2020-06-12,168.69000244140625
2019-10-22,169.9499969482422
2020-01-09,169.0500030517578
2020-06-15,167.10000610351562
2019-10-25,165.72000122070312
2020-03-31,166.36000061035156
2020-06-18,165.32000732421875
2019-04-03,166.4499969482422
2018-08-22,167.85000610351562
2018-10-25,169.7100067138672
2019-01-29,169.30999755859375
2018-12-28,169.8000030517578
2018-11-26,170.3000030517578
2019-08-09,166.00999450683594
2019-07-08,163.52000427246094
2019-06-06,164.1699981689453
2019-09-10,167.52000427246094
2020-01-15,166.75
2020-04-03,168.27999877929688
2019-10-31,169.44000244140625
2020-04-06,169.88999938964844
2020-06-24,172.75999450683594
2018-11-09,174.52000427246094
2019-07-23,175.5
2019-06-21,176.80999755859375
2019-05-20,178.1199951171875
2019-04-18,189.16000366210938
2018-09-06,190.55999755859375
2018-10-08,189.55999755859375
2019-02-13,188.6300048828125
2018-12-11,189.11000061035156
2019-09-25,190.22999572753906
2020-01-21,189.32000732421875
2020-04-09,189.5500030517578
2019-11-06,189.85000610351562
2020-01-24,193.33999633789062
2020-01-27,198.25999450683594
2020-04-15,204.92999267578125
2018-12-26,207.89999389648438
2019-08-07,208.80999755859375
2019-06-04,211.5
2018-09-21,210.67999267578125
2018-07-19,209.91000366210938
2018-08-20,211.2100067138672
2018-10-23,207.66000366210938
2019-05-03,209.7899932861328
2019-04-01,208.0
2019-02-28,206.74000549316406
2019-11-12,206.75
2020-01-30,201.82000732421875
2019-11-15,199.27000427246094
2020-04-21,199.02000427246094
2019-04-16,201.47000122070312
2019-03-15,203.6199951171875
2019-02-11,204.1199951171875
2019-01-10,204.77000427246094
2019-08-22,202.69000244140625
2018-11-07,202.92999267578125
2018-08-03,203.0500030517578
2018-09-04,203.74000549316406
2019-06-19,196.27000427246094
2019-09-23,193.33999633789062
2019-11-18,187.5800018310547
2020-02-05,186.08999633789062
2020-04-24,171.27000427246094
2019-03-29,176.55999755859375
2019-11-21,179.8000030517578
2020-04-27,183.77999877929688
2020-02-11,181.74000549316406
2020-04-30,184.6999969482422
2019-05-01,191.4499969482422
2019-02-26,191.80999755859375
2019-01-25,189.1199951171875
2018-12-24,186.75
2019-09-06,187.5399932861328
2018-07-17,186.3300018310547
2018-09-19,181.8699951171875
2019-08-05,181.6199951171875
2019-10-08,185.47000122070312
2019-12-11,181.2899932861328
2019-11-27,181.05999755859375
2020-02-14,181.75999450683594
2020-05-06,184.05999755859375
2019-01-08,183.75999450683594
2018-12-07,192.52999877929688
2019-08-20,193.1300048828125
2018-11-05,195.7899932861328
2019-07-19,196.35000610351562
2018-10-04,196.36000061035156
2019-06-17,196.25999450683594
2019-05-16,194.55999755859375
2018-08-01,197.75
2019-03-13,196.8300018310547
2019-12-03,197.6199951171875
2020-02-20,197.49000549316406
2019-12-06,197.08999633789062
2020-05-12,197.77000427246094
2019-12-09,199.22999572753906
2020-02-26,200.94000244140625
2020-05-15,198.88999938964844
2019-03-28,200.74000549316406
2018-09-17,201.32000732421875
2018-08-16,201.13999938964844
2018-10-19,202.66000366210938
2019-04-29,197.27000427246094
2019-01-23,196.4199981689453
2019-09-04,194.57000732421875
2018-11-20,191.64999389648438
2019-07-02,192.47999572753906
2019-05-31,185.8699951171875
2019-12-12,185.50999450683594
2020-05-18,184.3000030517578
2019-09-27,187.02000427246094
2020-03-03,191.8699951171875
2020-05-21,192.1199951171875
2019-05-14,192.0
2018-08-31,192.5
2018-07-30,189.50999450683594
2018-10-02,195.49000549316406
2019-04-12,198.94000244140625
2019-03-11,201.5
2019-02-07,202.83999633789062
2019-07-17,201.14999389648438
2019-09-19,197.66000366210938
2019-10-21,197.52000427246094
2019-12-18,197.86000061035156
2020-03-06,196.6300048828125
2019-10-03,202.69000244140625
2020-03-09,203.42999267578125
2020-05-27,202.25
2019-12-24,208.4600067138672
2020-03-12,204.5800018310547
