Dates,ROP
2018-06-20,276.54998779296875
2018-06-21,276.82000732421875
2018-06-25,278.3399963378906
2018-06-22,275.0299987792969
2018-06-26,274.4700012207031
2018-06-27,274.5400085449219
2018-06-28,270.4700012207031
2018-06-29,273.20001220703125
2018-07-02,274.19000244140625
2018-07-03,275.82000732421875
2018-07-05,274.0
2018-07-16,275.0
2018-09-18,277.4800109863281
2019-01-24,281.17999267578125
2019-09-05,277.8599853515625
2018-11-21,279.1400146484375
2020-01-13,282.5400085449219
2020-04-01,284.1199951171875
2020-06-19,282.5899963378906
2019-10-29,283.6499938964844
2020-01-16,282.6700134277344
2020-06-22,282.2300109863281
2018-10-03,284.07000732421875
2018-07-31,281.75
2019-03-12,281.95001220703125
2019-02-08,294.29998779296875
2019-01-07,305.0
2018-12-06,299.0899963378906
2019-08-19,295.04998779296875
2019-07-18,301.5400085449219
2019-05-15,295.19000244140625
2019-09-20,297.3599853515625
2019-11-01,294.7799987792969
2020-04-07,296.1400146484375
2020-06-25,299.010009765625
2020-06-16,296.4800109863281
2019-11-04,294.6700134277344
2020-01-22,293.25
2019-11-07,292.57000732421875
2020-04-13,293.1199951171875
2019-07-01,295.3800048828125
2019-05-30,294.3999938964844
2018-08-15,298.7900085449219
2018-10-18,301.2900085449219
2019-03-27,302.510009765625
2019-01-22,299.8800048828125
2018-12-21,297.69000244140625
2019-09-03,298.8699951171875
2018-11-19,298.75
2019-08-02,299.1099853515625
2020-01-28,298.1499938964844
2020-04-16,296.9100036621094
2019-11-13,298.3699951171875
2020-01-31,296.9700012207031
2018-12-04,301.8699951171875
2018-11-02,302.5299987792969
2019-07-16,305.9800109863281
2018-08-30,305.1700134277344
2018-10-01,305.3800048828125
2019-06-14,305.8900146484375
2019-05-13,310.5899963378906
2019-04-11,311.1700134277344
2019-02-06,310.1499938964844
2019-09-18,311.29998779296875
2020-02-03,310.1499938964844
2020-04-22,306.989990234375
2019-11-19,305.05999755859375
2020-02-06,300.55999755859375
2019-11-22,298.4800109863281
2019-03-25,297.29998779296875
2019-02-21,293.95001220703125
2018-12-19,299.1099853515625
2018-07-12,298.42999267578125
2018-09-14,299.010009765625
2018-08-13,296.5
2018-10-16,296.95001220703125
2019-07-31,294.3800048828125
2019-05-28,292.0199890136719
2019-04-26,288.2300109863281
2020-04-28,279.739990234375
2019-11-25,277.75
2020-02-12,279.0
2020-05-01,281.0899963378906
2020-05-04,286.6099853515625
2019-06-12,282.8900146484375
2019-04-09,279.8299865722656
2019-03-08,278.4200134277344
2019-02-04,270.05999755859375
2018-07-27,271.6499938964844
2018-08-28,265.0299987792969
2019-01-03,275.1000061035156
2019-08-15,289.3299865722656
2018-10-31,279.0
2019-09-16,283.70001220703125
2020-02-18,283.5799865722656
2020-05-07,285.04998779296875
2018-08-17,286.260009765625
2019-12-04,288.2799987792969
2020-02-21,292.2900085449219
2018-12-17,294.8399963378906
2019-08-30,295.95001220703125
2018-11-15,296.79998779296875
2019-07-29,290.1199951171875
2019-06-27,293.32000732421875
2019-04-24,286.239990234375
2018-07-10,292.0400085449219
2018-09-12,296.3800048828125
2019-02-19,292.5
2019-01-18,287.9100036621094
2020-02-24,285.6499938964844
2020-05-13,287.9700012207031
2019-12-10,284.92999267578125
2020-02-27,285.6400146484375
2019-12-13,293.70001220703125
2020-05-19,293.95001220703125
2019-03-06,301.3500061035156
2018-11-30,299.3500061035156
2019-08-13,282.1000061035156
2019-07-12,287.2200012207031
2019-06-10,284.70001220703125
2019-05-09,289.25
2018-07-25,285.760009765625
2018-09-27,286.0199890136719
2018-10-29,278.010009765625
2019-10-16,272.5199890136719
2019-12-16,268.0899963378906
2020-03-04,270.1499938964844
2020-05-22,268.1099853515625
2019-10-01,261.4800109863281
2019-12-19,256.32000732421875
2018-09-10,247.0
2019-05-24,255.6699981689453
2018-08-09,266.7200012207031
2019-04-22,266.989990234375
2019-03-21,262.8999938964844
2019-01-16,264.1600036621094
2019-08-28,261.95001220703125
2018-11-13,267.44000244140625
2018-10-12,271.760009765625
2019-06-25,270.5899963378906
2020-03-10,270.6000061035156
2020-05-28,273.3800048828125
2019-10-07,270.45001220703125
2020-03-13,270.44000244140625
2019-10-10,270.92999267578125
2020-03-16,271.489990234375
2020-06-03,277.17999267578125
2018-11-28,279.4200134277344
2018-09-25,276.25
2018-07-23,276.54998779296875
2018-08-24,282.1099853515625
2019-07-10,279.29998779296875
2019-05-07,281.2099914550781
2019-04-05,285.0
2019-03-04,287.6300048828125
2019-01-31,290.0
2019-09-12,291.05999755859375
2019-12-31,294.2900085449219
2020-03-19,296.3999938964844
2020-01-03,296.5299987792969
2020-06-09,296.55999755859375
2019-02-15,301.17999267578125
2019-01-14,303.0
2018-07-06,307.6499938964844
2018-08-07,307.6300048828125
2018-10-10,309.17999267578125
2018-12-13,310.6700134277344
2019-08-26,311.9200134277344
2019-07-25,312.4100036621094
2019-05-22,316.1000061035156
2019-03-19,319.6499938964844
2020-01-06,319.1199951171875
2020-03-25,319.260009765625
2020-06-12,322.489990234375
2019-10-22,326.1099853515625
2020-01-09,325.6700134277344
2020-06-15,320.510009765625
2019-10-25,319.6099853515625
2020-03-31,318.82000732421875
2020-06-18,316.1700134277344
2019-04-03,318.2200012207031
2018-08-22,324.3900146484375
2018-10-25,323.489990234375
2019-01-29,326.5899963378906
2018-12-28,327.54998779296875
2018-11-26,327.54998779296875
2019-08-09,333.3900146484375
2019-07-08,332.0400085449219
2019-06-06,329.1400146484375
2019-09-10,333.1499938964844
2020-01-15,329.7300109863281
2020-04-03,333.1400146484375
2019-10-31,334.9599914550781
2020-04-06,334.55999755859375
2020-06-24,341.42999267578125
2018-11-09,344.8999938964844
2019-07-23,349.0
2019-06-21,349.20001220703125
2019-05-20,346.75
2019-04-18,346.32000732421875
2018-09-06,344.19000244140625
2018-10-08,341.3900146484375
2019-02-13,343.739990234375
2018-12-11,344.44000244140625
2019-09-25,348.1099853515625
2020-01-21,352.6300048828125
2020-04-09,352.8800048828125
2019-11-06,350.3599853515625
2020-01-24,349.989990234375
2020-01-27,348.1600036621094
2020-04-15,350.260009765625
2018-12-26,352.4700012207031
2019-08-07,355.20001220703125
2019-06-04,348.75
2018-09-21,354.0199890136719
2018-07-19,359.95001220703125
2018-08-20,360.0
2018-10-23,356.3900146484375
2019-05-03,360.010009765625
2019-04-01,353.5
2019-02-28,354.510009765625
2019-11-12,352.9200134277344
2020-01-30,352.1199951171875
2019-11-15,351.6499938964844
2020-04-21,349.4100036621094
2019-04-16,348.9599914550781
2019-03-15,348.8999938964844
2019-02-11,356.1199951171875
2019-01-10,357.2300109863281
2019-08-22,356.4700012207031
2018-11-07,356.5799865722656
2018-08-03,357.32000732421875
2018-09-04,353.5
2019-06-19,355.1600036621094
2019-09-23,348.1600036621094
2019-11-18,343.29998779296875
2020-02-05,345.70001220703125
2020-04-24,345.04998779296875
2019-03-29,344.760009765625
2019-11-21,350.6499938964844
2020-04-27,354.2900085449219
2020-02-11,357.9800109863281
2020-04-30,362.5400085449219
2019-05-01,369.010009765625
2019-02-26,369.3299865722656
2019-01-25,366.0299987792969
2018-12-24,367.1400146484375
2019-09-06,364.739990234375
2018-07-17,365.8399963378906
2018-09-19,364.6499938964844
2019-08-05,366.3299865722656
2019-10-08,366.95001220703125
2019-12-11,368.7699890136719
2019-11-27,365.25
2020-02-14,365.4100036621094
2020-05-06,363.9800109863281
2019-01-08,363.739990234375
2018-12-07,363.489990234375
2019-08-20,370.0
2018-11-05,374.2799987792969
2019-07-19,374.7200012207031
2018-10-04,375.7699890136719
2019-06-17,374.5799865722656
2019-05-16,371.82000732421875
2018-08-01,376.5
2019-03-13,375.489990234375
2019-12-03,381.25
2020-02-20,384.2300109863281
2019-12-06,381.80999755859375
2020-05-12,383.4100036621094
2019-12-09,378.69000244140625
2020-02-26,379.260009765625
2020-05-15,374.54998779296875
2019-03-28,373.82000732421875
2018-09-17,371.6600036621094
2018-08-16,369.5299987792969
2018-10-19,370.3800048828125
2019-04-29,366.239990234375
2019-01-23,359.989990234375
2019-09-04,366.6600036621094
2018-11-20,363.0400085449219
2019-07-02,360.9100036621094
2019-05-31,351.9599914550781
2019-12-12,346.79998779296875
2020-05-18,346.3900146484375
2019-09-27,351.4100036621094
2020-03-03,356.8500061035156
2020-05-21,352.989990234375
2019-05-14,351.92999267578125
2018-08-31,353.010009765625
2018-07-30,347.5299987792969
2018-10-02,352.6400146484375
2019-04-12,360.7699890136719
2019-03-11,362.8699951171875
2019-02-07,361.6300048828125
2019-07-17,360.5899963378906
2019-09-19,352.44000244140625
2019-10-21,351.44000244140625
2019-12-18,356.1400146484375
2020-03-06,352.0199890136719
2019-10-03,358.7099914550781
2020-03-09,367.7300109863281
2020-05-27,363.0400085449219
2019-12-24,364.6600036621094
2020-03-12,372.9700012207031
2018-12-20,375.54998779296875
2019-08-01,375.5
2018-08-14,353.5
2018-07-13,354.19000244140625
2018-10-17,354.239990234375
2019-05-29,358.92999267578125
2019-03-26,358.67999267578125
2019-02-22,356.7300109863281
2019-10-04,360.5199890136719
2019-11-05,358.5299987792969
2019-12-27,359.1499938964844
2020-06-02,357.2699890136719
2019-12-30,361.80999755859375
2020-03-18,356.5899963378906
2020-06-05,356.3399963378906
2019-07-15,358.6600036621094
2018-12-03,356.3299865722656
2019-06-13,357.92999267578125
2019-01-04,341.6499938964844
2018-08-29,336.2900085449219
2019-02-05,340.8399963378906
2018-11-01,342.7900085449219
2019-08-16,335.04998779296875
2019-04-10,336.2200012207031
2019-09-17,337.0899963378906
2019-10-15,344.0899963378906
2020-01-02,342.2099914550781
2020-06-08,340.1600036621094
2019-10-18,338.6499938964844
2020-03-24,338.1000061035156
2020-06-11,339.8800048828125
2020-01-08,340.55999755859375
2019-04-25,335.9100036621094
2019-07-30,332.0899963378906
2019-02-20,338.6400146484375
2018-07-11,331.1400146484375
2018-09-13,334.3299865722656
2018-10-15,330.760009765625
2019-06-28,343.1099853515625
2018-12-18,338.2200012207031
2018-11-16,340.0899963378906
2019-10-02,345.0
2020-03-27,339.0400085449219
2020-01-10,339.8999938964844
2019-10-24,345.44000244140625
2020-03-30,338.8500061035156
2020-06-17,335.2300109863281
2020-01-14,339.8900146484375
2020-04-02,341.3299865722656
2019-01-02,347.8399963378906
2019-08-14,351.82000732421875
2018-10-30,345.0
2019-06-11,342.69000244140625
2019-05-10,349.2300109863281
2019-04-08,353.010009765625
2018-08-27,354.8699951171875
2018-07-26,357.92999267578125
2018-09-28,358.67999267578125
2019-03-07,363.6300048828125
2019-10-30,361.5799865722656
2020-01-17,360.3299865722656
2020-06-23,349.3599853515625
2020-04-08,350.44000244140625
2020-06-26,347.9599914550781
2019-03-22,349.5899963378906
2019-01-17,345.1000061035156
2019-08-29,344.42999267578125
2018-11-14,344.29998779296875
2019-06-26,347.2300109863281
2018-09-11,347.29998779296875
2018-07-09,351.5
2018-08-10,353.30999755859375
2019-04-23,352.07000732421875
2019-09-30,348.94000244140625
2020-01-23,354.0199890136719
2019-11-08,354.1099853515625
2020-04-14,355.0
2019-11-11,354.3900146484375
2020-01-29,354.3900146484375
2020-04-17,357.29998779296875
2018-07-24,355.5799865722656
2018-09-26,353.92999267578125
2019-05-08,359.42999267578125
2019-03-05,359.4200134277344
2019-02-01,358.7099914550781
2018-12-31,361.7799987792969
2018-11-29,366.95001220703125
2019-08-12,371.3399963378906
2019-07-11,370.9599914550781
2019-09-13,373.5199890136719
2019-11-14,374.04998779296875
2020-04-20,375.2799987792969
2020-02-04,376.510009765625
2020-04-23,378.0
2018-12-14,379.3399963378906
2019-08-27,375.9700012207031
2018-08-08,379.8800048828125
2018-10-11,372.010009765625
2018-11-12,373.0
2019-07-26,380.75
2019-06-24,383.4599914550781
2019-05-23,386.6000061035156
2019-03-20,384.6600036621094
2019-01-15,385.5400085449219
2019-11-20,390.7799987792969
2020-02-07,386.7699890136719
2020-02-10,385.3699951171875
2020-04-29,384.0
2019-11-26,394.2699890136719
2020-02-13,389.7099914550781
2019-01-30,389.1300048828125
2018-08-23,388.2099914550781
2018-09-24,390.82000732421875
2018-11-27,390.239990234375
2018-10-26,387.17999267578125
2019-07-09,382.6499938964844
2019-06-07,378.6700134277344
2019-05-06,375.7900085449219
