Dates,FISV
2018-07-19,6439900.0
2018-08-20,7909900.0
2018-10-23,3011500.0
2019-05-03,3254900.0
2019-04-01,3896600.0
2019-02-28,4073500.0
2019-11-12,2378200.0
2020-01-30,11169300.0
2019-11-15,2647100.0
2020-04-21,3511000.0
2019-04-16,3314900.0
2019-03-15,4041200.0
2019-02-11,3647400.0
2019-01-10,2876600.0
2019-08-22,4299000.0
2018-11-07,3323700.0
2018-08-03,3459700.0
2018-09-04,3393200.0
2019-06-19,2573200.0
2019-09-23,4511100.0
2019-11-18,2442900.0
2020-02-05,2112000.0
2020-04-24,3794600.0
2019-03-29,5528800.0
2019-11-21,4355000.0
2020-04-27,2841800.0
2020-02-11,4204100.0
2020-04-30,3776800.0
2019-05-01,2392300.0
2019-02-26,2773700.0
2019-01-25,2789100.0
2018-12-24,2044000.0
2019-09-06,1806900.0
2018-07-17,1936400.0
2018-09-19,2680800.0
2019-08-05,2726000.0
2019-10-08,3103400.0
2019-12-11,4128100.0
2019-11-27,2318100.0
2020-02-14,2415600.0
2020-05-06,2594000.0
2019-01-08,3188800.0
2018-12-07,4179200.0
2019-08-20,3006700.0
2018-11-05,2902500.0
2019-07-19,1460400.0
2018-10-04,1593100.0
2019-06-17,2547900.0
2019-05-16,3104200.0
2018-08-01,2582100.0
2019-03-13,3118200.0
2019-12-03,2322300.0
2020-02-20,2398400.0
2019-12-06,2051100.0
2020-05-12,2769300.0
2019-12-09,10758200.0
2020-02-26,6020700.0
2020-05-15,3724500.0
2019-03-28,3284200.0
2018-09-17,3579300.0
2018-08-16,7095300.0
2018-10-19,22063400.0
2019-04-29,41146400.0
2019-01-23,11513700.0
2019-09-04,8796200.0
2018-11-20,6432800.0
2019-07-02,4358200.0
2019-05-31,7151800.0
2019-12-12,5443200.0
2020-05-18,5600900.0
2019-09-27,4645000.0
2020-03-03,4169300.0
2020-05-21,5054600.0
2019-05-14,8441800.0
2018-08-31,3841500.0
2018-07-30,5205900.0
2018-10-02,5758400.0
2019-04-12,5335700.0
2019-03-11,4713500.0
2019-02-07,2552600.0
2019-07-17,2818800.0
2019-09-19,4545600.0
2019-10-21,3320100.0
2019-12-18,3451900.0
2020-03-06,1491300.0
2019-10-03,1990900.0
2020-03-09,4353300.0
2020-05-27,2529100.0
2019-12-24,3608400.0
2020-03-12,4913800.0
2018-12-20,4046900.0
2019-08-01,4541700.0
2018-08-14,4909200.0
2018-07-13,4683300.0
2018-10-17,4468600.0
2019-05-29,2856000.0
2019-03-26,2489700.0
2019-02-22,2501100.0
2019-10-04,4558600.0
2019-11-05,4901700.0
2019-12-27,6540000.0
2020-06-02,4122700.0
2019-12-30,6810300.0
2020-03-18,3422600.0
2020-06-05,3610100.0
2019-07-15,3023500.0
2018-12-03,2206300.0
2019-06-13,1978700.0
2019-01-04,3657500.0
2018-08-29,2618300.0
2019-02-05,3355400.0
2018-11-01,2504100.0
2019-08-16,2397600.0
2019-04-10,1964800.0
2019-09-17,2065100.0
2019-10-15,1929900.0
2020-01-02,3337700.0
2020-06-08,2694700.0
2019-10-18,2345600.0
2020-03-24,1999900.0
2020-06-11,4536700.0
2020-01-08,2655700.0
2019-04-25,4292900.0
2019-07-30,3532100.0
2019-02-20,2627300.0
2018-07-11,2602200.0
2018-09-13,1612600.0
2018-10-15,3882000.0
2019-06-28,2204200.0
2018-12-18,3296800.0
2018-11-16,2006300.0
2019-10-02,2165500.0
2020-03-27,3028000.0
2020-01-10,2911900.0
2019-10-24,8463600.0
2020-03-30,4201100.0
2020-06-17,3503300.0
2020-01-14,2448900.0
2020-04-02,3382300.0
2019-01-02,3653600.0
2019-08-14,3246500.0
2018-10-30,2221700.0
2019-06-11,2181200.0
2019-05-10,2354100.0
2019-04-08,2608100.0
2018-08-27,2486700.0
2018-07-26,2463600.0
2018-09-28,8239200.0
2019-03-07,2030400.0
2019-10-30,1193300.0
2020-01-17,2681500.0
2020-06-23,2962600.0
2020-04-08,2114100.0
2020-06-26,2037100.0
2019-03-22,2264900.0
2019-01-17,3281300.0
2019-08-29,1743700.0
2018-11-14,2808700.0
2019-06-26,1934800.0
2018-09-11,2346200.0
2018-07-09,2271700.0
2018-08-10,2434700.0
2019-04-23,2120200.0
2019-09-30,2574100.0
2020-01-23,5097300.0
2019-11-08,1451400.0
2020-04-14,532100.0
2019-11-11,1888900.0
2020-01-29,1563700.0
2020-04-17,1656000.0
2018-07-24,2370900.0
2018-09-26,5197700.0
2019-05-08,2834000.0
2019-03-05,2114800.0
2019-02-01,2397800.0
2018-12-31,3323100.0
2018-11-29,3434200.0
2019-08-12,2077200.0
2019-07-11,3094300.0
2019-09-13,2662600.0
2019-11-14,2015100.0
2020-04-20,2011100.0
2020-02-04,4086600.0
2020-04-23,2426700.0
2018-12-14,2922900.0
2019-08-27,2105300.0
2018-08-08,1736200.0
2018-10-11,1651200.0
2018-11-12,3917500.0
2019-07-26,2088000.0
2019-06-24,2094300.0
2019-05-23,3428500.0
2019-03-20,2986000.0
2019-01-15,4570700.0
2019-11-20,5650300.0
2020-02-07,3494300.0
2020-02-10,2374000.0
2020-04-29,2742900.0
2019-11-26,3231200.0
2020-02-13,4050300.0
2019-01-30,3207600.0
2018-08-23,2796500.0
2018-09-24,2899500.0
2018-11-27,3636700.0
2018-10-26,3285100.0
2019-07-09,3563700.0
2019-06-07,3706400.0
2019-05-06,4117500.0
2019-04-04,3917900.0
2019-09-11,6824500.0
2019-11-29,7131800.0
2020-05-05,5516400.0
2019-12-02,5171100.0
2020-02-19,5787500.0
2020-05-08,4642100.0
2019-05-21,4426400.0
2019-03-18,5444700.0
2018-09-07,8579600.0
2018-08-06,8777800.0
2018-10-09,13496000.0
2019-02-14,8218100.0
2018-12-12,11294700.0
2019-07-24,8093500.0
2019-09-26,9787900.0
2019-10-28,9574600.0
2019-12-05,9676600.0
2020-05-11,9240500.0
2019-07-03,6874900.0
2020-02-25,5645400.0
2020-05-14,5698400.0
2020-02-28,7067600.0
2019-08-08,4787700.0
2019-06-05,8472200.0
2018-07-20,4128000.0
2018-08-21,3913700.0
2018-10-24,3740000.0
2019-04-02,7687700.0
2019-03-01,3622400.0
2019-01-28,3847300.0
2018-12-27,3830500.0
2019-09-09,3721400.0
2020-03-02,6404900.0
2020-05-20,6378200.0
2019-12-17,4143500.0
2020-03-05,4171900.0
2019-02-12,3060800.0
2019-01-11,3795300.0
2018-12-10,3742600.0
2019-08-23,2496300.0
2018-11-08,3279300.0
2019-07-22,3202500.0
2019-06-20,4735100.0
2018-09-05,4935200.0
2019-04-17,3281900.0
2019-09-24,2984500.0
2019-12-20,3496300.0
2020-05-26,3330700.0
2019-04-30,3864600.0
2019-12-23,4234700.0
2020-03-11,8497200.0
2020-05-29,6577300.0
2019-12-26,7032200.0
2020-06-01,6212300.0
2019-05-02,5780000.0
2019-02-27,3755600.0
2018-11-23,5026800.0
2019-08-06,6305600.0
2018-07-18,4425100.0
2018-09-20,2951900.0
2018-10-22,3035500.0
2019-07-05,4137400.0
2019-06-03,3381600.0
2019-10-09,3772900.0
2019-10-11,5377200.0
2020-03-17,3407400.0
2020-06-04,3752600.0
2019-10-14,3924600.0
2020-03-20,4265100.0
2018-11-06,6215500.0
2019-06-18,5069000.0
2019-05-17,4525100.0
2019-04-15,4297700.0
2019-03-14,6983100.0
2019-01-09,4836900.0
2018-08-02,4434700.0
2018-10-05,3928000.0
2019-08-21,3143800.0
2019-10-17,3445100.0
2020-03-23,7948500.0
2020-06-10,4970500.0
2019-02-25,3608200.0
2020-01-07,5705000.0
2020-03-26,3708600.0
2019-10-23,20213300.0
