Dates,FISV
2018-06-20,76.20999908447266
2018-06-21,75.77999877929688
2018-06-25,75.56999969482422
2018-06-22,74.37999725341797
2018-06-26,74.18000030517578
2018-06-27,73.26000213623047
2018-06-28,73.93000030517578
2018-06-29,74.08999633789062
2018-07-02,74.73999786376953
2018-07-03,74.41999816894531
2018-07-05,75.02999877929688
2018-07-16,75.48999786376953
2018-09-18,75.81999969482422
2019-01-24,75.95999908447266
2019-09-05,76.45999908447266
2018-11-21,77.55000305175781
2020-01-13,77.44999694824219
2020-04-01,76.87000274658203
2020-06-19,77.1500015258789
2019-10-29,77.23999786376953
2020-01-16,77.43000030517578
2020-06-22,77.3499984741211
2018-10-03,77.38999938964844
2018-07-31,77.18000030517578
2019-03-12,77.61000061035156
2019-02-08,77.22000122070312
2019-01-07,76.12000274658203
2018-12-06,74.45999908447266
2019-08-19,75.4800033569336
2019-07-18,74.73999786376953
2019-05-15,75.19000244140625
2019-09-20,76.25
2019-11-01,76.9000015258789
2020-04-07,77.05000305175781
2020-06-25,77.58000183105469
2020-06-16,78.63999938964844
2019-11-04,79.23999786376953
2020-01-22,79.2699966430664
2019-11-07,79.02999877929688
2020-04-13,78.69000244140625
2019-07-01,78.91999816894531
2019-05-30,79.44000244140625
2018-08-15,79.58999633789062
2018-10-18,79.44000244140625
2019-03-27,79.66000366210938
2019-01-22,79.6500015258789
2018-12-21,80.02999877929688
2019-09-03,79.70999908447266
2018-11-19,78.44000244140625
2019-08-02,79.63999938964844
2020-01-28,79.55999755859375
2020-04-16,80.06999969482422
2019-11-13,79.9800033569336
2020-01-31,79.70999908447266
2018-12-04,80.37000274658203
2018-11-02,79.91999816894531
2019-07-16,80.38999938964844
2018-08-30,80.79000091552734
2018-10-01,80.77999877929688
2019-06-14,81.08999633789062
2019-05-13,81.33999633789062
2019-04-11,80.08000183105469
2019-02-06,80.27999877929688
2019-09-18,79.41999816894531
2020-02-03,80.12000274658203
2020-04-22,81.44000244140625
2019-11-19,80.91999816894531
2020-02-06,81.68000030517578
2019-11-22,81.6500015258789
2019-03-25,81.62999725341797
2019-02-21,82.37999725341797
2018-12-19,81.52999877929688
2018-07-12,81.8499984741211
2018-09-14,81.68000030517578
2018-08-13,80.47000122070312
2018-10-16,81.05999755859375
2019-07-31,80.61000061035156
2019-05-28,80.76000213623047
2019-04-26,77.01000213623047
2020-04-28,75.9000015258789
2019-11-25,77.13999938964844
2020-02-12,76.75
2020-05-01,78.86000061035156
2020-05-04,79.05999755859375
2019-06-12,78.5
2019-04-09,78.52999877929688
2019-03-08,79.4000015258789
