Dates,LNT
2018-06-20,40.779998779296875
2018-06-21,40.83000183105469
2018-06-25,40.869998931884766
2018-06-22,41.06999969482422
2018-06-26,41.540000915527344
2018-06-27,42.060001373291016
2018-06-28,42.2599983215332
2018-06-29,42.0099983215332
2018-07-02,42.150001525878906
2018-07-03,42.47999954223633
2018-07-05,42.75
2018-07-16,43.310001373291016
2018-09-18,42.040000915527344
2019-01-24,41.790000915527344
2019-09-05,42.54999923706055
2018-11-21,42.790000915527344
2020-01-13,42.720001220703125
2020-04-01,42.58000183105469
2020-06-19,42.689998626708984
2019-10-29,42.40999984741211
2020-01-16,42.79999923706055
2020-06-22,42.20000076293945
2018-10-03,42.0099983215332
2018-07-31,41.40999984741211
2019-03-12,41.9900016784668
2019-02-08,42.369998931884766
2019-01-07,42.83000183105469
2018-12-06,42.18000030517578
2019-08-19,42.290000915527344
2019-07-18,42.0
2019-05-15,42.029998779296875
2019-09-20,41.38999938964844
2019-11-01,42.779998779296875
2020-04-07,42.400001525878906
2020-06-25,42.25
2020-06-16,42.380001068115234
2019-11-04,42.63999938964844
2020-01-22,42.2400016784668
2019-11-07,42.599998474121094
2020-04-13,42.7400016784668
2019-07-01,42.84000015258789
2019-05-30,43.29999923706055
2018-08-15,43.380001068115234
2018-10-18,43.02000045776367
2019-03-27,42.709999084472656
2019-01-22,42.72999954223633
2018-12-21,42.709999084472656
2019-09-03,42.59000015258789
2018-11-19,42.5099983215332
2019-08-02,42.61000061035156
2020-01-28,42.880001068115234
2020-04-16,42.70000076293945
2019-11-13,42.709999084472656
2020-01-31,43.09000015258789
2018-12-04,43.33000183105469
2018-11-02,43.22999954223633
2019-07-16,43.40999984741211
2018-08-30,43.540000915527344
2018-10-01,43.459999084472656
2019-06-14,43.36000061035156
2019-05-13,43.22999954223633
2019-04-11,43.689998626708984
2019-02-06,43.630001068115234
2019-09-18,42.619998931884766
2020-02-03,42.470001220703125
2020-04-22,42.779998779296875
2019-11-19,42.91999816894531
2020-02-06,42.189998626708984
2019-11-22,41.7599983215332
2019-03-25,41.72999954223633
2019-02-21,42.150001525878906
2018-12-19,42.15999984741211
2018-07-12,42.41999816894531
2018-09-14,42.13999938964844
2018-08-13,42.029998779296875
2018-10-16,42.77000045776367
2019-07-31,43.650001525878906
2019-05-28,43.900001525878906
2019-04-26,43.90999984741211
2020-04-28,42.54999923706055
2019-11-25,42.0099983215332
2020-02-12,42.349998474121094
2020-05-01,42.290000915527344
2020-05-04,42.81999969482422
2019-06-12,43.08000183105469
2019-04-09,43.349998474121094
2019-03-08,43.47999954223633
2019-02-04,43.34000015258789
2018-07-27,43.439998626708984
2018-08-28,43.189998626708984
2019-01-03,42.52000045776367
2019-08-15,42.91999816894531
2018-10-31,42.91999816894531
2019-09-16,42.54999923706055
2020-02-18,42.630001068115234
2020-05-07,42.220001220703125
2018-08-17,42.59000015258789
2019-12-04,42.959999084472656
2020-02-21,43.31999969482422
2018-12-17,43.29999923706055
2019-08-30,43.81999969482422
2018-11-15,44.29999923706055
2019-07-29,44.77000045776367
2019-06-27,44.5099983215332
2019-04-24,44.119998931884766
2018-07-10,44.93000030517578
2018-09-12,45.029998779296875
2019-02-19,45.08000183105469
2019-01-18,43.959999084472656
2020-02-24,43.84000015258789
2020-05-13,43.779998779296875
2019-12-10,44.11000061035156
2020-02-27,44.59000015258789
2019-12-13,44.119998931884766
2020-05-19,44.650001525878906
2019-03-06,44.7400016784668
2018-11-30,45.939998626708984
2019-08-13,45.150001525878906
2019-07-12,45.290000915527344
2019-06-10,45.189998626708984
2019-05-09,45.720001220703125
2018-07-25,45.810001373291016
2018-09-27,45.810001373291016
2018-10-29,44.95000076293945
2019-10-16,43.970001220703125
2019-12-16,43.72999954223633
2020-03-04,43.52000045776367
2020-05-22,43.25
2019-10-01,43.40999984741211
2019-12-19,41.18000030517578
2018-09-10,40.68000030517578
2019-05-24,40.880001068115234
2018-08-09,41.7599983215332
2019-04-22,41.63999938964844
2019-03-21,40.88999938964844
2019-01-16,40.939998626708984
2019-08-28,41.0
2018-11-13,41.119998931884766
2018-10-12,41.290000915527344
2019-06-25,41.58000183105469
2020-03-10,41.5099983215332
2020-05-28,41.88999938964844
2019-10-07,40.75
2020-03-13,41.04999923706055
2019-10-10,41.61000061035156
2020-03-16,42.279998779296875
2020-06-03,42.45000076293945
2018-11-28,42.56999969482422
2018-09-25,43.0
2018-07-23,43.15999984741211
2018-08-24,43.040000915527344
2019-07-10,42.68000030517578
2019-05-07,42.93000030517578
2019-04-05,42.5099983215332
2019-03-04,43.20000076293945
2019-01-31,43.56999969482422
2019-09-12,43.119998931884766
2019-12-31,43.95000076293945
2020-03-19,43.95000076293945
2020-01-03,44.04999923706055
2020-06-09,44.40999984741211
2019-02-15,44.75
2019-01-14,44.63999938964844
2018-07-06,44.59000015258789
2018-08-07,44.650001525878906
2018-10-10,44.68000030517578
2018-12-13,44.720001220703125
2019-08-26,44.86000061035156
2019-07-25,44.790000915527344
2019-05-22,44.77000045776367
2019-03-19,45.09000015258789
2020-01-06,45.22999954223633
2020-03-25,45.18000030517578
2020-06-12,45.38999938964844
2019-10-22,45.369998931884766
2020-01-09,45.77000045776367
2020-06-15,45.79999923706055
2019-10-25,45.68000030517578
2020-03-31,46.060001373291016
2020-06-18,45.93000030517578
2019-04-03,46.29999923706055
2018-08-22,46.65999984741211
2018-10-25,47.0
2019-01-29,46.83000183105469
2018-12-28,46.84000015258789
2018-11-26,46.86000061035156
2019-08-09,46.27000045776367
2019-07-08,46.349998474121094
2019-06-06,46.459999084472656
2019-09-10,47.220001220703125
2020-01-15,47.34000015258789
2020-04-03,47.529998779296875
2019-10-31,47.29999923706055
2020-04-06,46.720001220703125
2020-06-24,46.66999816894531
2018-11-09,46.54999923706055
2019-07-23,46.380001068115234
2019-06-21,46.13999938964844
2019-05-20,45.9900016784668
2019-04-18,46.16999816894531
2018-09-06,46.22999954223633
2018-10-08,46.20000076293945
2019-02-13,46.18000030517578
2018-12-11,46.29999923706055
2019-09-25,46.13999938964844
2020-01-21,46.599998474121094
2020-04-09,45.93000030517578
2019-11-06,45.880001068115234
2020-01-24,45.75
2020-01-27,45.720001220703125
2020-04-15,45.869998931884766
2018-12-26,46.2400016784668
2019-08-07,46.25
2019-06-04,46.939998626708984
2018-09-21,46.130001068115234
2018-07-19,46.209999084472656
2018-08-20,46.58000183105469
2018-10-23,46.459999084472656
2019-05-03,46.599998474121094
2019-04-01,46.959999084472656
2019-02-28,46.650001525878906
2019-11-12,46.119998931884766
2020-01-30,46.0099983215332
2019-11-15,46.22999954223633
2020-04-21,47.09000015258789
2019-04-16,47.27000045776367
2019-03-15,47.2400016784668
2019-02-11,46.779998779296875
2019-01-10,47.47999954223633
2019-08-22,48.04999923706055
2018-11-07,48.0099983215332
2018-08-03,47.97999954223633
2018-09-04,48.41999816894531
2019-06-19,48.65999984741211
2019-09-23,47.47999954223633
2019-11-18,46.790000915527344
2020-02-05,46.7400016784668
2020-04-24,46.88999938964844
2019-03-29,47.279998779296875
2019-11-21,46.84000015258789
2020-04-27,47.97999954223633
2020-02-11,48.95000076293945
2020-04-30,48.959999084472656
2019-05-01,48.41999816894531
2019-02-26,47.95000076293945
2019-01-25,48.47999954223633
2018-12-24,48.810001373291016
2019-09-06,49.33000183105469
2018-07-17,49.31999969482422
2018-09-19,48.869998931884766
2019-08-05,48.58000183105469
2019-10-08,49.380001068115234
2019-12-11,49.20000076293945
2019-11-27,49.650001525878906
2020-02-14,49.689998626708984
2020-05-06,48.91999816894531
2019-01-08,48.77000045776367
2018-12-07,48.81999969482422
2019-08-20,48.47999954223633
2018-11-05,49.0
2019-07-19,49.88999938964844
2018-10-04,49.150001525878906
2019-06-17,49.59000015258789
2019-05-16,49.58000183105469
2018-08-01,50.0
2019-03-13,49.93000030517578
2019-12-03,49.709999084472656
2020-02-20,49.599998474121094
2019-12-06,49.560001373291016
2020-05-12,49.970001220703125
2019-12-09,49.939998626708984
2020-02-26,49.91999816894531
2020-05-15,49.43000030517578
2019-03-28,49.47999954223633
2018-09-17,49.16999816894531
2018-08-16,49.15999984741211
2018-10-19,49.27000045776367
2019-04-29,49.66999816894531
2019-01-23,49.459999084472656
2019-09-04,49.279998779296875
2018-11-20,48.84000015258789
2019-07-02,48.77000045776367
2019-05-31,49.540000915527344
2019-12-12,49.150001525878906
2020-05-18,49.849998474121094
2019-09-27,50.34000015258789
2020-03-03,51.18000030517578
2020-05-21,51.20000076293945
2019-05-14,51.08000183105469
2018-08-31,50.68000030517578
2018-07-30,50.33000183105469
2018-10-02,51.540000915527344
2019-04-12,51.5
2019-03-11,51.59000015258789
2019-02-07,51.66999816894531
2019-07-17,51.77000045776367
2019-09-19,51.279998779296875
2019-10-21,51.66999816894531
2019-12-18,52.290000915527344
2020-03-06,52.08000183105469
2019-10-03,51.95000076293945
2020-03-09,52.29999923706055
2020-05-27,52.47999954223633
2019-12-24,53.04999923706055
2020-03-12,52.43000030517578
2018-12-20,51.88999938964844
2019-08-01,51.220001220703125
2018-08-14,50.36000061035156
2018-07-13,50.63999938964844
2018-10-17,51.5099983215332
2019-05-29,51.27000045776367
2019-03-26,51.47999954223633
2019-02-22,51.93000030517578
2019-10-04,52.56999969482422
2019-11-05,52.83000183105469
2019-12-27,52.599998474121094
2020-06-02,52.97999954223633
2019-12-30,53.33000183105469
2020-03-18,53.77000045776367
2020-06-05,54.06999969482422
2019-07-15,53.7400016784668
2018-12-03,53.779998779296875
2019-06-13,53.38999938964844
2019-01-04,53.13999938964844
2018-08-29,53.130001068115234
2019-02-05,53.459999084472656
2018-11-01,53.7400016784668
2019-08-16,53.290000915527344
2019-04-10,53.27000045776367
2019-09-17,52.90999984741211
2019-10-15,52.63999938964844
2020-01-02,52.2400016784668
2020-06-08,51.59000015258789
2019-10-18,51.58000183105469
2020-03-24,52.18000030517578
2020-06-11,52.369998931884766
2020-01-08,52.619998931884766
2019-04-25,53.18000030517578
2019-07-30,53.27000045776367
2019-02-20,53.470001220703125
2018-07-11,52.970001220703125
2018-09-13,52.52000045776367
2018-10-15,52.41999816894531
2019-06-28,52.279998779296875
2018-12-18,52.72999954223633
2018-11-16,52.880001068115234
2019-10-02,51.959999084472656
2020-03-27,51.470001220703125
2020-01-10,51.709999084472656
2019-10-24,50.93000030517578
2020-03-30,51.09000015258789
2020-06-17,51.400001525878906
2020-01-14,51.40999984741211
2020-04-02,51.86000061035156
2019-01-02,52.650001525878906
2019-08-14,52.58000183105469
2018-10-30,52.7599983215332
2019-06-11,52.400001525878906
2019-05-10,52.52000045776367
2019-04-08,52.88999938964844
2018-08-27,53.06999969482422
2018-07-26,52.650001525878906
2018-09-28,52.630001068115234
2019-03-07,52.599998474121094
2019-10-30,52.41999816894531
2020-01-17,52.36000061035156
2020-06-23,52.58000183105469
2020-04-08,52.47999954223633
2020-06-26,52.83000183105469
2019-03-22,52.810001373291016
2019-01-17,52.779998779296875
2019-08-29,52.779998779296875
2018-11-14,52.689998626708984
2019-06-26,52.41999816894531
2018-09-11,52.2400016784668
2018-07-09,52.77000045776367
2018-08-10,53.41999816894531
2019-04-23,53.72999954223633
2019-09-30,53.810001373291016
2020-01-23,54.189998626708984
2019-11-08,54.18000030517578
2020-04-14,53.79999923706055
2019-11-11,54.02000045776367
2020-01-29,53.95000076293945
2020-04-17,54.09000015258789
2018-07-24,54.2599983215332
2018-09-26,53.38999938964844
2019-05-08,53.560001373291016
2019-03-05,53.54999923706055
2019-02-01,53.31999969482422
2018-12-31,53.650001525878906
2018-11-29,53.68000030517578
2019-08-12,54.56999969482422
