Dates,EGP
2008-06-20,45.08000183105469
2008-06-23,44.650001525878906
2008-06-25,43.349998474121094
2008-06-24,43.84000015258789
2008-06-26,43.65999984741211
2008-06-27,43.310001373291016
2008-06-30,42.790000915527344
2008-07-01,42.7400016784668
2008-07-02,43.25
2008-07-03,42.52000045776367
2008-09-22,41.900001525878906
2009-04-02,41.290000915527344
2008-11-25,44.34000015258789
2011-09-15,41.9900016784668
2011-05-10,42.599998474121094
2010-08-27,43.84000015258789
2018-02-01,42.119998931884766
2018-07-09,42.650001525878906
2018-12-14,45.41999816894531
2019-05-21,45.2599983215332
2019-07-15,44.849998474121094
2020-04-01,44.58000183105469
2014-11-10,46.310001373291016
2015-04-17,46.41999816894531
2015-09-22,45.75
2016-08-03,46.650001525878906
2017-06-15,45.900001525878906
2017-11-20,47.45000076293945
2018-04-27,46.06999969482422
2018-10-02,46.38999938964844
2008-10-07,47.029998779296875
2009-02-12,47.779998779296875
2011-07-28,47.630001068115234
2011-03-22,46.65999984741211
2010-07-09,46.06999969482422
2010-03-03,47.630001068115234
2012-12-21,48.38999938964844
2009-10-26,46.900001525878906
2012-08-15,46.119998931884766
2013-09-03,47.630001068115234
2014-03-24,46.650001525878906
2014-08-29,45.959999084472656
2019-08-14,45.40999984741211
2020-06-25,43.220001220703125
2015-02-03,42.47999954223633
2020-06-16,43.779998779296875
2015-12-16,42.84000015258789
2016-10-27,42.79999923706055
2017-04-03,44.02000045776367
2017-09-08,44.900001525878906
2018-02-13,45.45000076293945
2018-12-26,45.59000015258789
2014-01-10,46.27000045776367
2019-11-07,46.279998779296875
2020-04-13,47.61000061035156
2008-08-19,47.83000183105469
2011-06-09,46.52000045776367
2011-02-01,46.220001220703125
2010-05-21,46.560001373291016
2010-01-13,46.93000030517578
2012-11-02,45.29999923706055
2013-07-16,46.20000076293945
2013-11-21,45.95000076293945
2014-08-04,48.15999984741211
2014-12-10,49.099998474121094
2015-04-29,45.880001068115234
2016-03-10,47.29999923706055
2016-08-15,47.33000183105469
2017-01-20,46.08000183105469
2017-06-27,47.720001220703125
2018-05-09,47.54999923706055
2019-03-21,48.529998779296875
2013-10-29,47.61000061035156
2019-08-26,46.7599983215332
2020-01-31,43.790000915527344
2014-09-10,43.18000030517578
2015-07-23,39.790000915527344
2015-12-28,40.959999084472656
2008-11-06,36.349998474121094
2009-07-20,42.20000076293945
2012-05-09,41.349998474121094
2011-04-21,37.029998779296875
2010-12-14,35.849998474121094
2013-05-28,35.599998474121094
2013-10-03,36.439998626708984
2014-06-16,35.599998474121094
2014-10-22,32.91999816894531
2015-02-27,31.5
2016-06-03,27.350000381469727
2016-11-08,28.010000228881836
2017-09-20,27.200000762939453
2018-08-02,28.110000610351562
2019-01-07,28.8799991607666
2019-06-14,29.920000076293945
2014-01-22,33.16999816894531
2019-11-19,34.38999938964844
2014-12-04,33.810001373291016
2015-05-11,32.709999084472656
2015-10-16,33.650001525878906
2016-03-22,35.099998474121094
2017-02-01,32.86000061035156
2010-02-12,33.36000061035156
2009-06-01,32.0
2008-09-18,33.619998931884766
2009-10-07,31.280000686645508
2012-07-27,30.0
2012-03-21,29.559999465942383
2011-11-14,25.420000076293945
2011-03-03,24.170000076293945
2010-10-26,26.219999313354492
2013-04-09,27.739999771118164
2017-12-14,29.639999389648438
2018-05-21,31.34000015258789
2018-10-26,31.299999237060547
2019-04-02,26.8700008392334
2020-02-12,27.059999465942383
2014-09-22,29.40999984741211
2015-08-04,28.6299991607666
2016-06-15,30.760000228881836
2017-04-27,31.780000686645508
2017-10-02,32.0
2018-03-09,33.45000076293945
2018-08-14,28.260000228881836
2009-08-19,31.610000610351562
2009-04-13,30.889999389648438
2008-07-31,34.04999923706055
2012-06-08,34.5099983215332
2012-02-01,34.61000061035156
2011-09-26,36.56999969482422
2011-01-13,36.54999923706055
2010-09-07,35.90999984741211
2013-06-27,35.16999816894531
2013-08-29,34.869998931884766
2014-02-03,34.540000915527344
2019-06-26,34.65999984741211
2014-07-11,35.65999984741211
2020-05-07,34.529998779296875
2014-12-16,33.91999816894531
2015-10-28,34.2400016784668
2016-09-08,34.5
2017-02-13,35.0
2017-07-21,33.25
2017-12-26,31.079999923706055
2018-11-07,30.979999542236328
2013-06-17,30.8700008392334
2013-11-22,32.91999816894531
2019-09-19,33.75
2014-04-29,31.450000762939453
2009-02-23,31.1299991607666
2009-07-01,30.149999618530273
2009-11-06,31.360000610351562
2012-04-20,31.290000915527344
2011-12-14,32.439998626708984
2011-08-08,33.47999954223633
2013-05-09,31.190000534057617
2014-05-28,29.979999542236328
2014-10-03,31.239999771118164
2015-03-11,30.93000030517578
2020-02-24,30.25
2016-01-21,29.600000381469727
2016-06-27,31.450000762939453
2016-12-02,31.139999389648438
2017-05-09,29.760000228881836
2018-03-21,29.010000228881836
2019-01-31,28.760000228881836
2013-09-10,26.420000076293945
2019-07-08,25.799999237060547
2019-12-13,26.90999984741211
2014-07-23,25.93000030517578
2020-05-19,27.450000762939453
2015-06-04,26.889999389648438
2010-06-01,27.280000686645508
2013-03-21,27.8700008392334
2009-05-13,25.5
2009-01-05,24.209999084472656
2009-09-18,23.5
2012-11-13,23.079999923706055
2012-03-02,23.049999237060547
2011-10-26,22.469999313354492
2011-06-20,21.1299991607666
2013-12-02,21.639999389648438
2015-11-09,22.8799991607666
2016-04-15,23.1200008392334
2016-09-20,26.18000030517578
2017-08-02,26.31999969482422
2018-06-14,24.6299991607666
2018-11-19,25.899999618530273
2019-04-26,28.079999923706055
2013-12-04,26.3700008392334
2019-10-01,24.06999969482422
2014-10-16,27.3799991607666
2015-03-23,25.6299991607666
2015-08-28,26.780000686645508
2016-02-02,27.469999313354492
2016-12-14,26.610000610351562
2010-08-19,26.899999618530273
2008-11-17,27.549999237060547
2009-07-31,28.350000381469727
2009-03-25,29.149999618530273
2010-04-13,31.030000686645508
2013-01-31,30.639999389648438
2012-09-25,29.610000610351562
2012-01-13,30.719999313354492
2011-09-07,31.75
2011-05-02,31.100000381469727
2017-10-26,29.989999771118164
2018-04-02,32.90999984741211
2018-09-07,35.540000915527344
2019-02-12,35.33000183105469
2014-02-27,33.47999954223633
2015-01-09,34.43000030517578
2015-06-16,34.349998474121094
2016-04-27,34.439998626708984
2017-03-09,34.029998779296875
2017-08-14,32.29999923706055
2018-01-19,32.5099983215332
2010-07-01,35.2599983215332
2009-02-04,33.529998779296875
2008-09-29,32.709999084472656
2009-06-12,34.09000015258789
2010-02-23,32.63999938964844
2012-12-13,33.11000061035156
2012-08-07,31.639999389648438
2011-11-25,32.88999938964844
2011-07-20,32.790000915527344
2013-07-11,32.220001220703125
2018-06-26,32.93000030517578
2019-05-08,33.470001220703125
2014-05-23,33.0099983215332
