Dates,EGP
2008-06-20,45.15999984741211
2008-06-23,44.650001525878906
2008-06-25,44.119998931884766
2008-06-24,44.849998474121094
2008-06-26,43.7599983215332
2008-06-27,43.52000045776367
2008-06-30,43.310001373291016
2008-07-01,43.16999816894531
2008-07-02,43.25
2008-07-03,42.540000915527344
2008-09-22,41.95000076293945
2009-04-02,44.540000915527344
2008-11-25,44.34000015258789
2011-09-15,43.810001373291016
2011-05-10,43.90999984741211
2010-08-27,44.25
2018-02-01,43.959999084472656
2018-07-09,45.11000061035156
2018-12-14,45.72999954223633
2019-05-21,45.470001220703125
2019-07-15,44.97999954223633
2020-04-01,46.54999923706055
2014-11-10,47.70000076293945
2015-04-17,47.189998626708984
2015-09-22,47.5
2016-08-03,47.38999938964844
2017-06-15,47.43000030517578
2017-11-20,48.06999969482422
2018-04-27,46.470001220703125
2018-10-02,47.75
2008-10-07,47.9900016784668
2009-02-12,47.97999954223633
2011-07-28,47.88999938964844
2011-03-22,47.459999084472656
2010-07-09,47.95000076293945
2010-03-03,48.900001525878906
2012-12-21,48.4900016784668
2009-10-26,47.0099983215332
2012-08-15,47.34000015258789
2013-09-03,47.77000045776367
2014-03-24,46.9900016784668
2014-08-29,46.20000076293945
2019-08-14,45.40999984741211
2020-06-25,43.689998626708984
2015-02-03,43.97999954223633
2020-06-16,43.779998779296875
2015-12-16,43.08000183105469
2016-10-27,43.790000915527344
2017-04-03,45.16999816894531
2017-09-08,44.900001525878906
2018-02-13,46.13999938964844
2018-12-26,46.81999969482422
2014-01-10,46.81999969482422
2019-11-07,46.900001525878906
2020-04-13,48.150001525878906
2008-08-19,48.34000015258789
2011-06-09,47.16999816894531
2011-02-01,47.369998931884766
2010-05-21,47.959999084472656
2010-01-13,48.02000045776367
2012-11-02,47.59000015258789
2013-07-16,46.900001525878906
2013-11-21,47.400001525878906
2014-08-04,50.0
2014-12-10,49.31999969482422
2015-04-29,48.099998474121094
2016-03-10,47.790000915527344
2016-08-15,48.56999969482422
2017-01-20,49.0
2017-06-27,48.09000015258789
2018-05-09,48.630001068115234
2019-03-21,48.529998779296875
2013-10-29,47.650001525878906
2019-08-26,46.959999084472656
2020-01-31,43.79999923706055
2014-09-10,43.47999954223633
2015-07-23,41.310001373291016
2015-12-28,40.959999084472656
2008-11-06,40.369998931884766
2009-07-20,42.20000076293945
2012-05-09,41.599998474121094
2011-04-21,37.47999954223633
2010-12-14,36.810001373291016
2013-05-28,36.900001525878906
2013-10-03,36.529998779296875
2014-06-16,35.72999954223633
2014-10-22,33.959999084472656
2015-02-27,32.130001068115234
2016-06-03,29.170000076293945
2016-11-08,28.81999969482422
2017-09-20,28.3799991607666
2018-08-02,29.34000015258789
2019-01-07,30.200000762939453
2019-06-14,33.939998626708984
2014-01-22,35.0
2019-11-19,34.779998779296875
2014-12-04,34.709999084472656
2015-05-11,34.16999816894531
2015-10-16,34.7599983215332
2016-03-22,35.119998931884766
2017-02-01,34.900001525878906
2010-02-12,34.18000030517578
2009-06-01,34.130001068115234
2008-09-18,33.849998474121094
2009-10-07,31.93000030517578
2012-07-27,30.540000915527344
2012-03-21,29.809999465942383
2011-11-14,27.149999618530273
2011-03-03,25.8799991607666
2010-10-26,28.889999389648438
2013-04-09,30.010000228881836
2017-12-14,31.530000686645508
2018-05-21,32.36000061035156
2018-10-26,31.299999237060547
2019-04-02,28.520000457763672
2020-02-12,29.899999618530273
2014-09-22,30.440000534057617
2015-08-04,30.059999465942383
2016-06-15,32.65999984741211
2017-04-27,32.90999984741211
2017-10-02,33.9900016784668
2018-03-09,33.45000076293945
2018-08-14,31.540000915527344
2009-08-19,31.610000610351562
2009-04-13,34.75
2008-07-31,34.40999984741211
2012-06-08,34.97999954223633
2012-02-01,36.83000183105469
2011-09-26,37.349998474121094
2011-01-13,36.720001220703125
2010-09-07,35.90999984741211
2013-06-27,35.16999816894531
2013-08-29,34.869998931884766
2014-02-03,35.099998474121094
2019-06-26,36.2599983215332
2014-07-11,36.20000076293945
2020-05-07,34.619998931884766
2014-12-16,35.09000015258789
2015-10-28,35.41999816894531
2016-09-08,35.349998474121094
2017-02-13,35.0
2017-07-21,33.4900016784668
2017-12-26,31.8799991607666
2018-11-07,31.84000015258789
2013-06-17,33.060001373291016
2013-11-22,34.59000015258789
2019-09-19,33.75
2014-04-29,32.099998474121094
2009-02-23,31.979999542236328
2009-07-01,32.099998474121094
2009-11-06,32.279998779296875
2012-04-20,32.27000045776367
2011-12-14,33.84000015258789
2011-08-08,33.47999954223633
2013-05-09,31.520000457763672
2014-05-28,31.219999313354492
2014-10-03,31.239999771118164
2015-03-11,31.780000686645508
2020-02-24,30.850000381469727
