Dates,DISCA
2018-06-20,27.600000381469727
2018-06-21,28.290000915527344
2018-06-25,28.190000534057617
2018-06-22,27.979999542236328
2018-06-26,28.040000915527344
2018-06-27,28.100000381469727
2018-06-28,28.18000030517578
2018-06-29,28.559999465942383
2018-07-02,27.479999542236328
2018-07-03,27.600000381469727
2018-07-05,27.43000030517578
2018-07-16,27.610000610351562
2018-09-18,27.899999618530273
2019-01-24,28.209999084472656
2019-09-05,28.229999542236328
2018-11-21,27.770000457763672
2020-01-13,27.5
2020-04-01,27.510000228881836
2020-06-19,27.139999389648438
2019-10-29,26.440000534057617
2020-01-16,27.100000381469727
2020-06-22,26.600000381469727
2018-10-03,26.459999084472656
2018-07-31,26.920000076293945
2019-03-12,26.1200008392334
2019-02-08,26.0
2019-01-07,26.25
2018-12-06,26.030000686645508
2019-08-19,26.299999237060547
2019-07-18,26.389999389648438
2019-05-15,26.1299991607666
2019-09-20,26.3700008392334
2019-11-01,27.020000457763672
2020-04-07,26.09000015258789
2020-06-25,25.3799991607666
2020-06-16,25.780000686645508
2019-11-04,26.0
2020-01-22,26.010000228881836
2019-11-07,26.0
2020-04-13,26.299999237060547
2019-07-01,26.149999618530273
2019-05-30,26.43000030517578
2018-08-15,26.889999389648438
2018-10-18,28.59000015258789
2019-03-27,29.450000762939453
2019-01-22,29.059999465942383
2018-12-21,28.90999984741211
2019-09-03,28.540000915527344
2018-11-19,28.739999771118164
2019-08-02,28.3700008392334
2020-01-28,28.100000381469727
2020-04-16,27.889999389648438
2019-11-13,27.600000381469727
2020-01-31,27.540000915527344
2018-12-04,27.6299991607666
2018-11-02,27.520000457763672
2019-07-16,28.049999237060547
2018-08-30,28.290000915527344
2018-10-01,28.8700008392334
2019-06-14,30.889999389648438
2019-05-13,31.84000015258789
2019-04-11,32.25
2019-02-06,31.170000076293945
2019-09-18,31.760000228881836
2020-02-03,32.279998779296875
2020-04-22,32.41999816894531
2019-11-19,31.940000534057617
2020-02-06,31.8700008392334
2019-11-22,31.469999313354492
2019-03-25,31.6200008392334
2019-02-21,31.799999237060547
2018-12-19,32.15999984741211
2018-07-12,32.529998779296875
2018-09-14,33.16999816894531
2018-08-13,33.220001220703125
2018-10-16,33.04999923706055
2019-07-31,32.9900016784668
2019-05-28,33.02000045776367
2019-04-26,33.310001373291016
2020-04-28,31.940000534057617
2019-11-25,31.459999084472656
2020-02-12,31.780000686645508
2020-05-01,32.56999969482422
2020-05-04,33.150001525878906
2019-06-12,33.02000045776367
2019-04-09,33.34000015258789
2019-03-08,33.470001220703125
2019-02-04,33.029998779296875
2018-07-27,32.79999923706055
2018-08-28,30.40999984741211
2019-01-03,30.170000076293945
2019-08-15,30.780000686645508
2018-10-31,30.40999984741211
2019-09-16,31.649999618530273
2020-02-18,32.40999984741211
2020-05-07,33.130001068115234
2018-08-17,32.61000061035156
2019-12-04,33.2400016784668
2020-02-21,33.47999954223633
2018-12-17,33.689998626708984
2019-08-30,33.16999816894531
2018-11-15,33.150001525878906
2019-07-29,32.540000915527344
2019-06-27,32.380001068115234
2019-04-24,31.6299991607666
2018-07-10,31.5
2018-09-12,31.270000457763672
2019-02-19,30.079999923706055
2019-01-18,29.899999618530273
2020-02-24,30.34000015258789
2020-05-13,30.670000076293945
2019-12-10,30.059999465942383
2020-02-27,30.280000686645508
2019-12-13,31.229999542236328
2020-05-19,31.68000030517578
2019-03-06,30.59000015258789
2018-11-30,28.56999969482422
2019-08-13,27.610000610351562
2019-07-12,29.110000610351562
2019-06-10,28.8700008392334
2019-05-09,28.729999542236328
2018-07-25,28.420000076293945
2018-09-27,28.309999465942383
2018-10-29,27.780000686645508
2019-10-16,27.809999465942383
2019-12-16,27.6299991607666
2020-03-04,27.010000228881836
2020-05-22,26.700000762939453
2019-10-01,25.780000686645508
2019-12-19,24.809999465942383
2018-09-10,24.600000381469727
2019-05-24,25.0
2018-08-09,24.850000381469727
2019-04-22,24.920000076293945
2019-03-21,24.3700008392334
2019-01-16,25.469999313354492
2019-08-28,25.969999313354492
2018-11-13,26.09000015258789
2018-10-12,26.739999771118164
2019-06-25,27.3799991607666
2020-03-10,27.100000381469727
2020-05-28,26.6299991607666
2019-10-07,26.889999389648438
2020-03-13,27.110000610351562
2019-10-10,27.209999084472656
2020-03-16,27.049999237060547
2020-06-03,27.420000076293945
2018-11-28,27.600000381469727
2018-09-25,26.799999237060547
2018-07-23,26.65999984741211
2018-08-24,27.520000457763672
2019-07-10,27.399999618530273
2019-05-07,27.81999969482422
2019-04-05,27.0
2019-03-04,27.3799991607666
2019-01-31,28.5
2019-09-12,28.6200008392334
2019-12-31,28.3700008392334
2020-03-19,29.110000610351562
2020-01-03,28.979999542236328
2020-06-09,28.520000457763672
2019-02-15,29.350000381469727
2019-01-14,28.799999237060547
2018-07-06,28.100000381469727
2018-08-07,28.18000030517578
2018-10-10,29.09000015258789
2018-12-13,29.34000015258789
2019-08-26,29.020000457763672
2019-07-25,29.139999389648438
2019-05-22,29.010000228881836
2019-03-19,29.5
2020-01-06,28.110000610351562
2020-03-25,28.5
2020-06-12,28.6299991607666
2019-10-22,29.049999237060547
2020-01-09,29.110000610351562
2020-06-15,28.780000686645508
2019-10-25,29.290000915527344
2020-03-31,28.790000915527344
2020-06-18,28.280000686645508
2019-04-03,28.90999984741211
2018-08-22,28.489999771118164
2018-10-25,28.530000686645508
2019-01-29,27.100000381469727
2018-12-28,27.520000457763672
2018-11-26,27.299999237060547
2019-08-09,27.31999969482422
2019-07-08,27.06999969482422
2019-06-06,26.34000015258789
2019-09-10,26.559999465942383
2020-01-15,26.84000015258789
2020-04-03,27.209999084472656
2019-10-31,27.65999984741211
2020-04-06,27.600000381469727
2020-06-24,27.0
2018-11-09,27.469999313354492
2019-07-23,27.790000915527344
2019-06-21,27.579999923706055
2019-05-20,27.8700008392334
2019-04-18,29.0
2018-09-06,29.420000076293945
2018-10-08,28.889999389648438
2019-02-13,28.780000686645508
2018-12-11,30.780000686645508
2019-09-25,30.280000686645508
2020-01-21,29.950000762939453
2020-04-09,30.15999984741211
2019-11-06,30.100000381469727
2020-01-24,30.600000381469727
2020-01-27,30.1299991607666
2020-04-15,29.059999465942383
2018-12-26,28.850000381469727
2019-08-07,30.299999237060547
2019-06-04,30.399999618530273
2018-09-21,31.540000915527344
2018-07-19,31.649999618530273
2018-08-20,30.899999618530273
2018-10-23,31.729999542236328
2019-05-03,29.450000762939453
2019-04-01,28.989999771118164
2019-02-28,28.8799991607666
2019-11-12,28.549999237060547
2020-01-30,28.799999237060547
2019-11-15,28.399999618530273
2020-04-21,28.049999237060547
2019-04-16,27.3799991607666
2019-03-15,27.700000762939453
2019-02-11,27.93000030517578
2019-01-10,27.65999984741211
2019-08-22,27.649999618530273
2018-11-07,27.43000030517578
2018-08-03,27.940000534057617
2018-09-04,27.18000030517578
2019-06-19,27.420000076293945
2019-09-23,27.290000915527344
2019-11-18,27.739999771118164
2020-02-05,27.440000534057617
2020-04-24,27.170000076293945
2019-03-29,27.25
2019-11-21,27.559999465942383
2020-04-27,28.489999771118164
2020-02-11,28.06999969482422
2020-04-30,28.5
2019-05-01,28.520000457763672
2019-02-26,28.450000762939453
2019-01-25,29.0
2018-12-24,29.420000076293945
2019-09-06,29.350000381469727
2018-07-17,29.110000610351562
2018-09-19,29.649999618530273
2019-08-05,29.81999969482422
2019-10-08,30.6299991607666
2019-12-11,30.8799991607666
2019-11-27,30.6299991607666
2020-02-14,31.1200008392334
2020-05-06,30.020000457763672
2019-01-08,29.59000015258789
2018-12-07,29.979999542236328
2019-08-20,31.059999465942383
2018-11-05,30.729999542236328
2019-07-19,31.020000457763672
2018-10-04,30.709999084472656
2019-06-17,31.25
2019-05-16,31.149999618530273
2018-08-01,31.8700008392334
2019-03-13,31.799999237060547
2019-12-03,31.719999313354492
2020-02-20,32.529998779296875
2019-12-06,32.439998626708984
2020-05-12,32.52000045776367
2019-12-09,31.799999237060547
2020-02-26,31.3799991607666
2020-05-15,31.459999084472656
2019-03-28,31.030000686645508
2018-09-17,30.709999084472656
2018-08-16,31.280000686645508
2018-10-19,31.540000915527344
2019-04-29,31.5
2019-01-23,30.8700008392334
2019-09-04,30.940000534057617
2018-11-20,30.280000686645508
2019-07-02,29.790000915527344
2019-05-31,28.829999923706055
2019-12-12,29.969999313354492
2020-05-18,29.34000015258789
2019-09-27,29.989999771118164
2020-03-03,29.489999771118164
2020-05-21,29.229999542236328
2019-05-14,29.1200008392334
2018-08-31,29.170000076293945
2018-07-30,27.56999969482422
2018-10-02,27.389999389648438
2019-04-12,28.260000228881836
2019-03-11,28.489999771118164
2019-02-07,27.940000534057617
2019-07-17,28.329999923706055
2019-09-19,27.889999389648438
2019-10-21,27.1299991607666
2019-12-18,27.489999771118164
2020-03-06,26.329999923706055
2019-10-03,27.190000534057617
2020-03-09,27.84000015258789
2020-05-27,27.31999969482422
2019-12-24,27.079999923706055
2020-03-12,27.329999923706055
2018-12-20,27.510000228881836
2019-08-01,27.31999969482422
2018-08-14,27.34000015258789
2018-07-13,28.3700008392334
2018-10-17,28.489999771118164
2019-05-29,28.200000762939453
2019-03-26,27.8799991607666
2019-02-22,27.799999237060547
2019-10-04,27.049999237060547
2019-11-05,27.229999542236328
2019-12-27,26.829999923706055
2020-06-02,26.190000534057617
2019-12-30,27.1200008392334
2020-03-18,26.360000610351562
2020-06-05,26.760000228881836
2019-07-15,26.520000457763672
2018-12-03,26.860000610351562
2019-06-13,26.6200008392334
2019-01-04,26.600000381469727
2018-08-29,26.3799991607666
2019-02-05,27.049999237060547
2018-11-01,27.010000228881836
2019-08-16,27.1299991607666
2019-04-10,26.950000762939453
2019-09-17,27.010000228881836
2019-10-15,27.649999618530273
2020-01-02,27.850000381469727
2020-06-08,27.829999923706055
2019-10-18,27.780000686645508
2020-03-24,28.010000228881836
2020-06-11,28.1299991607666
2020-01-08,27.84000015258789
2019-04-25,28.239999771118164
2019-07-30,28.030000686645508
2019-02-20,28.25
2018-07-11,27.600000381469727
2018-09-13,27.65999984741211
2018-10-15,27.799999237060547
2019-06-28,27.299999237060547
2018-12-18,26.899999618530273
2018-11-16,27.049999237060547
2019-10-02,27.510000228881836
2020-03-27,27.959999084472656
2020-01-10,28.049999237060547
2019-10-24,28.719999313354492
2020-03-30,30.979999542236328
2020-06-17,30.850000381469727
2020-01-14,30.829999923706055
2020-04-02,30.540000915527344
2019-01-02,29.739999771118164
2019-08-14,30.0
2018-10-30,30.280000686645508
2019-06-11,30.899999618530273
2019-05-10,31.600000381469727
2019-04-08,32.06999969482422
2018-08-27,32.16999816894531
2018-07-26,32.599998474121094
2018-09-28,32.209999084472656
2019-03-07,33.470001220703125
2019-10-30,33.150001525878906
2020-01-17,32.880001068115234
2020-06-23,32.34000015258789
2020-04-08,32.27000045776367
2020-06-26,32.47999954223633
2019-03-22,32.290000915527344
2019-01-17,31.979999542236328
2019-08-29,32.08000183105469
2018-11-14,32.20000076293945
2019-06-26,32.09000015258789
2018-09-11,32.52000045776367
2018-07-09,32.369998931884766
2018-08-10,32.189998626708984
2019-04-23,32.33000183105469
2019-09-30,32.459999084472656
2020-01-23,32.93000030517578
2019-11-08,32.88999938964844
2020-04-14,33.0
2019-11-11,33.119998931884766
2020-01-29,33.36000061035156
2020-04-17,33.16999816894531
2018-07-24,32.7400016784668
2018-09-26,32.81999969482422
2019-05-08,31.84000015258789
2019-03-05,31.829999923706055
2019-02-01,31.829999923706055
2018-12-31,32.0099983215332
2018-11-29,32.20000076293945
2019-08-12,32.290000915527344
2019-07-11,31.75
2019-09-13,31.780000686645508
2019-11-14,31.729999542236328
2020-04-20,32.31999969482422
2020-02-04,32.790000915527344
2020-04-23,32.31999969482422
2018-12-14,32.16999816894531
2019-08-27,31.93000030517578
2018-08-08,30.420000076293945
2018-10-11,30.0
2018-11-12,30.350000381469727
2019-07-26,30.420000076293945
2019-06-24,29.549999237060547
2019-05-23,29.809999465942383
2019-03-20,29.40999984741211
2019-01-15,29.440000534057617
2019-11-20,30.110000610351562
2020-02-07,30.809999465942383
2020-02-10,29.899999618530273
2020-04-29,29.65999984741211
2019-11-26,30.0
2020-02-13,30.579999923706055
2019-01-30,30.239999771118164
2018-08-23,30.420000076293945
2018-09-24,30.149999618530273
2018-11-27,30.299999237060547
2018-10-26,29.81999969482422
2019-07-09,29.809999465942383
2019-06-07,28.510000228881836
2019-05-06,28.34000015258789
2019-04-04,27.6299991607666
2019-09-11,25.389999389648438
2019-11-29,24.139999389648438
2020-05-05,25.889999389648438
2019-12-02,26.170000076293945
2020-02-19,26.479999542236328
2020-05-08,25.739999771118164
2019-05-21,24.34000015258789
2019-03-18,23.940000534057617
2018-09-07,24.479999542236328
2018-08-06,24.40999984741211
2018-10-09,22.610000610351562
2019-02-14,23.360000610351562
2018-12-12,19.8700008392334
2019-07-24,21.15999984741211
2019-09-26,20.110000610351562
