Dates,TAP
2018-06-20,2246500.0
2018-06-21,2457400.0
2018-06-25,4008000.0
2018-06-22,3292800.0
2018-06-26,2769700.0
2018-06-27,2640500.0
2018-06-28,3485400.0
2018-06-29,3296500.0
2018-07-02,2108000.0
2018-07-03,1911600.0
2018-07-05,2929100.0
2018-07-16,1387000.0
2018-09-18,2436300.0
2019-01-24,2572500.0
2019-09-05,2265200.0
2018-11-21,2853800.0
2020-01-13,1470700.0
2020-04-01,2402900.0
2020-06-19,2665700.0
2019-10-29,2161200.0
2020-01-16,1963000.0
2020-06-22,1916700.0
2018-10-03,2608200.0
2018-07-31,3596000.0
2019-03-12,2559400.0
2019-02-08,1752400.0
2019-01-07,2426800.0
2018-12-06,2818800.0
2019-08-19,3010400.0
2019-07-18,2497600.0
2019-05-15,2207100.0
2019-09-20,2009000.0
2019-11-01,1654400.0
2020-04-07,3246800.0
2020-06-25,2117000.0
2020-06-16,2253300.0
2019-11-04,1844000.0
2020-01-22,4295200.0
2019-11-07,2889100.0
2020-04-13,3549500.0
2019-07-01,7179600.0
2019-05-30,2653100.0
2018-08-15,2479200.0
2018-10-18,2749700.0
2019-03-27,1708200.0
2019-01-22,1887700.0
2018-12-21,1449100.0
2019-09-03,1443700.0
2018-11-19,1813700.0
2019-08-02,1419900.0
2020-01-28,2017900.0
2020-04-16,3354500.0
2019-11-13,2595700.0
2020-01-31,4344400.0
2018-12-04,2955000.0
2018-11-02,2573100.0
2019-07-16,2255800.0
2018-08-30,2471600.0
2018-10-01,2336500.0
2019-06-14,1739400.0
2019-05-13,2273900.0
2019-04-11,2288200.0
2019-02-06,1806300.0
2019-09-18,1509600.0
2020-02-03,2298800.0
2020-04-22,4939500.0
2019-11-19,2391500.0
2020-02-06,1528000.0
2019-11-22,1549300.0
2019-03-25,1390000.0
2019-02-21,1678500.0
2018-12-19,1830100.0
2018-07-12,1504700.0
2018-09-14,1890500.0
2018-08-13,2003300.0
2018-10-16,2076300.0
2019-07-31,2648900.0
2019-05-28,2584500.0
2019-04-26,3760300.0
2020-04-28,3649600.0
2019-11-25,2642200.0
2020-02-12,1594400.0
2020-05-01,2501300.0
2020-05-04,2400600.0
2019-06-12,2140200.0
2019-04-09,2295700.0
2019-03-08,2716500.0
2019-02-04,4544800.0
2018-07-27,3907000.0
2018-08-28,3245800.0
2019-01-03,4293100.0
2019-08-15,3648800.0
2018-10-31,3257500.0
2019-09-16,3321100.0
2020-02-18,2678300.0
2020-05-07,2657200.0
2018-08-17,1641000.0
2019-12-04,1769000.0
2020-02-21,1807700.0
2018-12-17,2487900.0
2019-08-30,2957900.0
2018-11-15,3382400.0
2019-07-29,2481900.0
2019-06-27,3735700.0
2019-04-24,12103700.0
2018-07-10,6422400.0
2018-09-12,4768700.0
2019-02-19,4246800.0
2019-01-18,3561200.0
2020-02-24,1598900.0
2020-05-13,3330400.0
2019-12-10,1963200.0
2020-02-27,2798000.0
2019-12-13,3015300.0
2020-05-19,4095100.0
2019-03-06,4960700.0
2018-11-30,4229800.0
2019-08-13,2863300.0
2019-07-12,3177700.0
2019-06-10,3772400.0
2019-05-09,4417100.0
2018-07-25,3020200.0
2018-09-27,3875000.0
2018-10-29,3838000.0
2019-10-16,4645700.0
2019-12-16,5293700.0
2020-03-04,3831400.0
2020-05-22,5000600.0
2019-10-01,10332100.0
2019-12-19,1438700.0
2018-09-10,3929300.0
2019-05-24,3149800.0
2018-08-09,2268300.0
2019-04-22,2612100.0
2019-03-21,2339000.0
2019-01-16,3081400.0
2019-08-28,2153200.0
2018-11-13,2224800.0
2018-10-12,2969400.0
2019-06-25,1725300.0
2020-03-10,2714000.0
2020-05-28,2684900.0
2019-10-07,1890200.0
2020-03-13,1646700.0
2019-10-10,3469100.0
2020-03-16,2758300.0
2020-06-03,1664700.0
2018-11-28,1525600.0
2018-09-25,2219000.0
2018-07-23,2933200.0
2018-08-24,2699400.0
2019-07-10,1510600.0
2019-05-07,2006700.0
2019-04-05,1611100.0
2019-03-04,2867400.0
2019-01-31,3795400.0
2019-09-12,2118800.0
2019-12-31,2519600.0
2020-03-19,1523200.0
2020-01-03,2066300.0
2020-06-09,4685800.0
2019-02-15,6766700.0
2019-01-14,3456800.0
2018-07-06,4505800.0
2018-08-07,10072000.0
2018-10-10,3104000.0
2018-12-13,3253900.0
2019-08-26,3043500.0
2019-07-25,3055100.0
2019-05-22,2757400.0
2019-03-19,2407400.0
2020-01-06,2481400.0
2020-03-25,2329600.0
2020-06-12,2706000.0
2019-10-22,3123600.0
2020-01-09,3514000.0
2020-06-15,2173900.0
2019-10-25,2663600.0
2020-03-31,2334700.0
2020-06-18,2011200.0
2019-04-03,2186100.0
2018-08-22,2379900.0
2018-10-25,3108600.0
2019-01-29,1704400.0
2018-12-28,6191400.0
2018-11-26,3996700.0
2019-08-09,1843700.0
2019-07-08,3357400.0
2019-06-06,2889300.0
2019-09-10,2347700.0
2020-01-15,1652400.0
2020-04-03,1684100.0
2019-10-31,2852800.0
2020-04-06,1880600.0
2020-06-24,2643500.0
2018-11-09,1966800.0
2019-07-23,2232300.0
2019-06-21,4120000.0
2019-05-20,2318600.0
2019-04-18,1717300.0
2018-09-06,1797100.0
2018-10-08,1926700.0
2019-02-13,2650900.0
2018-12-11,2785800.0
2019-09-25,2557500.0
2020-01-21,2080100.0
2020-04-09,2432400.0
2019-11-06,1673700.0
2020-01-24,1557400.0
2020-01-27,1707600.0
2020-04-15,2465600.0
2018-12-26,4488800.0
2019-08-07,4211500.0
2019-06-04,2724900.0
2018-09-21,2099200.0
2018-07-19,2157100.0
2018-08-20,1648400.0
2018-10-23,1762500.0
2019-05-03,1487000.0
2019-04-01,1927400.0
2019-02-28,2447100.0
2019-11-12,1854800.0
2020-01-30,2302700.0
2019-11-15,2377700.0
2020-04-21,2231900.0
2019-04-16,2055700.0
2019-03-15,2485400.0
2019-02-11,2373100.0
2019-01-10,1912900.0
2019-08-22,2978300.0
2018-11-07,2398400.0
2018-08-03,6253700.0
2018-09-04,13771000.0
2019-06-19,2680600.0
2019-09-23,3128500.0
2019-11-18,2248000.0
2020-02-05,1614300.0
2020-04-24,4084900.0
2019-03-29,4325000.0
2019-11-21,2663400.0
2020-04-27,2104600.0
2020-02-11,2688400.0
2020-04-30,2479800.0
2019-05-01,1851200.0
2019-02-26,2864400.0
2019-01-25,1856500.0
2018-12-24,1991800.0
2019-09-06,1966500.0
2018-07-17,2786600.0
2018-09-19,2231700.0
2019-08-05,1711200.0
2019-10-08,1504400.0
2019-12-11,4932300.0
2019-11-27,1418900.0
2020-02-14,1584200.0
2020-05-06,1727000.0
2019-01-08,2183000.0
2018-12-07,2263600.0
2019-08-20,1557400.0
2018-11-05,2425100.0
2019-07-19,935700.0
2018-10-04,1174000.0
2019-06-17,3374700.0
2019-05-16,2293900.0
2018-08-01,2287500.0
2019-03-13,1972900.0
2019-12-03,1845700.0
2020-02-20,1338100.0
2019-12-06,2954100.0
2020-05-12,2469600.0
2019-12-09,2065200.0
2020-02-26,2168200.0
2020-05-15,1637700.0
2019-03-28,1349100.0
2018-09-17,1627100.0
2018-08-16,1400400.0
2018-10-19,1698700.0
2019-04-29,2470000.0
2019-01-23,1478200.0
2019-09-04,2144300.0
2018-11-20,3081800.0
2019-07-02,17339200.0
2019-05-31,4534900.0
2019-12-12,3229400.0
2020-05-18,3408700.0
2019-09-27,3666400.0
2020-03-03,2257600.0
2020-05-21,2099700.0
2019-05-14,2784000.0
2018-08-31,4401900.0
2018-07-30,5101900.0
2018-10-02,2892000.0
2019-04-12,2507400.0
2019-03-11,2136900.0
2019-02-07,1914200.0
2019-07-17,1852500.0
2019-09-19,2541700.0
2019-10-21,2377200.0
2019-12-18,2693100.0
2020-03-06,1970300.0
2019-10-03,1765900.0
2020-03-09,2747000.0
2020-05-27,2351600.0
2019-12-24,2853700.0
2020-03-12,3424200.0
2018-12-20,2983600.0
2019-08-01,3968600.0
2018-08-14,4172100.0
2018-07-13,3431000.0
2018-10-17,4103200.0
2019-05-29,3102600.0
2019-03-26,3256100.0
2019-02-22,3020900.0
2019-10-04,2537000.0
2019-11-05,2242100.0
2019-12-27,4678500.0
2020-06-02,1917400.0
2019-12-30,2942800.0
2020-03-18,1855200.0
2020-06-05,1686100.0
2019-07-15,1459800.0
2018-12-03,3207400.0
2019-06-13,2325000.0
2019-01-04,2517500.0
2018-08-29,2184000.0
2019-02-05,1774900.0
2018-11-01,1670000.0
2019-08-16,1887200.0
2019-04-10,1401800.0
2019-09-17,3954800.0
2019-10-15,2056800.0
2020-01-02,1762900.0
2020-06-08,1735900.0
2019-10-18,1327600.0
2020-03-24,1582400.0
2020-06-11,1759400.0
2020-01-08,2665100.0
2019-04-25,1508300.0
2019-07-30,1689200.0
2019-02-20,1560100.0
2018-07-11,1437300.0
2018-09-13,2229800.0
2018-10-15,1645600.0
2019-06-28,1558800.0
2018-12-18,1983400.0
2018-11-16,2217000.0
2019-10-02,2201300.0
2020-03-27,2665900.0
2020-01-10,2771300.0
2019-10-24,1742100.0
2020-03-30,1597700.0
2020-06-17,1978100.0
2020-01-14,1997000.0
2020-04-02,4392100.0
2019-01-02,7650100.0
2019-08-14,2456800.0
2018-10-30,2389800.0
2019-06-11,2972800.0
2019-05-10,2471300.0
2019-04-08,2246900.0
2018-08-27,2502200.0
2018-07-26,2196200.0
2018-09-28,4633600.0
2019-03-07,1654900.0
2019-10-30,838700.0
2020-01-17,1802800.0
2020-06-23,2071900.0
2020-04-08,1625300.0
2020-06-26,1478000.0
2019-03-22,1937700.0
2019-01-17,1795300.0
2019-08-29,1250100.0
2018-11-14,1272800.0
2019-06-26,2440000.0
2018-09-11,2444800.0
2018-07-09,2323300.0
2018-08-10,1459600.0
2019-04-23,1431800.0
2019-09-30,1957400.0
2020-01-23,5612700.0
2019-11-08,1693000.0
2020-04-14,541900.0
2019-11-11,1210500.0
2020-01-29,1130300.0
2020-04-17,1548000.0
2018-07-24,1727100.0
2018-09-26,1670000.0
2019-05-08,1429800.0
2019-03-05,1005400.0
2019-02-01,1575000.0
2018-12-31,1801500.0
2018-11-29,2009200.0
2019-08-12,1794500.0
2019-07-11,1627400.0
2019-09-13,1433300.0
2019-11-14,1470100.0
2020-04-20,2221600.0
2020-02-04,4240500.0
2020-04-23,2623100.0
2018-12-14,2119700.0
2019-08-27,2171100.0
2018-08-08,1486600.0
2018-10-11,2043200.0
2018-11-12,3157600.0
2019-07-26,2950100.0
2019-06-24,2411300.0
2019-05-23,2271200.0
2019-03-20,1764300.0
2019-01-15,1901000.0
2019-11-20,2237000.0
2020-02-07,1166900.0
2020-02-10,1252500.0
2020-04-29,1551400.0
2019-11-26,2268900.0
2020-02-13,4480500.0
2019-01-30,10365600.0
2018-08-23,3217300.0
2018-09-24,2635300.0
2018-11-27,1936000.0
2018-10-26,2462700.0
2019-07-09,3233200.0
2019-06-07,2601600.0
2019-05-06,2715800.0
2019-04-04,2239200.0
2019-09-11,3494600.0
2019-11-29,5531100.0
2020-05-05,3145600.0
2019-12-02,2557800.0
2020-02-19,2766000.0
2020-05-08,2353600.0
2019-05-21,4223800.0
2019-03-18,2770100.0
2018-09-07,3980900.0
2018-08-06,2799100.0
2018-10-09,3012000.0
2019-02-14,3833300.0
2018-12-12,4034800.0
2019-07-24,4520400.0
2019-09-26,3151900.0
2019-10-28,3054400.0
2019-12-05,3433200.0
2020-05-11,3639800.0
2019-07-03,5841800.0
2020-02-25,2901700.0
2020-05-14,2875400.0
2020-02-28,2146200.0
2019-08-08,2157900.0
2019-06-05,3882100.0
2018-07-20,2105500.0
2018-08-21,1638400.0
2018-10-24,2004900.0
2019-04-02,2604400.0
2019-03-01,1726900.0
2019-01-28,1450700.0
2018-12-27,2471900.0
2019-09-09,1214400.0
2020-03-02,2131300.0
2020-05-20,1628400.0
2019-12-17,1194300.0
2020-03-05,1293900.0
2019-02-12,1617500.0
2019-01-11,1301500.0
2018-12-10,2753700.0
2019-08-23,4252500.0
2018-11-08,2355600.0
2019-07-22,2361900.0
2019-06-20,2395000.0
2018-09-05,3852600.0
2019-04-17,1633800.0
2019-09-24,1700800.0
2019-12-20,2759200.0
2020-05-26,2124100.0
2019-04-30,1566300.0
2019-12-23,1571200.0
2020-03-11,1553000.0
2020-05-29,1770100.0
2019-12-26,1880100.0
2020-06-01,2011200.0
2019-05-02,1874700.0
2019-02-27,1539100.0
2018-11-23,1954400.0
2019-08-06,1318600.0
2018-07-18,1279200.0
2018-09-20,1410800.0
2018-10-22,1626600.0
2019-07-05,2733200.0
2019-06-03,3107400.0
2019-10-09,3456900.0
2019-10-11,3149200.0
2020-03-17,2648200.0
2020-06-04,3313400.0
2019-10-14,2787700.0
