Dates,TAP
2018-06-20,72.8714828491211
2018-06-21,72.4892349243164
2018-06-25,71.752685546875
2018-06-22,71.73403930664062
2018-06-26,72.65705108642578
2018-06-27,71.17462921142578
2018-06-28,72.0790023803711
2018-06-29,73.21646118164062
2018-07-02,73.82246398925781
2018-07-03,72.06035614013672
2018-07-05,72.89445495605469
2018-07-16,73.82225799560547
2018-09-18,74.4033203125
2019-01-24,74.26274108886719
2019-09-05,74.59075927734375
2018-11-21,76.70880126953125
2020-01-13,77.50541687011719
2020-04-01,76.70880126953125
2020-06-19,77.25236511230469
2019-10-29,77.06494140625
2020-01-16,77.14928436279297
2020-06-22,76.85874938964844
2018-10-03,76.27769470214844
2018-07-31,73.6629409790039
2019-03-12,76.3058090209961
2019-02-08,76.1839828491211
2019-01-07,74.45954895019531
2018-12-06,72.43521881103516
2019-08-19,72.65077209472656
2019-07-18,73.61609649658203
2019-05-15,75.49983215332031
2019-09-20,76.54947662353516
2019-11-01,76.77440643310547
2020-04-07,76.84001159667969
2020-06-25,77.75845336914062
2020-06-16,77.4023208618164
2019-11-04,76.80252075195312
2020-01-22,75.27490234375
2019-11-07,77.5616455078125
2020-04-13,77.28985595703125
2019-07-01,74.51579284667969
2019-05-30,76.06214904785156
2018-08-15,77.19613647460938
2018-10-18,76.75567626953125
2019-03-27,77.52415466308594
2019-01-22,77.9365234375
2018-12-21,78.94868469238281
2019-09-03,79.63282775878906
2018-11-19,80.54190826416016
2019-08-02,80.83242797851562
2020-01-28,81.36662292480469
2020-04-16,81.35725402832031
2019-11-13,82.39752960205078
2020-01-31,78.08647155761719
2018-12-04,78.17082214355469
2018-11-02,77.88966369628906
2019-07-16,78.31139373779297
2018-08-30,79.7734146118164
2018-10-01,79.8390121459961
2019-06-14,80.1295394897461
2019-05-13,80.38258361816406
2019-04-11,78.19892883300781
2019-02-06,79.95146179199219
2019-09-18,78.71438598632812
2020-02-03,79.99832916259766
2020-04-22,81.39474487304688
2019-11-19,80.9729995727539
2020-02-06,80.77619934082031
2019-11-22,80.70122528076172
2019-03-25,80.2701187133789
2019-02-21,80.49504089355469
2018-12-19,80.73870849609375
2018-07-12,80.28886413574219
2018-09-14,80.38258361816406
2018-08-13,79.00787353515625
2018-10-16,77.51075744628906
2019-07-31,75.41104888916016
2019-05-28,75.07208251953125
2019-04-26,71.22102355957031
2020-04-28,69.63917541503906
2019-11-25,72.4262466430664
2020-02-12,70.92913055419922
2020-05-01,73.3678207397461
2020-05-04,74.45063781738281
2019-06-12,73.48080444335938
2019-04-09,73.03826141357422
2019-03-08,75.62760925292969
2019-02-04,72.86878204345703
2018-07-27,69.8651351928711
2018-08-28,71.78596496582031
