Dates,NTAP
2018-06-20,77.86000061035156
2018-06-21,77.69000244140625
2018-06-25,76.83999633789062
2018-06-22,75.33999633789062
2018-06-26,77.08000183105469
2018-06-27,76.11000061035156
2018-06-28,76.20999908447266
2018-06-29,77.73999786376953
2018-07-02,77.55999755859375
2018-07-03,77.2699966430664
2018-07-05,76.61000061035156
2018-07-16,77.33000183105469
2018-09-18,78.33999633789062
2019-01-24,78.44999694824219
2019-09-05,78.75
2018-11-21,80.0
2020-01-13,81.6500015258789
2020-04-01,81.5
2020-06-19,81.25
2019-10-29,81.38999938964844
2020-01-16,81.9800033569336
2020-06-22,81.58999633789062
2018-10-03,81.11000061035156
2018-07-31,78.52999877929688
2019-03-12,78.36000061035156
2019-02-08,80.08999633789062
2019-01-07,78.5199966430664
2018-12-06,77.26000213623047
2019-08-19,76.5199966430664
2019-07-18,77.30999755859375
2019-05-15,78.0
2019-09-20,80.23999786376953
2019-11-01,80.93000030517578
2020-04-07,81.83999633789062
2020-06-25,81.63999938964844
2020-06-16,82.12000274658203
2019-11-04,81.79000091552734
2020-01-22,80.19999694824219
2019-11-07,80.62999725341797
2020-04-13,81.19000244140625
2019-07-01,78.4000015258789
2019-05-30,78.93000030517578
2018-08-15,81.16999816894531
2018-10-18,81.2699966430664
2019-03-27,81.3499984741211
2019-01-22,82.36000061035156
2018-12-21,83.37999725341797
2019-09-03,84.61000061035156
2018-11-19,84.5
2019-08-02,85.91000366210938
2020-01-28,85.98999786376953
2020-04-16,86.5
2019-11-13,86.16000366210938
2020-01-31,83.1500015258789
2018-12-04,83.20999908447266
2018-11-02,81.58000183105469
2019-07-16,82.44000244140625
2018-08-30,83.25
2018-10-01,83.55999755859375
2019-06-14,85.31999969482422
2019-05-13,84.79000091552734
2019-04-11,83.33999633789062
2019-02-06,83.38999938964844
2019-09-18,83.52999877929688
2020-02-03,83.61000061035156
2020-04-22,85.55000305175781
2019-11-19,86.06999969482422
2020-02-06,85.98999786376953
2019-11-22,85.55999755859375
2019-03-25,85.47000122070312
2019-02-21,84.16999816894531
2018-12-19,85.95999908447266
2018-07-12,85.30999755859375
2018-09-14,84.66999816894531
2018-08-13,83.41999816894531
2018-10-16,81.68000030517578
2019-07-31,79.0999984741211
2019-05-28,79.2699966430664
2019-04-26,75.36000061035156
2020-04-28,73.63999938964844
2019-11-25,75.41999816894531
2020-02-12,75.30000305175781
2020-05-01,75.56999969482422
2020-05-04,77.2699966430664
2019-06-12,77.19000244140625
2019-04-09,76.93000030517578
2019-03-08,77.62000274658203
2019-02-04,74.94999694824219
2018-07-27,74.05000305175781
2018-08-28,74.58999633789062
2019-01-03,70.26000213623047
2019-08-15,70.61000061035156
2018-10-31,71.69000244140625
2019-09-16,77.19999694824219
2020-02-18,77.58000183105469
2020-05-07,78.1500015258789
2018-08-17,78.69000244140625
2019-12-04,79.5
2020-02-21,81.16000366210938
2018-12-17,82.41000366210938
2019-08-30,80.95999908447266
2018-11-15,78.26000213623047
2019-07-29,78.25
2019-06-27,77.7699966430664
2019-04-24,67.2699966430664
2018-07-10,67.7699966430664
2018-09-12,66.77999877929688
2019-02-19,64.77999877929688
2019-01-18,65.86000061035156
2020-02-24,65.33999633789062
2020-05-13,65.87999725341797
2019-12-10,66.44999694824219
2020-02-27,67.80999755859375
2019-12-13,67.31999969482422
2020-05-19,66.69999694824219
2019-03-06,67.6500015258789
2018-11-30,66.98999786376953
2019-08-13,66.0
2019-07-12,63.849998474121094
2019-06-10,63.77000045776367
2019-05-09,63.459999084472656
2018-07-25,64.6500015258789
2018-09-27,62.34000015258789
2018-10-29,61.38999938964844
2019-10-16,59.2599983215332
2019-12-16,60.040000915527344
2020-03-04,58.630001068115234
2020-05-22,56.95000076293945
2019-10-01,56.560001373291016
2019-12-19,54.81999969482422
2018-09-10,54.5
2019-05-24,56.810001373291016
2018-08-09,58.400001525878906
2019-04-22,58.75
2019-03-21,57.779998779296875
2019-01-16,57.2400016784668
2019-08-28,58.290000915527344
2018-11-13,58.90999984741211
2018-10-12,57.970001220703125
2019-06-25,58.970001220703125
2020-03-10,59.689998626708984
2020-05-28,60.52000045776367
2019-10-07,60.61000061035156
2020-03-13,61.18000030517578
2019-10-10,59.060001373291016
2020-03-16,61.560001373291016
2020-06-03,62.34000015258789
2018-11-28,61.040000915527344
2018-09-25,60.95000076293945
2018-07-23,60.97999954223633
2018-08-24,62.68000030517578
2019-07-10,62.119998931884766
2019-05-07,62.560001373291016
2019-04-05,62.439998626708984
2019-03-04,63.040000915527344
2019-01-31,63.93000030517578
2019-09-12,65.23999786376953
2019-12-31,66.81999969482422
2020-03-19,67.2699966430664
2020-01-03,66.25
2020-06-09,64.79000091552734
2019-02-15,65.37999725341797
2019-01-14,66.44999694824219
2018-07-06,67.20999908447266
2018-08-07,61.0
2018-10-10,63.439998626708984
2018-12-13,63.2599983215332
2019-08-26,64.2699966430664
2019-07-25,64.77999877929688
2019-05-22,65.56999969482422
2019-03-19,65.9000015258789
2020-01-06,65.54000091552734
2020-03-25,66.05000305175781
2020-06-12,65.16000366210938
2019-10-22,65.05000305175781
2020-01-09,63.880001068115234
