Dates,TROW
2018-06-20,125.4000015258789
2018-06-21,124.31999969482422
2018-06-25,124.37000274658203
2018-06-22,122.66999816894531
2018-06-26,120.54000091552734
2018-06-27,119.16000366210938
2018-06-28,116.23999786376953
2018-06-29,118.76000213623047
2018-07-02,116.80000305175781
2018-07-03,117.62000274658203
2018-07-05,117.2300033569336
2018-07-16,116.56999969482422
2018-09-18,118.04000091552734
2019-01-24,119.16000366210938
2019-09-05,119.16999816894531
2018-11-21,120.55000305175781
2020-01-13,119.94999694824219
2020-04-01,121.16999816894531
2020-06-19,121.19000244140625
2019-10-29,122.20999908447266
2020-01-16,122.1500015258789
2020-06-22,120.55999755859375
2018-10-03,121.55999755859375
2018-07-31,122.75
2019-03-12,125.3499984741211
2019-02-08,124.75
2019-01-07,122.30999755859375
2018-12-06,119.7699966430664
2019-08-19,119.72000122070312
2019-07-18,120.22000122070312
2019-05-15,118.45999908447266
2019-09-20,118.11000061035156
2019-11-01,118.79000091552734
2020-04-07,120.75
2020-06-25,120.16999816894531
2020-06-16,120.18000030517578
2019-11-04,118.02999877929688
2020-01-22,118.02999877929688
2019-11-07,117.77999877929688
2020-04-13,116.94000244140625
2019-07-01,117.12999725341797
2019-05-30,116.27999877929688
2018-08-15,116.11000061035156
2018-10-18,117.06999969482422
2019-03-27,116.44000244140625
2019-01-22,116.23999786376953
2018-12-21,115.9000015258789
2019-09-03,117.68000030517578
2018-11-19,116.9000015258789
2019-08-02,116.87000274658203
2020-01-28,116.37999725341797
2020-04-16,116.05000305175781
2019-11-13,116.12000274658203
2020-01-31,116.08000183105469
2018-12-04,114.94000244140625
2018-11-02,113.62999725341797
2019-07-16,109.9800033569336
2018-08-30,110.43000030517578
2018-10-01,110.91000366210938
2019-06-14,111.3499984741211
2019-05-13,110.75
2019-04-11,110.86000061035156
2019-02-06,109.51000213623047
2019-09-18,111.25
2020-02-03,112.08999633789062
2020-04-22,112.25
2019-11-19,112.18000030517578
2020-02-06,111.69999694824219
2019-11-22,110.9800033569336
2019-03-25,110.88999938964844
2019-02-21,110.23999786376953
2018-12-19,110.31999969482422
2018-07-12,111.4000015258789
2018-09-14,112.55000305175781
2018-08-13,112.30000305175781
2018-10-16,111.56999969482422
2019-07-31,109.9800033569336
2019-05-28,109.19999694824219
2019-04-26,107.94999694824219
2020-04-28,102.5199966430664
2019-11-25,101.7300033569336
2020-02-12,101.86000061035156
2020-05-01,102.23999786376953
2020-05-04,103.2699966430664
2019-06-12,102.97000122070312
2019-04-09,101.83999633789062
2019-03-08,101.37999725341797
