Dates,PBCT
2018-06-20,17.07573890686035
2018-06-21,17.139869689941406
2018-06-25,16.99329376220703
2018-06-22,16.929168701171875
2018-06-26,16.83755874633789
2018-06-27,16.571901321411133
2018-06-28,16.66350746154785
2018-06-29,16.571901321411133
2018-07-02,16.681827545166016
2018-07-03,16.61770248413086
2018-07-05,16.636022567749023
2018-07-16,16.681827545166016
2018-09-18,17.06658172607422
2019-01-24,16.901689529418945
2019-09-05,16.7642765045166
2018-11-21,16.67266845703125
2020-01-13,16.544416427612305
2020-04-01,16.736793518066406
2020-06-19,16.70931053161621
2019-10-29,16.80091667175293
2020-01-16,16.791757583618164
2020-06-22,16.7642765045166
2018-10-03,17.039098739624023
2018-07-31,16.883363723754883
2019-03-12,16.7642765045166
2019-02-08,16.910846710205078
2019-01-07,16.929168701171875
2018-12-06,16.81007957458496
2019-08-19,16.86094856262207
2019-07-18,17.064428329467773
2019-05-15,17.203161239624023
2019-09-20,17.147668838500977
2019-11-01,17.055179595947266
2020-04-07,17.045928955078125
2020-06-25,17.15691375732422
2020-06-16,17.110671997070312
2019-11-04,17.0181827545166
2020-01-22,16.870195388793945
2019-11-07,17.092172622680664
2020-04-13,16.981184005737305
2019-07-01,17.203161239624023
2019-05-30,17.31415367126465
2018-08-15,17.32339859008789
2018-10-18,17.443635940551758
2019-03-27,17.434385299682617
2019-01-22,17.33264923095703
2018-12-21,17.25865364074707
2019-09-03,17.34189796447754
2018-11-19,17.304903030395508
2019-08-02,17.26790428161621
2020-01-28,17.12917137145996
2020-04-16,17.11992073059082
2019-11-13,17.147668838500977
2020-01-31,17.240156173706055
2018-12-04,17.203161239624023
2018-11-02,17.1384220123291
2019-07-16,17.12917137145996
2018-08-30,17.027429580688477
2018-10-01,16.703716278076172
2019-06-14,16.463237762451172
2019-05-13,16.50023651123047
2019-04-11,16.435495376586914
2019-02-06,16.259763717651367
2019-09-18,16.426246643066406
2020-02-03,16.648223876953125
2020-04-22,16.59272575378418
2019-11-19,16.222768783569336
2020-02-06,16.250513076782227
2019-11-22,15.90830135345459
2019-03-25,15.769564628601074
2019-02-21,15.834309577941895
