Dates,GWW
2018-06-20,305.1858215332031
2018-06-21,301.57476806640625
2018-06-25,300.5347595214844
2018-06-22,294.2852478027344
2018-06-26,295.1230773925781
2018-06-27,294.0638122558594
2018-06-28,296.16302490234375
2018-06-29,296.9718933105469
2018-07-02,294.94970703125
2018-07-03,286.7262268066406
2018-07-05,286.8513488769531
2018-07-16,287.8528137207031
2018-09-18,294.2756652832031
2019-01-24,293.967529296875
2019-09-05,298.92669677734375
2018-11-21,297.7518615722656
2020-01-13,298.974853515625
2020-04-01,291.6949768066406
2020-06-19,293.65936279296875
2019-10-29,326.42828369140625
2020-01-16,328.79718017578125
2020-06-22,327.64166259765625
2018-10-03,329.9334716796875
2018-07-31,324.6565246582031
2019-03-12,330.4726867675781
2019-02-08,327.92095947265625
2019-01-07,326.7557067871094
2018-12-06,324.0016784667969
2019-08-19,333.7178649902344
2019-07-18,329.2979736328125
2019-05-15,328.37353515625
2019-09-20,326.43798828125
2019-11-01,332.0230712890625
2020-04-07,336.3274230957031
2020-06-25,339.4762268066406
2020-06-16,338.62884521484375
2019-11-04,339.59552001953125
2020-01-22,341.3935546875
2019-11-07,349.3590087890625
2020-04-13,345.9660339355469
2019-07-01,347.95733642578125
2019-05-30,345.81134033203125
2018-08-15,354.3277893066406
2018-10-18,356.850830078125
2019-03-27,355.35247802734375
2019-01-22,355.2655029296875
2018-12-21,352.98406982421875
2019-09-03,351.76605224609375
2018-11-19,348.7306823730469
2019-08-02,350.2193603515625
2020-01-28,342.6019287109375
2020-04-16,342.2732849121094
2019-11-13,344.0132751464844
2020-01-31,343.7715759277344
2018-12-04,341.37420654296875
2018-11-02,337.6524963378906
2019-07-16,340.4559020996094
2018-08-30,347.4063720703125
2018-10-01,342.2635498046875
2019-06-14,342.2442626953125
2019-05-13,343.7619323730469
2019-04-11,339.91455078125
2019-02-06,341.8865661621094
2019-09-18,339.59552001953125
2020-02-03,343.19158935546875
2020-04-22,344.2259216308594
2019-11-19,340.8232727050781
2020-02-06,343.1432189941406
2019-11-22,344.52557373046875
2019-03-25,343.4332275390625
2019-02-21,345.5019836425781
2018-12-19,344.1389465332031
2018-07-12,342.73724365234375
2018-09-14,346.0335998535156
2018-08-13,340.3979187011719
2018-10-16,339.3345031738281
2019-07-31,334.36578369140625
2019-05-28,324.2059326171875
2019-04-26,305.75201416015625
2020-04-28,298.70489501953125
2019-11-25,301.1602783203125
2020-02-12,307.4146728515625
2020-05-01,270.6807556152344
2020-05-04,270.0330505371094
2019-06-12,265.7700500488281
2019-04-09,267.07501220703125
2019-03-08,266.0697021484375
2019-02-04,264.861328125
2018-07-27,262.8119201660156
2018-08-28,262.1932678222656
2019-01-03,265.5476989746094
2019-08-15,266.36932373046875
2018-10-31,273.71612548828125
2019-09-16,274.5088195800781
2020-02-18,276.9738464355469
2020-05-07,279.60321044921875
2018-08-17,277.4958801269531
2019-12-04,277.99853515625
2020-02-21,286.1573486328125
2018-12-17,284.5646667480469
2019-08-30,285.2735900878906
2018-11-15,283.2633056640625
2019-07-29,287.4197998046875
2019-06-27,291.7122802734375
2019-04-24,297.27691650390625
2018-07-10,301.5985412597656
2018-09-12,296.29608154296875
2019-02-19,288.4103698730469
2019-01-18,293.78082275390625
2020-02-24,289.3523864746094
2020-05-13,299.05413818359375
2019-12-10,295.6842041015625
2020-02-27,302.7153015136719
2019-12-13,302.2103271484375
2020-05-19,304.9781188964844
2019-03-06,308.0372314453125
2018-11-30,291.92596435546875
2019-08-13,290.9256896972656
2019-07-12,281.0782165527344
2019-06-10,277.0771484375
2019-05-09,278.4561767578125
2018-07-25,279.4952392578125
2018-09-27,277.3684387207031
2018-10-29,276.2030944824219
2019-10-16,276.3002014160156
2019-12-16,274.6977844238281
2020-03-04,270.3956298828125
2020-05-22,267.20062255859375
2019-10-01,264.3551330566406
2019-12-19,258.741943359375
2018-09-10,270.6093444824219
2019-05-24,273.794677734375
2018-08-09,273.3479309082031
2019-04-22,274.21221923828125
2019-03-21,268.5989685058594
2019-01-16,260.3054504394531
