Dates,GWW
2018-06-20,432200.0
2018-06-21,608900.0
2018-06-25,651100.0
2018-06-22,590800.0
2018-06-26,401600.0
2018-06-27,471100.0
2018-06-28,451200.0
2018-06-29,528400.0
2018-07-02,948900.0
2018-07-03,672200.0
2018-07-05,785200.0
2018-07-16,431600.0
2018-09-18,455200.0
2019-01-24,433800.0
2019-09-05,852400.0
2018-11-21,516200.0
2020-01-13,622400.0
2020-04-01,935000.0
2020-06-19,1035400.0
2019-10-29,3338100.0
2020-01-16,1695700.0
2020-06-22,914900.0
2018-10-03,968500.0
2018-07-31,655700.0
2019-03-12,725900.0
2019-02-08,536400.0
2019-01-07,568100.0
2018-12-06,592600.0
2019-08-19,915100.0
2019-07-18,764200.0
2019-05-15,517100.0
2019-09-20,439100.0
2019-11-01,514500.0
2020-04-07,455700.0
2020-06-25,394300.0
2020-06-16,626200.0
2019-11-04,451400.0
2020-01-22,438800.0
2019-11-07,847300.0
2020-04-13,621100.0
2019-07-01,547200.0
2019-05-30,480300.0
2018-08-15,661800.0
2018-10-18,526700.0
2019-03-27,381700.0
2019-01-22,323600.0
2018-12-21,353200.0
2019-09-03,304200.0
2018-11-19,520500.0
2019-08-02,517000.0
2020-01-28,557800.0
2020-04-16,416600.0
2019-11-13,686600.0
2020-01-31,684800.0
2018-12-04,769400.0
2018-11-02,532200.0
2019-07-16,468000.0
2018-08-30,580800.0
2018-10-01,452400.0
2019-06-14,413400.0
2019-05-13,499500.0
2019-04-11,394900.0
2019-02-06,550300.0
2019-09-18,457800.0
2020-02-03,466400.0
2020-04-22,1351800.0
2019-11-19,461000.0
2020-02-06,466400.0
2019-11-22,554200.0
2019-03-25,436400.0
2019-02-21,441900.0
2018-12-19,470600.0
2018-07-12,397600.0
2018-09-14,361200.0
2018-08-13,576300.0
2018-10-16,403800.0
2019-07-31,702500.0
2019-05-28,843400.0
2019-04-26,1327900.0
2020-04-28,1075100.0
2019-11-25,758300.0
2020-02-12,1640400.0
2020-05-01,4225200.0
2020-05-04,1476200.0
2019-06-12,1398400.0
2019-04-09,1099200.0
2019-03-08,822100.0
2019-02-04,1021400.0
2018-07-27,1316300.0
2018-08-28,953900.0
2019-01-03,879600.0
2019-08-15,898400.0
2018-10-31,947000.0
2019-09-16,1034400.0
2020-02-18,775000.0
2020-05-07,536700.0
2018-08-17,548500.0
2019-12-04,575400.0
2020-02-21,453500.0
2018-12-17,382600.0
2019-08-30,471000.0
2018-11-15,491400.0
2019-07-29,550400.0
2019-06-27,650200.0
2019-04-24,624600.0
2018-07-10,604300.0
2018-09-12,666700.0
2019-02-19,570100.0
2019-01-18,368100.0
2020-02-24,132600.0
2020-05-13,499300.0
2019-12-10,445000.0
2020-02-27,671200.0
2019-12-13,438000.0
2020-05-19,600400.0
2019-03-06,519400.0
2018-11-30,697800.0
2019-08-13,673200.0
2019-07-12,496600.0
2019-06-10,633400.0
2019-05-09,551100.0
2018-07-25,438400.0
2018-09-27,553300.0
2018-10-29,468500.0
2019-10-16,597300.0
2019-12-16,675400.0
2020-03-04,653500.0
2020-05-22,734100.0
2019-10-01,951700.0
2019-12-19,247000.0
2018-09-10,365000.0
2019-05-24,404500.0
2018-08-09,337200.0
2019-04-22,460400.0
2019-03-21,789200.0
2019-01-16,891300.0
2019-08-28,529500.0
2018-11-13,658100.0
2018-10-12,865200.0
2019-06-25,606700.0
2020-03-10,413800.0
2020-05-28,287200.0
2019-10-07,408700.0
2020-03-13,692400.0
2019-10-10,579600.0
