Dates,GWW
2018-06-20,316.92999267578125
2018-06-21,313.17999267578125
2018-06-25,312.1000061035156
2018-06-22,305.6099853515625
2018-06-26,306.4800109863281
2018-06-27,305.3800048828125
2018-06-28,307.55999755859375
2018-06-29,308.3999938964844
2018-07-02,306.29998779296875
2018-07-03,297.760009765625
2018-07-05,297.8900146484375
2018-07-16,298.92999267578125
2018-09-18,305.6000061035156
2019-01-24,305.2799987792969
2019-09-05,310.42999267578125
2018-11-21,309.2099914550781
2020-01-13,310.4800109863281
2020-04-01,302.9200134277344
2020-06-19,304.9599914550781
2019-10-29,338.989990234375
2020-01-16,341.45001220703125
2020-06-22,340.25
2018-10-03,342.6300048828125
2018-07-31,337.1499938964844
2019-03-12,343.19000244140625
2019-02-08,340.5400085449219
2019-01-07,339.3299865722656
2018-12-06,336.4700012207031
2019-08-19,346.55999755859375
2019-07-18,341.9700012207031
2019-05-15,341.010009765625
2019-09-20,339.0
2019-11-01,344.79998779296875
2020-04-07,349.2699890136719
2020-06-25,352.5400085449219
2020-06-16,351.6600036621094
2019-11-04,351.29998779296875
2020-01-22,353.1600036621094
2019-11-07,361.3999938964844
2020-04-13,357.8900146484375
2019-07-01,359.95001220703125
2019-05-30,357.7300109863281
2018-08-15,366.5400085449219
2018-10-18,369.1499938964844
2019-03-27,367.6000061035156
2019-01-22,367.510009765625
2018-12-21,365.1499938964844
2019-09-03,363.8900146484375
2018-11-19,360.75
2019-08-02,362.2900085449219
2020-01-28,354.4100036621094
2020-04-16,354.07000732421875
2019-11-13,355.8699951171875
2020-01-31,355.6199951171875
2018-12-04,353.1400146484375
2018-11-02,349.2900085449219
2019-07-16,352.19000244140625
2018-08-30,359.3800048828125
2018-10-01,354.05999755859375
2019-06-14,354.0400085449219
2019-05-13,355.6099853515625
2019-04-11,351.6300048828125
2019-02-06,353.6700134277344
2019-09-18,351.29998779296875
2020-02-03,355.0199890136719
2020-04-22,356.0899963378906
2019-11-19,352.57000732421875
2020-02-06,354.9700012207031
2019-11-22,356.3999938964844
2019-03-25,355.2699890136719
2019-02-21,357.4100036621094
2018-12-19,356.0
2018-07-12,354.54998779296875
2018-09-14,357.9599914550781
2018-08-13,352.1300048828125
2018-10-16,351.0299987792969
2019-07-31,345.8900146484375
2019-05-28,335.3800048828125
2019-04-26,316.2900085449219
2020-04-28,309.0
2019-11-25,311.5400085449219
2020-02-12,318.010009765625
2020-05-01,280.010009765625
2020-05-04,279.3399963378906
2019-06-12,274.92999267578125
2019-04-09,276.2799987792969
2019-03-08,275.239990234375
2019-02-04,273.989990234375
2018-07-27,271.8699951171875
2018-08-28,271.2300109863281
2019-01-03,274.70001220703125
2019-08-15,275.54998779296875
2018-10-31,283.1499938964844
2019-09-16,283.9700012207031
