Dates,CPB
2018-06-20,34.52017593383789
2018-06-21,34.76144790649414
2018-06-25,35.81932067871094
2018-06-22,39.18783187866211
2018-06-26,38.334102630615234
2018-06-27,37.016395568847656
2018-06-28,37.8144416809082
2018-06-29,37.619571685791016
2018-07-02,37.3875846862793
2018-07-03,38.07426834106445
2018-07-05,38.501136779785156
2018-07-16,38.8908805847168
2018-09-18,38.55681228637695
2019-01-24,38.501136779785156
2019-09-05,39.3455810546875
2018-11-21,38.709312438964844
2020-01-13,38.409889221191406
2020-04-01,37.97011947631836
2020-06-19,38.5128173828125
2019-10-29,37.58648681640625
2020-01-16,38.31632614135742
2020-06-22,37.895263671875
2018-10-03,37.642635345458984
2018-07-31,37.492919921875
2019-03-12,37.63327407836914
2019-02-08,38.0824089050293
2019-01-07,38.30696487426758
2018-12-06,38.30696487426758
2019-08-19,38.269535064697266
2019-07-18,38.76546096801758
2019-05-15,39.02743911743164
2019-09-20,40.009910583496094
2019-11-01,39.935062408447266
2020-04-07,39.083580017089844
2020-06-25,39.28007507324219
2020-06-16,39.5607795715332
2019-11-04,38.69059753417969
2020-01-22,38.840309143066406
2019-11-07,39.06487274169922
2020-04-13,39.626285552978516
2019-07-01,39.32686233520508
2019-05-30,39.33621597290039
2018-08-15,39.467220306396484
2018-10-18,39.17715835571289
2019-03-27,38.55960464477539
2019-01-22,37.998191833496094
2018-12-21,38.063690185546875
2019-09-03,38.0824089050293
2018-11-19,37.26836013793945
2019-08-02,37.418067932128906
2020-01-28,36.6320915222168
2020-04-16,36.91279983520508
2019-11-13,37.137359619140625
2020-01-31,37.29642868041992
2018-12-04,37.47420883178711
2018-11-02,37.63327407836914
2019-07-16,37.923336029052734
2018-08-30,37.446136474609375
2018-10-01,37.680057525634766
2019-06-14,38.48474884033203
2019-05-13,38.634456634521484
2019-04-11,38.325679779052734
2019-02-06,37.48356246948242
2019-09-18,37.55841827392578
2020-02-03,37.726844787597656
2020-04-22,37.47420883178711
2019-11-19,37.26836013793945
2020-02-06,36.547882080078125
2019-11-22,36.473018646240234
2019-03-25,34.489376068115234
2019-02-21,34.2741584777832
2018-12-19,34.00281524658203
2018-07-12,34.33966064453125
2018-09-14,34.1618766784668
2018-08-13,34.79814529418945
2018-10-16,34.835575103759766
2019-07-31,35.78997802734375
2019-05-28,35.1069221496582
2019-04-26,35.29405975341797
2020-04-28,35.07683181762695
2019-11-25,35.039058685302734
2020-02-12,35.70016860961914
2020-05-01,36.266849517822266
2020-05-04,34.30238723754883
2019-06-12,34.63294219970703
2019-04-09,35.82295227050781
2019-03-08,35.84184646606445
2019-02-04,35.9079475402832
2018-07-27,36.266849517822266
2018-08-28,35.84184646606445
2019-01-03,34.68960952758789
2019-08-15,35.50183868408203
2018-10-31,36.11573028564453
2019-09-16,35.33183670043945
2020-02-18,35.832393646240234
2020-05-07,34.83128356933594
2018-08-17,35.63405990600586
2019-12-04,36.2385139465332
2020-02-21,36.21961212158203
2018-12-17,36.077945709228516
2019-08-30,36.80517578125
2018-11-15,36.99406814575195
2019-07-29,37.06962203979492
2019-06-27,36.984622955322266
2019-04-24,36.94684600830078
2018-07-10,36.502952575683594
2018-09-12,36.314064025878906
2019-02-19,38.29740905761719
2019-01-18,37.324623107910156
2020-02-24,38.27851867675781
2020-05-13,36.85240173339844
2019-12-10,37.31517791748047
2020-02-27,37.30574035644531
2019-12-13,37.42851257324219
2020-05-19,37.022403717041016
2019-03-06,36.60684585571289
2018-11-30,36.446285247802734
2019-08-13,36.09684753417969
2019-07-12,35.671836853027344
2019-06-10,35.62461853027344
2019-05-09,36.663509368896484
2018-07-25,36.7012825012207
2018-09-27,37.2112922668457
2018-10-29,36.984622955322266
2019-10-16,36.67295455932617
2019-12-16,36.351844787597656
2020-03-04,36.502952575683594
2020-05-22,35.577392578125
2019-10-01,33.76405334472656
2019-12-19,31.563488006591797
2018-09-10,32.347373962402344
2019-05-24,31.639041900634766
2018-08-09,31.58237075805664
2019-04-22,31.157377243041992
2019-03-21,30.467926025390625
2019-01-16,30.845703125
2019-08-28,31.01570701599121
2018-11-13,31.818483352661133
2018-10-12,32.05707931518555
2019-06-25,32.62015151977539
2020-03-10,32.906463623046875
2020-05-28,33.4409065246582
2019-10-07,33.4409065246582
2020-03-13,33.90854263305664
2019-10-10,33.66995620727539
2020-03-16,34.147132873535156
2020-06-03,33.8703727722168
2018-11-28,33.774932861328125
2018-09-25,33.76538848876953
2018-07-23,33.1355094909668
2018-08-24,32.67741394042969
2019-07-10,33.0305290222168
2019-05-07,32.9160041809082
2019-04-05,33.297752380371094
2019-03-04,33.8131103515625
2019-01-31,33.41227340698242
2019-09-12,33.41227340698242
2019-12-31,33.36455535888672
2020-03-19,32.629695892333984
2020-01-03,32.63924026489258
2020-06-09,32.725135803222656
2019-02-15,32.6010627746582
2019-01-14,32.98281478881836
2018-07-06,33.0782470703125
2018-08-07,32.877830505371094
2018-10-10,33.20231246948242
2018-12-13,33.41227340698242
2019-08-26,33.57451629638672
2019-07-25,33.82264709472656
2019-05-22,31.331768035888672
2019-03-19,30.78777503967285
2020-01-06,31.40811538696289
2020-03-25,34.55751037597656
2020-06-12,34.376182556152344
2019-10-22,34.69112014770508
2020-01-09,34.35709762573242
2020-06-15,34.45252990722656
2019-10-25,34.49070358276367
2020-03-31,34.28074264526367
2020-06-18,34.376182556152344
2019-04-03,34.261661529541016
2018-08-22,33.45044708251953
2018-10-25,33.66040802001953
2019-01-29,34.013526916503906
2018-12-28,34.36663818359375
2018-11-26,34.891544342041016
2019-08-09,34.643402099609375
2019-07-08,34.66249084472656
2019-06-06,36.1322135925293
2019-09-10,36.494869232177734
2020-01-15,36.53304672241211
2020-04-03,36.7620964050293
2019-10-31,36.218109130859375
2020-04-06,36.55213165283203
2020-06-24,36.389892578125
2018-11-09,36.12266540527344
2019-07-23,35.90316390991211
2019-06-21,35.550045013427734
2019-05-20,35.74092483520508
2019-04-18,36.513954162597656
2018-09-06,36.771629333496094
2018-10-08,37.687828063964844
2019-02-13,37.67819595336914
2018-12-11,38.18852996826172
2019-09-25,38.332969665527344
2020-01-21,38.361854553222656
2020-04-09,37.967063903808594
2019-11-06,37.67819595336914
2020-01-24,37.928550720214844
2020-01-27,37.861148834228516
2020-04-15,37.456729888916016
2018-12-26,37.55302047729492
2019-08-07,36.76344680786133
2019-06-04,37.20637893676758
2018-09-21,36.91750717163086
2018-07-19,37.25452423095703
2018-08-20,36.89824676513672
2018-10-23,36.50346374511719
2019-05-03,36.85010528564453
2019-04-01,36.79233169555664
2019-02-28,36.81159210205078
2019-11-12,37.158233642578125
2020-01-30,37.514503479003906
2019-11-15,37.30266571044922
2020-04-21,37.283409118652344
2019-04-16,37.23526382446289
2019-03-15,37.53376007080078
2019-02-11,37.48561477661133
2019-01-10,37.67819595336914
2019-08-22,37.31229782104492
2018-11-07,36.994537353515625
2018-08-03,36.455318450927734
2018-09-04,36.696041107177734
2019-06-19,36.13756561279297
2019-09-23,35.41538619995117
2019-11-18,34.876163482666016
2020-02-05,34.471744537353516
2020-04-24,34.96282196044922
2019-03-29,35.983497619628906
2019-11-21,36.696041107177734
2020-04-27,40.37430953979492
2020-02-11,41.41423797607422
2020-04-30,41.48164367675781
2019-05-01,40.45133972167969
2019-02-26,40.952049255371094
2019-01-25,40.85575866699219
2018-12-24,41.05796813964844
2019-09-06,40.69207000732422
2018-07-17,39.835086822509766
2018-09-19,39.34401321411133
2019-08-05,39.72916793823242
2019-10-08,39.5077018737793
2019-12-11,39.18031692504883
2019-11-27,39.02625274658203
2020-02-14,39.517330169677734
2020-05-06,38.9588508605957
2019-01-08,38.27519607543945
2018-12-07,38.58332061767578
2019-08-20,38.63146209716797
2018-11-05,39.132171630859375
2019-07-19,40.123958587646484
2018-10-04,40.02766799926758
2019-06-17,39.96026611328125
2019-05-16,39.9217529296875
2018-08-01,39.86397933959961
2019-03-13,39.689170837402344
2019-12-03,39.73773193359375
2020-02-20,39.931949615478516
2019-12-06,40.09703826904297
2020-05-12,40.155303955078125
2019-12-09,40.475772857666016
2020-02-26,40.07761764526367
2020-05-15,39.95137405395508
2019-03-28,40.27183532714844
2018-09-17,39.34928894042969
2018-08-16,39.232757568359375
2018-10-19,39.77657699584961
2019-04-29,40.145599365234375
2019-01-23,40.45634841918945
2019-09-04,40.145599365234375
2018-11-20,40.893348693847656
2019-07-02,41.11670684814453
2019-05-31,40.019351959228516
2019-12-12,40.06790542602539
2020-05-18,40.36894989013672
2019-09-27,40.81565856933594
2020-03-03,40.58259582519531
2020-05-21,40.893348693847656
2019-05-14,41.03901672363281
2018-08-31,40.26213073730469
2018-07-30,40.9419059753418
2018-10-02,41.40803527832031
2019-04-12,41.942142486572266
2019-03-11,41.835323333740234
2019-02-07,42.019832611083984
2019-07-17,42.41798782348633
2019-09-19,41.44688034057617
2019-10-21,41.42745590209961
2019-12-18,40.8350830078125
2020-03-06,40.75739669799805
2019-10-03,42.058677673339844
2020-03-09,43.699851989746094
2020-05-27,44.117427825927734
2019-12-24,43.76782989501953
2020-03-12,43.33082962036133
2018-12-20,43.68042755126953
2019-08-01,43.30169677734375
2018-08-14,44.56413650512695
2018-07-13,45.311885833740234
2018-10-17,45.78773498535156
2019-05-29,44.94286346435547
2019-03-26,45.38957595825195
2019-02-22,45.34102249145508
2019-10-04,45.23419952392578
2019-11-05,45.263336181640625
2019-12-27,45.40899658203125
2020-06-02,45.311885833740234
2019-12-30,44.816627502441406
2020-03-18,45.214778900146484
2020-06-05,45.35073471069336
2019-07-15,45.51581954956055
2018-12-03,45.56437301635742
2019-06-13,45.467262268066406
2019-01-04,44.82633590698242
2018-08-29,45.41870880126953
2019-02-05,45.97224044799805
2018-11-01,45.642066955566406
2019-08-16,45.41870880126953
2019-04-10,45.81986999511719
2019-09-17,46.29929733276367
2019-10-15,45.85900115966797
2020-01-02,45.81986999511719
2020-06-08,45.6046142578125
2019-10-18,46.152530670166016
2020-03-24,46.92549133300781
2020-06-11,46.534122467041016
2020-01-08,46.85700225830078
2019-04-25,46.641746520996094
2019-07-30,46.76894760131836
2019-02-20,46.064476013183594
2018-07-11,45.45784378051758
2018-09-13,45.555694580078125
2018-10-15,45.48720169067383
2019-06-28,45.27194595336914
2018-12-18,45.31108474731445
2018-11-16,45.5361213684082
2019-10-02,45.34043884277344
2020-03-27,45.48720169067383
2020-01-10,45.594825744628906
2019-10-24,45.41870880126953
2020-03-30,45.252376556396484
2020-06-17,45.07625961303711
2020-01-14,45.379573822021484
2020-04-02,46.34821701049805
2019-01-02,46.054691314697266
2019-08-14,46.26015853881836
2018-10-30,47.00376510620117
2019-06-11,47.121177673339844
2019-05-10,47.23858642578125
2019-04-08,45.82965087890625
2018-08-27,45.81986999511719
2018-07-26,45.7905158996582
2018-09-28,46.084041595458984
2019-03-07,46.04490661621094
2019-10-30,45.56547164916992
2020-01-17,46.1231803894043
2020-06-23,46.55369186401367
2020-04-08,47.42449188232422
2020-06-26,46.60260772705078
2019-03-22,46.72002410888672
2019-01-17,47.1994514465332
2019-08-29,47.346214294433594
2018-11-14,46.94506072998047
2019-06-26,46.68088150024414
2018-09-11,46.82765197753906
2018-07-09,46.92549133300781
2018-08-10,46.72980499267578
2019-04-23,47.17988586425781
2019-09-30,47.17988586425781
2020-01-23,48.10939025878906
2019-11-08,48.050689697265625
2020-04-14,48.16809844970703
2019-11-11,47.96262741088867
2020-01-29,48.39313507080078
2020-04-17,48.18766784667969
2018-07-24,48.354000091552734
