Dates,PEG
2018-06-20,52.599998474121094
2018-06-21,52.900001525878906
2018-06-25,52.97999954223633
2018-06-22,53.400001525878906
2018-06-26,53.650001525878906
2018-06-27,53.56999969482422
2018-06-28,53.93000030517578
2018-06-29,53.81999969482422
2018-07-02,53.40999984741211
2018-07-03,53.18000030517578
2018-07-05,53.040000915527344
2018-07-16,53.189998626708984
2018-09-18,51.130001068115234
2019-01-24,50.86000061035156
2019-09-05,51.88999938964844
2018-11-21,52.130001068115234
2020-01-13,51.599998474121094
2020-04-01,51.58000183105469
2020-06-19,51.709999084472656
2019-10-29,51.220001220703125
2020-01-16,51.790000915527344
2020-06-22,51.20000076293945
2018-10-03,50.93000030517578
2018-07-31,50.4900016784668
2019-03-12,51.060001373291016
2019-02-08,51.68000030517578
2019-01-07,51.25
2018-12-06,50.81999969482422
2019-08-19,51.04999923706055
2019-07-18,50.0099983215332
2019-05-15,50.27000045776367
2019-09-20,50.939998626708984
2019-11-01,51.290000915527344
2020-04-07,51.02000045776367
2020-06-25,51.119998931884766
2020-06-16,51.20000076293945
2019-11-04,51.290000915527344
2020-01-22,51.290000915527344
2019-11-07,51.459999084472656
2020-04-13,52.09000015258789
2019-07-01,52.63999938964844
2019-05-30,53.470001220703125
2018-08-15,53.38999938964844
2018-10-18,52.630001068115234
2019-03-27,52.130001068115234
2019-01-22,52.16999816894531
2018-12-21,52.18000030517578
2019-09-03,52.15999984741211
2018-11-19,51.61000061035156
2019-08-02,51.900001525878906
2020-01-28,52.130001068115234
2020-04-16,52.08000183105469
2019-11-13,52.41999816894531
2020-01-31,52.65999984741211
2018-12-04,52.45000076293945
2018-11-02,52.45000076293945
2019-07-16,52.31999969482422
2018-08-30,52.45000076293945
2018-10-01,52.790000915527344
2019-06-14,53.06999969482422
2019-05-13,52.77000045776367
2019-04-11,53.13999938964844
2019-02-06,52.880001068115234
2019-09-18,51.59000015258789
2020-02-03,51.36000061035156
2020-04-22,51.689998626708984
2019-11-19,51.95000076293945
2020-02-06,50.970001220703125
2019-11-22,50.650001525878906
2019-03-25,50.65999984741211
2019-02-21,51.470001220703125
2018-12-19,52.31999969482422
2018-07-12,52.88999938964844
2018-09-14,51.619998931884766
2018-08-13,51.59000015258789
2018-10-16,52.290000915527344
2019-07-31,52.709999084472656
2019-05-28,53.470001220703125
2019-04-26,54.38999938964844
2020-04-28,53.43000030517578
2019-11-25,53.13999938964844
2020-02-12,53.41999816894531
2020-05-01,53.150001525878906
2020-05-04,53.25
2019-06-12,53.41999816894531
2019-04-09,53.59000015258789
2019-03-08,54.45000076293945
2019-02-04,54.29999923706055
2018-07-27,54.630001068115234
2018-08-28,55.16999816894531
2019-01-03,54.060001373291016
2019-08-15,54.4900016784668
2018-10-31,54.18000030517578
2019-09-16,52.88999938964844
2020-02-18,52.470001220703125
2020-05-07,52.56999969482422
2018-08-17,53.0
2019-12-04,52.70000076293945
2020-02-21,52.33000183105469
2018-12-17,52.599998474121094
2019-08-30,53.040000915527344
2018-11-15,53.709999084472656
2019-07-29,53.16999816894531
2019-06-27,53.06999969482422
2019-04-24,53.060001373291016
2018-07-10,53.959999084472656
2018-09-12,54.130001068115234
2019-02-19,53.5099983215332
2019-01-18,53.08000183105469
2020-02-24,52.9900016784668
2020-05-13,52.689998626708984
2019-12-10,53.47999954223633
2020-02-27,54.150001525878906
2019-12-13,53.959999084472656
2020-05-19,54.5099983215332
2019-03-06,55.06999969482422
2018-11-30,55.59000015258789
2019-08-13,54.15999984741211
2019-07-12,54.810001373291016
2019-06-10,54.619998931884766
2019-05-09,55.16999816894531
2018-07-25,55.720001220703125
2018-09-27,55.630001068115234
2018-10-29,55.439998626708984
2019-10-16,53.15999984741211
2019-12-16,52.90999984741211
2020-03-04,52.47999954223633
2020-05-22,51.959999084472656
2019-10-01,52.22999954223633
2019-12-19,49.72999954223633
2018-09-10,49.22999954223633
2019-05-24,49.90999984741211
2018-08-09,51.06999969482422
2019-04-22,50.91999816894531
2019-03-21,50.52000045776367
2019-01-16,50.790000915527344
2019-08-28,50.59000015258789
2018-11-13,51.040000915527344
2018-10-12,51.2599983215332
2019-06-25,51.060001373291016
2020-03-10,51.27000045776367
2020-05-28,51.560001373291016
2019-10-07,49.970001220703125
2020-03-13,50.59000015258789
2019-10-10,51.13999938964844
2020-03-16,51.459999084472656
2020-06-03,51.68000030517578
2018-11-28,51.97999954223633
2018-09-25,52.63999938964844
2018-07-23,52.72999954223633
2018-08-24,52.59000015258789
2019-07-10,52.08000183105469
2019-05-07,52.459999084472656
2019-04-05,52.5
2019-03-04,52.93000030517578
2019-01-31,54.04999923706055
2019-09-12,53.90999984741211
2019-12-31,54.5
2020-03-19,54.68000030517578
2020-01-03,54.7599983215332
2020-06-09,55.2599983215332
2019-02-15,55.720001220703125
2019-01-14,55.560001373291016
2018-07-06,55.650001525878906
2018-08-07,55.689998626708984
2018-10-10,56.04999923706055
2018-12-13,55.349998474121094
2019-08-26,55.9900016784668
2019-07-25,56.099998474121094
2019-05-22,56.7400016784668
2019-03-19,56.880001068115234
2020-01-06,57.0
2020-03-25,57.72999954223633
2020-06-12,58.349998474121094
2019-10-22,58.75
2020-01-09,58.939998626708984
2020-06-15,59.290000915527344
2019-10-25,58.97999954223633
2020-03-31,58.540000915527344
2020-06-18,58.41999816894531
2019-04-03,58.540000915527344
2018-08-22,58.54999923706055
2018-10-25,58.95000076293945
2019-01-29,59.310001373291016
2018-12-28,59.400001525878906
2018-11-26,59.31999969482422
2019-08-09,58.880001068115234
2019-07-08,58.720001220703125
2019-06-06,58.7599983215332
2019-09-10,59.47999954223633
2020-01-15,59.38999938964844
2020-04-03,59.47999954223633
2019-10-31,59.11000061035156
2020-04-06,58.56999969482422
2020-06-24,58.59000015258789
2018-11-09,58.119998931884766
2019-07-23,58.27000045776367
2019-06-21,58.540000915527344
2019-05-20,58.709999084472656
2019-04-18,59.0099983215332
2018-09-06,59.09000015258789
2018-10-08,59.0099983215332
2019-02-13,59.33000183105469
2018-12-11,59.31999969482422
2019-09-25,58.93000030517578
2020-01-21,59.77000045776367
2020-04-09,58.52000045776367
2019-11-06,58.349998474121094
2020-01-24,57.869998931884766
2020-01-27,58.16999816894531
2020-04-15,57.70000076293945
2018-12-26,58.130001068115234
2019-08-07,58.38999938964844
2019-06-04,58.84000015258789
2018-09-21,58.369998931884766
2018-07-19,58.59000015258789
2018-08-20,58.7599983215332
2018-10-23,58.5
2019-05-03,59.08000183105469
2019-04-01,58.689998626708984
2019-02-28,58.630001068115234
2019-11-12,57.75
2020-01-30,57.5
2019-11-15,58.02000045776367
2020-04-21,59.20000076293945
