Dates,ESS
2018-06-20,667600.0
2018-06-21,376000.0
2018-06-25,641400.0
2018-06-22,673100.0
2018-06-26,466000.0
2018-06-27,439000.0
2018-06-28,524200.0
2018-06-29,737900.0
2018-07-02,435000.0
2018-07-03,239800.0
2018-07-05,225300.0
2018-07-16,285000.0
2018-09-18,345500.0
2019-01-24,348800.0
2019-09-05,452400.0
2018-11-21,379200.0
2020-01-13,246100.0
2020-04-01,345600.0
2020-06-19,369300.0
2019-10-29,319300.0
2020-01-16,349300.0
2020-06-22,372900.0
2018-10-03,488700.0
2018-07-31,346600.0
2019-03-12,319000.0
2019-02-08,220100.0
2019-01-07,329800.0
2018-12-06,302000.0
2019-08-19,545600.0
2019-07-18,556300.0
2019-05-15,700900.0
2019-09-20,649200.0
2019-11-01,293800.0
2020-04-07,351100.0
2020-06-25,236900.0
2020-06-16,189900.0
2019-11-04,174100.0
2020-01-22,190200.0
2019-11-07,273800.0
2020-04-13,446700.0
2019-07-01,226500.0
2019-05-30,266900.0
2018-08-15,297500.0
2018-10-18,279100.0
2019-03-27,266500.0
2019-01-22,192200.0
2018-12-21,273900.0
2019-09-03,324100.0
2018-11-19,381300.0
2019-08-02,322800.0
2020-01-28,258100.0
2020-04-16,302800.0
2019-11-13,228500.0
2020-01-31,296500.0
2018-12-04,193400.0
2018-11-02,266700.0
2019-07-16,427800.0
2018-08-30,365200.0
2018-10-01,326100.0
2019-06-14,398200.0
2019-05-13,423100.0
2019-04-11,389000.0
2019-02-06,421300.0
2019-09-18,405000.0
2020-02-03,275800.0
2020-04-22,493100.0
2019-11-19,392500.0
2020-02-06,307500.0
2019-11-22,422200.0
2019-03-25,564900.0
2019-02-21,694100.0
2018-12-19,422700.0
2018-07-12,389200.0
2018-09-14,441600.0
2018-08-13,414900.0
2018-10-16,259500.0
2019-07-31,485500.0
2019-05-28,527700.0
2019-04-26,406900.0
2020-04-28,634600.0
2019-11-25,535200.0
2020-02-12,447900.0
2020-05-01,532100.0
2020-05-04,520900.0
2019-06-12,354200.0
2019-04-09,345200.0
2019-03-08,588900.0
2019-02-04,364400.0
2018-07-27,579900.0
2018-08-28,425300.0
2019-01-03,572200.0
2019-08-15,683100.0
2018-10-31,1107800.0
2019-09-16,746800.0
2020-02-18,474700.0
2020-05-07,477300.0
2018-08-17,673200.0
2019-12-04,459200.0
2020-02-21,554800.0
2018-12-17,344100.0
2019-08-30,394900.0
2018-11-15,407400.0
2019-07-29,511000.0
2019-06-27,414200.0
2019-04-24,398100.0
2018-07-10,355400.0
2018-09-12,463900.0
2019-02-19,563900.0
2019-01-18,266100.0
2020-02-24,94200.0
2020-05-13,268300.0
2019-12-10,226800.0
2020-02-27,233900.0
2019-12-13,227900.0
2020-05-19,351400.0
2019-03-06,305900.0
2018-11-30,294100.0
2019-08-13,440700.0
2019-07-12,329400.0
2019-06-10,238000.0
2019-05-09,236500.0
2018-07-25,325000.0
2018-09-27,255900.0
2018-10-29,218800.0
2019-10-16,483700.0
2019-12-16,361900.0
2020-03-04,404700.0
2020-05-22,412000.0
2019-10-01,878900.0
2019-12-19,299100.0
2018-09-10,386900.0
2019-05-24,561800.0
2018-08-09,283400.0
2019-04-22,231100.0
