Dates,ESS
2018-06-20,233.52000427246094
2018-06-21,234.61000061035156
2018-06-25,235.3800048828125
2018-06-22,234.44000244140625
2018-06-26,234.61000061035156
2018-06-27,233.02999877929688
2018-06-28,235.58999633789062
2018-06-29,239.07000732421875
2018-07-02,236.22000122070312
2018-07-03,236.22000122070312
2018-07-05,238.6999969482422
2018-07-16,240.02000427246094
2018-09-18,238.67999267578125
2019-01-24,240.6199951171875
2019-09-05,242.61000061035156
2018-11-21,242.69000244140625
2020-01-13,239.6199951171875
2020-04-01,236.13999938964844
2020-06-19,232.74000549316406
2019-10-29,231.5800018310547
2020-01-16,232.5399932861328
2020-06-22,229.35000610351562
2018-10-03,229.64999389648438
2018-07-31,229.72000122070312
2019-03-12,232.74000549316406
2019-02-08,233.5
2019-01-07,233.2899932861328
2018-12-06,233.8000030517578
2019-08-19,240.4499969482422
2019-07-18,240.88999938964844
2019-05-15,234.17999267578125
2019-09-20,242.41000366210938
2019-11-01,242.77000427246094
2020-04-07,243.30999755859375
2020-06-25,239.25
2020-06-16,239.5399932861328
2019-11-04,236.6199951171875
2020-01-22,236.1300048828125
2019-11-07,236.8000030517578
2020-04-13,239.6999969482422
2019-07-01,240.99000549316406
2019-05-30,243.33999633789062
2018-08-15,243.0
2018-10-18,241.22999572753906
2019-03-27,241.69000244140625
2019-01-22,242.1699981689453
2018-12-21,244.13999938964844
2019-09-03,244.3800048828125
2018-11-19,246.7899932861328
2019-08-02,247.2899932861328
2020-01-28,245.2899932861328
2020-04-16,246.27999877929688
2019-11-13,243.88999938964844
2020-01-31,245.1699981689453
2018-12-04,246.30999755859375
2018-11-02,246.13999938964844
2019-07-16,249.3000030517578
2018-08-30,250.24000549316406
2018-10-01,248.0
2019-06-14,248.27999877929688
2019-05-13,246.30999755859375
2019-04-11,246.25
2019-02-06,245.41000366210938
2019-09-18,243.89999389648438
2020-02-03,245.36000061035156
2020-04-22,247.24000549316406
2019-11-19,240.77000427246094
2020-02-06,243.13999938964844
2019-11-22,240.10000610351562
2019-03-25,241.88999938964844
2019-02-21,246.7100067138672
2018-12-19,245.5
2018-07-12,245.52999877929688
2018-09-14,244.24000549316406
2018-08-13,243.2100067138672
2018-10-16,243.6999969482422
2019-07-31,248.02999877929688
2019-05-28,250.35000610351562
