Dates,ITW
2018-08-20,1422600.0
2018-10-23,1017700.0
2019-05-03,669800.0
2019-04-01,816000.0
2019-02-28,1661300.0
2019-11-12,1009600.0
2020-01-30,1421800.0
2019-11-15,1038400.0
2020-04-21,1879100.0
2019-04-16,1279400.0
2019-03-15,1995900.0
2019-02-11,1018300.0
2019-01-10,1233000.0
2019-08-22,1014600.0
2018-11-07,889700.0
2018-08-03,872000.0
2018-09-04,1986200.0
2019-06-19,1041400.0
2019-09-23,3252300.0
2019-11-18,1726400.0
2020-02-05,1480400.0
2020-04-24,2070600.0
2019-03-29,1734300.0
2019-11-21,1736100.0
2020-04-27,1006100.0
2020-02-11,999900.0
2020-04-30,1273400.0
2019-05-01,1126500.0
2019-02-26,1157400.0
2019-01-25,1254900.0
2018-12-24,844300.0
2019-09-06,1090500.0
2018-07-17,782200.0
2018-09-19,1074100.0
2019-08-05,890300.0
2019-10-08,1051200.0
2019-12-11,1484300.0
2019-11-27,1062800.0
2020-02-14,1085200.0
2020-05-06,1368200.0
2019-01-08,811800.0
2018-12-07,1616000.0
2019-08-20,1041800.0
2018-11-05,898500.0
2019-07-19,688500.0
2018-10-04,1063400.0
2019-06-17,1033500.0
2019-05-16,1456100.0
2018-08-01,1255000.0
2019-03-13,1308200.0
2019-12-03,1184200.0
2020-02-20,869800.0
2019-12-06,1512900.0
2020-05-12,1273000.0
2019-12-09,955400.0
2020-02-26,1402700.0
2020-05-15,994100.0
2019-03-28,1874700.0
2018-09-17,1427400.0
2018-08-16,2054400.0
2018-10-19,2869100.0
2019-04-29,1697600.0
2019-01-23,1552200.0
2019-09-04,1182300.0
2018-11-20,1709700.0
2019-07-02,1761300.0
2019-05-31,2016200.0
2019-12-12,1536000.0
2020-05-18,1393400.0
2019-09-27,970300.0
2020-03-03,966300.0
2020-05-21,1118700.0
2019-05-14,1219400.0
2018-08-31,1265500.0
2018-07-30,942600.0
2018-10-02,926300.0
2019-04-12,1124800.0
2019-03-11,1009100.0
2019-02-07,785400.0
2019-07-17,691000.0
2019-09-19,1449800.0
2019-10-21,1543900.0
2019-12-18,1291200.0
2020-03-06,1330400.0
2019-10-03,1253200.0
2020-03-09,1330400.0
2020-05-27,1352300.0
2019-12-24,992800.0
2020-03-12,1258000.0
2018-12-20,957600.0
2019-08-01,1056300.0
2018-08-14,1486700.0
2018-07-13,1274000.0
2018-10-17,1822200.0
2019-05-29,1224600.0
2019-03-26,1459800.0
2019-02-22,915500.0
2019-10-04,799500.0
2019-11-05,661000.0
2019-12-27,2046200.0
2020-06-02,1447900.0
2019-12-30,1254100.0
2020-03-18,894100.0
2020-06-05,896100.0
2019-07-15,811300.0
2018-12-03,821600.0
2019-06-13,1081200.0
2019-01-04,1111700.0
2018-08-29,948200.0
2019-02-05,679800.0
2018-11-01,696800.0
2019-08-16,1088000.0
2019-04-10,700300.0
2019-09-17,668500.0
2019-10-15,1785700.0
2020-01-02,667900.0
2020-06-08,994100.0
2019-10-18,1017500.0
2020-03-24,647500.0
2020-06-11,1336200.0
2020-01-08,1450800.0
2019-04-25,1276900.0
2019-07-30,937300.0
2019-02-20,1460700.0
2018-07-11,2709500.0
2018-09-13,2469700.0
2018-10-15,1357600.0
2019-06-28,1095600.0
2018-12-18,1610600.0
2018-11-16,1523200.0
2019-10-02,1310200.0
2020-03-27,1648300.0
2020-01-10,1225000.0
2019-10-24,1013000.0
2020-03-30,1011600.0
2020-06-17,777200.0
2020-01-14,1057800.0
2020-04-02,1163500.0
2019-01-02,724500.0
2019-08-14,758200.0
2018-10-30,1167600.0
2019-06-11,1113600.0
2019-05-10,1168100.0
2019-04-08,833400.0
2018-08-27,630400.0
2018-07-26,853200.0
2018-09-28,1102400.0
2019-03-07,730900.0
2019-10-30,584900.0
2020-01-17,1221600.0
2020-06-23,1309500.0
2020-04-08,1326500.0
2020-06-26,979800.0
2019-03-22,941100.0
2019-01-17,733400.0
2019-08-29,816900.0
2018-11-14,995800.0
2019-06-26,921700.0
2018-09-11,1102500.0
2018-07-09,881900.0
2018-08-10,1176300.0
2019-04-23,1394500.0
2019-09-30,1043800.0
2020-01-23,2683100.0
2019-11-08,807800.0
2020-04-14,272200.0
2019-11-11,471300.0
2020-01-29,616500.0
2020-04-17,732700.0
2018-07-24,816100.0
2018-09-26,1257500.0
2019-05-08,1400800.0
2019-03-05,1587300.0
2019-02-01,1144100.0
2018-12-31,1168400.0
2018-11-29,1264400.0
2019-08-12,1157500.0
2019-07-11,698500.0
2019-09-13,1127000.0
2019-11-14,1262200.0
2020-04-20,1104200.0
2020-02-04,2144900.0
2020-04-23,1175900.0
2018-12-14,1151000.0
2019-08-27,1431600.0
2018-08-08,1093800.0
2018-10-11,1226300.0
2018-11-12,1138400.0
2019-07-26,1228200.0
2019-06-24,1647600.0
2019-05-23,3070500.0
2019-03-20,1898000.0
2019-01-15,1178200.0
2019-11-20,1584700.0
2020-02-07,1073000.0
2020-02-10,996600.0
2020-04-29,908500.0
2019-11-26,1027000.0
2020-02-13,979100.0
2019-01-30,659200.0
2018-08-23,765100.0
2018-09-24,778700.0
2018-11-27,974100.0
2018-10-26,1047000.0
2019-07-09,1133800.0
2019-06-07,1656200.0
2019-05-06,1871700.0
2019-04-04,1673100.0
2019-09-11,2031000.0
2019-11-29,2842000.0
2020-05-05,1950800.0
2019-12-02,1978300.0
2020-02-19,1722900.0
2020-05-08,2368700.0
2019-05-21,2953000.0
2019-03-18,3172300.0
2018-09-07,1957800.0
2018-08-06,2290200.0
2018-10-09,3807900.0
2019-02-14,2994200.0
2018-12-12,3752300.0
2019-07-24,2965600.0
2019-09-26,3671500.0
2019-10-28,2662700.0
2019-12-05,2794200.0
2020-05-11,2777000.0
2019-07-03,3077700.0
2020-02-25,3272400.0
2020-05-14,2097900.0
2020-02-28,1818300.0
2019-08-08,2262800.0
2019-06-05,3034500.0
2018-07-20,1962800.0
2018-08-21,1428800.0
2018-10-24,1503500.0
2019-04-02,2138300.0
2019-03-01,1992700.0
2019-01-28,1363000.0
2018-12-27,1752300.0
2019-09-09,1611000.0
2020-03-02,1889800.0
2020-05-20,1395000.0
2019-12-17,1442100.0
2020-03-05,1284700.0
2019-02-12,1186200.0
2019-01-11,1300400.0
2018-12-10,1342400.0
2019-08-23,1378800.0
2018-11-08,1331900.0
2019-07-22,1495400.0
2019-06-20,1185800.0
2018-09-05,934000.0
2019-04-17,2374400.0
2019-09-24,1946900.0
2019-12-20,1733600.0
2020-05-26,2225300.0
2019-04-30,1316000.0
2019-12-23,1324800.0
2020-03-11,829900.0
2020-05-29,1092800.0
2019-12-26,1416600.0
2020-06-01,1324600.0
2019-05-02,1726200.0
2019-02-27,2081100.0
2018-11-23,1437400.0
2019-08-06,1151900.0
2018-07-18,1027900.0
2018-09-20,1009300.0
2018-10-22,735300.0
2019-07-05,1604800.0
2019-06-03,1245500.0
2019-10-09,1219400.0
2019-10-11,1707500.0
2020-03-17,787200.0
2020-06-04,1105100.0
2019-10-14,1019200.0
2020-03-20,985000.0
2018-11-06,1747200.0
2019-06-18,1144200.0
2019-05-17,850200.0
2019-04-15,946100.0
2019-03-14,1257500.0
2019-01-09,1727400.0
2018-08-02,1889400.0
2018-10-05,1787400.0
2019-08-21,1625900.0
2019-10-17,1395600.0
2020-03-23,4293200.0
2020-06-10,1123500.0
2019-02-25,1059100.0
2020-01-07,1359800.0
2020-03-26,1129300.0
2019-10-23,3738000.0
