Dates,GPN
2018-06-20,116.9000015258789
2018-06-21,114.69999694824219
2018-06-25,114.4000015258789
2018-06-22,110.83000183105469
2018-06-26,110.5199966430664
2018-06-27,108.77999877929688
2018-06-28,109.98999786376953
2018-06-29,111.48999786376953
2018-07-02,112.41000366210938
2018-07-03,111.0999984741211
2018-07-05,112.08999633789062
2018-07-16,112.75
2018-09-18,112.9800033569336
2019-01-24,113.5999984741211
2019-09-05,116.41000366210938
2018-11-21,117.68000030517578
2020-01-13,117.94999694824219
2020-04-01,117.0
2020-06-19,117.94000244140625
2019-10-29,118.30000305175781
2020-01-16,117.08000183105469
2020-06-22,117.12000274658203
2018-10-03,117.80999755859375
2018-07-31,115.41000366210938
2019-03-12,117.83000183105469
2019-02-08,117.68000030517578
2019-01-07,115.25
2018-12-06,112.26000213623047
2019-08-19,112.56999969482422
2019-07-18,111.9000015258789
2019-05-15,119.18000030517578
2019-09-20,118.7699966430664
2019-11-01,118.44000244140625
2020-04-07,118.05999755859375
2020-06-25,116.16999816894531
2020-06-16,116.61000061035156
2019-11-04,116.13999938964844
2020-01-22,116.94000244140625
2019-11-07,118.3499984741211
2020-04-13,116.91999816894531
2019-07-01,118.0199966430664
2019-05-30,118.66999816894531
2018-08-15,119.29000091552734
2018-10-18,119.02999877929688
2019-03-27,120.33999633789062
2019-01-22,120.37999725341797
2018-12-21,122.1500015258789
2019-09-03,123.2300033569336
2018-11-19,124.37000274658203
2019-08-02,125.01000213623047
2020-01-28,123.66999816894531
2020-04-16,124.58000183105469
2019-11-13,125.51000213623047
2020-01-31,123.69000244140625
2018-12-04,124.27999877929688
2018-11-02,123.7300033569336
2019-07-16,125.58000183105469
2018-08-30,126.80999755859375
2018-10-01,127.94999694824219
2019-06-14,128.3300018310547
2019-05-13,128.58999633789062
2019-04-11,126.97000122070312
2019-02-06,128.5500030517578
2019-09-18,126.81999969482422
2020-02-03,127.1500015258789
2020-04-22,127.19000244140625
2019-11-19,127.29000091552734
2020-02-06,127.86000061035156
2019-11-22,127.11000061035156
2019-03-25,126.70999908447266
2019-02-21,127.4000015258789
2018-12-19,126.5199966430664
2018-07-12,125.70999908447266
2018-09-14,125.48999786376953
2018-08-13,122.08999633789062
2018-10-16,121.80000305175781
2019-07-31,117.86000061035156
2019-05-28,117.62999725341797
2019-04-26,113.11000061035156
2020-04-28,112.77999877929688
2019-11-25,117.36000061035156
2020-02-12,115.44999694824219
2020-05-01,119.88999938964844
2020-05-04,119.88999938964844
2019-06-12,117.94000244140625
2019-04-09,116.5
2019-03-08,116.83000183105469
2019-02-04,114.94000244140625
2018-07-27,110.38999938964844
2018-08-28,114.13999938964844
2019-01-03,112.04000091552734
