Dates,GPN
2018-06-20,946900.0
2018-06-21,951600.0
2018-06-25,1172300.0
2018-06-22,938100.0
2018-06-26,1120100.0
2018-06-27,1241300.0
2018-06-28,1430600.0
2018-06-29,1213200.0
2018-07-02,967000.0
2018-07-03,460700.0
2018-07-05,882500.0
2018-07-16,757700.0
2018-09-18,864500.0
2019-01-24,768200.0
2019-09-05,1692100.0
2018-11-21,1079800.0
2020-01-13,704400.0
2020-04-01,648800.0
2020-06-19,626800.0
2019-10-29,647000.0
2020-01-16,659100.0
2020-06-22,771400.0
2018-10-03,467500.0
2018-07-31,2082200.0
2019-03-12,910600.0
2019-02-08,735200.0
2019-01-07,594400.0
2018-12-06,768900.0
2019-08-19,941500.0
2019-07-18,1776500.0
2019-05-15,3271500.0
2019-09-20,1503200.0
2019-11-01,1225100.0
2020-04-07,990000.0
2020-06-25,1342700.0
2020-06-16,1159500.0
2019-11-04,860700.0
2020-01-22,1070400.0
2019-11-07,713800.0
2020-04-13,974500.0
2019-07-01,815500.0
2019-05-30,688700.0
2018-08-15,637000.0
2018-10-18,621800.0
2019-03-27,520500.0
2019-01-22,512800.0
2018-12-21,534900.0
2019-09-03,962300.0
2018-11-19,1042900.0
2019-08-02,709800.0
2020-01-28,999100.0
2020-04-16,907300.0
2019-11-13,758600.0
2020-01-31,1053200.0
2018-12-04,675600.0
2018-11-02,981100.0
2019-07-16,831600.0
2018-08-30,794500.0
2018-10-01,882700.0
2019-06-14,765900.0
2019-05-13,429200.0
2019-04-11,433100.0
2019-02-06,693300.0
2019-09-18,825200.0
2020-02-03,922800.0
2020-04-22,1514100.0
2019-11-19,562400.0
2020-02-06,702300.0
2019-11-22,943800.0
2019-03-25,780200.0
2019-02-21,2869900.0
2018-12-19,1714900.0
2018-07-12,1106200.0
2018-09-14,894800.0
2018-08-13,1180900.0
2018-10-16,1331500.0
2019-07-31,1483800.0
2019-05-28,928300.0
2019-04-26,1640000.0
2020-04-28,2391300.0
2019-11-25,2077700.0
2020-02-12,1518200.0
2020-05-01,1396000.0
2020-05-04,728700.0
2019-06-12,990600.0
2019-04-09,962700.0
2019-03-08,1140200.0
2019-02-04,1154300.0
2018-07-27,1103600.0
2018-08-28,1919100.0
2019-01-03,1238200.0
2019-08-15,2580700.0
2018-10-31,2416000.0
2019-09-16,1811000.0
2020-02-18,1160200.0
2020-05-07,999600.0
2018-08-17,1250000.0
2019-12-04,954900.0
2020-02-21,968700.0
2018-12-17,662000.0
2019-08-30,1064000.0
2018-11-15,1091700.0
2019-07-29,1278100.0
2019-06-27,1112300.0
2019-04-24,1319600.0
2018-07-10,1080200.0
2018-09-12,2276700.0
2019-02-19,2052200.0
2019-01-18,1030800.0
2020-02-24,387300.0
2020-05-13,1096000.0
2019-12-10,850800.0
2020-02-27,1355300.0
2019-12-13,1218300.0
2020-05-19,1391500.0
2019-03-06,1560600.0
2018-11-30,1382800.0
2019-08-13,2119700.0
2019-07-12,1143800.0
2019-06-10,1085100.0
2019-05-09,712400.0
2018-07-25,995300.0
2018-09-27,887400.0
2018-10-29,828200.0
2019-10-16,1638000.0
2019-12-16,1589000.0
2020-03-04,2519400.0
2020-05-22,1781300.0
2019-10-01,2318200.0
2019-12-19,619800.0
2018-09-10,1419500.0
2019-05-24,1192600.0
2018-08-09,1476400.0
2019-04-22,870300.0
2019-03-21,1569900.0
2019-01-16,1086200.0
2019-08-28,1629900.0
2018-11-13,1728300.0
2018-10-12,1670200.0
2019-06-25,1010600.0
2020-03-10,1291200.0
2020-05-28,1334500.0
2019-10-07,1678000.0
2020-03-13,1424000.0
2019-10-10,1623100.0
2020-03-16,864700.0
2020-06-03,1521200.0
2018-11-28,1663000.0
2018-09-25,2972800.0
2018-07-23,1305800.0
2018-08-24,1837500.0
2019-07-10,1101700.0
2019-05-07,923100.0
2019-04-05,1358400.0
2019-03-04,1719600.0
2019-01-31,1623700.0
2019-09-12,1079100.0
2019-12-31,1565500.0
2020-03-19,1541300.0
2020-01-03,1925900.0
2020-06-09,1181100.0
2019-02-15,1631700.0
2019-01-14,1685700.0
2018-07-06,2699400.0
2018-08-07,1507100.0
2018-10-10,1509900.0
2018-12-13,1102300.0
2019-08-26,1741500.0
2019-07-25,1403100.0
2019-05-22,710100.0
2019-03-19,1056600.0
2020-01-06,1054800.0
2020-03-25,855600.0
2020-06-12,1352600.0
2019-10-22,782300.0
2020-01-09,1264900.0
2020-06-15,1043600.0
2019-10-25,959200.0
2020-03-31,1732200.0
2020-06-18,1078500.0
2019-04-03,843400.0
2018-08-22,973900.0
2018-10-25,1198700.0
2019-01-29,1005200.0
2018-12-28,1232100.0
2018-11-26,1134400.0
2019-08-09,1025900.0
2019-07-08,1224300.0
2019-06-06,665600.0
2019-09-10,699500.0
2020-01-15,795500.0
2020-04-03,791500.0
2019-10-31,685800.0
2020-04-06,1141900.0
2020-06-24,862800.0
2018-11-09,872100.0
2019-07-23,788900.0
2019-06-21,1066900.0
2019-05-20,1684300.0
2019-04-18,802100.0
2018-09-06,875600.0
2018-10-08,520800.0
2019-02-13,857700.0
2018-12-11,707600.0
2019-09-25,746300.0
2020-01-21,781800.0
2020-04-09,724100.0
2019-11-06,735300.0
2020-01-24,796500.0
2020-01-27,663900.0
2020-04-15,973100.0
