Dates,GPN
2018-06-20,116.5
2018-06-21,114.4000015258789
2018-06-25,113.5199966430664
2018-06-22,110.41999816894531
2018-06-26,110.38999938964844
2018-06-27,108.7699966430664
2018-06-28,108.54000091552734
2018-06-29,110.0999984741211
2018-07-02,110.23999786376953
2018-07-03,110.95999908447266
2018-07-05,110.13999938964844
2018-07-16,111.4000015258789
2018-09-18,112.41000366210938
2019-01-24,113.11000061035156
2019-09-05,112.79000091552734
2018-11-21,115.73999786376953
2020-01-13,117.30999755859375
2020-04-01,116.81999969482422
2020-06-19,116.27999877929688
2019-10-29,117.19999694824219
2020-01-16,116.94000244140625
2020-06-22,116.58999633789062
2018-10-03,116.7300033569336
2018-07-31,113.0999984741211
2019-03-12,115.02999877929688
2019-02-08,116.0199966430664
2019-01-07,114.5
2018-12-06,111.58000183105469
2019-08-19,111.7699966430664
2019-07-18,111.72000122070312
2019-05-15,115.12999725341797
2019-09-20,116.43000030517578
2019-11-01,117.22000122070312
2020-04-07,117.51000213623047
2020-06-25,116.0
2020-06-16,116.27999877929688
2019-11-04,115.70999908447266
2020-01-22,115.9800033569336
2019-11-07,115.98999786376953
2020-04-13,115.66000366210938
2019-07-01,116.86000061035156
2019-05-30,117.58999633789062
2018-08-15,118.41000366210938
2018-10-18,118.88999938964844
2019-03-27,118.95999908447266
2019-01-22,120.08999633789062
2018-12-21,120.4800033569336
2019-09-03,122.4800033569336
2018-11-19,123.47000122070312
2019-08-02,124.62000274658203
2020-01-28,122.52999877929688
2020-04-16,122.55999755859375
2019-11-13,124.06999969482422
2020-01-31,122.95999908447266
2018-12-04,122.69000244140625
2018-11-02,123.11000061035156
2019-07-16,123.77999877929688
2018-08-30,124.62000274658203
2018-10-01,126.83999633789062
2019-06-14,127.79000091552734
2019-05-13,128.13999938964844
2019-04-11,126.76000213623047
2019-02-06,126.8499984741211
2019-09-18,126.69999694824219
2020-02-03,126.16999816894531
2020-04-22,126.9800033569336
2019-11-19,125.86000061035156
2020-02-06,127.38999938964844
2019-11-22,126.91000366210938
2019-03-25,126.58999633789062
2019-02-21,126.23999786376953
2018-12-19,125.9000015258789
2018-07-12,125.29000091552734
2018-09-14,125.36000061035156
2018-08-13,120.91999816894531
2018-10-16,119.88999938964844
2019-07-31,116.44999694824219
2019-05-28,116.68000030517578
2019-04-26,113.06999969482422
2020-04-28,111.48999786376953
2019-11-25,115.01000213623047
2020-02-12,115.06999969482422
2020-05-01,116.4800033569336
2020-05-04,118.33999633789062
2019-06-12,117.08999633789062
2019-04-09,115.91999816894531
2019-03-08,115.56999969482422
2019-02-04,112.30000305175781
2018-07-27,110.27999877929688
2018-08-28,110.62000274658203
2019-01-03,111.05000305175781
2019-08-15,106.86000061035156
2018-10-31,107.55999755859375
2019-09-16,111.9000015258789
2020-02-18,112.5
2020-05-07,112.44000244140625
2018-08-17,110.77999877929688
2019-12-04,111.08999633789062
2020-02-21,113.18000030517578
2018-12-17,113.19999694824219
2019-08-30,110.79000091552734
2018-11-15,109.0999984741211
2019-07-29,108.33000183105469
2019-06-27,106.9800033569336
2019-04-24,106.0199966430664
2018-07-10,108.54000091552734
