Dates,CTL
2018-06-20,10032300.0
2018-06-21,5089200.0
2018-06-25,8211800.0
2018-06-22,8945100.0
2018-06-26,7399700.0
2018-06-27,5149000.0
2018-06-28,6459900.0
2018-06-29,5038700.0
2018-07-02,4865300.0
2018-07-03,4992700.0
2018-07-05,7062300.0
2018-07-16,5638900.0
2018-09-18,8069400.0
2019-01-24,8522900.0
2019-09-05,5711400.0
2018-11-21,5998200.0
2020-01-13,5127900.0
2020-04-01,7521700.0
2020-06-19,4872100.0
2019-10-29,4639700.0
2020-01-16,7148700.0
2020-06-22,6624500.0
2018-10-03,5729900.0
2018-07-31,5873100.0
2019-03-12,9603100.0
2019-02-08,8837200.0
2019-01-07,5326200.0
2018-12-06,7602500.0
2019-08-19,7787900.0
2019-07-18,6646500.0
2019-05-15,5238600.0
2019-09-20,4480100.0
2019-11-01,6680000.0
2020-04-07,10154800.0
2020-06-25,8297700.0
2020-06-16,32316900.0
2019-11-04,16412500.0
2020-01-22,15205300.0
2019-11-07,12375200.0
2020-04-13,12892800.0
2019-07-01,15473500.0
2019-05-30,10552400.0
2018-08-15,10892700.0
2018-10-18,12579200.0
2019-03-27,20488000.0
2019-01-22,10916400.0
2018-12-21,10612900.0
2019-09-03,10006800.0
2018-11-19,12972800.0
2019-08-02,17479500.0
2020-01-28,13840800.0
2020-04-16,9931600.0
2019-11-13,11681600.0
2020-01-31,8412300.0
2018-12-04,11782600.0
2018-11-02,6504000.0
2019-07-16,6630400.0
2018-08-30,11009900.0
2018-10-01,8143800.0
2019-06-14,6716600.0
2019-05-13,7708000.0
2019-04-11,6583600.0
2019-02-06,7281600.0
2019-09-18,8144600.0
2020-02-03,11568300.0
2020-04-22,26348200.0
2019-11-19,6931100.0
2020-02-06,29014300.0
2019-11-22,15553700.0
2019-03-25,9128700.0
2019-02-21,8026200.0
2018-12-19,10052500.0
2018-07-12,9085200.0
2018-09-14,9350800.0
2018-08-13,9452500.0
2018-10-16,9260800.0
2019-07-31,9766900.0
2019-05-28,9436700.0
2019-04-26,8112800.0
2020-04-28,11434800.0
2019-11-25,6076300.0
2020-02-12,8020200.0
2020-05-01,6068500.0
2020-05-04,6479400.0
2019-06-12,6156000.0
2019-04-09,11822800.0
2019-03-08,9895200.0
2019-02-04,7619200.0
2018-07-27,8623900.0
2018-08-28,9480200.0
2019-01-03,17478300.0
2019-08-15,9886300.0
2018-10-31,9750100.0
2019-09-16,8973100.0
2020-02-18,5873200.0
2020-05-07,8883400.0
2018-08-17,7544000.0
2019-12-04,7405000.0
2020-02-21,9418500.0
2018-12-17,12055100.0
2019-08-30,28675200.0
2018-11-15,10614300.0
2019-07-29,11873000.0
2019-06-27,13144200.0
2019-04-24,8878800.0
2018-07-10,10427600.0
2018-09-12,12056700.0
2019-02-19,13913700.0
2019-01-18,15146600.0
2020-02-24,6138900.0
2020-05-13,17527400.0
2019-12-10,8228500.0
2020-02-27,9412000.0
2019-12-13,6398700.0
2020-05-19,14201300.0
2019-03-06,11059200.0
2018-11-30,19280700.0
2019-08-13,19866500.0
2019-07-12,12155400.0
2019-06-10,15764700.0
2019-05-09,11191900.0
2018-07-25,15054700.0
2018-09-27,10838800.0
2018-10-29,11319300.0
2019-10-16,15270100.0
2019-12-16,12231200.0
2020-03-04,16545400.0
2020-05-22,17570000.0
2019-10-01,22330200.0
2019-12-19,10915800.0
2018-09-10,16994600.0
2019-05-24,16166200.0
2018-08-09,12125000.0
2019-04-22,14358800.0
2019-03-21,10764100.0
2019-01-16,15131400.0
2019-08-28,14930300.0
2018-11-13,21000100.0
2018-10-12,10723400.0
2019-06-25,17285800.0
2020-03-10,13777900.0
2020-05-28,12742400.0
2019-10-07,15267500.0
2020-03-13,11461200.0
2019-10-10,19379600.0
2020-03-16,19253300.0
2020-06-03,16137100.0
2018-11-28,12759100.0
2018-09-25,10900200.0
2018-07-23,20353100.0
2018-08-24,17034800.0
2019-07-10,14333900.0
2019-05-07,10048600.0
2019-04-05,11729400.0
2019-03-04,11275700.0
2019-01-31,16533400.0
2019-09-12,12371000.0
2019-12-31,28680500.0
2020-03-19,14971900.0
2020-01-03,17018000.0
2020-06-09,11214700.0
2019-02-15,15233500.0
2019-01-14,12343200.0
2018-07-06,23909600.0
2018-08-07,86421900.0
2018-10-10,36191500.0
2018-12-13,19618400.0
2019-08-26,14258900.0
2019-07-25,17023700.0
2019-05-22,12510200.0
2019-03-19,16674800.0
2020-01-06,23853600.0
2020-03-25,11769900.0
2020-06-12,14081200.0
2019-10-22,15583300.0
2020-01-09,43411400.0
2020-06-15,23572000.0
2019-10-25,18259800.0
2020-03-31,25780600.0
2020-06-18,15539200.0
2019-04-03,16095800.0
2018-08-22,14372400.0
2018-10-25,15287400.0
2019-01-29,12602400.0
2018-12-28,25034900.0
2018-11-26,8572900.0
2019-08-09,11126500.0
2019-07-08,12736200.0
2019-06-06,14863600.0
2019-09-10,14364300.0
2020-01-15,12217200.0
2020-04-03,10948900.0
2019-10-31,8022000.0
2020-04-06,6127200.0
2020-06-24,9491200.0
2018-11-09,12138300.0
2019-07-23,13310400.0
2019-06-21,8722700.0
2019-05-20,6916900.0
2019-04-18,16273700.0
2018-09-06,8558400.0
2018-10-08,7873100.0
2019-02-13,8055100.0
2018-12-11,7849600.0
2019-09-25,11889900.0
2020-01-21,11415200.0
2020-04-09,15016200.0
2019-11-06,6889100.0
2020-01-24,9396000.0
2020-01-27,16563100.0
2020-04-15,13112700.0
2018-12-26,12004700.0
2019-08-07,10754400.0
2019-06-04,12893200.0
2018-09-21,8129600.0
2018-07-19,10898500.0
2018-08-20,8711200.0
2018-10-23,10071200.0
2019-05-03,7848000.0
2019-04-01,9629500.0
2019-02-28,16329300.0
2019-11-12,16355800.0
2020-01-30,27458900.0
2019-11-15,11189700.0
2020-04-21,19390600.0
2019-04-16,14838700.0
2019-03-15,11889700.0
2019-02-11,14660600.0
2019-01-10,10552700.0
2019-08-22,18718700.0
2018-11-07,10598900.0
2018-08-03,12410500.0
2018-09-04,13638900.0
2019-06-19,15554000.0
2019-09-23,17096900.0
2019-11-18,19413700.0
2020-02-05,28062600.0
2020-04-24,18338600.0
2019-03-29,16522100.0
2019-11-21,12599400.0
2020-04-27,10916800.0
2020-02-11,10865600.0
2020-04-30,8047000.0
2019-05-01,11059200.0
2019-02-26,12742100.0
2019-01-25,12741900.0
2018-12-24,14498200.0
2019-09-06,9681500.0
2018-07-17,14432600.0
2018-09-19,12370400.0
2019-08-05,11484000.0
2019-10-08,9432800.0
2019-12-11,29562200.0
2019-11-27,15178300.0
2020-02-14,16681800.0
2020-05-06,8665900.0
2019-01-08,14638400.0
2018-12-07,18675400.0
2019-08-20,12647200.0
2018-11-05,9730600.0
2019-07-19,15235900.0
2018-10-04,5795200.0
2019-06-17,13604300.0
2019-05-16,5848700.0
2018-08-01,8349500.0
2019-03-13,10760900.0
2019-12-03,6750700.0
2020-02-20,6854800.0
2019-12-06,10890900.0
2020-05-12,10657900.0
2019-12-09,15470600.0
2020-02-26,10688400.0
2020-05-15,14410800.0
2019-03-28,11710900.0
2018-09-17,9327100.0
2018-08-16,6878900.0
2018-10-19,6221100.0
2019-04-29,7255100.0
2019-01-23,13173200.0
2019-09-04,11572400.0
2018-11-20,11355700.0
2019-07-02,9076500.0
2019-05-31,10207700.0
2019-12-12,10833800.0
2020-05-18,13692000.0
2019-09-27,37874100.0
2020-03-03,12820600.0
2020-05-21,14670300.0
2019-05-14,12494800.0
2018-08-31,13149800.0
2018-07-30,15091800.0
2018-10-02,11492000.0
2019-04-12,14485600.0
2019-03-11,12676100.0
2019-02-07,6829900.0
2019-07-17,8709400.0
2019-09-19,11600800.0
2019-10-21,6165200.0
2019-12-18,11290400.0
2020-03-06,12222400.0
2019-10-03,8016200.0
2020-03-09,8428200.0
2020-05-27,10688600.0
2019-12-24,9938600.0
2020-03-12,10834500.0
2018-12-20,7122000.0
2019-08-01,10193400.0
2018-08-14,20445700.0
2018-07-13,22745900.0
2018-10-17,17361000.0
2019-05-29,16283500.0
2019-03-26,10268100.0
2019-02-22,12840600.0
2019-10-04,11994900.0
2019-11-05,9407000.0
2019-12-27,18167700.0
2020-06-02,10451000.0
2019-12-30,9989300.0
2020-03-18,7262500.0
2020-06-05,8096600.0
2019-07-15,13681300.0
2018-12-03,11897800.0
2019-06-13,15106100.0
2019-01-04,12858800.0
2018-08-29,8857900.0
2019-02-05,9317600.0
2018-11-01,13190200.0
2019-08-16,12844200.0
2019-04-10,4870300.0
