Dates,NI
2018-06-20,1593000.0
2018-06-21,2853800.0
2018-06-25,2702000.0
2018-06-22,2991100.0
2018-06-26,2382300.0
2018-06-27,1645600.0
2018-06-28,4218600.0
2018-06-29,4136100.0
2018-07-02,4149900.0
2018-07-03,1450200.0
2018-07-05,4200400.0
2018-07-16,2350400.0
2018-09-18,3372200.0
2019-01-24,3181800.0
2019-09-05,1898500.0
2018-11-21,2239000.0
2020-01-13,1627800.0
2020-04-01,1404800.0
2020-06-19,2075400.0
2019-10-29,2323000.0
2020-01-16,2410400.0
2020-06-22,2721400.0
2018-10-03,2356500.0
2018-07-31,3561600.0
2019-03-12,1826300.0
2019-02-08,1844500.0
2019-01-07,2209300.0
2018-12-06,3356800.0
2019-08-19,3114700.0
2019-07-18,3274800.0
2019-05-15,3762300.0
2019-09-20,2646600.0
2019-11-01,3528500.0
2020-04-07,1778800.0
2020-06-25,1819300.0
2020-06-16,1693700.0
2019-11-04,2979300.0
2020-01-22,3024500.0
2019-11-07,2679500.0
2020-04-13,3563500.0
2019-07-01,2062900.0
2019-05-30,2372700.0
2018-08-15,1987400.0
2018-10-18,1913400.0
2019-03-27,1346100.0
2019-01-22,1412600.0
2018-12-21,1866800.0
2019-09-03,1867500.0
2018-11-19,1744200.0
2019-08-02,2389000.0
2020-01-28,1669100.0
2020-04-16,2246200.0
2019-11-13,1884100.0
2020-01-31,1990800.0
2018-12-04,1135200.0
2018-11-02,1913700.0
2019-07-16,2423600.0
2018-08-30,1872400.0
2018-10-01,3913800.0
2019-06-14,1968400.0
2019-05-13,33151100.0
2019-04-11,15104500.0
2019-02-06,6549200.0
2019-09-18,6470400.0
2020-02-03,5165300.0
2020-04-22,11601900.0
2019-11-19,3352300.0
2020-02-06,2846900.0
2019-11-22,2394800.0
2019-03-25,2457700.0
2019-02-21,5195000.0
2018-12-19,1603100.0
2018-07-12,2126300.0
2018-09-14,1776200.0
2018-08-13,2149100.0
2018-10-16,3706600.0
2019-07-31,3009600.0
2019-05-28,2543200.0
2019-04-26,4296900.0
2020-04-28,4468700.0
2019-11-25,2937800.0
2020-02-12,4902500.0
2020-05-01,3510300.0
2020-05-04,1441200.0
2019-06-12,2707800.0
2019-04-09,2537200.0
2019-03-08,2000400.0
2019-02-04,3143600.0
2018-07-27,4193100.0
2018-08-28,5957400.0
2019-01-03,3315600.0
2019-08-15,2793200.0
2018-10-31,4449400.0
2019-09-16,4492700.0
2020-02-18,5346600.0
2020-05-07,5558900.0
2018-08-17,3495400.0
2019-12-04,3016800.0
2020-02-21,3132300.0
2018-12-17,2657900.0
2019-08-30,3057800.0
2018-11-15,3963700.0
2019-07-29,5580300.0
2019-06-27,4773900.0
2019-04-24,6423900.0
2018-07-10,10117200.0
2018-09-12,3224000.0
2019-02-19,3597900.0
2019-01-18,2192800.0
2020-02-24,1122100.0
2020-05-13,2751600.0
2019-12-10,2169700.0
2020-02-27,3131700.0
2019-12-13,3097000.0
2020-05-19,4024700.0
2019-03-06,2689800.0
2018-11-30,3881400.0
2019-08-13,3829100.0
2019-07-12,3112800.0
2019-06-10,2680200.0
2019-05-09,2334100.0
2018-07-25,2547800.0
2018-09-27,1666000.0
2018-10-29,2768200.0
2019-10-16,3773200.0
2019-12-16,2722000.0
2020-03-04,3538600.0
2020-05-22,4650700.0
2019-10-01,4960500.0
2019-12-19,2130200.0
2018-09-10,2903600.0
2019-05-24,2842500.0
2018-08-09,2023900.0
2019-04-22,3537500.0
2019-03-21,2717400.0
2019-01-16,2372200.0
2019-08-28,2047100.0
2018-11-13,2536500.0
2018-10-12,2638800.0
2019-06-25,2183100.0
2020-03-10,2400200.0
2020-05-28,3032900.0
2019-10-07,3024900.0
2020-03-13,2823800.0
2019-10-10,2747000.0
2020-03-16,3284700.0
2020-06-03,2669700.0
2018-11-28,2453000.0
2018-09-25,1913300.0
2018-07-23,1851500.0
2018-08-24,2402800.0
2019-07-10,2702900.0
2019-05-07,3499800.0
2019-04-05,2361300.0
2019-03-04,3486200.0
2019-01-31,3630200.0
2019-09-12,4125800.0
2019-12-31,3513600.0
2020-03-19,3017500.0
2020-01-03,2453700.0
2020-06-09,2721400.0
2019-02-15,2725600.0
2019-01-14,3561200.0
2018-07-06,4232700.0
2018-08-07,2397200.0
2018-10-10,7074600.0
2018-12-13,6140500.0
2019-08-26,4932800.0
2019-07-25,4648200.0
2019-05-22,3718500.0
2019-03-19,3286800.0
2020-01-06,3233700.0
2020-03-25,4135300.0
2020-06-12,3346500.0
2019-10-22,2451400.0
2020-01-09,2405900.0
2020-06-15,2328500.0
2019-10-25,2664800.0
2020-03-31,2217100.0
2020-06-18,2183400.0
2019-04-03,3099000.0
2018-08-22,2079500.0
2018-10-25,1705700.0
2019-01-29,2864900.0
2018-12-28,6268100.0
2018-11-26,2177300.0
2019-08-09,1882100.0
2019-07-08,2038700.0
2019-06-06,2472200.0
2019-09-10,2586900.0
2020-01-15,1775600.0
2020-04-03,1751700.0
2019-10-31,1744500.0
2020-04-06,3207700.0
2020-06-24,3744700.0
2018-11-09,2947800.0
2019-07-23,2115300.0
2019-06-21,2109900.0
2019-05-20,1684300.0
2019-04-18,2469700.0
2018-09-06,2687600.0
2018-10-08,1776100.0
2019-02-13,2176300.0
2018-12-11,2040600.0
2019-09-25,2056000.0
2020-01-21,2041300.0
2020-04-09,2511500.0
2019-11-06,2158600.0
2020-01-24,1878800.0
2020-01-27,2067300.0
2020-04-15,3440900.0
2018-12-26,2248500.0
2019-08-07,2643400.0
2019-06-04,1893800.0
2018-09-21,2332000.0
