Dates,NI
2018-06-20,24.84000015258789
2018-06-21,24.93000030517578
2018-06-25,25.1200008392334
2018-06-22,25.790000915527344
2018-06-26,25.8700008392334
2018-06-27,25.8799991607666
2018-06-28,26.25
2018-06-29,26.309999465942383
2018-07-02,26.559999465942383
2018-07-03,26.84000015258789
2018-07-05,26.8700008392334
2018-07-16,27.010000228881836
2018-09-18,26.8799991607666
2019-01-24,26.3700008392334
2019-09-05,26.40999984741211
2018-11-21,26.40999984741211
2020-01-13,26.43000030517578
2020-04-01,26.350000381469727
2020-06-19,26.350000381469727
2019-10-29,26.15999984741211
2020-01-16,26.280000686645508
2020-06-22,26.15999984741211
2018-10-03,26.010000228881836
2018-07-31,25.889999389648438
2019-03-12,25.950000762939453
2019-02-08,26.149999618530273
2019-01-07,26.270000457763672
2018-12-06,26.010000228881836
2019-08-19,26.219999313354492
2019-07-18,26.030000686645508
2019-05-15,26.420000076293945
2019-09-20,26.670000076293945
2019-11-01,26.90999984741211
2020-04-07,26.719999313354492
2020-06-25,26.65999984741211
2020-06-16,26.610000610351562
2019-11-04,26.84000015258789
2020-01-22,26.860000610351562
2019-11-07,27.100000381469727
2020-04-13,27.450000762939453
2019-07-01,27.59000015258789
2019-05-30,27.760000228881836
2018-08-15,27.68000030517578
2018-10-18,27.450000762939453
2019-03-27,27.200000762939453
2019-01-22,27.200000762939453
2018-12-21,27.09000015258789
2019-09-03,27.139999389648438
2018-11-19,26.989999771118164
2019-08-02,27.280000686645508
2020-01-28,27.31999969482422
2020-04-16,27.31999969482422
2019-11-13,27.360000610351562
2020-01-31,27.559999465942383
2018-12-04,27.75
2018-11-02,27.649999618530273
2019-07-16,27.760000228881836
2018-08-30,27.790000915527344
2018-10-01,28.010000228881836
2019-06-14,28.110000610351562
2019-05-13,25.90999984741211
2019-04-11,26.0
2019-02-06,25.959999084472656
2019-09-18,25.889999389648438
2020-02-03,25.59000015258789
2020-04-22,25.6299991607666
2019-11-19,25.81999969482422
2020-02-06,25.280000686645508
2019-11-22,24.989999771118164
2019-03-25,24.950000762939453
2019-02-21,24.940000534057617
2018-12-19,24.899999618530273
2018-07-12,25.18000030517578
2018-09-14,25.190000534057617
2018-08-13,25.06999969482422
2018-10-16,25.100000381469727
2019-07-31,25.260000228881836
2019-05-28,25.299999237060547
2019-04-26,25.420000076293945
2020-04-28,25.270000457763672
2019-11-25,24.700000762939453
2020-02-12,24.959999084472656
2020-05-01,25.25
2020-05-04,25.25
2019-06-12,25.34000015258789
2019-04-09,25.510000228881836
2019-03-08,25.510000228881836
2019-02-04,25.399999618530273
2018-07-27,26.299999237060547
2018-08-28,26.239999771118164
2019-01-03,26.15999984741211
2019-08-15,25.90999984741211
2018-10-31,25.979999542236328
2019-09-16,25.68000030517578
2020-02-18,25.899999618530273
2020-05-07,25.540000915527344
2018-08-17,26.020000457763672
2019-12-04,26.149999618530273
2020-02-21,26.309999465942383
2018-12-17,26.260000228881836
2019-08-30,26.260000228881836
2018-11-15,26.350000381469727
2019-07-29,26.110000610351562
2019-06-27,26.020000457763672
2019-04-24,25.639999389648438
2018-07-10,25.860000610351562
2018-09-12,26.110000610351562
2019-02-19,26.190000534057617
2019-01-18,25.770000457763672
2020-02-24,25.860000610351562
2020-05-13,25.829999923706055
2019-12-10,26.040000915527344
2020-02-27,26.1299991607666
2019-12-13,26.049999237060547
2020-05-19,26.450000762939453
2019-03-06,26.950000762939453
2018-11-30,27.530000686645508
2019-08-13,27.190000534057617
2019-07-12,27.25
2019-06-10,27.3799991607666
2019-05-09,27.6299991607666
2018-07-25,27.639999389648438
2018-09-27,27.729999542236328
2018-10-29,27.690000534057617
2019-10-16,27.649999618530273
2019-12-16,26.920000076293945
2020-03-04,26.639999389648438
2020-05-22,26.6299991607666
2019-10-01,26.829999923706055
2019-12-19,26.280000686645508
2018-09-10,25.100000381469727
2019-05-24,25.34000015258789
2018-08-09,25.68000030517578
2019-04-22,25.549999237060547
2019-03-21,25.290000915527344
2019-01-16,25.440000534057617
2019-08-28,25.549999237060547
2018-11-13,25.899999618530273
2018-10-12,26.229999542236328
2019-06-25,26.219999313354492
2020-03-10,26.729999542236328
2020-05-28,26.65999984741211
2019-10-07,26.239999771118164
2020-03-13,26.459999084472656
2019-10-10,26.540000915527344
2020-03-16,26.799999237060547
2020-06-03,26.889999389648438
2018-11-28,26.84000015258789
2018-09-25,26.860000610351562
2018-07-23,26.950000762939453
2018-08-24,26.8700008392334
2019-07-10,26.440000534057617
2019-05-07,26.399999618530273
2019-04-05,26.799999237060547
2019-03-04,27.299999237060547
2019-01-31,27.209999084472656
2019-09-12,26.6200008392334
2019-12-31,26.450000762939453
2020-03-19,26.489999771118164
2020-01-03,26.6299991607666
2020-06-09,26.600000381469727
2019-02-15,26.65999984741211
2019-01-14,26.959999084472656
2018-07-06,26.84000015258789
2018-08-07,26.969999313354492
2018-10-10,27.100000381469727
2018-12-13,27.170000076293945
2019-08-26,26.799999237060547
2019-07-25,26.520000457763672
2019-05-22,26.729999542236328
2019-03-19,26.649999618530273
2020-01-06,26.8700008392334
2020-03-25,27.06999969482422
2020-06-12,27.229999542236328
2019-10-22,26.969999313354492
2020-01-09,27.09000015258789
2020-06-15,27.030000686645508
2019-10-25,27.15999984741211
2020-03-31,27.40999984741211
2020-06-18,27.440000534057617
2019-04-03,27.790000915527344
2018-08-22,28.059999465942383
2018-10-25,28.1299991607666
2019-01-29,28.079999923706055
2018-12-28,27.979999542236328
2018-11-26,28.100000381469727
2019-08-09,28.149999618530273
2019-07-08,28.09000015258789
2019-06-06,28.420000076293945
2019-09-10,28.799999237060547
2020-01-15,28.760000228881836
2020-04-03,28.81999969482422
2019-10-31,28.850000381469727
2020-04-06,28.809999465942383
2020-06-24,28.780000686645508
2018-11-09,28.670000076293945
2019-07-23,28.360000610351562
2019-06-21,28.239999771118164
2019-05-20,28.190000534057617
2019-04-18,28.280000686645508
2018-09-06,28.3700008392334
2018-10-08,28.15999984741211
2019-02-13,28.190000534057617
2018-12-11,28.059999465942383
2019-09-25,28.079999923706055
2020-01-21,28.209999084472656
2020-04-09,28.049999237060547
2019-11-06,27.729999542236328
2020-01-24,27.760000228881836
2020-01-27,27.469999313354492
2020-04-15,27.469999313354492
2018-12-26,27.610000610351562
2019-08-07,27.8700008392334
2019-06-04,28.100000381469727
2018-09-21,27.610000610351562
2018-07-19,27.8700008392334
