Dates,NI
2018-06-20,24.719999313354492
2018-06-21,24.790000915527344
2018-06-25,24.790000915527344
2018-06-22,25.040000915527344
2018-06-26,25.610000610351562
2018-06-27,25.530000686645508
2018-06-28,25.8700008392334
2018-06-29,26.06999969482422
2018-07-02,26.299999237060547
2018-07-03,26.489999771118164
2018-07-05,26.719999313354492
2018-07-16,26.860000610351562
2018-09-18,26.8799991607666
2019-01-24,25.899999618530273
2019-09-05,26.239999771118164
2018-11-21,26.399999618530273
2020-01-13,26.31999969482422
2020-04-01,26.309999465942383
2020-06-19,26.350000381469727
2019-10-29,26.100000381469727
2020-01-16,26.030000686645508
2020-06-22,25.989999771118164
2018-10-03,25.969999313354492
2018-07-31,25.690000534057617
2019-03-12,25.829999923706055
2019-02-08,25.93000030517578
2019-01-07,26.1200008392334
2018-12-06,25.950000762939453
2019-08-19,25.84000015258789
2019-07-18,25.65999984741211
2019-05-15,25.969999313354492
2019-09-20,26.290000915527344
2019-11-01,26.579999923706055
2020-04-07,26.719999313354492
2020-06-25,26.5
2020-06-16,26.469999313354492
2019-11-04,26.56999969482422
2020-01-22,26.610000610351562
2019-11-07,26.799999237060547
2020-04-13,26.989999771118164
2019-07-01,27.200000762939453
2019-05-30,27.479999542236328
2018-08-15,27.639999389648438
2018-10-18,27.399999618530273
2019-03-27,27.200000762939453
2019-01-22,27.010000228881836
2018-12-21,26.989999771118164
2019-09-03,27.100000381469727
2018-11-19,26.889999389648438
2019-08-02,27.010000228881836
2020-01-28,27.280000686645508
2020-04-16,27.18000030517578
2019-11-13,27.1299991607666
2020-01-31,27.110000610351562
2018-12-04,27.530000686645508
2018-11-02,27.5
2019-07-16,27.239999771118164
2018-08-30,27.639999389648438
2018-10-01,27.709999084472656
2019-06-14,27.93000030517578
2019-05-13,25.520000457763672
2019-04-11,24.799999237060547
2019-02-06,25.540000915527344
2019-09-18,25.889999389648438
2020-02-03,25.59000015258789
2020-04-22,24.979999542236328
2019-11-19,25.420000076293945
2020-02-06,25.1200008392334
2019-11-22,24.8799991607666
2019-03-25,24.59000015258789
2019-02-21,24.780000686645508
2018-12-19,24.860000610351562
2018-07-12,24.920000076293945
2018-09-14,25.100000381469727
2018-08-13,24.739999771118164
2018-10-16,24.959999084472656
2019-07-31,25.049999237060547
2019-05-28,25.1299991607666
2019-04-26,24.90999984741211
2020-04-28,25.170000076293945
2019-11-25,24.639999389648438
2020-02-12,24.290000915527344
2020-05-01,24.639999389648438
2020-05-04,25.15999984741211
2019-06-12,25.079999923706055
2019-04-09,25.100000381469727
2019-03-08,25.440000534057617
