Dates,SO
2018-09-21,3315100.0
2018-07-19,7218500.0
2018-08-20,6057600.0
2018-10-23,4842100.0
2019-05-03,3490500.0
2019-04-01,4033800.0
2019-02-28,3557800.0
2019-11-12,3965100.0
2020-01-30,4080500.0
2019-11-15,4165800.0
2020-04-21,6482400.0
2019-04-16,4294500.0
2019-03-15,4033100.0
2019-02-11,5262200.0
2019-01-10,4847500.0
2019-08-22,3459500.0
2018-11-07,3435000.0
2018-08-03,3904700.0
2018-09-04,4640800.0
2019-06-19,2830100.0
2019-09-23,4747900.0
2019-11-18,3254200.0
2020-02-05,3254800.0
2020-04-24,3925000.0
2019-03-29,4210400.0
2019-11-21,3868500.0
2020-04-27,5624000.0
2020-02-11,4727200.0
2020-04-30,4097200.0
2019-05-01,4450800.0
2019-02-26,3396000.0
2019-01-25,2884700.0
2018-12-24,3444600.0
2019-09-06,4081200.0
2018-07-17,2989100.0
2018-09-19,3842100.0
2019-08-05,6153400.0
2019-10-08,4018700.0
2019-12-11,8627300.0
2019-11-27,3741200.0
2020-02-14,2704600.0
2020-05-06,4704100.0
2019-01-08,3413800.0
2018-12-07,5611000.0
2019-08-20,4368100.0
2018-11-05,2913900.0
2019-07-19,2629500.0
2018-10-04,3133900.0
2019-06-17,2789200.0
2019-05-16,3590900.0
2018-08-01,3406100.0
2019-03-13,3583400.0
2019-12-03,4341300.0
2020-02-20,4005300.0
2019-12-06,3127400.0
2020-05-12,3223800.0
2019-12-09,3379900.0
2020-02-26,5517800.0
2020-05-15,4623300.0
2019-03-28,3023300.0
2018-09-17,3613900.0
2018-08-16,3280900.0
2018-10-19,2288700.0
2019-04-29,3329300.0
2019-01-23,6918500.0
2019-09-04,7190500.0
2018-11-20,6143400.0
2019-07-02,4389100.0
2019-05-31,5779800.0
2019-12-12,5004100.0
2020-05-18,5139500.0
2019-09-27,3842300.0
2020-03-03,3097500.0
2020-05-21,2786100.0
2019-05-14,10429300.0
2018-08-31,13002000.0
2018-07-30,5623600.0
2018-10-02,6259100.0
2019-04-12,4640400.0
2019-03-11,4010300.0
2019-02-07,4406500.0
2019-07-17,4368700.0
2019-09-19,4926200.0
2019-10-21,3838100.0
2019-12-18,6155600.0
2020-03-06,5194400.0
2019-10-03,4883300.0
2020-03-09,7426700.0
2020-05-27,9082500.0
2019-12-24,5577900.0
2020-03-12,6242300.0
2018-12-20,4680700.0
2019-08-01,4730900.0
2018-08-14,4459100.0
2018-07-13,4344200.0
2018-10-17,4333700.0
2019-05-29,5492500.0
2019-03-26,4658600.0
2019-02-22,3962000.0
2019-10-04,3896900.0
2019-11-05,3502700.0
2019-12-27,7474800.0
2020-06-02,3888900.0
2019-12-30,5090400.0
2020-03-18,4208300.0
2020-06-05,2890300.0
2019-07-15,2991400.0
2018-12-03,3441800.0
2019-06-13,3022400.0
2019-01-04,4189000.0
2018-08-29,4216200.0
2019-02-05,3556700.0
2018-11-01,3355000.0
2019-08-16,3510900.0
2019-04-10,2897100.0
2019-09-17,3601000.0
2019-10-15,3459100.0
2020-01-02,2890700.0
2020-06-08,3648200.0
2019-10-18,4395400.0
2020-03-24,3444500.0
2020-06-11,4178700.0
2020-01-08,3146400.0
2019-04-25,2667400.0
2019-07-30,2796800.0
2019-02-20,2452000.0
2018-07-11,2865600.0
2018-09-13,4342900.0
2018-10-15,4874100.0
2019-06-28,5253200.0
2018-12-18,5169900.0
2018-11-16,4353500.0
2019-10-02,4050100.0
2020-03-27,3958900.0
2020-01-10,2812700.0
2019-10-24,5991700.0
2020-03-30,3909100.0
2020-06-17,3400700.0
2020-01-14,3337900.0
2020-04-02,4965900.0
2019-01-02,5399800.0
2019-08-14,5433400.0
2018-10-30,4968300.0
2019-06-11,3639200.0
2019-05-10,3057800.0
2019-04-08,2776700.0
2018-08-27,3629200.0
2018-07-26,6383700.0
2018-09-28,8201000.0
2019-03-07,3532000.0
2019-10-30,1863800.0
2020-01-17,4334100.0
2020-06-23,4746300.0
2020-04-08,5336100.0
2020-06-26,3217000.0
2019-03-22,3520600.0
2019-01-17,4310500.0
2019-08-29,7917500.0
2018-11-14,5796500.0
2019-06-26,6446500.0
2018-09-11,5158600.0
2018-07-09,7574900.0
2018-08-10,10599000.0
2019-04-23,6382800.0
2019-09-30,8192100.0
2020-01-23,11392300.0
2019-11-08,3678000.0
2020-04-14,1962500.0
2019-11-11,2361000.0
2020-01-29,2432000.0
2020-04-17,2772700.0
2018-07-24,3767500.0
2018-09-26,4675900.0
2019-05-08,3531800.0
2019-03-05,3507600.0
2019-02-01,3191700.0
2018-12-31,3413600.0
2018-11-29,3114700.0
2019-08-12,4427800.0
2019-07-11,5262100.0
2019-09-13,5153300.0
2019-11-14,3772400.0
2020-04-20,3145900.0
2020-02-04,6072600.0
2020-04-23,4546600.0
2018-12-14,3369800.0
2019-08-27,3481200.0
2018-08-08,5048900.0
2018-10-11,4412300.0
2018-11-12,4714600.0
2019-07-26,3252100.0
2019-06-24,3755400.0
2019-05-23,5469000.0
2019-03-20,3144600.0
2019-01-15,5504400.0
2019-11-20,6441600.0
2020-02-07,5625700.0
2020-02-10,3732400.0
2020-04-29,3659800.0
2019-11-26,3341900.0
2020-02-13,3545000.0
