Dates,SO
2018-06-20,45.04999923706055
2018-06-21,45.290000915527344
2018-06-25,45.810001373291016
2018-06-22,46.599998474121094
2018-06-26,46.09000015258789
2018-06-27,46.33000183105469
2018-06-28,46.34000015258789
2018-06-29,46.310001373291016
2018-07-02,46.900001525878906
2018-07-03,47.0
2018-07-05,47.560001373291016
2018-07-16,47.7599983215332
2018-09-18,46.369998931884766
2019-01-24,47.34000015258789
2019-09-05,47.77000045776367
2018-11-21,47.97999954223633
2020-01-13,47.959999084472656
2020-04-01,47.709999084472656
2020-06-19,47.650001525878906
2019-10-29,47.54999923706055
2020-01-16,47.91999816894531
2020-06-22,47.52000045776367
2018-10-03,47.36000061035156
2018-07-31,47.540000915527344
2019-03-12,47.54999923706055
2019-02-08,48.08000183105469
2019-01-07,47.970001220703125
2018-12-06,47.90999984741211
2019-08-19,48.599998474121094
2019-07-18,48.08000183105469
2019-05-15,48.470001220703125
2019-09-20,48.93000030517578
2019-11-01,48.9900016784668
2020-04-07,49.08000183105469
2020-06-25,46.880001068115234
2020-06-16,46.810001373291016
2019-11-04,46.130001068115234
2020-01-22,46.400001525878906
2019-11-07,46.720001220703125
2020-04-13,47.150001525878906
2019-07-01,47.5
2019-05-30,46.970001220703125
2018-08-15,46.61000061035156
2018-10-18,46.0
2019-03-27,45.2599983215332
2019-01-22,45.13999938964844
2018-12-21,45.029998779296875
2019-09-03,44.630001068115234
2018-11-19,44.33000183105469
2019-08-02,44.540000915527344
2020-01-28,44.189998626708984
2020-04-16,43.779998779296875
2019-11-13,43.88999938964844
2020-01-31,44.65999984741211
2018-12-04,45.7599983215332
2018-11-02,44.33000183105469
2019-07-16,44.36000061035156
2018-08-30,44.16999816894531
2018-10-01,44.119998931884766
2019-06-14,44.290000915527344
2019-05-13,43.900001525878906
2019-04-11,44.38999938964844
2019-02-06,44.790000915527344
2019-09-18,43.70000076293945
2020-02-03,43.290000915527344
2020-04-22,44.0099983215332
2019-11-19,43.83000183105469
2020-02-06,42.72999954223633
2019-11-22,42.65999984741211
2019-03-25,43.2400016784668
2019-02-21,43.599998474121094
2018-12-19,43.18000030517578
2018-07-12,43.43000030517578
2018-09-14,42.790000915527344
2018-08-13,42.97999954223633
2018-10-16,43.709999084472656
2019-07-31,43.91999816894531
2019-05-28,44.119998931884766
2019-04-26,43.939998626708984
2020-04-28,43.540000915527344
2019-11-25,43.58000183105469
2020-02-12,44.220001220703125
2020-05-01,44.5099983215332
2020-05-04,44.310001373291016
2019-06-12,44.29999923706055
2019-04-09,45.06999969482422
2019-03-08,44.970001220703125
2019-02-04,44.72999954223633
2018-07-27,46.02000045776367
2018-08-28,45.27000045776367
2019-01-03,44.86000061035156
2019-08-15,45.88999938964844
2018-10-31,45.81999969482422
2019-09-16,45.029998779296875
2020-02-18,44.900001525878906
2020-05-07,44.7400016784668
2018-08-17,45.25
2019-12-04,45.66999816894531
2020-02-21,47.0099983215332
2018-12-17,46.58000183105469
2019-08-30,46.810001373291016
2018-11-15,46.88999938964844
2019-07-29,47.27000045776367
2019-06-27,47.400001525878906
2019-04-24,47.18000030517578
2018-07-10,46.88999938964844
2018-09-12,47.040000915527344
2019-02-19,46.65999984741211
2019-01-18,45.630001068115234
2020-02-24,45.720001220703125
2020-05-13,45.650001525878906
2019-12-10,46.09000015258789
2020-02-27,46.119998931884766
2019-12-13,46.540000915527344
2020-05-19,47.33000183105469
2019-03-06,47.4900016784668
2018-11-30,47.2400016784668
2019-08-13,46.52000045776367
2019-07-12,46.97999954223633
2019-06-10,47.220001220703125
2019-05-09,47.560001373291016
2018-07-25,47.0099983215332
2018-09-27,47.54999923706055
2018-10-29,47.33000183105469
2019-10-16,46.0
2019-12-16,45.529998779296875
2020-03-04,45.279998779296875
2020-05-22,45.09000015258789
2019-10-01,45.09000015258789
2019-12-19,43.02000045776367
2018-09-10,43.63999938964844
2019-05-24,43.95000076293945
2018-08-09,43.95000076293945
2019-04-22,43.91999816894531
2019-03-21,43.720001220703125
2019-01-16,44.34000015258789
2019-08-28,44.709999084472656
2018-11-13,44.61000061035156
2018-10-12,45.880001068115234
2019-06-25,45.4900016784668
2020-03-10,46.34000015258789
2020-05-28,46.61000061035156
2019-10-07,46.15999984741211
2020-03-13,46.790000915527344
2019-10-10,46.869998931884766
2020-03-16,47.06999969482422
2020-06-03,47.220001220703125
2018-11-28,47.06999969482422
2018-09-25,47.58000183105469
2018-07-23,47.959999084472656
2018-08-24,47.5
2019-07-10,47.43000030517578
2019-05-07,47.58000183105469
2019-04-05,47.869998931884766
2019-03-04,48.599998474121094
2019-01-31,48.4900016784668
2019-09-12,48.61000061035156
2019-12-31,48.72999954223633
2020-03-19,48.540000915527344
2020-01-03,49.15999984741211
2020-06-09,49.119998931884766
2019-02-15,49.2400016784668
