Dates,CHRW
2018-06-20,867800.0
2018-06-21,1433500.0
2018-06-25,1235900.0
2018-06-22,1645100.0
2018-06-26,1021700.0
2018-06-27,923500.0
2018-06-28,1157600.0
2018-06-29,1494600.0
2018-07-02,1605100.0
2018-07-03,1009700.0
2018-07-05,1633700.0
2018-07-16,1346500.0
2018-09-18,1350400.0
2019-01-24,722000.0
2019-09-05,947500.0
2018-11-21,858700.0
2020-01-13,1007700.0
2020-04-01,1692700.0
2020-06-19,1266100.0
2019-10-29,786700.0
2020-01-16,1552000.0
2020-06-22,894000.0
2018-10-03,1231900.0
2018-07-31,1236700.0
2019-03-12,1052000.0
2019-02-08,1454500.0
2019-01-07,1016900.0
2018-12-06,1515500.0
2019-08-19,1991400.0
2019-07-18,2109700.0
2019-05-15,1306500.0
2019-09-20,1021900.0
2019-11-01,783700.0
2020-04-07,1022500.0
2020-06-25,790400.0
2020-06-16,1055100.0
2019-11-04,925300.0
2020-01-22,773100.0
2019-11-07,920100.0
2020-04-13,873000.0
2019-07-01,708600.0
2019-05-30,1009000.0
2018-08-15,800300.0
2018-10-18,790400.0
2019-03-27,681300.0
2019-01-22,569100.0
2018-12-21,484200.0
2019-09-03,820000.0
2018-11-19,560500.0
2019-08-02,592900.0
2020-01-28,689900.0
2020-04-16,939500.0
2019-11-13,826500.0
2020-01-31,1158000.0
2018-12-04,1258000.0
2018-11-02,638200.0
2019-07-16,1609100.0
2018-08-30,1238500.0
2018-10-01,592100.0
2019-06-14,844000.0
2019-05-13,988300.0
2019-04-11,1187800.0
2019-02-06,700200.0
2019-09-18,546400.0
2020-02-03,697100.0
2020-04-22,1313300.0
2019-11-19,720700.0
2020-02-06,765000.0
2019-11-22,880300.0
2019-03-25,745500.0
2019-02-21,937500.0
2018-12-19,847900.0
2018-07-12,867100.0
2018-09-14,954800.0
2018-08-13,824600.0
2018-10-16,934300.0
2019-07-31,663300.0
2019-05-28,961600.0
2019-04-26,1900900.0
2020-04-28,1401500.0
2019-11-25,1136200.0
2020-02-12,1105800.0
2020-05-01,1127100.0
2020-05-04,979200.0
2019-06-12,1210500.0
2019-04-09,1920800.0
2019-03-08,1004400.0
2019-02-04,1393000.0
2018-07-27,1129800.0
2018-08-28,1029000.0
2019-01-03,1323800.0
2019-08-15,1051800.0
2018-10-31,1628900.0
2019-09-16,3673100.0
2020-02-18,1509900.0
2020-05-07,1506000.0
2018-08-17,1226100.0
2019-12-04,1264300.0
2020-02-21,671800.0
2018-12-17,889900.0
2019-08-30,1177400.0
2018-11-15,1221300.0
2019-07-29,1076100.0
2019-06-27,1249300.0
2019-04-24,1202600.0
2018-07-10,1017300.0
2018-09-12,870600.0
2019-02-19,753600.0
2019-01-18,775500.0
2020-02-24,385300.0
2020-05-13,729700.0
2019-12-10,1083300.0
2020-02-27,1695200.0
2019-12-13,852000.0
2020-05-19,2244900.0
2019-03-06,1605500.0
2018-11-30,2165800.0
2019-08-13,1221900.0
2019-07-12,1271400.0
2019-06-10,980000.0
2019-05-09,931700.0
2018-07-25,1053600.0
2018-09-27,2178800.0
2018-10-29,1920500.0
2019-10-16,1272300.0
2019-12-16,1218700.0
2020-03-04,1535500.0
2020-05-22,1759400.0
2019-10-01,2206200.0
