Dates,CHRW
2018-06-20,86.00491333007812
2018-06-21,85.54759216308594
2018-06-25,84.42334747314453
2018-06-22,81.54603576660156
2018-06-26,80.87908935546875
2018-06-27,79.76439666748047
2018-06-28,79.58336639404297
2018-06-29,79.70722198486328
2018-07-02,81.57461547851562
2018-07-03,80.97437286376953
2018-07-05,80.41226196289062
2018-07-16,80.46942138671875
2018-09-18,81.80328369140625
2019-01-24,81.82233428955078
2019-09-05,81.78421783447266
2018-11-21,81.77470397949219
2020-01-13,82.64169311523438
2020-04-01,83.17523956298828
2020-06-19,83.55633544921875
2019-10-29,84.64247131347656
2020-01-16,85.35704040527344
2020-06-22,86.05254364013672
2018-10-03,85.4046859741211
2018-07-31,85.7286148071289
2019-03-12,87.41497802734375
2019-02-08,87.51025390625
2019-01-07,87.12915802001953
2018-12-06,86.1954574584961
2019-08-19,87.87230682373047
2019-07-18,90.87346649169922
2019-05-15,90.9211196899414
2019-09-20,91.26409912109375
2019-11-01,91.67378997802734
2020-04-07,91.76905822753906
2020-06-25,91.53086853027344
2020-06-16,90.27323150634766
2019-11-04,90.4161605834961
2020-01-22,89.50150299072266
2019-11-07,89.53008270263672
2020-04-13,90.10175323486328
2019-07-01,91.84529113769531
2019-05-30,92.5503158569336
2018-08-15,92.76946258544922
2018-10-18,92.61701965332031
2019-03-27,92.67417907714844
2019-01-22,91.84529113769531
2018-12-21,91.9405517578125
2019-09-03,92.23590087890625
2018-11-19,91.76905822753906
2019-08-02,91.53086853027344
2020-01-28,91.06401824951172
2020-04-16,91.5404052734375
2019-11-13,91.5499267578125
2020-01-31,92.00724029541016
2018-12-04,93.05070495605469
2018-11-02,92.32315826416016
2019-07-16,95.90351104736328
2018-08-30,95.40570068359375
2018-10-01,94.87918853759766
2019-06-14,94.3239517211914
2019-05-13,95.81735229492188
2019-04-11,92.58163452148438
2019-02-06,93.04114532470703
2019-09-18,92.72523498535156
2020-02-03,92.24658203125
2020-04-22,93.40492248535156
2019-11-19,92.24658203125
2020-02-06,92.08382415771484
2019-11-22,93.0794448852539
2019-03-25,93.23261260986328
2019-02-21,93.7399673461914
2018-12-19,93.66339874267578
2018-07-12,92.90711975097656
2018-09-14,93.74954986572266
2018-08-13,93.37621307373047
2018-10-16,93.1272964477539
2019-07-31,93.5868148803711
2019-05-28,92.14128112792969
2019-04-26,88.5992202758789
2020-04-28,87.22069549560547
2019-11-25,87.76636505126953
2020-02-12,89.03958129882812
2020-05-01,90.17877960205078
2020-05-04,89.68099975585938
2019-06-12,89.3554916381836
2019-04-09,86.98136138916016
2019-03-08,87.72805786132812
2019-02-04,84.62637329101562
2018-07-27,82.60646057128906
2018-08-28,83.67863464355469
2019-01-03,82.51070404052734
2019-08-15,83.34357452392578
2018-10-31,84.52106475830078
2019-09-16,85.22947692871094
2020-02-18,87.01964569091797
2020-05-07,84.91355895996094
2018-08-17,84.36790466308594
2019-12-04,85.03801727294922
2020-02-21,86.99092864990234
2018-12-17,87.4695816040039
2019-08-30,85.78472137451172
2018-11-15,84.38704681396484
2019-07-29,84.42533111572266
2019-06-27,86.15807342529297
2019-04-24,87.36428833007812
2018-07-10,86.92391967773438
2018-09-12,86.7037353515625
2019-02-19,84.28173828125
2019-01-18,85.43051147460938
2020-02-24,85.42093658447266
2020-05-13,86.82819366455078
2019-12-10,87.14411163330078
2020-02-27,87.96739196777344
2019-12-13,87.83336639404297
2020-05-19,88.38861083984375
2019-03-06,87.5653305053711
2018-11-30,85.07630920410156
2019-08-13,86.20594024658203
2019-07-12,83.94668579101562
2019-06-10,84.07112884521484
2019-05-09,84.31045532226562
2018-07-25,84.35832214355469
2018-09-27,81.20877075195312
2018-10-29,81.51692962646484
2019-10-16,81.69989013671875
2019-12-16,81.834716796875
2020-03-04,80.77542114257812
2020-05-22,79.53317260742188
2019-10-01,77.87682342529297
2019-12-19,76.13381958007812
2018-09-10,79.17686462402344
2019-05-24,80.24577331542969
2018-08-09,80.13023376464844
2019-04-22,80.97764587402344
2019-03-21,79.90873718261719
2019-01-16,76.96199035644531
2019-08-28,79.62947082519531
2018-11-13,80.01465606689453
2018-10-12,80.65986633300781
2019-06-25,81.58433532714844
2020-03-10,82.27767181396484
2020-05-28,82.46066284179688
2019-10-07,82.67252349853516
2020-03-13,82.0754623413086
2019-10-10,81.87322998046875
2020-03-16,82.85548400878906
2020-06-03,85.38813781738281
2018-11-28,83.73179626464844
2018-09-25,83.76068878173828
2018-07-23,83.33697509765625
2018-08-24,83.82809448242188
2019-07-10,83.55845642089844
2019-05-07,83.40438079833984
2019-04-05,83.51995086669922
2019-03-04,83.55845642089844
2019-01-31,84.4732894897461
2019-09-12,85.3399887084961
2019-12-31,86.39927673339844
2020-03-19,87.4296646118164
2020-01-03,87.01557922363281
2020-06-09,87.01557922363281
2019-02-15,86.75557708740234
2019-01-14,87.64152526855469
2018-07-06,87.53559112548828
2018-08-07,87.34300231933594
2018-10-10,88.06523895263672
2018-12-13,88.54673767089844
2019-08-26,88.6141357421875
2019-07-25,88.76822662353516
2019-05-22,88.537109375
2019-03-19,87.66079711914062
2020-01-06,87.73783111572266
2020-03-25,86.73631286621094
2020-06-12,87.52069091796875
2019-10-22,87.34638214111328
2020-01-09,85.93257141113281
2020-06-15,86.01972961425781
2019-10-25,85.206298828125
2020-03-31,84.70275115966797
2020-06-18,84.6737060546875
2019-04-03,86.05846405029297
2018-08-22,85.9422607421875
2018-10-25,86.26182556152344
2019-01-29,86.51358795166016
2018-12-28,86.18434143066406
2018-11-26,87.23985290527344
2019-08-09,85.51618957519531
2019-07-08,83.89900970458984
2019-06-06,84.51876068115234
2019-09-10,82.00102233886719
2020-01-15,80.79056549072266
2020-04-03,82.83380889892578
2019-10-31,83.10494995117188
2020-04-06,83.5503921508789
2020-06-24,84.2379379272461
2018-11-09,85.5064926147461
2019-07-23,85.69049072265625
2019-06-21,85.89383697509766
2019-05-20,86.40706634521484
2019-04-18,86.62979125976562
2018-09-06,86.78475189208984
2018-10-08,86.40706634521484
2019-02-13,85.5355453491211
2018-12-11,86.8331527709961
2019-09-25,87.91771697998047
2020-01-21,88.0048599243164
2020-04-09,86.68789672851562
2019-11-06,86.63948822021484
2020-01-24,87.14302825927734
2020-01-27,87.30766296386719
2020-04-15,87.859619140625
2018-12-26,88.52778625488281
2019-08-07,85.77764129638672
2019-06-04,84.98358154296875
2018-09-21,78.5439682006836
2018-07-19,78.43743133544922
2018-08-20,78.17597961425781
2018-10-23,80.7808837890625
2019-05-03,81.24569702148438
2019-04-01,80.57752227783203
2019-02-28,79.93841552734375
2019-11-12,80.62594604492188
2020-01-30,80.06429290771484
2019-11-15,79.14434814453125
2020-04-21,77.51750183105469
2019-04-16,78.81510162353516
2019-03-15,79.27023315429688
