Dates,KMB
2018-06-20,1787200.0
2018-06-21,2918300.0
2018-06-25,2224900.0
2018-06-22,2535300.0
2018-06-26,2068200.0
2018-06-27,2237300.0
2018-06-28,2178100.0
2018-06-29,2044500.0
2018-07-02,1653200.0
2018-07-03,1201200.0
2018-07-05,2661300.0
2018-07-16,1990900.0
2018-09-18,1747500.0
2019-01-24,2978900.0
2019-09-05,1895000.0
2018-11-21,2023300.0
2020-01-13,1947200.0
2020-04-01,1669100.0
2020-06-19,1669500.0
2019-10-29,2088900.0
2020-01-16,4612100.0
2020-06-22,2120300.0
2018-10-03,3735900.0
2018-07-31,4215200.0
2019-03-12,2457300.0
2019-02-08,2379300.0
2019-01-07,2207200.0
2018-12-06,2099500.0
2019-08-19,6699000.0
2019-07-18,4284300.0
2019-05-15,2880100.0
2019-09-20,3247200.0
2019-11-01,2160100.0
2020-04-07,1733700.0
2020-06-25,1703300.0
2020-06-16,1601900.0
2019-11-04,2372700.0
2020-01-22,3184400.0
2019-11-07,1478300.0
2020-04-13,6018500.0
2019-07-01,3645400.0
2019-05-30,3429800.0
2018-08-15,2211300.0
2018-10-18,2175900.0
2019-03-27,1283200.0
2019-01-22,1119800.0
2018-12-21,1198700.0
2019-09-03,1335900.0
2018-11-19,1217500.0
2019-08-02,1924700.0
2020-01-28,2841900.0
2020-04-16,1679000.0
2019-11-13,1902000.0
2020-01-31,3171900.0
2018-12-04,2511000.0
2018-11-02,1312500.0
2019-07-16,1152700.0
2018-08-30,967400.0
2018-10-01,1104100.0
2019-06-14,1358200.0
2019-05-13,1175300.0
2019-04-11,1394100.0
2019-02-06,1525600.0
2019-09-18,889200.0
2020-02-03,1166600.0
2020-04-22,2131900.0
2019-11-19,1817900.0
2020-02-06,1507400.0
2019-11-22,1231900.0
2019-03-25,1062000.0
2019-02-21,1865600.0
2018-12-19,1130300.0
2018-07-12,1433600.0
2018-09-14,2107300.0
2018-08-13,1838700.0
2018-10-16,2227900.0
2019-07-31,1451000.0
2019-05-28,1481500.0
2019-04-26,2526800.0
2020-04-28,3433300.0
2019-11-25,2237100.0
2020-02-12,1389800.0
2020-05-01,1529100.0
2020-05-04,2733400.0
2019-06-12,1856500.0
2019-04-09,4250700.0
2019-03-08,4258300.0
2019-02-04,4400100.0
2018-07-27,3426400.0
2018-08-28,2931500.0
2019-01-03,3785900.0
2019-08-15,2380400.0
2018-10-31,2894400.0
2019-09-16,2501300.0
2020-02-18,1828700.0
2020-05-07,1666900.0
2018-08-17,1567800.0
2019-12-04,1632400.0
2020-02-21,1639300.0
2018-12-17,1187700.0
2019-08-30,2234200.0
2018-11-15,2141500.0
2019-07-29,1423200.0
2019-06-27,1452400.0
2019-04-24,1610200.0
2018-07-10,1394900.0
2018-09-12,1672100.0
2019-02-19,1790300.0
2019-01-18,1432100.0
2020-02-24,1111000.0
2020-05-13,1865200.0
2019-12-10,2311700.0
2020-02-27,1921100.0
2019-12-13,1329000.0
2020-05-19,2237000.0
2019-03-06,2177900.0
2018-11-30,2532000.0
2019-08-13,2123100.0
2019-07-12,2327100.0
2019-06-10,2570700.0
2019-05-09,2033500.0
2018-07-25,2667400.0
2018-09-27,2746000.0
2018-10-29,2226200.0
2019-10-16,1742400.0
2019-12-16,1711900.0
2020-03-04,2855600.0
2020-05-22,3202800.0
2019-10-01,5489600.0
2019-12-19,2668900.0
2018-09-10,2265500.0
2019-05-24,1922800.0
2018-08-09,1695700.0
2019-04-22,1876200.0
2019-03-21,2634400.0
2019-01-16,3264800.0
2019-08-28,2257400.0
2018-11-13,1729700.0
2018-10-12,2753800.0
2019-06-25,1982200.0
2020-03-10,2358400.0
2020-05-28,1688900.0
2019-10-07,3143400.0
2020-03-13,2000800.0
2019-10-10,2878700.0
2020-03-16,2400100.0
2020-06-03,2683200.0
2018-11-28,2886400.0
2018-09-25,4922000.0
