Dates,KMB
2018-06-20,102.12000274658203
2018-06-21,100.48999786376953
2018-06-25,100.0999984741211
2018-06-22,100.73999786376953
2018-06-26,103.88999938964844
2018-06-27,103.05999755859375
2018-06-28,103.38999938964844
2018-06-29,104.47000122070312
2018-07-02,104.75
2018-07-03,105.6500015258789
2018-07-05,105.25
2018-07-16,106.87999725341797
2018-09-18,106.27999877929688
2019-01-24,105.1500015258789
2019-09-05,104.83999633789062
2018-11-21,105.44000244140625
2020-01-13,104.93000030517578
2020-04-01,105.68000030517578
2020-06-19,105.41999816894531
2019-10-29,105.88999938964844
2020-01-16,103.0
2020-06-22,103.45999908447266
2018-10-03,104.80000305175781
2018-07-31,103.2300033569336
2019-03-12,106.06999969482422
2019-02-08,106.7300033569336
2019-01-07,107.56999969482422
2018-12-06,107.38999938964844
2019-08-19,108.12000274658203
2019-07-18,113.44000244140625
2019-05-15,112.43000030517578
2019-09-20,115.5
2019-11-01,116.06999969482422
2020-04-07,116.01000213623047
2020-06-25,113.66999816894531
2020-06-16,111.94999694824219
2019-11-04,110.83999633789062
2020-01-22,110.52999877929688
2019-11-07,111.11000061035156
2020-04-13,110.7699966430664
2019-07-01,117.25
2019-05-30,118.05000305175781
2018-08-15,119.7699966430664
2018-10-18,117.87000274658203
2019-03-27,116.94000244140625
2019-01-22,115.72000122070312
2018-12-21,116.06999969482422
2019-09-03,116.66000366210938
2018-11-19,115.70999908447266
2019-08-02,115.58999633789062
2020-01-28,115.0
2020-04-16,114.62999725341797
2019-11-13,115.05999755859375
2020-01-31,113.18000030517578
2018-12-04,114.91000366210938
2018-11-02,115.51000213623047
2019-07-16,116.05999755859375
2018-08-30,115.58999633789062
2018-10-01,115.05999755859375
2019-06-14,116.20999908447266
2019-05-13,116.18000030517578
2019-04-11,116.44999694824219
2019-02-06,117.56999969482422
2019-09-18,117.04000091552734
2020-02-03,115.83999633789062
2020-04-22,117.13999938964844
2019-11-19,116.33999633789062
2020-02-06,114.63999938964844
2019-11-22,112.77999877929688
2019-03-25,113.04000091552734
2019-02-21,112.62999725341797
2018-12-19,113.75
2018-07-12,113.66999816894531
2018-09-14,115.37000274658203
2018-08-13,111.56999969482422
2018-10-16,112.55999755859375
2019-07-31,111.94999694824219
2019-05-28,114.37999725341797
2019-04-26,111.69000244140625
2020-04-28,113.12999725341797
2019-11-25,108.8499984741211
2020-02-12,109.08999633789062
2020-05-01,110.41999816894531
2020-05-04,109.51000213623047
2019-06-12,108.91000366210938
2019-04-09,112.05999755859375
2019-03-08,111.12999725341797
2019-02-04,105.38999938964844
2018-07-27,104.43000030517578
2018-08-28,105.47000122070312
2019-01-03,103.9000015258789
2019-08-15,102.8499984741211
2018-10-31,103.08999633789062
2019-09-16,105.80999755859375
2020-02-18,104.11000061035156
2020-05-07,106.66000366210938
2018-08-17,105.8499984741211
2019-12-04,106.55000305175781
2020-02-21,107.22000122070312
2018-12-17,107.16999816894531
2019-08-30,107.68000030517578
2018-11-15,109.37999725341797
2019-07-29,110.37000274658203
2019-06-27,110.0199966430664
2019-04-24,110.66000366210938
2018-07-10,111.1500015258789
2018-09-12,110.80000305175781
2019-02-19,110.86000061035156
2019-01-18,111.30000305175781
2020-02-24,110.83999633789062
2020-05-13,112.62999725341797
2019-12-10,113.06999969482422
2020-02-27,115.05999755859375
2019-12-13,114.05000305175781
2020-05-19,114.56999969482422
2019-03-06,115.41000366210938
2018-11-30,113.83000183105469
2019-08-13,111.44999694824219
2019-07-12,113.04000091552734
2019-06-10,113.86000061035156
2019-05-09,113.95999908447266
2018-07-25,115.73999786376953
2018-09-27,114.69999694824219
2018-10-29,117.94000244140625
2019-10-16,117.33999633789062
2019-12-16,114.56999969482422
2020-03-04,113.58999633789062
2020-05-22,113.87999725341797
2019-10-01,113.6500015258789
2019-12-19,115.18000030517578
2018-09-10,107.62000274658203
2019-05-24,110.08999633789062
2018-08-09,113.25
2019-04-22,113.44000244140625
2019-03-21,112.80000305175781
2019-01-16,111.2699966430664
2019-08-28,110.80999755859375
