Dates,KMB
2018-06-20,102.33000183105469
2018-06-21,101.58999633789062
2018-06-25,102.01000213623047
2018-06-22,104.12000274658203
2018-06-26,104.12000274658203
2018-06-27,104.31999969482422
2018-06-28,104.94999694824219
2018-06-29,106.12000274658203
2018-07-02,105.37999725341797
2018-07-03,105.76000213623047
2018-07-05,106.87000274658203
2018-07-16,107.58999633789062
2018-09-18,106.79000091552734
2019-01-24,105.25
2019-09-05,105.58000183105469
2018-11-21,105.79000091552734
2020-01-13,106.69999694824219
2020-04-01,105.94000244140625
2020-06-19,106.56999969482422
2019-10-29,105.9000015258789
2020-01-16,104.05000305175781
2020-06-22,105.30000305175781
2018-10-03,105.51000213623047
2018-07-31,106.19999694824219
2019-03-12,106.83000183105469
2019-02-08,108.69999694824219
2019-01-07,109.19000244140625
2018-12-06,108.38999938964844
2019-08-19,114.69999694824219
2019-07-18,113.44000244140625
2019-05-15,115.44000244140625
2019-09-20,119.48999786376953
2019-11-01,117.47000122070312
2020-04-07,116.0999984741211
2020-06-25,113.93000030517578
2020-06-16,112.54000091552734
2019-11-04,111.5999984741211
2020-01-22,111.44999694824219
2019-11-07,111.80999755859375
2020-04-13,116.72000122070312
2019-07-01,118.6500015258789
2019-05-30,119.75
2018-08-15,120.4800033569336
2018-10-18,118.0
2019-03-27,116.94000244140625
2019-01-22,116.5999984741211
2018-12-21,116.8499984741211
2019-09-03,116.94999694824219
2018-11-19,116.44999694824219
2019-08-02,116.13999938964844
2020-01-28,115.4800033569336
2020-04-16,115.75
2019-11-13,115.25
2020-01-31,116.86000061035156
2018-12-04,116.62999725341797
2018-11-02,115.83999633789062
2019-07-16,116.6500015258789
2018-08-30,115.80999755859375
2018-10-01,116.5
2019-06-14,116.20999908447266
2019-05-13,116.52999877929688
2019-04-11,117.2699966430664
2019-02-06,117.56999969482422
2019-09-18,117.37999725341797
2020-02-03,116.91999816894531
2020-04-22,117.41999816894531
2019-11-19,116.4800033569336
2020-02-06,114.63999938964844
2019-11-22,114.05000305175781
2019-03-25,114.25
2019-02-21,113.66000366210938
2018-12-19,114.27999877929688
2018-07-12,114.72000122070312
2018-09-14,115.8499984741211
2018-08-13,112.55999755859375
2018-10-16,114.13999938964844
2019-07-31,114.87000274658203
2019-05-28,115.58999633789062
2019-04-26,115.19000244140625
2020-04-28,113.91000366210938
2019-11-25,109.56999969482422
2020-02-12,111.38999938964844
2020-05-01,110.63999938964844
2020-05-04,110.27999877929688
2019-06-12,110.01000213623047
