Dates,UAL
2018-06-20,72.87999725341797
2018-06-21,73.77999877929688
2018-06-25,72.80000305175781
2018-06-22,70.81999969482422
2018-06-26,70.56999969482422
2018-06-27,69.52999877929688
2018-06-28,68.48999786376953
2018-06-29,69.63999938964844
2018-07-02,69.20999908447266
2018-07-03,69.4000015258789
2018-07-05,70.41999816894531
2018-07-16,70.56999969482422
2018-09-18,70.69000244140625
2019-01-24,70.25
2019-09-05,67.94000244140625
2018-11-21,68.86000061035156
2020-01-13,70.93000030517578
2020-04-01,71.5199966430664
2020-06-19,71.9800033569336
2019-10-29,75.55999755859375
2020-01-16,79.30999755859375
2020-06-22,80.22000122070312
2018-10-03,80.41999816894531
2018-07-31,79.55000305175781
2019-03-12,79.94000244140625
2019-02-08,80.12999725341797
2019-01-07,79.5999984741211
2018-12-06,79.5
2019-08-19,80.06999969482422
2019-07-18,79.83000183105469
2019-05-15,78.69999694824219
2019-09-20,80.54000091552734
2019-11-01,81.04000091552734
2020-04-07,82.0199966430664
2020-06-25,82.41000366210938
2020-06-16,82.48999786376953
2019-11-04,80.6500015258789
2020-01-22,80.72000122070312
2019-11-07,81.0199966430664
2020-04-13,80.3499984741211
2019-07-01,81.04000091552734
2019-05-30,81.5199966430664
2018-08-15,82.12999725341797
2018-10-18,85.08000183105469
2019-03-27,84.37000274658203
2019-01-22,84.36000061035156
2018-12-21,83.70999908447266
2019-09-03,85.56999969482422
2018-11-19,85.88999938964844
2019-08-02,86.4000015258789
2020-01-28,86.51000213623047
2020-04-16,86.66999816894531
2019-11-13,87.66000366210938
2020-01-31,86.26000213623047
2018-12-04,86.5
2018-11-02,86.5
2019-07-16,87.1500015258789
2018-08-30,87.83000183105469
2018-10-01,87.44000244140625
2019-06-14,87.83000183105469
2019-05-13,89.48999786376953
2019-04-11,89.94000244140625
2019-02-06,88.6500015258789
2019-09-18,89.18000030517578
2020-02-03,88.91000366210938
2020-04-22,87.11000061035156
2019-11-19,87.02999877929688
2020-02-06,86.81999969482422
2019-11-22,88.45999908447266
2019-03-25,88.23999786376953
2019-02-21,88.29000091552734
2018-12-19,87.5199966430664
2018-07-12,85.83999633789062
2018-09-14,86.81999969482422
2018-08-13,85.5199966430664
2018-10-16,84.0199966430664
2019-07-31,82.37000274658203
2019-05-28,81.27999877929688
2019-04-26,78.87000274658203
2020-04-28,78.93000030517578
2019-11-25,79.33000183105469
2020-02-12,80.0999984741211
2020-05-01,81.2300033569336
2020-05-04,86.16000366210938
2019-06-12,86.5199966430664
2019-04-09,87.0199966430664
2019-03-08,87.33999633789062
2019-02-04,84.44000244140625
2018-07-27,81.91999816894531
2018-08-28,82.4800033569336
2019-01-03,82.83999633789062
2019-08-15,83.91999816894531
2018-10-31,84.37999725341797
2019-09-16,85.37000274658203
2020-02-18,85.62000274658203
2020-05-07,88.01000213623047
2018-08-17,88.27999877929688
2019-12-04,88.83000183105469
2020-02-21,89.6500015258789
2018-12-17,91.52999877929688
2019-08-30,91.73999786376953
2018-11-15,91.02999877929688
2019-07-29,91.62999725341797
2019-06-27,91.37999725341797
2019-04-24,89.0199966430664
2018-07-10,90.06999969482422
2018-09-12,91.16000366210938
2019-02-19,90.44999694824219
2019-01-18,91.81999969482422
2020-02-24,92.79000091552734
2020-05-13,91.7300033569336
2019-12-10,92.12999725341797
2020-02-27,93.41999816894531
2019-12-13,94.02999877929688
2020-05-19,94.9000015258789
2019-03-06,95.95999908447266
2018-11-30,90.54000091552734
2019-08-13,90.16999816894531
2019-07-12,87.61000061035156
2019-06-10,87.06999969482422
2019-05-09,87.52999877929688
2018-07-25,88.3499984741211
