Dates,TSCO
2018-06-20,1157500.0
2018-06-21,1556900.0
2018-06-25,2201000.0
2018-06-22,1370900.0
2018-06-26,1064600.0
2018-06-27,1597300.0
2018-06-28,1152500.0
2018-06-29,1258600.0
2018-07-02,1233300.0
2018-07-03,655600.0
2018-07-05,1301900.0
2018-07-16,1194800.0
2018-09-18,1381100.0
2019-01-24,826400.0
2019-09-05,560000.0
2018-11-21,833100.0
2020-01-13,997100.0
2020-04-01,1441400.0
2020-06-19,1233000.0
2019-10-29,1960300.0
2020-01-16,1124000.0
2020-06-22,1383300.0
2018-10-03,1468700.0
2018-07-31,2257900.0
2019-03-12,3005100.0
2019-02-08,3773600.0
2019-01-07,2511800.0
2018-12-06,1026000.0
2019-08-19,933900.0
2019-07-18,1277900.0
2019-05-15,1177000.0
2019-09-20,1770400.0
2019-11-01,570300.0
2020-04-07,1317900.0
2020-06-25,1486000.0
2020-06-16,1004600.0
2019-11-04,731700.0
2020-01-22,1006500.0
2019-11-07,1467500.0
2020-04-13,1345700.0
2019-07-01,920000.0
2019-05-30,1319000.0
2018-08-15,1445600.0
2018-10-18,1677700.0
2019-03-27,2464400.0
2019-01-22,2354800.0
2018-12-21,1577900.0
2019-09-03,1501200.0
2018-11-19,1522600.0
2019-08-02,1100900.0
2020-01-28,839000.0
2020-04-16,1203900.0
2019-11-13,2053300.0
2020-01-31,1548100.0
2018-12-04,1489700.0
2018-11-02,1887500.0
2019-07-16,1362100.0
2018-08-30,1818200.0
2018-10-01,1841600.0
2019-06-14,2732300.0
2019-05-13,2049800.0
2019-04-11,1915600.0
2019-02-06,1420100.0
2019-09-18,1451700.0
2020-02-03,1044800.0
2020-04-22,1926500.0
2019-11-19,1156800.0
2020-02-06,1163800.0
2019-11-22,1175200.0
2019-03-25,1229200.0
2019-02-21,1251200.0
2018-12-19,1066900.0
2018-07-12,1053800.0
2018-09-14,1056300.0
2018-08-13,1683300.0
2018-10-16,1077000.0
2019-07-31,1183300.0
2019-05-28,1551000.0
2019-04-26,1406900.0
2020-04-28,2234100.0
2019-11-25,1715800.0
2020-02-12,1207100.0
2020-05-01,1052200.0
2020-05-04,1118200.0
2019-06-12,1473700.0
2019-04-09,1947200.0
2019-03-08,2082600.0
2019-02-04,1359900.0
2018-07-27,2063500.0
2018-08-28,3502700.0
2019-01-03,3068000.0
2019-08-15,1931600.0
2018-10-31,1452300.0
2019-09-16,1500900.0
2020-02-18,1440500.0
2020-05-07,1742000.0
2018-08-17,1032600.0
2019-12-04,1764500.0
2020-02-21,1488400.0
2018-12-17,961100.0
2019-08-30,1358500.0
2018-11-15,2069300.0
2019-07-29,1132500.0
2019-06-27,1778500.0
2019-04-24,1275500.0
2018-07-10,1849800.0
2018-09-12,858300.0
2019-02-19,1703600.0
2019-01-18,1185400.0
2020-02-24,769400.0
2020-05-13,1571800.0
2019-12-10,1840500.0
2020-02-27,1547300.0
2019-12-13,1182100.0
2020-05-19,1633800.0
2019-03-06,1514400.0
2018-11-30,1160900.0
2019-08-13,1830700.0
2019-07-12,1579400.0
2019-06-10,1234500.0
2019-05-09,1247500.0
2018-07-25,977200.0
2018-09-27,1371800.0
2018-10-29,1491300.0
2019-10-16,1438400.0
2019-12-16,1461400.0
2020-03-04,1024100.0
2020-05-22,1690800.0
2019-10-01,2869800.0
2019-12-19,629500.0
2018-09-10,1133200.0
2019-05-24,1300400.0
2018-08-09,904400.0
2019-04-22,1044100.0
2019-03-21,1517100.0
2019-01-16,2161900.0
2019-08-28,2043500.0
2018-11-13,2540100.0
2018-10-12,2002800.0
2019-06-25,1308900.0
2020-03-10,1266200.0
2020-05-28,1204600.0
2019-10-07,2405100.0
2020-03-13,1663800.0
2019-10-10,1292200.0
2020-03-16,1215500.0
2020-06-03,1255400.0
2018-11-28,1169500.0
2018-09-25,1025900.0
2018-07-23,1323700.0
2018-08-24,1490300.0
2019-07-10,1192400.0
2019-05-07,1059000.0
2019-04-05,1774300.0
2019-03-04,6677000.0
2019-01-31,2541100.0
2019-09-12,1441400.0
2019-12-31,1542600.0
2020-03-19,1233500.0
2020-01-03,1573200.0
2020-06-09,1880300.0
2019-02-15,1835500.0
2019-01-14,1639300.0
2018-07-06,1643600.0
2018-08-07,1470600.0
2018-10-10,1457600.0
2018-12-13,1246800.0
2019-08-26,1204700.0
2019-07-25,871800.0
2019-05-22,1315000.0
2019-03-19,948700.0
2020-01-06,1045700.0
2020-03-25,1165000.0
2020-06-12,1357600.0
2019-10-22,1289600.0
2020-01-09,1581300.0
2020-06-15,748300.0
2019-10-25,922100.0
2020-03-31,866300.0
2020-06-18,1175300.0
2019-04-03,1450300.0
2018-08-22,1181500.0
2018-10-25,1147500.0
2019-01-29,950700.0
2018-12-28,2004400.0
2018-11-26,1620000.0
2019-08-09,1049100.0
2019-07-08,1408900.0
2019-06-06,1204100.0
2019-09-10,896000.0
2020-01-15,977800.0
2020-04-03,1042900.0
2019-10-31,1234600.0
2020-04-06,1111700.0
2020-06-24,1958600.0
2018-11-09,1979000.0
2019-07-23,1084600.0
2019-06-21,1362400.0
2019-05-20,1123900.0
2019-04-18,1756000.0
2018-09-06,1244800.0
2018-10-08,935200.0
2019-02-13,975800.0
2018-12-11,1158300.0
2019-09-25,1286100.0
2020-01-21,1542200.0
2020-04-09,1623600.0
2019-11-06,1247800.0
2020-01-24,1407400.0
2020-01-27,915800.0
2020-04-15,1183600.0
2018-12-26,1498500.0
2019-08-07,3831400.0
2019-06-04,1860100.0
2018-09-21,1193000.0
2018-07-19,1383900.0
2018-08-20,910300.0
2018-10-23,1469600.0
2019-05-03,1573200.0
2019-04-01,892700.0
2019-02-28,1107000.0
2019-11-12,1325700.0
2020-01-30,1164900.0
2019-11-15,1507700.0
2020-04-21,1440000.0
2019-04-16,1204100.0
2019-03-15,1450000.0
2019-02-11,1085200.0
2019-01-10,1070100.0
2019-08-22,1439000.0
2018-11-07,1100100.0
2018-08-03,1056000.0
2018-09-04,1193600.0
2019-06-19,1205500.0
2019-09-23,1469300.0
2019-11-18,1196500.0
2020-02-05,607800.0
2020-04-24,1228300.0
2019-03-29,1036700.0
2019-11-21,1118800.0
2020-04-27,1008500.0
2020-02-11,1419700.0
2020-04-30,1091100.0
2019-05-01,1061200.0
2019-02-26,1052700.0
2019-01-25,715800.0
2018-12-24,745500.0
2019-09-06,1686000.0
2018-07-17,1321300.0
2018-09-19,919000.0
2019-08-05,1201600.0
2019-10-08,1031500.0
2019-12-11,1061100.0
2019-11-27,839700.0
2020-02-14,858000.0
2020-05-06,815100.0
