Dates,JNJ
2018-06-20,121.66000366210938
2018-06-21,121.11000061035156
2018-06-25,121.6500015258789
2018-06-22,121.51000213623047
2018-06-26,121.5999984741211
2018-06-27,121.44999694824219
2018-06-28,121.06999969482422
2018-06-29,121.19000244140625
2018-07-02,120.11000061035156
2018-07-03,121.26000213623047
2018-07-05,123.2300033569336
2018-07-16,124.61000061035156
2018-09-18,125.5999984741211
2019-01-24,126.11000061035156
2019-09-05,126.05999755859375
2018-11-21,127.16999816894531
2020-01-13,125.31999969482422
2020-04-01,124.16000366210938
2020-06-19,127.55999755859375
2019-10-29,127.16999816894531
2020-01-16,125.87000274658203
2020-06-22,125.12000274658203
2018-10-03,125.44999694824219
2018-07-31,127.1500015258789
2019-03-12,127.6500015258789
2019-02-08,129.85000610351562
2019-01-07,129.94000244140625
2018-12-06,131.25
2019-08-19,131.77000427246094
2019-07-18,132.0800018310547
2019-05-15,131.08999633789062
2019-09-20,130.89999389648438
2019-11-01,131.00999450683594
2020-04-07,131.3000030517578
2020-06-25,130.88999938964844
2020-06-16,130.6699981689453
2019-11-04,130.25999450683594
2020-01-22,129.85000610351562
2019-11-07,129.35000610351562
2020-04-13,128.92999267578125
2019-07-01,130.57000732421875
2019-05-30,132.19000244140625
2018-08-15,134.0
2018-10-18,135.3000030517578
2019-03-27,134.4199981689453
2019-01-22,134.10000610351562
2018-12-21,134.8300018310547
2019-09-03,134.2100067138672
2018-11-19,133.88999938964844
2019-08-02,133.94000244140625
2020-01-28,134.60000610351562
2020-04-16,133.97000122070312
2019-11-13,133.44000244140625
2020-01-31,133.4600067138672
2018-12-04,135.17999267578125
2018-11-02,135.75
2019-07-16,137.05999755859375
2018-08-30,137.22000122070312
2018-10-01,138.55999755859375
2019-06-14,139.02000427246094
2019-05-13,139.10000610351562
2019-04-11,139.17999267578125
2019-02-06,139.8300018310547
2019-09-18,140.0500030517578
2020-02-03,140.50999450683594
2020-04-22,141.69000244140625
2019-11-19,140.22999572753906
2020-02-06,138.39999389648438
2019-11-22,137.9600067138672
