Dates,DRE
2018-06-20,28.540000915527344
2018-06-21,28.65999984741211
2018-06-25,28.770000457763672
2018-06-22,28.84000015258789
2018-06-26,28.959999084472656
2018-06-27,29.09000015258789
2018-06-28,28.8700008392334
2018-06-29,28.889999389648438
2018-07-02,29.020000457763672
2018-07-03,28.860000610351562
2018-07-05,29.270000457763672
2018-07-16,29.280000686645508
2018-09-18,29.270000457763672
2019-01-24,28.889999389648438
2019-09-05,28.899999618530273
2018-11-21,29.040000915527344
2020-01-13,29.100000381469727
2020-04-01,28.860000610351562
2020-06-19,28.90999984741211
2019-10-29,28.209999084472656
2020-01-16,28.229999542236328
2020-06-22,28.440000534057617
2018-10-03,27.989999771118164
2018-07-31,27.8700008392334
2019-03-12,27.780000686645508
2019-02-08,28.93000030517578
2019-01-07,29.049999237060547
2018-12-06,28.719999313354492
2019-08-19,28.690000534057617
2019-07-18,28.90999984741211
2019-05-15,29.329999923706055
2019-09-20,29.1200008392334
2019-11-01,29.399999618530273
2020-04-07,29.260000228881836
2020-06-25,29.209999084472656
2020-06-16,29.139999389648438
2019-11-04,28.979999542236328
2020-01-22,28.809999465942383
2019-11-07,28.600000381469727
2020-04-13,28.399999618530273
2019-07-01,28.43000030517578
2019-05-30,28.6299991607666
2018-08-15,29.020000457763672
2018-10-18,28.6299991607666
2019-03-27,28.209999084472656
2019-01-22,28.09000015258789
2018-12-21,27.84000015258789
2019-09-03,28.229999542236328
2018-11-19,28.239999771118164
2019-08-02,28.520000457763672
2020-01-28,28.510000228881836
2020-04-16,28.329999923706055
2019-11-13,28.469999313354492
2020-01-31,27.8799991607666
2018-12-04,28.420000076293945
2018-11-02,28.43000030517578
2019-07-16,28.520000457763672
2018-08-30,28.510000228881836
2018-10-01,28.65999984741211
2019-06-14,28.8700008392334
2019-05-13,28.780000686645508
2019-04-11,28.799999237060547
2019-02-06,28.969999313354492
2019-09-18,28.780000686645508
2020-02-03,28.270000457763672
2020-04-22,28.690000534057617
2019-11-19,28.65999984741211
2020-02-06,28.1200008392334
2019-11-22,28.100000381469727
2019-03-25,27.75
2019-02-21,27.729999542236328
2018-12-19,28.350000381469727
2018-07-12,28.079999923706055
2018-09-14,28.079999923706055
2018-08-13,27.690000534057617
2018-10-16,27.75
2019-07-31,27.8700008392334
2019-05-28,28.290000915527344
2019-04-26,28.510000228881836
2020-04-28,28.020000457763672
2019-11-25,27.110000610351562
2020-02-12,26.729999542236328
2020-05-01,26.920000076293945
