Dates,DRE
2018-06-20,1809000.0
2018-06-21,1449700.0
2018-06-25,2545900.0
2018-06-22,1854300.0
2018-06-26,3571200.0
2018-06-27,2335400.0
2018-06-28,2691500.0
2018-06-29,2598100.0
2018-07-02,2504500.0
2018-07-03,2648200.0
2018-07-05,2379500.0
2018-07-16,3253600.0
2018-09-18,2917600.0
2019-01-24,2162100.0
2019-09-05,1342700.0
2018-11-21,1134700.0
2020-01-13,1012300.0
2020-04-01,1477100.0
2020-06-19,2610100.0
2019-10-29,3125700.0
2020-01-16,1565100.0
2020-06-22,1665500.0
2018-10-03,1717700.0
2018-07-31,3296000.0
2019-03-12,3553400.0
2019-02-08,3923800.0
2019-01-07,2863600.0
2018-12-06,2424600.0
2019-08-19,2391000.0
2019-07-18,2319900.0
2019-05-15,2108600.0
2019-09-20,1911900.0
2019-11-01,2447600.0
2020-04-07,2004000.0
2020-06-25,1696800.0
2020-06-16,2043000.0
2019-11-04,1271600.0
2020-01-22,1213800.0
2019-11-07,1920700.0
2020-04-13,3993100.0
2019-07-01,6922200.0
2019-05-30,4545500.0
2018-08-15,3302000.0
2018-10-18,4940500.0
2019-03-27,2996000.0
2019-01-22,1818700.0
2018-12-21,1948400.0
2019-09-03,1999300.0
2018-11-19,2325600.0
2019-08-02,1583600.0
2020-01-28,1901300.0
2020-04-16,2215000.0
2019-11-13,1772200.0
2020-01-31,1395500.0
2018-12-04,1900300.0
2018-11-02,3354800.0
2019-07-16,3131500.0
2018-08-30,2573500.0
2018-10-01,2675300.0
2019-06-14,2074500.0
2019-05-13,1949400.0
2019-04-11,1645800.0
2019-02-06,1542800.0
2019-09-18,1575500.0
2020-02-03,2397300.0
2020-04-22,4566100.0
2019-11-19,1726100.0
2020-02-06,1265800.0
2019-11-22,1418900.0
2019-03-25,1488900.0
2019-02-21,2650100.0
2018-12-19,1790000.0
2018-07-12,1414900.0
2018-09-14,1601000.0
2018-08-13,1949200.0
2018-10-16,1409600.0
2019-07-31,1704600.0
2019-05-28,3117900.0
2019-04-26,2396500.0
2020-04-28,2772400.0
2019-11-25,2245000.0
2020-02-12,2489900.0
2020-05-01,2172900.0
2020-05-04,1596000.0
2019-06-12,1864000.0
2019-04-09,1565600.0
2019-03-08,1507900.0
2019-02-04,1929600.0
2018-07-27,2302300.0
2018-08-28,1794500.0
2019-01-03,2175100.0
2019-08-15,2325300.0
2018-10-31,2429800.0
2019-09-16,3190300.0
2020-02-18,2437600.0
2020-05-07,1547400.0
2018-08-17,1553200.0
2019-12-04,1530700.0
2020-02-21,1266200.0
2018-12-17,1263200.0
2019-08-30,1189400.0
2018-11-15,1646200.0
2019-07-29,1615100.0
2019-06-27,1226200.0
2019-04-24,1740800.0
2018-07-10,1712000.0
2018-09-12,1779500.0
2019-02-19,1814800.0
2019-01-18,1524400.0
2020-02-24,579900.0
2020-05-13,1652100.0
2019-12-10,1437200.0
2020-02-27,1941800.0
2019-12-13,2270300.0
2020-05-19,3330000.0
2019-03-06,1740500.0
2018-11-30,2125800.0
2019-08-13,3356400.0
2019-07-12,2304700.0
2019-06-10,2076300.0
2019-05-09,2749600.0
2018-07-25,2125500.0
2018-09-27,2746700.0
2018-10-29,1640800.0
2019-10-16,2869300.0
2019-12-16,2137900.0
2020-03-04,3217600.0
2020-05-22,3000500.0
2019-10-01,5935300.0
2019-12-19,1692000.0
2018-09-10,2900800.0
2019-05-24,2681100.0
2018-08-09,2758000.0
2019-04-22,2126600.0
2019-03-21,2498900.0
2019-01-16,3420000.0
2019-08-28,2354700.0
2018-11-13,1761300.0
2018-10-12,2635900.0
2019-06-25,2534500.0
2020-03-10,2388200.0
2020-05-28,2835900.0
2019-10-07,3646900.0
2020-03-13,1980900.0
2019-10-10,2194300.0
2020-03-16,2512700.0
2020-06-03,2260100.0
2018-11-28,3047000.0
2018-09-25,1871300.0
2018-07-23,1858400.0
2018-08-24,2375800.0
2019-07-10,2243700.0
2019-05-07,3639600.0
2019-04-05,3676400.0
2019-03-04,4859500.0
2019-01-31,2446600.0
2019-09-12,1531400.0
2019-12-31,1924200.0
2020-03-19,2368600.0
2020-01-03,2768300.0
2020-06-09,2160100.0
2019-02-15,3071400.0
2019-01-14,3200600.0
