Dates,VRTX
2018-06-20,153.75
2018-06-21,155.5800018310547
2018-06-25,155.75999450683594
2018-06-22,152.91000366210938
2018-06-26,151.00999450683594
2018-06-27,147.22000122070312
2018-06-28,145.3699951171875
2018-06-29,161.5
2018-07-02,164.6999969482422
2018-07-03,167.27999877929688
2018-07-05,166.7100067138672
2018-07-16,169.4199981689453
2018-09-18,171.80999755859375
2019-01-24,172.9499969482422
2019-09-05,173.0
2018-11-21,175.02000427246094
2020-01-13,177.89999389648438
2020-04-01,179.5500030517578
2020-06-19,179.82000732421875
2019-10-29,180.5800018310547
2020-01-16,178.52000427246094
2020-06-22,176.7100067138672
2018-10-03,176.16000366210938
2018-07-31,174.38999938964844
2019-03-12,173.99000549316406
2019-02-08,169.3300018310547
2019-01-07,169.52000427246094
2018-12-06,169.97000122070312
2019-08-19,173.5800018310547
2019-07-18,174.0399932861328
2019-05-15,173.50999450683594
2019-09-20,173.75999450683594
2019-11-01,173.25999450683594
2020-04-07,175.47999572753906
2020-06-25,175.25
2020-06-16,174.9499969482422
2019-11-04,173.86000061035156
2020-01-22,174.17999267578125
2019-11-07,175.30999755859375
2020-04-13,171.80999755859375
2019-07-01,173.08999633789062
2019-05-30,173.58999633789062
2018-08-15,173.6199951171875
2018-10-18,175.0399932861328
2019-03-27,176.02000427246094
2019-01-22,174.60000610351562
2018-12-21,175.10000610351562
2019-09-03,177.60000610351562
2018-11-19,178.8300018310547
2019-08-02,180.89999389648438
2020-01-28,184.3699951171875
2020-04-16,183.72000122070312
2019-11-13,181.6699981689453
2020-01-31,181.5
2018-12-04,178.1999969482422
2018-11-02,177.00999450683594
2019-07-16,177.97999572753906
2018-08-30,177.33999633789062
2018-10-01,177.08999633789062
2019-06-14,178.00999450683594
2019-05-13,177.77000427246094
2019-04-11,175.47000122070312
2019-02-06,174.22999572753906
2019-09-18,175.8000030517578
2020-02-03,177.38999938964844
2020-04-22,179.33999633789062
2019-11-19,179.42999267578125
2020-02-06,182.27999877929688
2019-11-22,182.6699981689453
2019-03-25,187.5
2019-02-21,189.44000244140625
2018-12-19,191.38999938964844
2018-07-12,190.7899932861328
2018-09-14,191.35000610351562
2018-08-13,187.10000610351562
2018-10-16,185.3699951171875
2019-07-31,183.6300048828125
2019-05-28,184.77999877929688
2019-04-26,176.22000122070312
2020-04-28,171.66000366210938
2019-11-25,175.89999389648438
2020-02-12,177.58999633789062
2020-05-01,178.4499969482422
2020-05-04,181.72000122070312
2019-06-12,173.8000030517578
2019-04-09,175.0500030517578
2019-03-08,172.6999969482422
2019-02-04,170.8000030517578
2018-07-27,162.52999877929688
2018-08-28,153.0
2019-01-03,160.67999267578125
2019-08-15,167.35000610351562
2018-10-31,168.4600067138672
2019-09-16,169.4199981689453
2020-02-18,169.25
2020-05-07,171.11000061035156
2018-08-17,171.6999969482422
2019-12-04,174.1199951171875
2020-02-21,176.55999755859375
2018-12-17,179.6300048828125
2019-08-30,176.7899932861328
2018-11-15,171.6999969482422
2019-07-29,170.07000732421875
2019-06-27,163.1300048828125
2019-04-24,162.6699981689453
2018-07-10,164.6699981689453
2018-09-12,159.77000427246094
2019-02-19,157.2899932861328
2019-01-18,159.05999755859375
2020-02-24,157.39999389648438
2020-05-13,162.88999938964844
2019-12-10,168.42999267578125
2020-02-27,172.33999633789062
2019-12-13,176.88999938964844
2020-05-19,178.3300018310547
2019-03-06,181.9199981689453
2018-11-30,177.41000366210938
2019-08-13,174.0
2019-07-12,170.89999389648438
2019-06-10,167.6300048828125
2019-05-09,170.86000061035156
2018-07-25,174.72000122070312
2018-09-27,171.60000610351562
2018-10-29,169.6300048828125
2019-10-16,164.47999572753906
2019-12-16,161.35000610351562
2020-03-04,156.3000030517578
2020-05-22,157.6999969482422
2019-10-01,156.3000030517578
2019-12-19,151.8000030517578
2018-09-10,152.39999389648438
2019-05-24,156.27000427246094
2018-08-09,160.3800048828125
2019-04-22,162.0
2019-03-21,160.9499969482422
2019-01-16,163.17999267578125
2019-08-28,164.89999389648438
2018-11-13,170.8699951171875
2018-10-12,174.72000122070312
2019-06-25,178.25
2020-03-10,180.25999450683594
2020-05-28,183.42999267578125
2019-10-07,183.77999877929688
2020-03-13,183.05999755859375
2019-10-10,184.1300048828125
2020-03-16,184.7100067138672
2020-06-03,189.41000366210938
2018-11-28,192.38999938964844
2018-09-25,187.77999877929688
2018-07-23,186.47000122070312
2018-08-24,186.27000427246094
2019-07-10,185.75999450683594
2019-05-07,184.6999969482422
2019-04-05,184.5
2019-03-04,186.86000061035156
2019-01-31,189.9199981689453
2019-09-12,184.49000549316406
2019-12-31,185.44000244140625
2020-03-19,182.05999755859375
2020-01-03,178.99000549316406
2020-06-09,178.75999450683594
2019-02-15,178.39999389648438
2019-01-14,181.44000244140625
2018-07-06,184.35000610351562
2018-08-07,183.52999877929688
2018-10-10,185.6699981689453
2018-12-13,185.8300018310547
2019-08-26,185.64999389648438
2019-07-25,182.16000366210938
2019-05-22,182.94000244140625
2019-03-19,185.6300048828125
2020-01-06,184.88999938964844
2020-03-25,186.44000244140625
2020-06-12,188.22999572753906
2019-10-22,189.27999877929688
2020-01-09,186.7100067138672
2020-06-15,187.52000427246094
2019-10-25,180.55999755859375
2020-03-31,177.4499969482422
2020-06-18,173.58999633789062
2019-04-03,177.77999877929688
2018-08-22,179.85000610351562
2018-10-25,182.2100067138672
2019-01-29,184.4499969482422
2018-12-28,186.3699951171875
2018-11-26,185.52999877929688
2019-08-09,181.17999267578125
2019-07-08,179.5399932861328
2019-06-06,178.22000122070312
2019-09-10,181.0399932861328
2020-01-15,181.44000244140625
2020-04-03,184.8300018310547
2019-10-31,185.6199951171875
2020-04-06,181.49000549316406
2020-06-24,181.9199981689453
2018-11-09,184.67999267578125
2019-07-23,184.91000366210938
2019-06-21,187.00999450683594
2019-05-20,182.49000549316406
2019-04-18,184.24000549316406
2018-09-06,186.6699981689453
2018-10-08,187.75
2019-02-13,187.07000732421875
2018-12-11,184.22000122070312
2019-09-25,182.30999755859375
2020-01-21,180.24000549316406
2020-04-09,179.58999633789062
2019-11-06,166.64999389648438
2020-01-24,163.67999267578125
2020-01-27,166.1999969482422
2020-04-15,168.77000427246094
