Dates,LEG
2018-06-20,44.84000015258789
2018-06-21,44.810001373291016
2018-06-25,44.47999954223633
2018-06-22,43.70000076293945
2018-06-26,44.279998779296875
2018-06-27,44.72999954223633
2018-06-28,44.38999938964844
2018-06-29,45.18000030517578
2018-07-02,44.369998931884766
2018-07-03,44.689998626708984
2018-07-05,44.91999816894531
2018-07-16,45.40999984741211
2018-09-18,45.779998779296875
2019-01-24,45.77000045776367
2019-09-05,45.689998626708984
2018-11-21,45.65999984741211
2020-01-13,45.790000915527344
2020-04-01,45.72999954223633
2020-06-19,45.65999984741211
2019-10-29,45.63999938964844
2020-01-16,46.150001525878906
2020-06-22,46.27000045776367
2018-10-03,46.119998931884766
2018-07-31,44.97999954223633
2019-03-12,44.880001068115234
2019-02-08,44.619998931884766
2019-01-07,45.529998779296875
2018-12-06,44.06999969482422
2019-08-19,43.91999816894531
2019-07-18,43.560001373291016
2019-05-15,43.08000183105469
2019-09-20,43.720001220703125
2019-11-01,44.20000076293945
2020-04-07,44.59000015258789
2020-06-25,44.540000915527344
2020-06-16,44.619998931884766
2019-11-04,43.790000915527344
2020-01-22,43.470001220703125
2019-11-07,43.97999954223633
2020-04-13,43.56999969482422
2019-07-01,44.43000030517578
2019-05-30,44.61000061035156
2018-08-15,45.540000915527344
2018-10-18,46.709999084472656
2019-03-27,46.2400016784668
2019-01-22,46.0
2018-12-21,45.65999984741211
2019-09-03,45.72999954223633
2018-11-19,45.88999938964844
2019-08-02,45.86000061035156
2020-01-28,45.810001373291016
2020-04-16,45.65999984741211
2019-11-13,45.400001525878906
2020-01-31,46.18000030517578
2018-12-04,46.41999816894531
2018-11-02,45.91999816894531
2019-07-16,46.38999938964844
2018-08-30,46.470001220703125
2018-10-01,46.4900016784668
2019-06-14,46.43000030517578
2019-05-13,46.5099983215332
2019-04-11,46.54999923706055
2019-02-06,46.189998626708984
2019-09-18,46.56999969482422
2020-02-03,46.5
2020-04-22,45.91999816894531
2019-11-19,45.63999938964844
2020-02-06,44.84000015258789
2019-11-22,44.7400016784668
2019-03-25,44.689998626708984
2019-02-21,44.0
2018-12-19,44.220001220703125
2018-07-12,43.72999954223633
2018-09-14,43.65999984741211
2018-08-13,43.150001525878906
2018-10-16,42.75
2019-07-31,42.45000076293945
2019-05-28,42.5099983215332
2019-04-26,40.75
2020-04-28,40.310001373291016
2019-11-25,39.630001068115234
2020-02-12,39.33000183105469
2020-05-01,39.790000915527344
2020-05-04,39.40999984741211
2019-06-12,39.20000076293945
2019-04-09,38.689998626708984
2019-03-08,38.45000076293945
2019-02-04,38.689998626708984
2018-07-27,38.81999969482422
2018-08-28,38.68000030517578
2019-01-03,37.47999954223633
2019-08-15,35.81999969482422
2018-10-31,36.36000061035156
2019-09-16,36.83000183105469
2020-02-18,37.72999954223633
2020-05-07,38.38999938964844
2018-08-17,38.27000045776367
2019-12-04,37.810001373291016
2020-02-21,37.81999969482422
2018-12-17,38.27000045776367
2019-08-30,38.27000045776367
2018-11-15,37.56999969482422
2019-07-29,37.619998931884766
2019-06-27,37.83000183105469
2019-04-24,37.36000061035156
2018-07-10,38.0099983215332
2018-09-12,38.119998931884766
2019-02-19,38.25
2019-01-18,38.369998931884766
2020-02-24,38.400001525878906
2020-05-13,38.54999923706055
2019-12-10,38.11000061035156
2020-02-27,39.119998931884766
2019-12-13,39.189998626708984
2020-05-19,38.95000076293945
2019-03-06,40.18000030517578
2018-11-30,40.0099983215332
2019-08-13,39.11000061035156
2019-07-12,39.369998931884766
2019-06-10,38.56999969482422
2019-05-09,38.56999969482422
2018-07-25,38.16999816894531
2018-09-27,37.58000183105469
2018-10-29,37.0
2019-10-16,37.349998474121094
2019-12-16,37.34000015258789
2020-03-04,37.38999938964844
2020-05-22,36.52000045776367
2019-10-01,37.06999969482422
2019-12-19,35.02000045776367
2018-09-10,35.38999938964844
2019-05-24,36.04999923706055
2018-08-09,36.380001068115234
2019-04-22,36.150001525878906
2019-03-21,36.279998779296875
2019-01-16,35.959999084472656
2019-08-28,36.7599983215332
2018-11-13,37.619998931884766
2018-10-12,37.880001068115234
2019-06-25,38.220001220703125
2020-03-10,38.40999984741211
2020-05-28,38.36000061035156
2019-10-07,38.56999969482422
2020-03-13,38.5
2019-10-10,38.95000076293945
2020-03-16,39.04999923706055
2020-06-03,39.959999084472656
2018-11-28,39.470001220703125
2018-09-25,39.400001525878906
2018-07-23,39.66999816894531
2018-08-24,40.310001373291016
2019-07-10,40.099998474121094
2019-05-07,40.369998931884766
2019-04-05,40.66999816894531
2019-03-04,41.0099983215332
2019-01-31,41.11000061035156
2019-09-12,41.06999969482422
2019-12-31,45.83000183105469
2020-03-19,44.63999938964844
2020-01-03,44.0
2020-06-09,44.15999984741211
2019-02-15,43.72999954223633
2019-01-14,44.47999954223633
2018-07-06,44.65999984741211
2018-08-07,44.68000030517578
2018-10-10,45.0099983215332
2018-12-13,45.40999984741211
2019-08-26,45.540000915527344
2019-07-25,45.72999954223633
2019-05-22,45.9900016784668
2019-03-19,46.5
2020-01-06,46.2599983215332
2020-03-25,45.90999984741211
2020-06-12,45.66999816894531
2019-10-22,46.029998779296875
2020-01-09,46.16999816894531
2020-06-15,46.0099983215332
2019-10-25,45.720001220703125
2020-03-31,45.060001373291016
2020-06-18,44.599998474121094
2019-04-03,44.439998626708984
2018-08-22,44.189998626708984
2018-10-25,44.040000915527344
2019-01-29,43.29999923706055
2018-12-28,43.459999084472656
2018-11-26,43.15999984741211
2019-08-09,43.400001525878906
2019-07-08,42.75
2019-06-06,42.5
2019-09-10,42.189998626708984
2020-01-15,41.41999816894531
2020-04-03,41.810001373291016
2019-10-31,42.209999084472656
2020-04-06,42.43000030517578
2020-06-24,42.720001220703125
2018-11-09,42.689998626708984
2019-07-23,42.77000045776367
