Dates,OXY
2018-06-20,83.76000213623047
2018-06-21,83.11000061035156
2018-06-25,84.4000015258789
2018-06-22,83.51000213623047
2018-06-26,82.9800033569336
2018-06-27,84.69000244140625
2018-06-28,84.69000244140625
2018-06-29,84.83999633789062
2018-07-02,83.20999908447266
2018-07-03,84.80999755859375
2018-07-05,84.4800033569336
2018-07-16,84.69000244140625
2018-09-18,85.56999969482422
2019-01-24,86.5999984741211
2019-09-05,85.2300033569336
2018-11-21,85.08000183105469
2020-01-13,84.54000091552734
2020-04-01,83.38999938964844
2020-06-19,82.86000061035156
2019-10-29,83.2300033569336
2020-01-16,83.54000091552734
2020-06-22,83.33999633789062
2018-10-03,83.56999969482422
2018-07-31,84.58999633789062
2019-03-12,84.93000030517578
2019-02-08,84.6500015258789
2019-01-07,84.23999786376953
2018-12-06,84.2300033569336
2019-08-19,84.55000305175781
2019-07-18,83.26000213623047
2019-05-15,82.55999755859375
2019-09-20,82.52999877929688
2019-11-01,82.68000030517578
2020-04-07,83.12999725341797
2020-06-25,81.76000213623047
2020-06-16,79.66000366210938
2019-11-04,78.88999938964844
2020-01-22,79.41999816894531
2019-11-07,79.91000366210938
2020-04-13,79.23999786376953
2019-07-01,78.87000274658203
2019-05-30,78.97000122070312
2018-08-15,79.37999725341797
2018-10-18,79.56999969482422
2019-03-27,79.80000305175781
2019-01-22,79.18000030517578
2018-12-21,80.44999694824219
2019-09-03,80.31999969482422
2018-11-19,81.06999969482422
2019-08-02,80.9000015258789
2020-01-28,80.33000183105469
2020-04-16,80.19999694824219
2019-11-13,80.05999755859375
2020-01-31,79.30999755859375
2018-12-04,79.05000305175781
2018-11-02,77.19000244140625
2019-07-16,77.77999877929688
2018-08-30,77.73999786376953
2018-10-01,77.87999725341797
2019-06-14,76.97000122070312
2019-05-13,78.04000091552734
2019-04-11,78.06999969482422
2019-02-06,79.9800033569336
2019-09-18,79.9000015258789
2020-02-03,79.8499984741211
2020-04-22,79.76000213623047
2019-11-19,81.80000305175781
2020-02-06,81.58999633789062
2019-11-22,82.12999725341797
2019-03-25,81.58000183105469
2019-02-21,83.08000183105469
2018-12-19,83.30000305175781
2018-07-12,83.3499984741211
2018-09-14,83.02999877929688
2018-08-13,82.62999725341797
2018-10-16,82.31999969482422
2019-07-31,81.97000122070312
2019-05-28,82.80999755859375
2019-04-26,82.58000183105469
2020-04-28,77.83999633789062
2019-11-25,77.63999938964844
2020-02-12,75.37000274658203
2020-05-01,73.97000122070312
2020-05-04,73.08000183105469
2019-06-12,72.69000244140625
2019-04-09,73.5199966430664
2019-03-08,72.51000213623047
2019-02-04,71.0999984741211
2018-07-27,71.5
2018-08-28,69.66000366210938
2019-01-03,68.69000244140625
2019-08-15,68.55999755859375
2018-10-31,67.70999908447266
2019-09-16,69.13999938964844
2020-02-18,68.6500015258789
2020-05-07,69.12999725341797
2018-08-17,70.62000274658203
2019-12-04,75.11000061035156
2020-02-21,75.79000091552734
2018-12-17,73.83999633789062
2019-08-30,74.1500015258789
2018-11-15,74.29000091552734
2019-07-29,72.66999816894531
2019-06-27,72.47000122070312
2019-04-24,72.73999786376953
2018-07-10,73.61000061035156
2018-09-12,73.63999938964844
2019-02-19,72.77999877929688
2019-01-18,73.04000091552734
2020-02-24,70.5
2020-05-13,71.31999969482422
2019-12-10,70.38999938964844
2020-02-27,70.70999908447266
2019-12-13,71.69999694824219
2020-05-19,71.0
2019-03-06,72.43000030517578
2018-11-30,71.80000305175781
2019-08-13,68.47000122070312
2019-07-12,68.62999725341797
2019-06-10,66.06999969482422
2019-05-09,65.63999938964844
2018-07-25,66.66999816894531
2018-09-27,67.0
2018-10-29,66.56999969482422
2019-10-16,65.76000213623047
2019-12-16,64.31999969482422
2020-03-04,64.36000061035156
2020-05-22,62.380001068115234
2019-10-01,61.54999923706055
2019-12-19,59.83000183105469
2018-09-10,60.630001068115234
2019-05-24,60.779998779296875
2018-08-09,61.459999084472656
2019-04-22,61.5
2019-03-21,62.400001525878906
2019-01-16,62.400001525878906
2019-08-28,63.41999816894531
2018-11-13,65.33000183105469
2018-10-12,66.30999755859375
2019-06-25,66.22000122070312
2020-03-10,66.27999877929688
2020-05-28,66.25
2019-10-07,66.47000122070312
2020-03-13,66.52999877929688
2019-10-10,65.66999816894531
2020-03-16,66.0999984741211
2020-06-03,67.2300033569336
2018-11-28,66.4000015258789
