Dates,OXY
2018-06-20,82.91999816894531
2018-06-21,83.02999877929688
2018-06-25,84.37999725341797
2018-06-22,83.5
2018-06-26,81.66999816894531
2018-06-27,83.6500015258789
2018-06-28,84.26000213623047
2018-06-29,84.02999877929688
2018-07-02,83.04000091552734
2018-07-03,83.62999725341797
2018-07-05,84.4800033569336
2018-07-16,83.76000213623047
2018-09-18,84.69999694824219
2019-01-24,85.62000274658203
2019-09-05,84.9000015258789
2018-11-21,84.70999908447266
2020-01-13,84.13999938964844
2020-04-01,82.80000305175781
2020-06-19,82.33000183105469
2019-10-29,82.13999938964844
2020-01-16,82.75
2020-06-22,83.0999984741211
2018-10-03,83.2699966430664
2018-07-31,82.80999755859375
2019-03-12,83.66999816894531
2019-02-08,84.19999694824219
2019-01-07,83.87999725341797
2018-12-06,84.08999633789062
2019-08-19,83.61000061035156
2019-07-18,83.08999633789062
2019-05-15,82.01000213623047
2019-09-20,82.0999984741211
2019-11-01,82.44999694824219
2020-04-07,82.98999786376953
2020-06-25,81.61000061035156
2020-06-16,79.47000122070312
2019-11-04,77.43000030517578
2020-01-22,78.88999938964844
2019-11-07,78.69000244140625
2020-04-13,79.1500015258789
2019-07-01,77.41999816894531
2019-05-30,78.5199966430664
2018-08-15,78.5199966430664
2018-10-18,79.33999633789062
2019-03-27,79.44999694824219
2019-01-22,78.9800033569336
2018-12-21,79.47000122070312
2019-09-03,79.45999908447266
2018-11-19,80.54000091552734
2019-08-02,80.41000366210938
2020-01-28,80.0199966430664
2020-04-16,80.0
2019-11-13,80.04000091552734
2020-01-31,78.75
2018-12-04,79.0
2018-11-02,76.23999786376953
2019-07-16,77.0
2018-08-30,76.62999725341797
2018-10-01,77.61000061035156
2019-06-14,75.45999908447266
2019-05-13,76.7300033569336
2019-04-11,77.79000091552734
2019-02-06,78.88999938964844
2019-09-18,78.9000015258789
2020-02-03,79.63999938964844
2020-04-22,79.62999725341797
2019-11-19,80.33999633789062
2020-02-06,81.23999786376953
2019-11-22,80.86000061035156
2019-03-25,81.44000244140625
2019-02-21,80.75
2018-12-19,82.31999969482422
2018-07-12,83.2699966430664
2018-09-14,82.93000030517578
2018-08-13,81.91000366210938
