Dates,ETN
2018-06-20,77.94000244140625
2018-06-21,76.36000061035156
2018-06-25,76.58999633789062
2018-06-22,75.94000244140625
2018-06-26,75.51000213623047
2018-06-27,75.26000213623047
2018-06-28,74.44000244140625
2018-06-29,74.73999786376953
2018-07-02,74.93000030517578
2018-07-03,75.44999694824219
2018-07-05,75.83999633789062
2018-07-16,76.0199966430664
2018-09-18,77.80000305175781
2019-01-24,78.30999755859375
2019-09-05,75.76000213623047
2018-11-21,76.87000274658203
2020-01-13,77.76000213623047
2020-04-01,77.33999633789062
2020-06-19,77.81999969482422
2019-10-29,78.37000274658203
2020-01-16,78.20999908447266
2020-06-22,77.63999938964844
2018-10-03,76.87000274658203
2018-07-31,77.44999694824219
2019-03-12,78.9800033569336
2019-02-08,79.95999908447266
2019-01-07,80.56999969482422
2018-12-06,79.86000061035156
2019-08-19,83.16999816894531
2019-07-18,82.37000274658203
2019-05-15,81.16999816894531
2019-09-20,81.56999969482422
2019-11-01,81.19000244140625
2020-04-07,82.58000183105469
2020-06-25,81.91000366210938
2020-06-16,81.70999908447266
2019-11-04,80.55000305175781
2020-01-22,80.12000274658203
2019-11-07,80.13999938964844
2020-04-13,79.62999725341797
2019-07-01,80.51000213623047
2019-05-30,81.0
2018-08-15,81.3499984741211
2018-10-18,82.02999877929688
2019-03-27,81.48999786376953
2019-01-22,80.91999816894531
2018-12-21,81.68000030517578
2019-09-03,83.08999633789062
2018-11-19,83.56999969482422
2019-08-02,83.56999969482422
2020-01-28,82.83000183105469
2020-04-16,83.13999938964844
2019-11-13,82.7699966430664
2020-01-31,84.55999755859375
2018-12-04,84.66999816894531
2018-11-02,83.80999755859375
2019-07-16,85.25
2018-08-30,85.05999755859375
2018-10-01,85.97000122070312
2019-06-14,86.69999694824219
2019-05-13,87.1500015258789
2019-04-11,87.12999725341797
2019-02-06,86.93000030517578
2019-09-18,88.01000213623047
2020-02-03,88.31999969482422
2020-04-22,88.5
2019-11-19,87.44999694824219
2020-02-06,87.1500015258789
2019-11-22,86.91000366210938
2019-03-25,86.76000213623047
2019-02-21,86.7300033569336
2018-12-19,87.44999694824219
2018-07-12,87.8499984741211
2018-09-14,87.72000122070312
2018-08-13,87.69999694824219
2018-10-16,86.66999816894531
2019-07-31,86.66999816894531
2019-05-28,84.93000030517578
2019-04-26,81.75
2020-04-28,79.52999877929688
2019-11-25,79.7699966430664
2020-02-12,79.16000366210938
2020-05-01,80.26000213623047
2020-05-04,79.80999755859375
2019-06-12,78.37999725341797
2019-04-09,77.29000091552734
2019-03-08,76.55999755859375
2019-02-04,73.51000213623047
2018-07-27,70.38999938964844
2018-08-28,72.19999694824219
2019-01-03,72.01000213623047
2019-08-15,71.02999877929688
2018-10-31,70.3499984741211
2019-09-16,71.66999816894531
2020-02-18,73.75
2020-05-07,73.23999786376953
2018-08-17,73.75
2019-12-04,75.27999877929688
2020-02-21,75.41999816894531
2018-12-17,74.23999786376953
2019-08-30,73.43000030517578
2018-11-15,72.51000213623047
2019-07-29,72.30999755859375
2019-06-27,72.36000061035156
2019-04-24,73.9800033569336
2018-07-10,74.23999786376953
2018-09-12,73.4800033569336
2019-02-19,72.94999694824219
2019-01-18,74.08000183105469
2020-02-24,74.08999633789062
2020-05-13,75.08999633789062
2019-12-10,75.3499984741211
2020-02-27,76.56999969482422
2019-12-13,76.01000213623047
2020-05-19,76.94000244140625
2019-03-06,78.01000213623047
2018-11-30,74.98999786376953
2019-08-13,73.29000091552734
2019-07-12,71.25
2019-06-10,71.33000183105469
2019-05-09,70.91999816894531
2018-07-25,71.11000061035156
2018-09-27,70.80000305175781
2018-10-29,70.58000183105469
2019-10-16,69.18000030517578
2019-12-16,68.87999725341797
2020-03-04,68.01000213623047
2020-05-22,67.11000061035156
2019-10-01,66.37000274658203
2019-12-19,64.86000061035156
2018-09-10,67.79000091552734
2019-05-24,68.7300033569336
2018-08-09,68.23999786376953
2019-04-22,68.66000366210938
2019-03-21,68.61000061035156
2019-01-16,66.62999725341797
2019-08-28,68.52999877929688
2018-11-13,68.7300033569336
2018-10-12,68.18000030517578
2019-06-25,69.05999755859375
2020-03-10,70.19000244140625
2020-05-28,70.22000122070312
2019-10-07,70.37999725341797
2020-03-13,69.87999725341797
2019-10-10,70.0999984741211
2020-03-16,70.97000122070312
2020-06-03,71.87000274658203
2018-11-28,70.44000244140625
2018-09-25,70.1500015258789
2018-07-23,70.16000366210938
2018-08-24,71.06999969482422
2019-07-10,69.11000061035156
2019-05-07,71.11000061035156
2019-04-05,72.87999725341797
2019-03-04,76.25
2019-01-31,76.4800033569336
2019-09-12,77.0999984741211
2019-12-31,77.1500015258789
2020-03-19,76.94000244140625
2020-01-03,76.36000061035156
2020-06-09,75.83000183105469
2019-02-15,75.62999725341797
2019-01-14,76.66999816894531
2018-07-06,77.66999816894531
2018-08-07,77.19999694824219
2018-10-10,78.7300033569336
2018-12-13,78.80000305175781
2019-08-26,79.72000122070312
2019-07-25,79.69000244140625
2019-05-22,80.79000091552734
2019-03-19,80.91999816894531
2020-01-06,80.48999786376953
2020-03-25,80.63999938964844
2020-06-12,79.7699966430664
2019-10-22,80.2300033569336
2020-01-09,81.30000305175781
2020-06-15,80.80000305175781
2019-10-25,80.94999694824219
2020-03-31,79.93000030517578
2020-06-18,79.37999725341797
2019-04-03,80.30999755859375
2018-08-22,80.36000061035156
2018-10-25,80.58999633789062
2019-01-29,80.98999786376953
2018-12-28,80.58000183105469
2018-11-26,82.0999984741211
2019-08-09,82.22000122070312
2019-07-08,81.2300033569336
