Dates,ETN
2018-06-20,77.7300033569336
2018-06-21,76.1500015258789
2018-06-25,76.5
2018-06-22,75.43000030517578
2018-06-26,75.41000366210938
2018-06-27,75.25
2018-06-28,73.4800033569336
2018-06-29,74.63999938964844
2018-07-02,74.11000061035156
2018-07-03,75.27999877929688
2018-07-05,75.1500015258789
2018-07-16,75.22000122070312
2018-09-18,76.06999969482422
2019-01-24,77.87999725341797
2019-09-05,75.44000244140625
2018-11-21,76.08999633789062
2020-01-13,76.54000091552734
2020-04-01,77.13999938964844
2020-06-19,76.95999908447266
2019-10-29,77.73999786376953
2020-01-16,77.58000183105469
2020-06-22,77.43000030517578
2018-10-03,76.69999694824219
2018-07-31,77.08999633789062
2019-03-12,77.12999725341797
2019-02-08,78.94000244140625
2019-01-07,79.95999908447266
2018-12-06,79.69000244140625
2019-08-19,80.12999725341797
2019-07-18,82.31999969482422
2019-05-15,80.77999877929688
2019-09-20,80.73999786376953
2019-11-01,81.08000183105469
2020-04-07,81.33999633789062
2020-06-25,81.69999694824219
2020-06-16,81.47000122070312
2019-11-04,80.26000213623047
2020-01-22,79.87000274658203
2019-11-07,79.83000183105469
2020-04-13,78.75
2019-07-01,80.18000030517578
2019-05-30,80.30999755859375
2018-08-15,81.1500015258789
2018-10-18,81.37999725341797
2019-03-27,81.16999816894531
2019-01-22,80.47000122070312
2018-12-21,80.95999908447266
2019-09-03,81.83999633789062
2018-11-19,83.3499984741211
2019-08-02,83.06999969482422
2020-01-28,82.70999908447266
2020-04-16,82.54000091552734
2019-11-13,81.91000366210938
2020-01-31,82.41000366210938
2018-12-04,84.20999908447266
2018-11-02,83.23999786376953
2019-07-16,84.55999755859375
2018-08-30,84.3499984741211
2018-10-01,84.69000244140625
2019-06-14,86.30000305175781
2019-05-13,86.56999969482422
2019-04-11,86.8499984741211
2019-02-06,86.02999877929688
2019-09-18,86.9000015258789
2020-02-03,87.20999908447266
2020-04-22,87.30999755859375
2019-11-19,87.16999816894531
2020-02-06,86.87000274658203
2019-11-22,86.79000091552734
2019-03-25,86.55000305175781
2019-02-21,86.44999694824219
2018-12-19,86.79000091552734
2018-07-12,87.19000244140625
2018-09-14,87.38999938964844
2018-08-13,86.9800033569336
2018-10-16,86.30999755859375
2019-07-31,85.54000091552734
2019-05-28,84.75
2019-04-26,81.69000244140625
2020-04-28,79.26000213623047
2019-11-25,78.69000244140625
2020-02-12,79.04000091552734
2020-05-01,79.19999694824219
2020-05-04,78.88999938964844
2019-06-12,77.87999725341797
2019-04-09,77.08000183105469
2019-03-08,76.4800033569336
2019-02-04,73.23999786376953
2018-07-27,70.19999694824219
2018-08-28,70.8499984741211
2019-01-03,70.58000183105469
2019-08-15,69.97000122070312
2018-10-31,67.69999694824219
2019-09-16,71.1500015258789
2020-02-18,71.2699966430664
2020-05-07,72.88999938964844
2018-08-17,73.27999877929688
