Dates,ETN
2018-06-20,1723000.0
2018-06-21,4231700.0
2018-06-25,2342400.0
2018-06-22,3283900.0
2018-06-26,2615100.0
2018-06-27,3630600.0
2018-06-28,5594900.0
2018-06-29,3533800.0
2018-07-02,2660100.0
2018-07-03,1378100.0
2018-07-05,1565200.0
2018-07-16,1737000.0
2018-09-18,1565400.0
2019-01-24,2027400.0
2019-09-05,2856000.0
2018-11-21,1875900.0
2020-01-13,1431900.0
2020-04-01,1975700.0
2020-06-19,2431700.0
2019-10-29,1944300.0
2020-01-16,2152600.0
2020-06-22,2211800.0
2018-10-03,3315900.0
2018-07-31,3754400.0
2019-03-12,3136500.0
2019-02-08,3256400.0
2019-01-07,2096700.0
2018-12-06,2813000.0
2019-08-19,4753400.0
2019-07-18,3613800.0
2019-05-15,2317100.0
2019-09-20,1861800.0
2019-11-01,1830800.0
2020-04-07,2823800.0
2020-06-25,1499900.0
2020-06-16,2096100.0
2019-11-04,2144500.0
2020-01-22,3273700.0
2019-11-07,2878800.0
2020-04-13,2158200.0
2019-07-01,2360400.0
2019-05-30,1664300.0
2018-08-15,1741700.0
2018-10-18,2936600.0
2019-03-27,2307600.0
2019-01-22,1846600.0
2018-12-21,1139000.0
2019-09-03,2144700.0
2018-11-19,2764000.0
2019-08-02,2092700.0
2020-01-28,1418500.0
2020-04-16,1887900.0
2019-11-13,2861400.0
2020-01-31,2506600.0
2018-12-04,1631200.0
2018-11-02,3133400.0
2019-07-16,2214100.0
2018-08-30,2259900.0
2018-10-01,2872900.0
2019-06-14,2016100.0
2019-05-13,1544100.0
2019-04-11,2562800.0
2019-02-06,2353800.0
2019-09-18,1798300.0
2020-02-03,2787600.0
2020-04-22,3942700.0
2019-11-19,2157900.0
2020-02-06,2542100.0
2019-11-22,2315900.0
2019-03-25,1694100.0
2019-02-21,2304900.0
2018-12-19,1960100.0
2018-07-12,1903300.0
2018-09-14,2880600.0
2018-08-13,1936900.0
2018-10-16,2365600.0
2019-07-31,1750700.0
2019-05-28,3364500.0
2019-04-26,3974100.0
2020-04-28,3285400.0
2019-11-25,3586800.0
2020-02-12,2135700.0
2020-05-01,1911500.0
2020-05-04,1806000.0
2019-06-12,1952300.0
2019-04-09,2107500.0
2019-03-08,3526500.0
2019-02-04,4793000.0
2018-07-27,4325800.0
2018-08-28,4193500.0
2019-01-03,4471600.0
2019-08-15,3191500.0
2018-10-31,7647900.0
2019-09-16,5767100.0
2020-02-18,3604600.0
2020-05-07,3366600.0
2018-08-17,3648800.0
2019-12-04,2897900.0
2020-02-21,3514300.0
2018-12-17,4239800.0
2019-08-30,3027400.0
2018-11-15,2161200.0
2019-07-29,2402900.0
2019-06-27,2843500.0
2019-04-24,2648700.0
2018-07-10,2379900.0
2018-09-12,1911000.0
2019-02-19,2043300.0
2019-01-18,3035900.0
2020-02-24,1260600.0
2020-05-13,2784400.0
2019-12-10,2316100.0
2020-02-27,2207800.0
2019-12-13,1716400.0
2020-05-19,3137800.0
2019-03-06,2002200.0
2018-11-30,2632900.0
2019-08-13,3913000.0
2019-07-12,3322200.0
2019-06-10,2213600.0
2019-05-09,1597200.0
2018-07-25,2304300.0
2018-09-27,2180700.0
2018-10-29,2818600.0
2019-10-16,3079400.0
2019-12-16,3025700.0
2020-03-04,4465400.0
2020-05-22,3873000.0
2019-10-01,5798100.0
2019-12-19,2060700.0
2018-09-10,2643400.0
2019-05-24,3272000.0
2018-08-09,2190600.0
2019-04-22,2281300.0
2019-03-21,2766600.0
2019-01-16,2803500.0
2019-08-28,3801600.0
2018-11-13,2342300.0
2018-10-12,4316500.0
2019-06-25,3184000.0
2020-03-10,2261300.0
2020-05-28,1676700.0
2019-10-07,1858800.0
2020-03-13,1814900.0
2019-10-10,1791900.0
2020-03-16,1440300.0
2020-06-03,2472300.0
2018-11-28,4081800.0
2018-09-25,2593400.0
2018-07-23,2997500.0
2018-08-24,2733600.0
2019-07-10,4635700.0
2019-05-07,3605200.0
2019-04-05,3652000.0
2019-03-04,6272200.0
2019-01-31,4160700.0
2019-09-12,2862300.0
2019-12-31,2497000.0
2020-03-19,2475000.0
2020-01-03,2465900.0
2020-06-09,1903400.0
2019-02-15,1785400.0
2019-01-14,2658200.0
2018-07-06,2120400.0
2018-08-07,1898600.0
2018-10-10,2233300.0
2018-12-13,2001100.0
2019-08-26,2320500.0
2019-07-25,1935200.0
2019-05-22,2584200.0
2019-03-19,2233700.0
2020-01-06,1560200.0
2020-03-25,2082700.0
2020-06-12,2560100.0
2019-10-22,4037800.0
2020-01-09,4052900.0
2020-06-15,3225500.0
2019-10-25,3900100.0
2020-03-31,2853500.0
2020-06-18,2249600.0
2019-04-03,2394200.0
2018-08-22,3430100.0
2018-10-25,2225100.0
2019-01-29,2476700.0
2018-12-28,4940000.0
2018-11-26,2971400.0
2019-08-09,2232100.0
2019-07-08,3261900.0
2019-06-06,1891200.0
2019-09-10,3797700.0
2020-01-15,2801500.0
2020-04-03,2062400.0
2019-10-31,2136200.0
2020-04-06,1767000.0
2020-06-24,2173100.0
2018-11-09,2124600.0
2019-07-23,1699200.0
2019-06-21,2080300.0
2019-05-20,1917400.0
2019-04-18,1542900.0
2018-09-06,1417900.0
2018-10-08,1984000.0
2019-02-13,1407800.0
2018-12-11,1349700.0
2019-09-25,1510400.0
2020-01-21,876500.0
2020-04-09,1822000.0
2019-11-06,1685100.0
2020-01-24,1637700.0
2020-01-27,1222900.0
2020-04-15,2058900.0
2018-12-26,1569500.0
2019-08-07,1599000.0
2019-06-04,2454800.0
2018-09-21,2426500.0
2018-07-19,4759300.0
2018-08-20,3525600.0
2018-10-23,3072200.0
2019-05-03,1982200.0
2019-04-01,1828500.0
2019-02-28,2654600.0
2019-11-12,2822500.0
2020-01-30,1957800.0
2019-11-15,1833200.0
2020-04-21,2729600.0
2019-04-16,1853500.0
2019-03-15,1315300.0
2019-02-11,1419900.0
2019-01-10,1607800.0
2019-08-22,1332800.0
2018-11-07,2048100.0
2018-08-03,1915400.0
2018-09-04,2020000.0
2019-06-19,1661500.0
2019-09-23,1958100.0
2019-11-18,2337900.0
2020-02-05,1265700.0
2020-04-24,1840100.0
2019-03-29,2132100.0
2019-11-21,2419000.0
2020-04-27,1747500.0
2020-02-11,1626300.0
2020-04-30,1739400.0
2019-05-01,1424000.0
2019-02-26,1724900.0
2019-01-25,1328200.0
2018-12-24,1487100.0
2019-09-06,1380700.0
2018-07-17,1315700.0
2018-09-19,1732100.0
2019-08-05,2498600.0
2019-10-08,4201200.0
2019-12-11,4828400.0
2019-11-27,2754800.0
2020-02-14,3184200.0
2020-05-06,1859200.0
2019-01-08,2214700.0
2018-12-07,3083500.0
2019-08-20,2299900.0
2018-11-05,2848200.0
2019-07-19,1082000.0
2018-10-04,1322700.0
2019-06-17,1339000.0
2019-05-16,3711800.0
2018-08-01,2177500.0
2019-03-13,2869200.0
2019-12-03,2058500.0
2020-02-20,1988400.0
2019-12-06,2163100.0
2020-05-12,1705900.0
2019-12-09,2721600.0
2020-02-26,2380400.0
2020-05-15,1699500.0
2019-03-28,2702600.0
2018-09-17,2009900.0
2018-08-16,2180300.0
2018-10-19,1783700.0
2019-04-29,2472500.0
2019-01-23,3136800.0
2019-09-04,4566400.0
2018-11-20,3125000.0
2019-07-02,2683500.0
2019-05-31,3098500.0
2019-12-12,2404300.0
2020-05-18,3220400.0
2019-09-27,1879000.0
2020-03-03,2388300.0
2020-05-21,2131200.0
2019-05-14,2343500.0
2018-08-31,5155700.0
2018-07-30,2479600.0
2018-10-02,1655200.0
2019-04-12,2158600.0
2019-03-11,1610000.0
2019-02-07,1483000.0
2019-07-17,1631500.0
2019-09-19,4322800.0
2019-10-21,1670000.0
2019-12-18,1854000.0
2020-03-06,1347000.0
2019-10-03,1646900.0
2020-03-09,2715700.0
2020-05-27,3527600.0
2019-12-24,1660100.0
2020-03-12,2243600.0
2018-12-20,1983900.0
2019-08-01,2055200.0
2018-08-14,3290300.0
2018-07-13,1999300.0
2018-10-17,2330300.0
2019-05-29,3175600.0
2019-03-26,1563400.0
2019-02-22,1500900.0
2019-10-04,2518800.0
2019-11-05,1835700.0
2019-12-27,3040700.0
2020-06-02,2207600.0
2019-12-30,2784500.0
2020-03-18,2382600.0
2020-06-05,1900800.0
2019-07-15,1503800.0
2018-12-03,1749300.0
2019-06-13,1806500.0
2019-01-04,2757700.0
2018-08-29,1550000.0
2019-02-05,1500600.0
2018-11-01,1929500.0
2019-08-16,1756800.0
2019-04-10,2219000.0
2019-09-17,1888500.0
2019-10-15,2704700.0
2020-01-02,1591700.0
2020-06-08,1915700.0
2019-10-18,2590600.0
2020-03-24,4678300.0
2020-06-11,1981800.0
2020-01-08,1869500.0
2019-04-25,1617000.0
2019-07-30,1542800.0
2019-02-20,1546900.0
2018-07-11,2083400.0
2018-09-13,3246400.0
2018-10-15,3551800.0
2019-06-28,2327000.0
2018-12-18,1953400.0
2018-11-16,2250100.0
2019-10-02,2523100.0
2020-03-27,2242100.0
2020-01-10,2097400.0
2019-10-24,1885900.0
2020-03-30,1981000.0
2020-06-17,1110000.0
2020-01-14,3600200.0
2020-04-02,2115900.0
2019-01-02,1166800.0
2019-08-14,1914000.0
2018-10-30,2306800.0
2019-06-11,2873800.0
2019-05-10,1855700.0
2019-04-08,1609900.0
2018-08-27,1652300.0
2018-07-26,3961100.0
2018-09-28,2510300.0
2019-03-07,1477500.0
2019-10-30,1032400.0
2020-01-17,2387800.0
2020-06-23,2899100.0
2020-04-08,2832600.0
2020-06-26,2982800.0
2019-03-22,1562300.0
2019-01-17,3366900.0
2019-08-29,1574100.0
2018-11-14,2135000.0
2019-06-26,2735100.0
2018-09-11,1844900.0
2018-07-09,1891500.0
2018-08-10,1693600.0
2019-04-23,2008400.0
2019-09-30,3015800.0
2020-01-23,5245700.0
2019-11-08,2332400.0
2020-04-14,664200.0
2019-11-11,1264600.0
2020-01-29,1004300.0
2020-04-17,1451900.0
2018-07-24,1461800.0
2018-09-26,2380800.0
2019-05-08,1557900.0
2019-03-05,3665200.0
2019-02-01,2631000.0
2018-12-31,2480500.0
2018-11-29,2736900.0
2019-08-12,2213000.0
2019-07-11,1638300.0
2019-09-13,2349900.0
2019-11-14,2653200.0
2020-04-20,1677000.0
2020-02-04,2978600.0
2020-04-23,3505200.0
2018-12-14,5604100.0
2019-08-27,3081300.0
2018-08-08,2626000.0
2018-10-11,2194200.0
2018-11-12,3394200.0
2019-07-26,2108100.0
2019-06-24,2680500.0
2019-05-23,4701800.0
2019-03-20,2745700.0
2019-01-15,4735400.0
2019-11-20,3339400.0
2020-02-07,2507900.0
2020-02-10,3064000.0
2020-04-29,2039600.0
2019-11-26,2481300.0
2020-02-13,2006200.0
2019-01-30,2059500.0
2018-08-23,1991900.0
2018-09-24,2298400.0
2018-11-27,1873100.0
2018-10-26,1755700.0
2019-07-09,2465700.0
2019-06-07,4177700.0
2019-05-06,4140900.0
2019-04-04,4108600.0
2019-09-11,5546400.0
2019-11-29,6790100.0
2020-05-05,5188800.0
2019-12-02,5114600.0
2020-02-19,4269000.0
2020-05-08,3980400.0
2019-05-21,4760000.0
2019-03-18,5205800.0
2018-09-07,4974000.0
2018-08-06,4422800.0
2018-10-09,5814900.0
2019-02-14,5711900.0
2018-12-12,4825300.0
2019-07-24,5774000.0
2019-09-26,5784500.0
2019-10-28,4599000.0
2019-12-05,4540900.0
2020-05-11,6096900.0
2019-07-03,5155900.0
2020-02-25,5259100.0
2020-05-14,3073400.0
2020-02-28,2621400.0
2019-08-08,2873400.0
2019-06-05,5641200.0
2018-07-20,3769700.0
2018-08-21,3162500.0
2018-10-24,2606700.0
2019-04-02,3109300.0
2019-03-01,3372100.0
2019-01-28,3272800.0
2018-12-27,4472100.0
2019-09-09,2238200.0
2020-03-02,1943400.0
2020-05-20,2040500.0
2019-12-17,2961000.0
2020-03-05,2450900.0
2019-02-12,2181200.0
2019-01-11,2400300.0
2018-12-10,2639300.0
2019-08-23,2289100.0
2018-11-08,2085100.0
2019-07-22,1992300.0
2019-06-20,2249200.0
2018-09-05,2563300.0
2019-04-17,3597600.0
2019-09-24,2505800.0
2019-12-20,2839900.0
2020-05-26,2260100.0
2019-04-30,1825500.0
2019-12-23,2219300.0
2020-03-11,1555100.0
2020-05-29,1786800.0
2019-12-26,1996200.0
2020-06-01,2336600.0
2019-05-02,2734000.0
2019-02-27,2661200.0
2018-11-23,1916500.0
2019-08-06,2356200.0
2018-07-18,1905100.0
2018-09-20,2130100.0
2018-10-22,1784400.0
2019-07-05,2683100.0
2019-06-03,3190800.0
2019-10-09,3491100.0
2019-10-11,3361600.0
2020-03-17,1584000.0
2020-06-04,1741300.0
2019-10-14,1819500.0
2020-03-20,3069600.0
2018-11-06,3398100.0
2019-06-18,2574200.0
2019-05-17,2260600.0
2019-04-15,2023600.0
2019-03-14,2069800.0
2019-01-09,1788100.0
2018-08-02,2651500.0
2018-10-05,2000300.0
2019-08-21,2027500.0
2019-10-17,1932000.0
2020-03-23,6552500.0
2020-06-10,2600300.0
2019-02-25,1841400.0
2020-01-07,2500900.0
2020-03-26,2502000.0
2019-10-23,3696000.0
