Dates,KR
2018-06-20,33.16999816894531
2018-06-21,32.959999084472656
2018-06-25,33.61000061035156
2018-06-22,32.90999984741211
2018-06-26,33.459999084472656
2018-06-27,34.63999938964844
2018-06-28,33.66999816894531
2018-06-29,33.439998626708984
2018-07-02,33.11000061035156
2018-07-03,33.84000015258789
2018-07-05,33.54999923706055
2018-07-16,33.91999816894531
2018-09-18,34.7599983215332
2019-01-24,34.81999969482422
2019-09-05,34.06999969482422
2018-11-21,33.209999084472656
2020-01-13,33.09000015258789
2020-04-01,32.4900016784668
2020-06-19,32.790000915527344
2019-10-29,32.720001220703125
2020-01-16,32.54999923706055
2020-06-22,32.70000076293945
2018-10-03,32.7599983215332
2018-07-31,33.43000030517578
2019-03-12,33.459999084472656
2019-02-08,34.029998779296875
2019-01-07,35.040000915527344
2018-12-06,35.380001068115234
2019-08-19,34.900001525878906
2019-07-18,34.33000183105469
2019-05-15,34.16999816894531
2019-09-20,34.18000030517578
2019-11-01,34.9900016784668
2020-04-07,35.54999923706055
2020-06-25,35.15999984741211
2020-06-16,35.099998474121094
2019-11-04,35.040000915527344
2020-01-22,34.68000030517578
2019-11-07,34.52000045776367
2020-04-13,33.58000183105469
2019-07-01,32.209999084472656
2019-05-30,31.690000534057617
2018-08-15,32.08000183105469
2018-10-18,32.56999969482422
2019-03-27,32.689998626708984
2019-01-22,32.439998626708984
2018-12-21,32.91999816894531
2019-09-03,33.7400016784668
2018-11-19,33.970001220703125
2019-08-02,34.18000030517578
2020-01-28,34.150001525878906
2020-04-16,33.90999984741211
2019-11-13,33.22999954223633
2020-01-31,32.08000183105469
2018-12-04,31.920000076293945
2018-11-02,31.600000381469727
2019-07-16,32.290000915527344
2018-08-30,32.77000045776367
2018-10-01,33.22999954223633
2019-06-14,32.29999923706055
2019-05-13,32.33000183105469
2019-04-11,32.029998779296875
2019-02-06,32.279998779296875
2019-09-18,33.099998474121094
2020-02-03,33.52000045776367
2020-04-22,32.91999816894531
2019-11-19,33.540000915527344
2020-02-06,33.79999923706055
2019-11-22,33.939998626708984
2019-03-25,34.369998931884766
2019-02-21,34.4900016784668
2018-12-19,34.060001373291016
2018-07-12,33.5
2018-09-14,32.25
2018-08-13,32.790000915527344
2018-10-16,32.47999954223633
2019-07-31,31.969999313354492
2019-05-28,32.9900016784668
2019-04-26,32.689998626708984
2020-04-28,31.860000610351562
2019-11-25,31.260000228881836
2020-02-12,31.15999984741211
2020-05-01,31.0
2020-05-04,31.010000228881836
2019-06-12,31.260000228881836
2019-04-09,31.209999084472656
2019-03-08,30.0
2019-02-04,29.219999313354492
2018-07-27,29.170000076293945
2018-08-28,28.15999984741211
2019-01-03,27.950000762939453
2019-08-15,27.770000457763672
2018-10-31,27.510000228881836
2019-09-16,27.700000762939453
2020-02-18,27.1299991607666
2020-05-07,26.479999542236328
2018-08-17,26.959999084472656
2019-12-04,27.299999237060547
2020-02-21,27.790000915527344
2018-12-17,27.309999465942383
2019-08-30,26.90999984741211
2018-11-15,25.670000076293945
2019-07-29,24.459999084472656
2019-06-27,23.760000228881836
2019-04-24,23.770000457763672
2018-07-10,23.799999237060547
2018-09-12,23.549999237060547
2019-02-19,22.719999313354492
2019-01-18,22.979999542236328
2020-02-24,22.469999313354492
2020-05-13,22.940000534057617
2019-12-10,22.709999084472656
2020-02-27,22.979999542236328
2019-12-13,23.40999984741211
2020-05-19,23.079999923706055
2019-03-06,23.549999237060547
2018-11-30,23.450000762939453
2019-08-13,21.709999084472656
2019-07-12,22.299999237060547
2019-06-10,21.600000381469727
2019-05-09,21.719999313354492
2018-07-25,22.079999923706055
2018-09-27,22.15999984741211
2018-10-29,22.079999923706055
2019-10-16,22.09000015258789
2019-12-16,21.790000915527344
2020-03-04,22.219999313354492
2020-05-22,21.389999389648438
2019-10-01,21.329999923706055
2019-12-19,21.239999771118164
2018-09-10,21.520000457763672
2019-05-24,21.489999771118164
2018-08-09,22.1200008392334
2019-04-22,21.579999923706055
2019-03-21,21.6299991607666
2019-01-16,21.350000381469727
2019-08-28,22.1200008392334
2018-11-13,22.75
2018-10-12,23.270000457763672
2019-06-25,23.780000686645508
2020-03-10,23.770000457763672
2020-05-28,23.25
2019-10-07,23.360000610351562
2020-03-13,23.649999618530273
2019-10-10,23.280000686645508
2020-03-16,23.709999084472656
2020-06-03,24.360000610351562
2018-11-28,24.020000457763672
2018-09-25,23.899999618530273
2018-07-23,23.360000610351562
2018-08-24,23.65999984741211
2019-07-10,23.280000686645508
2019-05-07,23.360000610351562
2019-04-05,24.15999984741211
2019-03-04,24.959999084472656
2019-01-31,24.59000015258789
2019-09-12,25.010000228881836
2019-12-31,25.200000762939453
2020-03-19,25.3700008392334
2020-01-03,25.040000915527344
2020-06-09,24.690000534057617
2019-02-15,24.940000534057617
2019-01-14,25.299999237060547
2018-07-06,25.56999969482422
2018-08-07,25.75
2018-10-10,26.030000686645508
2018-12-13,26.139999389648438
2019-08-26,26.979999542236328
2019-07-25,26.670000076293945
2019-05-22,26.559999465942383
2019-03-19,26.920000076293945
2020-01-06,27.09000015258789
2020-03-25,26.889999389648438
2020-06-12,26.799999237060547
2019-10-22,27.1299991607666
2020-01-09,27.510000228881836
2020-06-15,27.18000030517578
2019-10-25,27.030000686645508
2020-03-31,26.360000610351562
2020-06-18,25.790000915527344
2019-04-03,26.780000686645508
2018-08-22,26.90999984741211
2018-10-25,27.3700008392334
2019-01-29,27.790000915527344
2018-12-28,28.030000686645508
2018-11-26,28.40999984741211
2019-08-09,28.610000610351562
2019-07-08,28.479999542236328
2019-06-06,28.649999618530273
2019-09-10,28.31999969482422
2020-01-15,27.469999313354492
2020-04-03,28.110000610351562
2019-10-31,27.8799991607666
2020-04-06,27.450000762939453
2020-06-24,27.81999969482422
2018-11-09,28.149999618530273
2019-07-23,27.93000030517578
2019-06-21,27.440000534057617
2019-05-20,26.780000686645508
2019-04-18,27.139999389648438
2018-09-06,27.270000457763672
2018-10-08,26.829999923706055
2019-02-13,26.979999542236328
2018-12-11,26.989999771118164
2019-09-25,27.1299991607666
2020-01-21,26.440000534057617
2020-04-09,26.139999389648438
2019-11-06,26.280000686645508
2020-01-24,26.049999237060547
2020-01-27,26.68000030517578
2020-04-15,26.93000030517578
2018-12-26,26.239999771118164
2019-08-07,25.90999984741211
2019-06-04,25.780000686645508
