Dates,BKNG
2020-05-13,451900.0
2019-12-10,397000.0
2020-02-27,348500.0
2019-12-13,358100.0
2020-05-19,361000.0
2019-03-06,535500.0
2018-11-30,355400.0
2019-08-13,396800.0
2019-07-12,409400.0
2019-06-10,431700.0
2019-05-09,264200.0
2018-07-25,325900.0
2018-09-27,361600.0
2018-10-29,399100.0
2019-10-16,632900.0
2019-12-16,391900.0
2020-03-04,524100.0
2020-05-22,473800.0
2019-10-01,1043700.0
2019-12-19,387200.0
2018-09-10,413600.0
2019-05-24,316500.0
2018-08-09,281000.0
2019-04-22,280200.0
2019-03-21,312600.0
2019-01-16,445200.0
2019-08-28,541000.0
2018-11-13,334800.0
2018-10-12,652400.0
2019-06-25,786300.0
2020-03-10,459700.0
2020-05-28,331200.0
2019-10-07,439200.0
2020-03-13,436100.0
2019-10-10,503700.0
2020-03-16,363200.0
2020-06-03,552600.0
2018-11-28,758000.0
2018-09-25,437900.0
2018-07-23,695700.0
2018-08-24,483200.0
2019-07-10,387800.0
2019-05-07,212300.0
2019-04-05,300500.0
2019-03-04,314900.0
2019-01-31,278200.0
2019-09-12,319500.0
2019-12-31,487900.0
2020-03-19,243000.0
2020-01-03,362600.0
2020-06-09,276000.0
2019-02-15,327700.0
2019-01-14,262200.0
2018-07-06,277300.0
2018-08-07,208900.0
2018-10-10,331800.0
2018-12-13,338400.0
2019-08-26,322200.0
2019-07-25,414100.0
2019-05-22,385800.0
2019-03-19,454100.0
2020-01-06,366000.0
2020-03-25,750600.0
2020-06-12,1989800.0
2019-10-22,1248100.0
2020-01-09,1043400.0
2020-06-15,619600.0
2019-10-25,621400.0
2020-03-31,598900.0
2020-06-18,773200.0
2019-04-03,681200.0
2018-08-22,699300.0
2018-10-25,680900.0
2019-01-29,520700.0
2018-12-28,760100.0
2018-11-26,403000.0
2019-08-09,499100.0
2019-07-08,389200.0
2019-06-06,400000.0
2019-09-10,656100.0
2020-01-15,559700.0
2020-04-03,462400.0
2019-10-31,355500.0
2020-04-06,417300.0
2020-06-24,440100.0
2018-11-09,502400.0
2019-07-23,492600.0
2019-06-21,486200.0
2019-05-20,373200.0
2019-04-18,365800.0
2018-09-06,324000.0
2018-10-08,378500.0
2019-02-13,392700.0
2018-12-11,421000.0
2019-09-25,413500.0
2020-01-21,386300.0
2020-04-09,416500.0
2019-11-06,324200.0
2020-01-24,344600.0
2020-01-27,315900.0
2020-04-15,549300.0
2018-12-26,506600.0
2019-08-07,384400.0
2019-06-04,541100.0
2018-09-21,432900.0
2018-07-19,422400.0
2018-08-20,407400.0
2018-10-23,529000.0
2019-05-03,496100.0
2019-04-01,540100.0
2019-02-28,477200.0
2019-11-12,464600.0
2020-01-30,627900.0
2019-11-15,1168400.0
2020-04-21,493000.0
2019-04-16,410400.0
2019-03-15,380800.0
2019-02-11,305000.0
2019-01-10,346200.0
2019-08-22,352000.0
2018-11-07,340600.0
2018-08-03,367900.0
2018-09-04,483800.0
2019-06-19,269300.0
2019-09-23,390800.0
2019-11-18,317500.0
2020-02-05,265800.0
2020-04-24,366400.0
2019-03-29,462300.0
2019-11-21,648000.0
2020-04-27,388700.0
2020-02-11,335700.0
2020-04-30,337600.0
2019-05-01,298300.0
2019-02-26,351000.0
2019-01-25,212300.0
2018-12-24,319200.0
2019-09-06,325500.0
2018-07-17,281200.0
2018-09-19,412800.0
2019-08-05,420200.0
2019-10-08,545000.0
2019-12-11,755800.0
2019-11-27,351200.0
2020-02-14,322200.0
2020-05-06,277500.0
2019-01-08,427100.0
2018-12-07,613700.0
2019-08-20,454500.0
2018-11-05,222000.0
2019-07-19,172900.0
2018-10-04,170200.0
2019-06-17,343100.0
2019-05-16,360800.0
2018-08-01,319200.0
2019-03-13,270400.0
2019-12-03,268200.0
2020-02-20,284200.0
2019-12-06,259100.0
2020-05-12,284800.0
2019-12-09,230600.0
2020-02-26,198000.0
2020-05-15,279400.0
2019-03-28,219500.0
2018-09-17,212100.0
2018-08-16,248100.0
2018-10-19,381800.0
2019-04-29,304900.0
2019-01-23,207500.0
2019-09-04,270000.0
2018-11-20,238400.0
2019-07-02,304200.0
2019-05-31,431400.0
2019-12-12,393900.0
2020-05-18,542300.0
2019-09-27,797000.0
2020-03-03,402000.0
2020-05-21,281100.0
2019-05-14,384300.0
2018-08-31,440400.0
2018-07-30,290500.0
2018-10-02,240800.0
2019-04-12,283400.0
2019-03-11,230400.0
2019-02-07,203000.0
2019-07-17,204600.0
2019-09-19,303400.0
2019-10-21,219200.0
2019-12-18,276200.0
2020-03-06,228300.0
2019-10-03,312800.0
2020-03-09,270900.0
2020-05-27,341500.0
2019-12-24,280000.0
2020-03-12,440300.0
2018-12-20,413000.0
2019-08-01,369700.0
2018-08-14,456100.0
2018-07-13,399600.0
2018-10-17,442200.0
2019-05-29,392800.0
2019-03-26,393900.0
2019-02-22,263300.0
2019-10-04,185100.0
2019-11-05,256100.0
2019-12-27,507400.0
2020-06-02,315500.0
2019-12-30,282800.0
2020-03-18,333400.0
2020-06-05,307400.0
2019-07-15,305600.0
2018-12-03,226500.0
2019-06-13,234700.0
2019-01-04,289300.0
2018-08-29,212200.0
2019-02-05,162200.0
2018-11-01,254100.0
2019-08-16,170300.0
2019-04-10,230300.0
2019-09-17,227500.0
2019-10-15,277200.0
2020-01-02,176500.0
2020-06-08,273400.0
