Dates,BKNG
2018-06-20,2145.77001953125
2018-06-21,2122.489990234375
2018-06-25,2102.85009765625
2018-06-22,2050.52001953125
2018-06-26,2040.3800048828125
2018-06-27,2001.5
2018-06-28,2019.489990234375
2018-06-29,2027.0899658203125
2018-07-02,2047.93994140625
2018-07-03,2060.22998046875
2018-07-05,2069.14990234375
2018-07-16,2086.929931640625
2018-09-18,2081.64990234375
2019-01-24,2064.0400390625
2019-09-05,2052.85009765625
2018-11-21,2057.110107421875
2020-01-13,2031.43994140625
2020-04-01,2020.0
2020-06-19,2030.52001953125
2019-10-29,2023.9100341796875
2020-01-16,2010.5999755859375
2020-06-22,2009.6700439453125
2018-10-03,1995.969970703125
2018-07-31,2026.25
2019-03-12,2065.68994140625
2019-02-08,2083.1298828125
2019-01-07,2085.030029296875
2018-12-06,2029.9000244140625
2019-08-19,2028.719970703125
2019-07-18,2023.1300048828125
2019-05-15,2033.0699462890625
2019-09-20,2029.7099609375
2019-11-01,2075.85009765625
2020-04-07,2077.989990234375
2020-06-25,2045.0
2020-06-16,1942.3900146484375
2019-11-04,1897.6600341796875
2020-01-22,1854.260009765625
2019-11-07,1833.550048828125
2020-04-13,1863.489990234375
2019-07-01,1824.989990234375
2019-05-30,1840.6800537109375
2018-08-15,1858.5999755859375
2018-10-18,1898.0799560546875
2019-03-27,1917.0
2019-01-22,1894.9000244140625
2018-12-21,1903.3399658203125
2019-09-03,1935.699951171875
2018-11-19,1931.22998046875
2019-08-02,1944.030029296875
2020-01-28,1944.0
2020-04-16,1951.550048828125
2019-11-13,1925.3599853515625
2020-01-31,1892.1800537109375
2018-12-04,1909.5
2018-11-02,1901.81005859375
2019-07-16,1875.760009765625
2018-08-30,1880.9300537109375
2018-10-01,1876.0799560546875
2019-06-14,1882.6099853515625
2019-05-13,1916.27001953125
2019-04-11,1890.760009765625
2019-02-06,1911.1099853515625
2019-09-18,1926.780029296875
2020-02-03,1947.739990234375
2020-04-22,1956.739990234375
2019-11-19,1958.760009765625
2020-02-06,1955.010009765625
2019-11-22,1967.510009765625
2019-03-25,1969.3399658203125
2019-02-21,1984.0
2018-12-19,1989.2099609375
2018-07-12,1976.5899658203125
2018-09-14,1972.6300048828125
2018-08-13,1933.4000244140625
2018-10-16,1903.8399658203125
2019-07-31,1900.9000244140625
2019-05-28,1870.5
2019-04-26,1788.739990234375
2020-04-28,1781.7099609375
2019-11-25,1807.1700439453125
2020-02-12,1811.3299560546875
2020-05-01,1830.27001953125
2020-05-04,1850.510009765625
2019-06-12,1811.7099609375
2019-04-09,1805.739990234375
2019-03-08,1827.2900390625
2019-02-04,1830.0
2018-07-27,1753.5799560546875
2018-08-28,1804.530029296875
2019-01-03,1770.81005859375
2019-08-15,1788.030029296875
2018-10-31,1836.0
2019-09-16,1874.5799560546875
2020-02-18,1896.0899658203125
2020-05-07,1875.010009765625
2018-08-17,1871.1199951171875
2019-12-04,1949.4599609375
2020-02-21,1998.1700439453125
2018-12-17,1977.6099853515625
2019-08-30,1937.6400146484375
2018-11-15,1906.280029296875
2019-07-29,1910.0799560546875
