Dates,BKNG
2018-06-20,2162.909912109375
2018-06-21,2152.469970703125
2018-06-25,2132.550048828125
2018-06-22,2093.409912109375
2018-06-26,2062.35009765625
2018-06-27,2060.320068359375
2018-06-28,2025.6099853515625
2018-06-29,2049.47998046875
2018-07-02,2061.610107421875
2018-07-03,2072.739990234375
2018-07-05,2075.14990234375
2018-07-16,2089.610107421875
2018-09-18,2099.06005859375
2019-01-24,2087.780029296875
2019-09-05,2058.97998046875
2018-11-21,2070.0400390625
2020-01-13,2053.260009765625
2020-04-01,2033.9000244140625
2020-06-19,2046.5799560546875
2019-10-29,2034.97998046875
2020-01-16,2020.68994140625
2020-06-22,2025.6700439453125
2018-10-03,2010.550048828125
2018-07-31,2049.989990234375
2019-03-12,2067.989990234375
2019-02-08,2085.93994140625
2019-01-07,2131.89990234375
2018-12-06,2095.6298828125
2019-08-19,2042.550048828125
2019-07-18,2049.0
2019-05-15,2038.0
2019-09-20,2039.989990234375
2019-11-01,2087.820068359375
2020-04-07,2109.0
2020-06-25,2084.89990234375
2020-06-16,1956.739990234375
2019-11-04,1919.43994140625
2020-01-22,1904.9000244140625
2019-11-07,1867.9300537109375
2020-04-13,1872.219970703125
2019-07-01,1884.56005859375
2019-05-30,1842.6600341796875
2018-08-15,1878.739990234375
2018-10-18,1901.5999755859375
2019-03-27,1926.3900146484375
2019-01-22,1930.0
2018-12-21,1919.18994140625
2019-09-03,1938.7900390625
2018-11-19,1944.5
2019-08-02,1953.27001953125
2020-01-28,1957.93994140625
2020-04-16,1952.8900146484375
2019-11-13,1951.050048828125
2020-01-31,1927.969970703125
2018-12-04,1910.8299560546875
2018-11-02,1922.97998046875
2019-07-16,1916.02001953125
2018-08-30,1887.5799560546875
2018-10-01,1889.530029296875
2019-06-14,1909.260009765625
2019-05-13,1918.7099609375
2019-04-11,1919.93994140625
2019-02-06,1918.0400390625
2019-09-18,1933.280029296875
2020-02-03,1958.5999755859375
2020-04-22,1962.1199951171875
2019-11-19,1973.0699462890625
2020-02-06,1972.6099853515625
2019-11-22,1986.43994140625
2019-03-25,1989.7900390625
2019-02-21,1990.739990234375
2018-12-19,2017.1099853515625
2018-07-12,1996.4000244140625
2018-09-14,1987.510009765625
2018-08-13,1969.989990234375
2018-10-16,1939.469970703125
2019-07-31,1916.9000244140625
2019-05-28,1915.6600341796875
2019-04-26,1865.739990234375
2020-04-28,1808.02001953125
2019-11-25,1829.050048828125
2020-02-12,1826.25
2020-05-01,1835.6400146484375
2020-05-04,1858.2900390625
2019-06-12,1859.0
2019-04-09,1836.02001953125
2019-03-08,1851.1199951171875
2019-02-04,1841.52001953125
2018-07-27,1847.2099609375
2018-08-28,1814.6800537109375
2019-01-03,1801.199951171875
2019-08-15,1840.800048828125
2018-10-31,1855.1099853515625
2019-09-16,1898.0400390625
2020-02-18,1908.0899658203125
2020-05-07,1904.9599609375
2018-08-17,1885.1500244140625
2019-12-04,2009.989990234375
2020-02-21,2015.6500244140625
2018-12-17,2019.47998046875
2019-08-30,1973.8499755859375
2018-11-15,1938.9200439453125
2019-07-29,1931.0899658203125
2019-06-27,1935.0
2019-04-24,1899.1300048828125
2018-07-10,1874.56005859375
2018-09-12,1875.0
2019-02-19,1780.6400146484375
2019-01-18,1788.8399658203125
2020-02-24,1776.4100341796875
2020-05-13,1818.7099609375
2019-12-10,1832.4100341796875
2020-02-27,1875.9100341796875
2019-12-13,1885.1500244140625
2020-05-19,1897.1099853515625
2019-03-06,1945.8399658203125
2018-11-30,1925.5400390625
2019-08-13,1889.510009765625
2019-07-12,1882.1600341796875
2019-06-10,1852.8399658203125
2019-05-09,1877.989990234375
2018-07-25,1894.02001953125
2018-09-27,1865.6099853515625
2018-10-29,1833.280029296875
2019-10-16,1806.9599609375
2019-12-16,1799.6400146484375
2020-03-04,1806.6400146484375
2020-05-22,1740.010009765625
2019-10-01,1715.8900146484375
2019-12-19,1649.0899658203125
2018-09-10,1705.010009765625
2019-05-24,1719.6800537109375
2018-08-09,1734.25
2019-04-22,1739.699951171875
2019-03-21,1736.77001953125
2019-01-16,1712.6800537109375
2019-08-28,1737.0799560546875
2018-11-13,1731.4000244140625
2018-10-12,1755.989990234375
2019-06-25,1682.8800048828125
2020-03-10,1685.97998046875
2020-05-28,1678.050048828125
2019-10-07,1708.8299560546875
2020-03-13,1704.1800537109375
2019-10-10,1698.219970703125
2020-03-16,1737.9100341796875
2020-06-03,1776.8399658203125
2018-11-28,1759.6700439453125
2018-09-25,1746.5799560546875
2018-07-23,1805.1800537109375
2018-08-24,1834.0799560546875
2019-07-10,1835.0
2019-05-07,1820.4000244140625
2019-04-05,1835.47998046875
2019-03-04,1851.1800537109375
2019-01-31,1862.0699462890625
2019-09-12,1862.260009765625
2019-12-31,1916.22998046875
2020-03-19,1910.0
2020-01-03,1900.6500244140625
2020-06-09,1899.989990234375
2019-02-15,1880.68994140625
2019-01-14,1900.0
2018-07-06,1924.0
2018-08-07,1922.6300048828125
2018-10-10,1934.6500244140625
2018-12-13,1951.8599853515625
2019-08-26,1944.989990234375
2019-07-25,1932.6500244140625
2019-05-22,1923.9100341796875
2019-03-19,1934.8299560546875
2020-01-06,1919.8299560546875
2020-03-25,1952.25
2020-06-12,1763.8900146484375
