Dates,TJX
2018-06-20,48.36000061035156
2018-06-21,48.14500045776367
2018-06-25,47.540000915527344
2018-06-22,47.60499954223633
2018-06-26,47.584999084472656
2018-06-27,47.10499954223633
2018-06-28,47.665000915527344
2018-06-29,47.59000015258789
2018-07-02,47.45500183105469
2018-07-03,47.57500076293945
2018-07-05,47.53499984741211
2018-07-16,47.775001525878906
2018-09-18,47.849998474121094
2019-01-24,47.51499938964844
2019-09-05,47.68000030517578
2018-11-21,47.125
2020-01-13,47.665000915527344
2020-04-01,47.595001220703125
2020-06-19,48.150001525878906
2019-10-29,48.310001373291016
2020-01-16,48.845001220703125
2020-06-22,48.53499984741211
2018-10-03,48.779998779296875
2018-07-31,48.505001068115234
2019-03-12,48.84000015258789
2019-02-08,48.7599983215332
2019-01-07,48.275001525878906
2018-12-06,48.3849983215332
2019-08-19,48.630001068115234
2019-07-18,48.20500183105469
2019-05-15,48.72999954223633
2019-09-20,48.79499816894531
2019-11-01,49.130001068115234
2020-04-07,49.369998931884766
2020-06-25,49.8650016784668
2020-06-16,49.904998779296875
2019-11-04,50.349998474121094
2020-01-22,49.67499923706055
2019-11-07,50.5
2020-04-13,49.494998931884766
2019-07-01,49.76499938964844
2019-05-30,50.17499923706055
2018-08-15,50.82500076293945
2018-10-18,53.22999954223633
2019-03-27,52.880001068115234
2019-01-22,53.724998474121094
2018-12-21,54.029998779296875
2019-09-03,53.72999954223633
2018-11-19,53.80500030517578
2019-08-02,54.27000045776367
2020-01-28,54.2599983215332
2020-04-16,54.98500061035156
2019-11-13,55.720001220703125
2020-01-31,55.564998626708984
2018-12-04,55.29999923706055
2018-11-02,54.96500015258789
2019-07-16,55.404998779296875
2018-08-30,55.19499969482422
2018-10-01,55.14500045776367
2019-06-14,54.4900016784668
2019-05-13,54.3849983215332
2019-04-11,53.97999954223633
2019-02-06,54.53499984741211
2019-09-18,54.689998626708984
2020-02-03,54.775001525878906
2020-04-22,54.85499954223633
2019-11-19,54.86000061035156
2020-02-06,55.15999984741211
2019-11-22,55.869998931884766
2019-03-25,55.904998779296875
2019-02-21,56.0099983215332
2018-12-19,56.1150016784668
2018-07-12,55.209999084472656
2018-09-14,55.16999816894531
2018-08-13,55.13999938964844
2018-10-16,55.150001525878906
2019-07-31,55.404998779296875
2019-05-28,55.70000076293945
2019-04-26,54.31999969482422
2020-04-28,53.880001068115234
2019-11-25,54.720001220703125
2020-02-12,55.255001068115234
2020-05-01,56.125
2020-05-04,55.400001525878906
2019-06-12,54.81999969482422
2019-04-09,53.630001068115234
2019-03-08,54.32500076293945
2019-02-04,53.45500183105469
2018-07-27,53.1150016784668
2018-08-28,53.25
2019-01-03,53.27000045776367
2019-08-15,54.20000076293945
2018-10-31,55.084999084472656
2019-09-16,54.939998626708984
2020-02-18,55.06999969482422
2020-05-07,54.744998931884766
2018-08-17,55.13999938964844
2019-12-04,54.775001525878906
2020-02-21,55.41999816894531
2018-12-17,55.540000915527344
2019-08-30,55.63999938964844
2018-11-15,54.56999969482422
2019-07-29,53.75
2019-06-27,52.63999938964844
2019-04-24,52.470001220703125
2018-07-10,51.4900016784668
2018-09-12,48.959999084472656
2019-02-19,46.81999969482422
2019-01-18,46.15999984741211
2020-02-24,45.86000061035156
2020-05-13,46.119998931884766
2019-12-10,45.54999923706055
2020-02-27,47.849998474121094
2019-12-13,47.4900016784668
2020-05-19,48.849998474121094
2019-03-06,48.38999938964844
2018-11-30,47.16999816894531
2019-08-13,46.459999084472656
2019-07-12,45.290000915527344
2019-06-10,46.209999084472656
2019-05-09,45.72999954223633
2018-07-25,46.099998474121094
2018-09-27,45.810001373291016
2018-10-29,45.220001220703125
2019-10-16,44.34000015258789
2019-12-16,44.06999969482422
2020-03-04,43.63999938964844
2020-05-22,42.43000030517578
2019-10-01,41.93000030517578
2019-12-19,41.630001068115234
2018-09-10,43.84000015258789
2019-05-24,43.84000015258789
2018-08-09,43.810001373291016
2019-04-22,44.7400016784668
2019-03-21,44.65999984741211
2019-01-16,44.189998626708984
2019-08-28,45.400001525878906
2018-11-13,46.619998931884766
2018-10-12,47.310001373291016
2019-06-25,47.27000045776367
2020-03-10,47.09000015258789
2020-05-28,47.459999084472656
2019-10-07,46.779998779296875
2020-03-13,47.31999969482422
2019-10-10,47.529998779296875
2020-03-16,48.0
2020-06-03,49.15999984741211
2018-11-28,48.7400016784668
2018-09-25,48.63999938964844
2018-07-23,48.68000030517578
2018-08-24,48.869998931884766
2019-07-10,48.959999084472656
2019-05-07,48.7400016784668
2019-04-05,48.900001525878906
2019-03-04,49.72999954223633
2019-01-31,48.900001525878906
2019-09-12,48.9900016784668
2019-12-31,49.220001220703125
2020-03-19,48.7599983215332
2020-01-03,48.52000045776367
2020-06-09,48.939998626708984
2019-02-15,49.099998474121094
2019-01-14,49.75
2018-07-06,49.88999938964844
2018-08-07,49.5
2018-10-10,50.22999954223633
2018-12-13,50.47999954223633
2019-08-26,50.5099983215332
2019-07-25,50.130001068115234
2019-05-22,50.349998474121094
2019-03-19,49.400001525878906
2020-01-06,49.720001220703125
2020-03-25,51.560001373291016
2020-06-12,51.290000915527344
2019-10-22,52.02000045776367
