Dates,TJX
2018-06-20,48.40999984741211
2018-06-21,48.279998779296875
2018-06-25,48.224998474121094
2018-06-22,48.04999923706055
2018-06-26,47.6150016784668
2018-06-27,48.154998779296875
2018-06-28,47.81999969482422
2018-06-29,48.224998474121094
2018-07-02,47.55500030517578
2018-07-03,47.88999938964844
2018-07-05,47.814998626708984
2018-07-16,47.974998474121094
2018-09-18,48.07500076293945
2019-01-24,47.79999923706055
2019-09-05,47.880001068115234
2018-11-21,47.68000030517578
2020-01-13,47.689998626708984
2020-04-01,47.79499816894531
2020-06-19,48.369998931884766
2019-10-29,48.415000915527344
2020-01-16,48.98500061035156
2020-06-22,49.0099983215332
2018-10-03,49.060001373291016
2018-07-31,48.939998626708984
2019-03-12,48.91999816894531
2019-02-08,49.470001220703125
2019-01-07,49.14500045776367
2018-12-06,48.90999984741211
2019-08-19,48.834999084472656
2019-07-18,48.92499923706055
2019-05-15,48.76499938964844
2019-09-20,49.1349983215332
2019-11-01,49.19499969482422
2020-04-07,49.42499923706055
2020-06-25,49.95000076293945
2020-06-16,50.224998474121094
2019-11-04,50.6150016784668
2020-01-22,50.744998931884766
2019-11-07,50.595001220703125
2020-04-13,50.5
2019-07-01,50.30500030517578
2019-05-30,50.26499938964844
2018-08-15,50.900001525878906
2018-10-18,53.630001068115234
2019-03-27,53.779998779296875
2019-01-22,53.869998931884766
2018-12-21,54.15999984741211
2019-09-03,54.32500076293945
2018-11-19,53.88999938964844
2019-08-02,54.42499923706055
2020-01-28,54.75
2020-04-16,55.060001373291016
2019-11-13,55.900001525878906
2020-01-31,55.939998626708984
2018-12-04,55.95500183105469
2018-11-02,55.564998626708984
2019-07-16,55.71500015258789
2018-08-30,55.5
2018-10-01,55.564998626708984
2019-06-14,55.25
2019-05-13,54.415000915527344
2019-04-11,54.25
2019-02-06,54.869998931884766
2019-09-18,54.82500076293945
2020-02-03,54.849998474121094
2020-04-22,55.345001220703125
2019-11-19,55.220001220703125
2020-02-06,55.314998626708984
2019-11-22,56.16999816894531
2019-03-25,56.19499969482422
2019-02-21,56.369998931884766
2018-12-19,56.63999938964844
2018-07-12,56.30500030517578
2018-09-14,55.599998474121094
2018-08-13,55.36000061035156
2018-10-16,55.779998779296875
2019-07-31,55.58000183105469
2019-05-28,56.08000183105469
2019-04-26,55.78499984741211
2020-04-28,55.2400016784668
2019-11-25,55.255001068115234
2020-02-12,55.560001373291016
2020-05-01,56.2400016784668
2020-05-04,55.994998931884766
2019-06-12,55.46500015258789
2019-04-09,54.86000061035156
2019-03-08,54.6150016784668
2019-02-04,54.08000183105469
2018-07-27,54.39500045776367
2018-08-28,53.70000076293945
2019-01-03,53.51499938964844
2019-08-15,55.095001220703125
2018-10-31,55.459999084472656
2019-09-16,55.685001373291016
2020-02-18,55.44499969482422
2020-05-07,56.185001373291016
2018-08-17,55.5
2019-12-04,55.4900016784668
2020-02-21,55.540000915527344
2018-12-17,56.0
2019-08-30,55.810001373291016
2018-11-15,56.18000030517578
2019-07-29,54.63999938964844
2019-06-27,54.56999969482422
2019-04-24,52.470001220703125
2018-07-10,51.86000061035156
2018-09-12,51.70000076293945
2019-02-19,48.7599983215332
2019-01-18,47.52000045776367
2020-02-24,46.439998626708984
2020-05-13,46.84000015258789
2019-12-10,46.15999984741211
2020-02-27,47.900001525878906
2019-12-13,48.77000045776367
2020-05-19,49.04999923706055
2019-03-06,49.36000061035156
2018-11-30,48.77000045776367
2019-08-13,46.86000061035156
2019-07-12,46.40999984741211
2019-06-10,46.369998931884766
2019-05-09,46.86000061035156
2018-07-25,46.560001373291016
2018-09-27,46.5
2018-10-29,46.189998626708984
2019-10-16,44.9900016784668
2019-12-16,44.75
2020-03-04,44.849998474121094
2020-05-22,43.5
2019-10-01,43.70000076293945
2019-12-19,42.40999984741211
2018-09-10,43.84000015258789
2019-05-24,43.86000061035156
2018-08-09,44.45000076293945
2019-04-22,44.86000061035156
2019-03-21,45.040000915527344
2019-01-16,44.869998931884766
2019-08-28,45.70000076293945
2018-11-13,47.130001068115234
2018-10-12,47.439998626708984
2019-06-25,47.7599983215332
2020-03-10,47.130001068115234
2020-05-28,47.7400016784668
2019-10-07,47.77000045776367
2020-03-13,47.81999969482422
2019-10-10,47.810001373291016
2020-03-16,48.15999984741211
2020-06-03,49.43000030517578
2018-11-28,49.20000076293945
2018-09-25,48.90999984741211
2018-07-23,48.880001068115234
2018-08-24,49.45000076293945
2019-07-10,49.0099983215332
2019-05-07,49.040000915527344
2019-04-05,49.18000030517578
2019-03-04,49.72999954223633
2019-01-31,49.689998626708984
2019-09-12,49.0
2019-12-31,49.2599983215332
2020-03-19,49.29999923706055
2020-01-03,48.77000045776367
2020-06-09,48.939998626708984
2019-02-15,49.189998626708984
2019-01-14,49.83000183105469
2018-07-06,49.95000076293945
2018-08-07,49.939998626708984
2018-10-10,50.33000183105469
2018-12-13,50.619998931884766
2019-08-26,50.599998474121094
2019-07-25,50.65999984741211
2019-05-22,50.529998779296875
2019-03-19,50.540000915527344
2020-01-06,50.18000030517578
2020-03-25,51.939998626708984
2020-06-12,52.18000030517578
2019-10-22,52.4900016784668
2020-01-09,52.68000030517578
2020-06-15,52.119998931884766
2019-10-25,52.4900016784668
2020-03-31,51.790000915527344
2020-06-18,51.2599983215332
2019-04-03,51.869998931884766
2018-08-22,52.040000915527344
2018-10-25,52.72999954223633
2019-01-29,52.349998474121094
2018-12-28,52.290000915527344
2018-11-26,52.459999084472656
2019-08-09,52.63999938964844
2019-07-08,52.63999938964844
2019-06-06,52.75
